Date,Open,High,Low,Close,Volume,OpenInt
2017-11-07,25.48,25.48,25.41,25.41,2074,0
2017-11-09,25,25.0262,25,25.0262,2172,0
2017-11-10,25.08,25.08,25.08,25.08,294,0
2017-11-13,24.9190,24.9200,24.9010,24.9200,600,0
2017-11-14,25.1500,25.1500,25.1500,25.1500,2700,0
2017-11-15,25.0200,25.0200,24.9800,24.9800,1300,0
2017-11-16,24.9800,24.9800,24.9800,24.9800,-,0
2017-11-17,24.9800,24.9800,24.9800,24.9800,-,0
2017-11-20,25.0900,25.0900,25.0900,25.0900,1000,0
2017-11-21,25.3000,25.3000,25.3000,25.3000,200,0
2017-11-22,25.3000,25.3000,25.3000,25.3000,-,0
2017-11-24,25.5400,25.5440,25.5340,25.5340,300,0
2017-11-27,25.4900,25.4900,25.4000,25.4000,800,0
2017-11-28,25.4000,25.4000,25.4000,25.4000,-,0
2017-11-29,25.3500,25.3500,25.3360,25.3360,400,0
2017-11-30,25.5400,25.5400,25.5400,25.5400,100,0
2017-12-01,25.2500,25.2500,25.2500,25.2500,1300,0
2017-12-04,25.3500,25.3500,25.3500,25.3500,200,0
2017-12-05,25.2900,25.2900,25.2900,25.2900,300,0
2017-12-06,25.2900,25.2900,25.2900,25.2900,-,0
2017-12-07,25.2900,25.2900,25.2900,25.2900,400,0
2017-12-08,25.3600,25.3900,25.3600,25.3900,300,0
2017-12-11,25.3200,25.3200,25.3200,25.3200,100,0
2017-12-12,25.3200,25.3200,25.3200,25.3200,-,0
2017-12-13,25.3200,25.3200,25.3200,25.3200,-,0
2017-12-14,25.3200,25.3200,25.3200,25.3200,-,0
2017-12-15,25.3200,25.3200,25.3200,25.3200,-,0
2017-12-18,25.7290,25.7290,25.7290,25.7290,200,0
2017-12-19,25.6430,25.6430,25.6430,25.6430,200,0
2017-12-20,25.5700,25.5700,25.5700,25.5700,200,0
2017-12-21,25.5700,25.5700,25.5700,25.5700,-,0
2017-12-22,25.3400,25.3400,25.3400,25.3400,100,0
2017-12-26,25.3400,25.3400,25.3400,25.3400,-,0
2017-12-27,25.3400,25.3400,25.3400,25.3400,-,0
2017-12-28,25.4760,25.4760,25.4500,25.4500,400,0
2017-12-29,25.4500,25.4500,25.4500,25.4500,-,0
2018-01-02,25.5000,25.5000,25.5000,25.5000,100,0
2018-01-03,25.7300,25.7300,25.6490,25.6500,8700,0
2018-01-04,26.1200,26.1200,26.1200,26.1200,200,0
2018-01-05,26.1200,26.1200,26.1200,26.1200,-,0
2018-01-08,26.1200,26.1200,26.1200,26.1200,-,0
2018-01-09,26.1200,26.1200,26.1200,26.1200,-,0
2018-01-10,26.0800,26.0900,26.0800,26.0900,1800,0
2018-01-11,26.0900,26.0900,26.0900,26.0900,-,0
2018-01-12,26.3900,26.4890,26.3900,26.4890,900,0
2018-01-16,26.7000,26.7100,26.5400,26.5850,1200,0
2018-01-17,26.5000,26.6900,26.5000,26.6500,1900,0
2018-01-18,26.6990,26.7000,26.6870,26.6870,1000,0
2018-01-19,26.6870,26.6870,26.6870,26.6870,-,0
2018-01-22,27.1790,27.1790,27.1790,27.1790,100,0
2018-01-23,27.3100,27.3100,27.3100,27.3100,200,0
2018-01-24,27.3100,27.3100,27.3100,27.3100,100,0
2018-01-25,27.2500,27.2500,27.2500,27.2500,100,0
2018-01-26,27.2500,27.2500,27.2500,27.2500,-,0
2018-01-29,27.0500,27.0700,27.0500,27.0700,600,0
2018-01-30,26.9800,26.9800,26.8210,26.8210,900,0
2018-01-31,26.8210,26.8210,26.8210,26.8210,-,0
2018-02-01,26.6100,26.6100,26.6100,26.6100,400,0
2018-02-02,26.1600,26.1600,26.1200,26.1200,900,0
2018-02-05,24.9900,24.9900,24.9900,24.9900,200,0
2018-02-06,24.9900,24.9900,24.9900,24.9900,-,0
2018-02-07,25.4230,25.4230,25.4230,25.4230,2800,0
2018-02-08,25.0900,25.0900,24.6740,24.6740,1000,0
2018-02-09,24.6740,24.6740,24.6740,24.6740,-,0
2018-02-12,24.6740,24.6740,24.6740,24.6740,-,0
2018-02-13,24.9000,24.9000,24.9000,24.9000,100,0
2018-02-14,25.3000,25.3000,25.1550,25.1900,8400,0
2018-02-15,25.4190,25.4190,25.4190,25.4190,300,0
2018-02-16,25.6290,25.6290,25.5600,25.5600,400,0
2018-02-20,25.4150,25.4150,25.3600,25.3600,400,0
2018-02-21,25.1900,25.1900,25.1900,25.1900,400,0
2018-02-22,25.3400,25.3400,25.3400,25.3400,300,0
2018-02-23,25.4600,25.4600,25.4600,25.4600,200,0
2018-02-26,25.4400,25.5700,25.4400,25.5700,400,0
2018-02-27,25.1620,25.1620,25.1100,25.1100,1200,0
2018-02-28,25.1100,25.1100,25.1100,25.1100,-,0
2018-03-01,24.6300,24.6300,24.6300,24.6300,300,0
2018-03-02,24.4100,24.4300,24.3930,24.4300,1000,0
2018-03-05,24.4300,24.4300,24.4300,24.4300,-,0
2018-03-06,24.4300,24.4300,24.4300,24.4300,-,0
2018-03-07,24.4300,24.4300,24.4300,24.4300,-,0
2018-03-08,25.1600,25.1600,25.1600,25.1600,800,0
2018-03-09,25.1600,25.1600,25.1600,25.1600,-,0
2018-03-12,25.1600,25.1600,25.1600,25.1600,-,0
2018-03-13,25.1600,25.1600,25.1600,25.1600,-,0
2018-03-14,25.1500,25.1500,25.0700,25.0700,300,0
2018-03-15,25.0700,25.0700,25.0700,25.0700,-,0
2018-03-16,25.1700,25.1700,25.1700,25.1700,100,0
2018-03-19,25.1700,25.1700,25.1700,25.1700,-,0
2018-03-20,25.1700,25.1700,25.1700,25.1700,-,0
2018-03-21,25.1700,25.1700,25.1700,25.1700,-,0
2018-03-22,25.1700,25.1700,25.1700,25.1700,-,0
2018-03-23,24.1710,24.1710,24.1710,24.1710,500,0
2018-03-26,24.2100,24.5900,24.2000,24.5900,1100,0
2018-03-27,24.5900,24.5900,24.5900,24.5900,100,0
2018-03-28,24.3100,24.3100,24.3100,24.3100,200,0
2018-03-29,24.6700,24.6700,24.6700,24.6700,100,0
2018-04-02,24.6700,24.6700,24.6700,24.6700,-,0
2018-04-03,24.4700,24.4700,24.4700,24.4700,100,0
2018-04-04,24.5100,24.5100,24.5100,24.5100,200,0
2018-04-05,24.8100,24.8100,24.8100,24.8100,100,0
2018-04-06,24.7100,24.7100,24.7040,24.7040,300,0
2018-04-06,24.7100,24.7100,24.7044,24.7044,300,0
