Date,Open,High,Low,Close,Volume,OpenInt
2017-01-30,24.281,24.281,24.146,24.146,506,0
2017-01-31,24.36,24.36,24.36,24.36,411,0
2017-02-01,24.34,24.34,24.34,24.34,312,0
2017-02-03,24.482,24.508,24.482,24.508,566,0
2017-02-06,24.419,24.419,24.419,24.419,632,0
2017-02-14,24.676,24.676,24.676,24.676,121379,0
2017-03-07,24.794,24.794,24.794,24.794,405,0
2017-03-08,24.785,24.785,24.746,24.746,303,0
2017-03-14,24.933,24.933,24.933,24.933,405,0
2017-03-15,24.963,25.279,24.963,25.279,607,0
2017-03-20,25.279,25.279,25.279,25.279,0,0
2017-03-21,25.319,25.319,25.319,25.319,202,0
2017-03-22,25.19,25.339,25.19,25.325,607,0
2017-03-23,25.438,25.438,25.438,25.438,759,0
2017-03-31,25.477,25.497,25.477,25.497,2529,0
2017-04-06,25.398,25.398,25.398,25.398,101,0
2017-04-21,25.378,25.378,25.366,25.366,809,0
2017-04-24,25.556,25.556,25.556,25.556,405,0
2017-04-25,26.021,26.055,26.021,26.055,2033,0
2017-04-28,26.09,26.09,26.08,26.08,809,0
2017-05-02,26.408,26.416,26.408,26.408,516,0
2017-05-05,26.545,26.545,26.524,26.524,445,0
2017-05-09,26.664,26.673,26.634,26.634,1871,0
2017-05-10,26.603,26.603,26.584,26.584,486,0
2017-05-11,26.535,26.584,26.535,26.545,4956,0
2017-05-12,26.673,26.673,26.673,26.673,243,0
2017-05-15,26.743,26.743,26.743,26.743,101,0
2017-05-16,26.888,26.921,26.888,26.921,3914,0
2017-05-17,26.685,26.685,26.683,26.683,841,0
2017-05-18,26.406,26.495,26.406,26.495,698,0
2017-05-23,26.945,26.954,26.945,26.954,759,0
2017-05-31,26.871,26.871,26.871,26.871,405,0
2017-06-12,26.802,26.857,26.802,26.857,1261,0
2017-06-15,26.654,26.654,26.643,26.643,281,0
2017-06-20,26.865,26.865,26.865,26.865,300,0
2017-06-22,27.07,27.07,27.07,27.07,258,0
2017-06-29,27.15,27.15,27.15,27.15,350,0
2017-06-30,27.021,27.0447,27.021,27.0447,608,0
2017-07-10,26.841,26.841,26.841,26.841,180,0
2017-07-17,27.59,27.59,27.5782,27.5782,350,0
2017-07-19,27.91,27.9192,27.9,27.91,5600,0
2017-07-24,27.92,27.92,27.86,27.89,1446,0
2017-07-26,28.06,28.06,28.06,28.06,100,0
2017-07-27,28.21,28.22,28.02,28.06,1061,0
2017-07-28,27.9,27.9,27.9,27.9,200,0
2017-08-01,28.2399,28.2399,28.21,28.21,353,0
2017-08-03,28.12,28.12,28.09,28.09,227,0
2017-08-07,28.183,28.28,28.183,28.28,8463,0
2017-08-08,28.22,28.22,28.22,28.22,125,0
2017-08-10,27.75,27.75,27.75,27.75,100,0
2017-08-11,27.525,27.55,27.5,27.52,6703,0
2017-08-14,27.7581,27.76,27.748,27.748,990,0
2017-08-15,27.649,27.65,27.64,27.64,730,0
2017-08-17,27.9,27.9,27.6751,27.6751,960,0
2017-08-18,27.8771,27.89,27.87,27.89,881,0
2017-08-21,27.76,27.82,27.76,27.82,375,0
2017-08-24,28.025,28.0299,28.025,28.0299,500,0
2017-08-25,28.1,28.15,28.1,28.15,710,0
2017-08-28,28.0699,28.0699,28.0699,28.0699,153,0
2017-08-30,27.98,28.01,27.98,28.01,1841,0
2017-08-31,28.14,28.18,28.14,28.18,856,0
2017-09-01,28.284,28.284,28.284,28.284,640,0
2017-09-05,28.01,28.01,28.01,28.01,153,0
2017-09-06,28.24,28.24,28.24,28.24,822,0
2017-09-07,28.38,28.38,28.38,28.38,112,0
2017-09-08,28.37,28.37,28.37,28.37,321,0
2017-09-11,28.66,28.66,28.66,28.66,1128,0
2017-09-12,28.7499,28.75,28.7499,28.75,606,0
2017-09-14,28.73,28.73,28.73,28.73,115,0
2017-09-18,28.89,28.89,28.86,28.86,240,0
2017-09-19,28.9791,28.9791,28.9791,28.9791,175,0
2017-09-20,29,29,28.98,28.98,310,0
2017-09-21,28.98,28.9901,28.97,28.9901,340,0
2017-09-22,28.9799,28.9799,28.9615,28.9615,894,0
