Date,Open,High,Low,Close,Volume,OpenInt
2017-11-10,25.0699,25.0699,25.0551,25.0551,200,0
2017-11-14,24.670,24.730,24.610,24.630,54200,0
2017-11-15,24.540,24.540,24.420,24.450,800,0
2017-11-16,24.720,24.770,24.610,24.770,700,0
2017-11-17,24.820,24.970,24.800,24.970,1600,0
2017-11-20,24.920,24.940,24.830,24.900,1400,0
2017-11-21,25.160,25.420,25.140,25.370,5500,0
2017-11-22,25.370,25.370,25.370,25.370,-,0
2017-11-24,25.370,25.370,25.370,25.370,-,0
2017-11-27,25.440,25.440,25.300,25.300,1900,0
2017-11-28,25.300,25.300,25.300,25.300,-,0
2017-11-29,25.300,25.300,25.300,25.300,-,0
2017-11-30,25.300,25.300,25.300,25.300,-,0
2017-12-01,25.300,25.300,25.300,25.300,-,0
2017-12-04,25.300,25.300,25.300,25.300,-,0
2017-12-05,25.300,25.300,25.300,25.300,-,0
2017-12-06,25.300,25.300,25.300,25.300,-,0
2017-12-07,24.455,24.610,24.445,24.570,6600,0
2017-12-08,24.570,24.570,24.570,24.570,-,0
2017-12-11,24.790,24.870,24.690,24.870,4100,0
2017-12-12,24.870,24.870,24.870,24.870,-,0
2017-12-13,25.050,25.050,24.960,24.960,5400,0
2017-12-14,25.030,25.055,24.880,24.880,19700,0
2017-12-15,24.880,24.880,24.880,24.880,-,0
2017-12-18,25.010,25.140,25.010,25.030,9900,0
2017-12-19,25.020,25.020,24.955,24.960,5000,0
2017-12-20,24.960,24.960,24.960,24.960,-,0
2017-12-21,24.480,24.480,24.480,24.480,10000,0
2017-12-22,24.430,24.455,24.065,24.070,3900,0
2017-12-26,24.160,24.160,24.070,24.070,2600,0
2017-12-27,24.330,24.330,24.310,24.310,7500,0
2017-12-28,24.420,24.420,24.400,24.410,2900,0
2017-12-29,24.713,24.713,24.713,24.713,200,0
2018-01-02,24.713,24.713,24.713,24.713,-,0
2018-01-03,24.713,24.713,24.713,24.713,-,0
2018-01-04,24.713,24.713,24.713,24.713,-,0
2018-01-05,25.560,25.560,25.445,25.510,1800,0
2018-01-08,25.670,25.670,25.670,25.670,100,0
2018-01-09,25.490,25.490,25.351,25.351,600,0
2018-01-10,25.351,25.351,25.351,25.351,-,0
2018-01-11,24.725,24.740,24.620,24.620,5500,0
2018-01-12,25.450,25.450,25.270,25.270,11800,0
2018-01-16,25.920,25.920,25.670,25.670,10300,0
2018-01-17,26.240,26.240,26.240,26.240,30000,0
2018-01-18,26.240,26.240,26.240,26.240,-,0
2018-01-19,26.240,26.240,26.240,26.240,-,0
2018-01-22,26.240,26.240,26.240,26.240,-,0
2018-01-23,26.100,26.270,26.070,26.205,10000,0
2018-01-24,26.850,26.850,26.810,26.820,4000,0
2018-01-25,27.300,27.300,27.000,27.000,2100,0
2018-01-26,27.093,27.098,27.093,27.098,400,0
2018-01-29,27.098,27.098,27.098,27.098,-,0
2018-01-30,26.429,26.470,26.410,26.440,4900,0
2018-01-31,26.560,26.560,26.560,26.560,200,0
2018-02-01,26.560,26.560,26.560,26.560,-,0
2018-02-02,26.560,26.560,26.560,26.560,400,0
2018-02-05,26.440,26.440,25.530,26.050,1400,0
2018-02-06,26.050,26.050,26.050,26.050,-,0
2018-02-07,26.050,26.050,26.050,26.050,-,0
2018-02-08,24.980,25.138,24.980,24.980,600,0
2018-02-09,25.140,25.140,25.140,25.140,400,0
2018-02-12,25.180,25.340,25.180,25.340,5200,0
2018-02-13,25.340,25.340,25.340,25.340,-,0
2018-02-14,25.340,25.340,25.340,25.340,-,0
2018-02-15,26.020,26.020,26.000,26.000,10000,0
2018-02-16,26.190,26.380,26.038,26.250,700,0
2018-02-20,26.250,26.250,26.250,26.250,-,0
2018-02-21,26.250,26.250,26.250,26.250,-,0
2018-02-22,25.910,25.970,25.910,25.970,1600,0
2018-02-23,25.970,25.970,25.970,25.970,-,0
2018-02-26,26.730,26.730,25.670,25.670,2400,0
2018-02-27,25.670,25.670,25.670,25.670,-,0
2018-02-28,25.670,25.670,25.670,25.670,-,0
2018-03-01,25.670,25.670,25.670,25.670,-,0
2018-03-02,25.670,25.670,25.670,25.670,-,0
2018-03-05,24.740,25.020,24.740,25.020,1100,0
2018-03-06,25.020,25.020,25.020,25.020,-,0
2018-03-07,25.020,25.020,25.020,25.020,-,0
2018-03-08,25.020,25.020,25.020,25.020,-,0
2018-03-09,25.755,25.755,25.755,25.755,100,0
2018-03-12,25.755,25.755,25.755,25.755,-,0
2018-03-13,25.755,25.755,25.755,25.755,-,0
2018-03-14,25.755,25.755,25.755,25.755,-,0
2018-03-15,25.755,25.755,25.755,25.755,-,0
2018-03-16,25.755,25.755,25.755,25.755,-,0
2018-03-19,25.755,25.755,25.755,25.755,-,0
2018-03-20,25.755,25.755,25.755,25.755,-,0
2018-03-21,25.755,25.755,25.755,25.755,-,0
2018-03-22,25.755,25.755,25.755,25.755,-,0
2018-03-23,24.880,24.880,24.880,24.880,200,0
2018-03-26,24.880,24.880,24.880,24.880,-,0
2018-03-27,24.880,24.880,24.880,24.880,-,0
2018-03-28,24.880,24.880,24.880,24.880,-,0
2018-03-29,24.880,24.880,24.880,24.880,-,0
2018-04-02,24.880,24.880,24.880,24.880,-,0
2018-04-03,24.880,24.880,24.880,24.880,-,0
2018-04-04,24.880,24.880,24.880,24.880,-,0
2018-04-05,24.880,24.880,24.880,24.880,-,0
2018-04-06,24.880,24.880,24.880,24.880,-,0
2018-04-09,26.099,26.099,26.099,26.099,270,0
