Date,Open,High,Low,Close,Volume,OpenInt
2017-05-03,10.19,10.19,9.7,10.05,29403,0
2017-05-04,9.74,9.8,9.74,9.75,60560,0
2017-05-05,9.79,9.79,9.79,9.79,1036,0
2017-05-08,9.6999,9.75,9.6759,9.75,95239,0
2017-05-09,9.67,9.75,9.67,9.74,293421,0
2017-05-10,9.75,9.7755,9.7,9.75,1498167,0
2017-05-11,9.72,9.74,9.71,9.73,43328,0
2017-05-12,9.71,9.75,9.71,9.73,156926,0
2017-05-15,9.67,9.8,9.67,9.68,7177,0
2017-05-16,9.79,9.8,9.75,9.79,341647,0
2017-05-17,9.75,9.79,9.7,9.72,42628,0
2017-05-18,9.7,9.76,9.7,9.76,134174,0
2017-05-19,9.75,9.8,9.74,9.76,15304,0
2017-05-22,9.75,9.75,9.72,9.72,5863,0
2017-05-23,9.72,9.74,9.72,9.74,5932,0
2017-05-24,9.7,9.72,9.7,9.71,505263,0
2017-05-25,9.73,9.745,9.7,9.7,20363,0
2017-05-26,9.72,9.72,9.7,9.7,5963,0
2017-05-31,9.74,9.79,9.7199,9.73,52814,0
2017-06-01,9.73,9.74,9.73,9.74,6163,0
2017-06-02,9.77,9.77,9.7,9.71,16063,0
2017-06-05,9.7299,9.735,9.7,9.71,16388,0
2017-06-07,9.74,9.74,9.73,9.73,5463,0
2017-06-08,9.73,9.75,9.71,9.71,8313,0
2017-06-09,9.7,9.75,9.69,9.72,394157,0
2017-06-12,9.73,9.73,9.7,9.7,1000,0
2017-06-13,9.69,9.75,9.69,9.7,21831,0
2017-06-14,9.7,9.75,9.7,9.74,1987,0
2017-06-15,9.69,9.74,9.69,9.7,1506,0
2017-06-16,9.69,9.71,9.69,9.71,205310,0
2017-06-19,9.7499,9.75,9.72,9.72,60703,0
2017-06-20,9.73,9.76,9.73,9.73,80979,0
2017-06-21,9.74,9.74,9.72,9.72,10003,0
2017-06-22,9.74,9.76,9.71,9.71,99022,0
2017-06-23,9.76,9.76,9.7398,9.74,55897,0
2017-06-26,9.74,9.74,9.74,9.74,560000,0
2017-06-27,9.71,9.71,9.71,9.71,900,0
2017-06-28,9.75,9.75,9.75,9.75,15600,0
2017-06-29,9.73,9.74,9.73,9.74,2054,0
2017-06-30,9.74,9.75,9.71,9.71,13350,0
2017-07-03,9.7,9.73,9.7,9.73,1218,0
2017-07-05,9.73,9.73,9.7,9.72,2794,0
2017-07-06,9.73,9.73,9.7,9.7,31543,0
2017-07-07,9.71,9.73,9.7,9.72,9752,0
2017-07-10,9.75,9.75,9.72,9.72,7454,0
2017-07-11,9.75,9.75,9.7,9.71,15577,0
2017-07-12,9.71,9.75,9.68,9.75,98039,0
2017-07-14,9.69,9.69,9.69,9.69,118,0
