Date,Open,High,Low,Close,Volume,OpenInt
2017-11-03,49.95,50.25,49.95,50.09,6456,0
2017-11-07,50.25,50.25,50.2484,50.2484,600,0
2017-11-08,50.12,50.1999,50.11,50.1999,3000,0
2017-11-09,50.19,50.2,50.1756,50.19,5920,0
2017-11-20,50.30,50.30,50.29,50.29,600,0
2017-11-21,50.25,50.25,50.25,50.25,300,0
2017-11-22,50.25,50.25,50.25,50.25,-,0
2017-11-24,50.25,50.25,50.25,50.25,-,0
2017-11-27,50.25,50.25,50.25,50.25,-,0
2017-11-28,50.25,50.25,50.25,50.25,-,0
2017-11-29,50.25,50.25,50.25,50.25,-,0
2017-11-30,50.25,50.25,50.25,50.25,-,0
2017-12-01,50.25,50.25,50.25,50.25,-,0
2017-12-04,50.25,50.25,50.25,50.25,-,0
2017-12-05,50.25,50.25,50.25,50.25,-,0
2017-12-06,50.25,50.25,50.25,50.25,-,0
2017-12-07,50.69,50.74,50.69,50.74,800,0
2017-12-08,50.58,50.60,50.28,50.28,1500,0
2017-12-11,50.28,50.28,50.28,50.28,-,0
2017-12-12,50.28,50.28,50.28,50.28,-,0
2017-12-13,50.57,50.57,50.57,50.57,400,0
2017-12-14,50.55,50.79,50.47,50.65,2500,0
2017-12-15,50.61,50.61,50.61,50.61,300,0
2017-12-18,50.59,50.65,50.59,50.65,1600,0
2017-12-19,50.65,50.65,50.65,50.65,-,0
2017-12-20,50.38,50.38,50.35,50.35,200,0
2017-12-21,50.38,50.38,50.38,50.38,100,0
2017-12-22,50.35,50.36,50.35,50.36,200,0
2017-12-26,50.36,50.36,50.36,50.36,-,0
2017-12-27,50.54,50.79,50.54,50.57,1000,0
2017-12-28,50.52,50.52,50.52,50.52,500,0
2017-12-29,50.48,50.48,50.48,50.48,100,0
2018-01-02,50.91,53.47,50.42,50.57,19800,0
2018-01-03,50.64,50.65,50.64,50.64,12300,0
2018-01-04,50.64,50.64,50.64,50.64,-,0
2018-01-05,50.64,50.64,50.62,50.62,1300,0
2018-01-08,50.63,50.63,50.61,50.61,800,0
2018-01-09,50.77,50.82,50.57,50.57,19800,0
2018-01-10,50.42,50.42,50.42,50.42,400,0
2018-01-11,50.39,50.39,50.39,50.39,200,0
2018-01-12,50.42,50.42,50.32,50.42,900,0
2018-01-16,50.42,50.42,50.42,50.42,-,0
2018-01-17,50.34,50.34,50.34,50.34,200,0
2018-01-18,50.34,50.34,50.34,50.34,-,0
2018-01-19,50.34,50.34,50.34,50.34,-,0
2018-01-22,50.37,50.42,49.99,50.42,9600,0
2018-01-23,50.47,50.47,50.44,50.47,4000,0
2018-01-24,50.40,50.40,50.38,50.38,400,0
2018-01-25,50.38,50.38,50.38,50.38,-,0
2018-01-26,50.32,50.32,50.32,50.32,100,0
2018-01-29,50.19,50.36,50.19,50.22,7000,0
2018-01-30,49.99,49.99,49.98,49.99,400,0
2018-01-31,50.15,50.28,50.15,50.15,1200,0
2018-02-01,49.99,50.08,49.88,49.88,20900,0
2018-02-02,49.68,49.68,49.68,49.68,700,0
2018-02-05,49.78,49.78,49.77,49.77,600,0
2018-02-06,49.77,49.77,49.77,49.77,-,0
2018-02-07,50.06,50.06,49.95,49.95,1700,0
2018-02-08,49.96,49.96,49.96,49.96,400,0
2018-02-09,49.93,50.17,49.93,50.17,1400,0
2018-02-12,50.17,50.17,50.17,50.17,-,0
2018-02-13,50.17,50.17,50.17,50.17,-,0
2018-02-14,49.98,49.98,49.57,49.89,1300,0
2018-02-15,50.01,50.02,50.01,50.02,900,0
2018-02-16,49.78,49.78,49.77,49.77,1700,0
2018-02-20,49.75,49.83,49.57,49.63,6300,0
2018-02-21,49.64,49.64,49.45,49.49,5000,0
2018-02-22,49.70,50.73,49.70,50.46,4600,0
2018-02-23,49.80,49.80,49.80,49.80,800,0
2018-02-26,49.80,49.80,49.80,49.80,-,0
2018-02-27,49.92,50.13,49.90,49.90,3400,0
2018-02-28,49.93,49.94,49.93,49.93,1500,0
2018-03-01,49.93,49.93,49.93,49.93,6000,0
2018-03-02,49.90,49.90,49.90,49.90,400,0
2018-03-05,49.72,49.95,49.67,49.69,3000,0
2018-03-06,49.65,49.65,49.46,49.64,10100,0
2018-03-07,49.64,49.64,49.64,49.64,-,0
2018-03-08,49.72,49.72,49.72,49.72,600,0
2018-03-09,49.72,49.72,49.57,49.58,5700,0
2018-03-12,49.58,49.58,49.58,49.58,-,0
2018-03-13,49.58,49.58,49.58,49.58,-,0
2018-03-14,49.73,49.73,49.73,49.73,10000,0
2018-03-15,49.87,50.03,49.85,49.89,4000,0
2018-03-16,49.74,49.74,49.73,49.73,1000,0
2018-03-19,49.73,49.73,49.73,49.73,-,0
2018-03-20,49.76,50.05,49.76,50.02,33400,0
2018-03-21,49.98,50.25,49.98,50.05,109700,0
2018-03-22,49.91,50.09,49.87,50.08,17500,0
2018-03-23,49.94,50.34,49.93,50.02,127900,0
2018-03-26,50.10,50.11,50.05,50.08,85200,0
2018-03-27,50.09,50.16,50.09,50.16,34800,0
2018-03-28,50.11,50.28,50.11,50.28,10700,0
2018-03-29,49.84,50.23,49.83,49.89,9300,0
2018-04-02,50.18,50.34,50.13,50.18,17600,0
2018-04-03,50.16,50.33,50.11,50.11,12000,0
2018-04-04,50.18,50.26,50.13,50.13,5400,0
2018-04-05,50.12,50.12,50.12,50.12,500,0
2018-04-06,49.99,50.18,49.99,50.18,2600,0
2018-04-09,50.00,50.21,49.99,50.21,3305,0
