Date,Open,High,Low,Close,Volume,OpenInt
2017-07-13,20.65,20.74,20.4203,20.53,151112,0
2017-07-14,20.62,20.71,20.53,20.71,99073,0
2017-07-17,21,21,20.55,20.62,98592,0
2017-07-18,20.66,20.9,20.55,20.9,79958,0
2017-07-19,21.05,21.07,20.9,20.96,279788,0
2017-07-20,21.05,21.05,20.85,20.9699,136243,0
2017-07-21,20.95,21.02,20.85,20.9568,91937,0
2017-07-24,21.02,21.15,20.96,21.13,119649,0
2017-07-25,21.09,21.13,20.9,21.08,123602,0
2017-07-26,21.15,21.23,21.06,21.12,79737,0
2017-07-27,21.22,21.3681,20.45,20.75,165231,0
2017-07-28,20.7,20.9604,20.6,20.89,101596,0
2017-07-31,20.94,20.99,20.6,20.64,52537,0
2017-08-01,20.7,20.8686,20.7,20.8254,41722,0
2017-08-02,21.03,21.03,20.4342,20.64,74298,0
2017-08-03,20.56,20.65,20.46,20.58,24935,0
2017-08-04,20.62,20.74,20.6,20.6,21502,0
2017-08-07,20.71,20.93,20.71,20.9,39297,0
2017-08-08,20.99,21,20.761,20.82,44232,0
2017-08-09,20.59,20.7704,20.512,20.74,30924,0
2017-08-10,20.62,20.655,20.0098,20.03,68147,0
2017-08-11,19.97,20.0528,19.78,20,42444,0
2017-08-14,20.17,20.45,20.17,20.45,43361,0
2017-08-15,20.6,20.6,20.35,20.41,32290,0
2017-08-16,20.5,20.6,20.4042,20.45,34257,0
2017-08-17,20.45,20.5,20.16,20.1649,31061,0
2017-08-18,20.09,20.35,20.0756,20.19,10503,0
2017-08-21,20.14,20.3396,20.1173,20.23,20832,0
2017-08-22,20.4,20.5999,20.2914,20.55,38554,0
2017-08-23,20.51,20.68,20.42,20.65,18098,0
2017-08-24,20.62,20.75,20.52,20.64,17502,0
2017-08-25,20.76,20.76,20.41,20.4407,26047,0
2017-08-28,20.42,20.43,20.3,20.36,11926,0
2017-08-29,20.11,20.46,20.06,20.43,19979,0
2017-08-30,20.49,20.7155,20.44,20.67,26556,0
2017-08-31,20.77,20.94,20.77,20.92,49962,0
2017-09-01,21,21.0564,20.93,20.96,34361,0
2017-09-05,20.81,20.95,20.61,20.74,66703,0
2017-09-06,20.94,20.94,20.6433,20.8046,17088,0
2017-09-07,20.93,21.0456,20.83,20.99,21489,0
2017-09-08,20.99,21.023,20.7801,20.79,16816,0
2017-09-11,21.02,21.25,21.02,21.21,24064,0
2017-09-12,21.37,21.37,21.172,21.3,42483,0
2017-09-13,21.37,21.42,21.23,21.39,51166,0
2017-09-14,21.38,21.47,21.26,21.31,16925,0
2017-09-15,21.45,21.5525,21.3537,21.52,62544,0
2017-09-18,21.63,21.73,21.5127,21.62,54012,0
2017-09-19,21.74,21.74,21.5,21.65,34699,0
2017-09-20,21.65,21.71,21.34,21.51,57968,0
2017-09-21,21.58,21.58,21.22,21.39,39549,0
2017-09-22,21.41,21.4647,21.3202,21.42,17168,0
2017-09-25,21.4,21.4,20.54,20.66,75221,0
2017-09-26,20.88,21,20.73,20.78,53185,0
2017-09-27,20.96,21.09,20.91,21.0108,52520,0
2017-09-28,20.95,21.06,20.9084,21.03,28346,0
2017-09-29,21.14,21.27,21.094,21.21,55408,0
2017-10-02,21.34,21.4,21.2076,21.3,60257,0
2017-10-03,21.3,21.52,21.3,21.5,75549,0
2017-10-04,21.55,21.55,21.3401,21.3901,44237,0
2017-10-05,21.5,21.6,21.36,21.5888,29706,0
2017-10-06,21.63,21.69,21.5084,21.69,34127,0
2017-10-09,21.8,21.81,21.68,21.7399,38426,0
2017-10-10,21.85,21.85,21.7,21.785,20023,0
2017-10-11,21.7,21.96,21.7,21.96,55821,0
2017-10-12,22.16,22.16,21.96,21.96,73003,0
2017-10-13,22.41,22.41,22.04,22.13,103695,0
2017-10-16,22.46,22.46,22.2,22.33,81962,0
2017-10-17,22.45,22.45,22.1864,22.19,49199,0
2017-10-18,22.24,22.3099,22.12,22.25,48100,0
2017-10-19,22,22.03,21.771,21.99,56498,0
2017-10-20,22.22,22.226,22.05,22.07,30509,0
2017-10-23,22.15,22.219,21.911,21.95,18561,0
2017-10-24,21.9524,22.0327,21.89,22.01,41627,0
2017-10-25,22.06,22.06,21.641,21.79,47845,0
2017-10-26,21.9,21.9998,21.8004,21.85,36980,0
2017-10-27,22.42,22.5,22.1953,22.45,95315,0
2017-10-30,22.59,22.68,22.4,22.58,105729,0
2017-10-31,22.7,22.78,22.51,22.73,63832,0
2017-11-01,22.93,22.9318,22.466,22.6205,70406,0
2017-11-02,22.7,22.7,22.4824,22.63,45583,0
2017-11-03,22.98,22.98,22.64,22.8399,50070,0
2017-11-06,22.9,23.08,22.9,23,233863,0
2017-11-07,23.09,23.22,22.8762,22.91,61701,0
2017-11-08,22.91,22.99,22.7434,22.895,86103,0
2017-11-09,22.7,22.7,22.4,22.66,99912,0
2017-11-10,22.85,22.88,22.6799,22.85,80177,0
2017-11-13,22.76,22.89,22.72,22.84,48300,0
2017-11-14,22.80,22.85,22.64,22.73,34400,0
2017-11-15,22.50,22.72,22.42,22.46,75000,0
2017-11-16,22.64,22.77,22.61,22.74,86100,0
2017-11-17,22.85,22.86,22.72,22.77,60600,0
2017-11-20,22.99,23.04,22.93,22.99,71100,0
2017-11-21,22.97,23.35,22.97,23.35,77500,0
2017-11-22,23.46,23.48,23.15,23.34,237800,0
2017-11-24,23.48,24.06,23.34,24.04,105300,0
2017-11-27,24.13,24.13,23.30,23.30,119300,0
2017-11-28,23.42,23.42,23.13,23.23,388100,0
2017-11-29,23.23,23.23,22.00,22.25,191800,0
2017-11-30,22.48,22.48,22.21,22.26,185500,0
2017-12-01,22.18,22.23,21.68,22.00,121500,0
