Date,Open,High,Low,Close,Volume,OpenInt
2017-08-24,19.861,19.871,19.855,19.868,13816,0
2017-08-25,19.881,19.891,19.861,19.881,3929,0
2017-08-28,19.881,19.881,19.88,19.881,3122,0
2017-08-29,19.861,20.011,19.861,19.921,2493,0
2017-08-30,19.91,19.931,19.91,19.919,86713,0
2017-08-31,19.921,19.921,19.911,19.921,13917,0
2017-09-01,19.941,20.011,19.921,19.941,68457,0
2017-09-05,19.951,19.981,19.93,19.951,59107,0
2017-09-06,19.971,19.971,19.938,19.938,3430,0
2017-09-07,19.921,19.941,19.921,19.941,103367,0
2017-09-08,19.926,19.941,19.901,19.911,86643,0
2017-09-11,19.931,19.931,19.891,19.891,18420,0
2017-09-12,19.931,19.942,19.921,19.934,9811,0
2017-09-13,19.891,19.931,19.891,19.914,38635,0
2017-09-14,19.921,19.921,19.911,19.921,70168,0
2017-09-15,19.931,20.028,19.911,19.971,75951,0
2017-09-18,19.961,20.011,19.951,20.011,22931,0
2017-09-19,19.961,19.971,19.961,19.966,32347,0
2017-09-20,19.988,19.991,19.971,19.976,8114,0
2017-09-21,20.001,20.957,19.971,19.971,111877,0
2017-09-22,20.001,20.001,19.961,19.986,29157,0
2017-09-25,19.981,20.011,19.981,19.996,24967,0
2017-09-26,19.999,20.001,19.991,20.001,30356,0
2017-09-27,20.001,20.011,19.991,20.001,20549,0
2017-09-28,20.006,20.021,20.001,20.011,37491,0
2017-09-29,20.019,20.021,20.001,20.016,34669,0
2017-10-02,20.12,20.12,20.011,20.011,12349,0
2017-10-03,20.041,20.041,20.025,20.041,27515,0
2017-10-04,20.05,20.05,20.031,20.041,17984,0
2017-10-05,20.05,20.1,20.041,20.046,7327,0
2017-10-06,20.08,20.08,20.031,20.054,8412,0
2017-10-09,20.075,20.075,20.06,20.068,1154,0
2017-10-10,20.09,20.09,20.06,20.075,19305,0
2017-10-11,20.12,20.12,20.06,20.07,19152,0
2017-10-12,20.092,20.1,20.08,20.09,9983,0
2017-10-13,20.09,20.105,20.09,20.104,8394,0
2017-10-16,20.14,20.14,20.12,20.13,12565,0
2017-10-17,20.146,20.15,20.135,20.14,14796,0
2017-10-18,20.25,20.25,20.153,20.16,16855,0
2017-10-19,20.15,20.937,20.15,20.19,112069,0
2017-10-20,20.22,20.248,20.22,20.2279,1925,0
2017-10-23,20.24,20.25,20.22,20.23,16252,0
2017-10-24,20.21,20.305,20.21,20.23,172826,0
2017-10-25,20.22,20.23,20.2001,20.229,15343,0
2017-10-26,20.22,20.24,20.21,20.215,46556,0
2017-10-27,20.29,20.29,20.2166,20.22,12886,0
2017-10-30,20.2399,20.24,20.23,20.235,17629,0
2017-10-31,20.2704,20.2799,20.26,20.26,5474,0
2017-11-01,20.29,20.3048,20.26,20.26,24496,0
2017-11-02,20.28,20.29,20.27,20.2794,7548,0
2017-11-03,20.29,20.29,20.26,20.29,11417,0
2017-11-06,20.29,20.3,20.28,20.2834,16959,0
2017-11-07,20.28,20.29,20.27,20.2875,22392,0
2017-11-08,20.27,20.27,20.21,20.25,37475,0
2017-11-09,20.21,20.2799,20.21,20.2678,25986,0
2017-11-10,20.29,20.29,20.23,20.2421,183163,0
2017-11-20,20.2100,20.2200,20.1800,20.2000,9300,0
2017-11-21,20.0900,20.1200,20.0900,20.1190,13000,0
2017-11-22,20.1350,20.1550,20.1000,20.1550,4100,0
2017-11-24,20.1100,20.1200,20.1100,20.1180,2400,0
2017-11-27,20.1250,20.1400,20.1200,20.1200,14400,0
2017-11-28,20.1500,20.1500,20.1330,20.1390,9700,0
2017-11-29,20.1500,20.1600,20.1150,20.1600,6900,0
2017-11-30,20.1400,20.1800,20.1150,20.1700,30300,0
2017-12-01,20.1310,20.2300,20.1310,20.1600,4300,0
2017-12-04,20.1600,20.1600,20.1100,20.1290,12000,0
2017-12-05,20.0700,20.1600,20.0700,20.1500,14400,0
2017-12-06,20.1300,20.1400,20.1000,20.1000,19800,0
2017-12-07,20.1300,20.1400,20.0600,20.0600,293200,0
2017-12-08,20.1400,20.1400,20.0300,20.0400,4300,0
2017-12-11,20.1400,20.1400,20.1240,20.1250,11000,0
2017-12-12,20.1400,20.1400,20.1220,20.1300,5100,0
2017-12-13,20.1000,20.1700,20.1000,20.1600,222100,0
2017-12-14,20.1100,20.1400,20.0800,20.1300,35100,0
2017-12-15,20.0970,20.1200,20.0900,20.1100,11100,0
2017-12-18,20.1300,20.1600,20.1200,20.1200,34400,0
2017-12-19,20.1300,20.1300,20.1200,20.1200,19400,0
2017-12-20,20.1100,20.1400,20.1000,20.1100,5700,0
2017-12-21,20.0800,20.0900,20.0500,20.0800,6800,0
2017-12-22,20.0900,20.0900,20.0500,20.0500,4400,0
2017-12-26,20.1000,20.1000,20.1000,20.1000,1500,0
2017-12-27,20.0600,20.1100,20.0600,20.0910,9400,0
2017-12-28,20.0800,20.1400,20.0800,20.0900,1900,0
2017-12-29,20.1000,20.1400,20.1000,20.1400,4000,0
2018-01-02,20.0800,20.1300,20.0800,20.1230,18200,0
2018-01-03,20.0900,20.1600,20.0900,20.1600,7300,0
2018-01-04,20.1500,20.2100,20.1490,20.2050,38100,0
2018-01-05,20.1500,20.2300,20.1500,20.2300,231400,0
2018-01-08,20.1870,20.2300,20.1800,20.2200,41800,0
2018-01-09,20.2000,20.2400,20.1930,20.2250,46400,0
2018-01-10,20.1900,20.2100,20.1700,20.2000,24300,0
