Date,Open,High,Low,Close,Volume,OpenInt
2017-11-01,25.08,25.14,25,25.07,315860,0
2017-11-02,24.9301,25.04,24.907,24.92,604657,0
2017-11-03,24.959,24.99,24.959,24.99,22347,0
2017-11-06,25.11,25.11,25.11,25.11,1000,0
2017-11-07,25.33,25.33,24.82,24.82,5563,0
2017-11-08,24.81,24.93,24.74,24.895,2740,0
2017-11-09,24.77,24.92,24.77,24.8697,4531,0
2017-11-10,24.88,24.91,24.87,24.89,2400,0
2017-11-14,24.8500,24.8500,24.8450,24.8500,10300,0
2017-11-15,24.8000,24.8400,24.8000,24.8400,2100,0
2017-11-16,25.2800,25.2800,25.2530,25.2530,4100,0
2017-11-17,25.3100,25.3500,25.2800,25.3400,11100,0
2017-11-20,25.3700,25.3700,25.3500,25.3500,6400,0
2017-11-21,25.4400,25.4600,25.4090,25.4180,6000,0
2017-11-22,25.4780,25.4950,25.4600,25.4600,1300,0
2017-11-24,25.4200,25.4500,25.4150,25.4150,2500,0
2017-11-27,25.4330,25.4590,25.4300,25.4300,2200,0
2017-11-28,25.4750,25.8200,25.4500,25.7950,2500,0
2017-11-29,26.1100,26.2100,26.1100,26.1250,2600,0
2017-11-30,26.4100,26.4100,26.4100,26.4100,200,0
2017-12-01,26.3200,26.3200,26.3200,26.3200,200,0
2017-12-04,26.6500,26.6600,26.6150,26.6150,4000,0
2017-12-05,26.5700,26.5700,26.4890,26.4890,22600,0
2017-12-06,26.4450,26.4600,26.4450,26.4600,700,0
2017-12-07,26.4600,26.4800,26.4300,26.4800,700,0
2017-12-08,26.6700,26.6700,26.6420,26.6450,6200,0
2017-12-11,26.7250,26.7250,26.7250,26.7250,100,0
2017-12-12,26.7250,26.7250,26.7250,26.7250,-,0
2017-12-13,26.8500,26.8500,26.8300,26.8300,11300,0
2017-12-14,26.6600,26.6600,26.6250,26.6300,10600,0
2017-12-15,26.9500,26.9500,26.8600,26.8600,1600,0
2017-12-18,27.2000,27.2000,27.1590,27.1590,1200,0
2017-12-19,27.2350,27.2600,27.2200,27.2200,3000,0
2017-12-20,27.2680,27.2800,27.2680,27.2800,600,0
2017-12-21,27.5800,27.5800,27.2320,27.2320,10100,0
2017-12-22,27.2150,27.2550,27.2150,27.2550,5800,0
2017-12-26,27.3600,27.3600,27.3600,27.3600,400,0
2017-12-27,27.3600,27.3600,27.3600,27.3600,-,0
2017-12-28,27.2150,27.2500,27.2150,27.2400,1600,0
2017-12-29,27.3000,27.3000,27.1390,27.1390,71300,0
2018-01-02,27.3400,27.3640,27.3400,27.3640,8800,0
2018-01-03,27.2810,27.3350,27.2810,27.3300,6700,0
2018-01-04,27.2900,27.2900,27.2900,27.2900,100,0
2018-01-05,27.4800,27.4800,27.4620,27.4620,200,0
2018-01-08,27.3110,27.5100,27.3110,27.4850,220700,0
2018-01-09,27.5450,27.5690,27.5450,27.5590,2700,0
2018-01-10,27.5220,27.5700,27.4810,27.5700,37600,0
2018-01-11,27.6800,27.8300,27.6490,27.8200,31000,0
2018-01-12,27.9800,27.9800,27.9280,27.9300,31600,0
2018-01-16,28.1600,28.1600,27.8100,27.8100,103600,0
2018-01-17,27.8800,28.0000,27.8800,27.9330,7100,0
2018-01-18,27.9500,27.9500,27.8600,27.8800,1500,0
2018-01-19,28.0870,28.0870,28.0750,28.0750,11200,0
2018-01-22,28.1000,28.2700,28.1000,28.2700,20100,0
2018-01-23,28.2850,28.2930,28.2650,28.2900,28700,0
2018-01-24,28.2500,28.3440,28.2000,28.3100,21900,0
2018-01-25,28.2760,28.2760,28.2200,28.2400,12300,0
2018-01-26,28.4800,28.5900,28.4800,28.5600,67100,0
2018-01-29,28.6000,28.6000,28.4300,28.4300,18700,0
2018-01-30,28.0800,28.1600,28.0200,28.0800,50000,0
2018-01-31,27.9900,28.0000,27.8600,27.8600,35500,0
