Date,Open,High,Low,Close,Volume,OpenInt
2016-09-19,24.808,24.856,24.68,24.69,11885,0
2016-09-20,24.732,24.779,24.66,24.71,9691,0
2016-09-21,24.818,24.847,24.66,24.847,37493,0
2016-09-22,25.009,25.102,25.009,25.024,6829,0
2016-09-23,25.082,25.082,24.936,24.976,3752,0
2016-09-26,24.946,24.946,24.671,24.72,14071,0
2016-09-27,24.779,24.847,24.593,24.847,5288,0
2016-09-28,24.928,24.936,24.808,24.843,1713,0
2016-09-29,25.024,25.024,24.72,24.808,28635,0
2016-09-30,24.847,25.063,24.847,25.022,7875,0
2016-10-03,24.976,24.976,24.856,24.866,4865,0
2016-10-04,24.976,24.992,24.886,24.886,4763,0
2016-10-05,24.976,25.072,24.976,24.986,2857,0
2016-10-06,25.044,25.044,24.896,25.034,26309,0
2016-10-07,25.122,25.122,24.84,24.966,7441,0
2016-10-10,25.172,25.172,25.082,25.102,4313,0
2016-10-11,25.132,25.132,24.706,24.808,7401,0
2016-10-12,24.966,24.966,24.71,24.828,22055,0
2016-10-13,24.68,24.726,24.462,24.72,4528,0
2016-10-14,24.926,24.926,24.705,24.705,1041,0
2016-10-17,24.611,24.7,24.607,24.607,8126,0
2016-10-18,24.769,24.807,24.72,24.759,3582,0
2016-10-19,24.847,24.896,24.781,24.866,10098,0
2016-10-20,24.856,24.886,24.722,24.848,7659,0
2016-10-21,24.808,24.886,24.808,24.857,7273,0
2016-10-24,25.029,25.054,24.926,24.971,5897,0
2016-10-25,25.014,25.014,24.906,24.946,7629,0
2016-10-26,24.828,24.896,24.828,24.886,5204,0
2016-10-27,24.956,24.995,24.866,24.896,4917,0
2016-10-28,24.828,24.926,24.724,24.793,14990,0
2016-10-31,24.886,24.886,24.798,24.85,15277,0
2016-11-01,24.946,24.946,24.563,24.685,6450,0
2016-11-02,24.7,24.7,24.563,24.563,3154,0
2016-11-03,24.68,24.68,24.463,24.463,6970,0
2016-11-04,24.454,24.64,24.454,24.483,10668,0
2016-11-07,24.837,25.004,24.837,25.004,18686,0
2016-11-08,25.014,25.122,24.818,25.097,9066,0
2016-11-09,24.808,25.623,24.808,25.516,29491,0
2016-11-10,25.756,25.889,25.534,25.728,29148,0
2016-11-11,25.703,25.723,25.516,25.688,9638,0
2016-11-14,25.879,25.958,25.829,25.922,16088,0
2016-11-15,26.046,26.125,25.879,26.125,105280,0
2016-11-16,26.145,26.145,25.987,25.998,11372,0
2016-11-17,26.155,26.184,26.058,26.184,17344,0
2016-11-18,26.203,26.203,26.055,26.095,22921,0
2016-11-21,26.242,26.262,26.174,26.252,25870,0
2016-11-22,26.41,26.43,26.311,26.375,48301,0
2016-11-23,26.4,26.41,26.272,26.395,28817,0
2016-11-25,26.508,26.548,26.435,26.548,10061,0
2016-11-28,26.596,26.596,26.39,26.41,12039,0
2016-11-29,26.458,26.498,26.41,26.415,13291,0
2016-11-30,26.467,26.518,26.43,26.43,7744,0
2016-12-01,26.468,26.558,26.378,26.41,14146,0
2016-12-02,26.461,26.508,26.39,26.43,16229,0
2016-12-05,26.578,26.684,26.51,26.587,21156,0
2016-12-06,26.684,26.794,26.601,26.794,16367,0
2016-12-07,26.89,27.229,26.81,27.186,19433,0
2016-12-08,27.254,27.412,27.176,27.344,35735,0
2016-12-09,27.422,27.48,27.363,27.47,31055,0
2016-12-12,27.53,27.54,27.363,27.372,21373,0
2016-12-13,27.52,27.629,27.437,27.52,50611,0
2016-12-14,27.57,27.57,27.217,27.3,16017,0
2016-12-15,27.363,27.57,27.363,27.46,22576,0
2016-12-16,27.62,27.62,27.313,27.343,26446,0
2016-12-19,27.5,27.5,27.353,27.402,13752,0
2016-12-20,27.5,27.538,27.432,27.452,10492,0
2016-12-21,27.51,27.51,27.432,27.452,24527,0
2016-12-22,27.5,27.5,27.25,27.283,16773,0
2016-12-23,27.333,27.333,27.273,27.291,6422,0
2016-12-27,27.412,27.48,27.382,27.402,9669,0
2016-12-28,27.534,27.534,27.119,27.152,12532,0
2016-12-29,27.287,27.287,27.06,27.129,9272,0
2016-12-30,27.248,27.248,26.942,26.945,7514,0
2017-01-03,27.307,27.307,27.129,27.277,12253,0
2017-01-04,27.484,27.564,27.417,27.524,42569,0
2017-01-05,27.544,27.544,27.287,27.376,7496,0
2017-01-06,27.347,27.494,27.337,27.396,19099,0
2017-01-09,27.464,27.464,27.287,27.287,22157,0
2017-01-10,27.406,27.464,27.287,27.357,13904,0
2017-01-11,27.455,27.455,27.33,27.417,20555,0
2017-01-12,27.426,27.426,27.145,27.347,15191,0
2017-01-13,27.474,27.474,27.351,27.406,3096,0
2017-01-17,27.367,27.367,27.174,27.239,79878,0
2017-01-18,27.357,27.357,27.228,27.302,28803,0
2017-01-19,27.396,27.396,27.139,27.179,25071,0
2017-01-20,27.396,27.406,27.228,27.287,16674,0
2017-01-23,27.287,27.317,27.051,27.119,37966,0
2017-01-24,27.337,27.464,27.199,27.413,15033,0
2017-01-25,27.653,27.701,27.552,27.701,21580,0
2017-01-26,27.821,27.821,27.67,27.692,28666,0
2017-01-27,27.624,27.691,27.612,27.624,11061,0
2017-01-30,27.614,27.614,27.307,27.383,13601,0
2017-01-31,27.514,27.514,27.257,27.455,138053,0
2017-02-01,27.574,27.643,27.425,27.504,169493,0
2017-02-02,27.504,27.514,27.381,27.477,47527,0
2017-02-03,27.504,27.705,27.504,27.673,4326,0
2017-02-06,27.681,27.733,27.628,27.637,14797,0
2017-02-07,27.681,27.711,27.584,27.584,16966,0
2017-02-08,27.584,27.622,27.532,27.622,22914,0
2017-02-09,27.711,27.861,27.681,27.831,18818,0
2017-02-10,27.89,27.918,27.838,27.908,5720,0
2017-02-13,28.097,28.116,27.994,28.058,21031,0
2017-02-14,28.136,28.233,28.018,28.229,16861,0
2017-02-15,28.255,28.423,28.249,28.419,34715,0
2017-02-16,28.472,28.472,28.333,28.382,15627,0
2017-02-17,28.353,28.393,28.274,28.393,21193,0
2017-02-21,28.511,28.6,28.487,28.59,25755,0
2017-02-22,28.59,28.59,28.469,28.501,25151,0
2017-02-23,28.708,28.708,28.459,28.511,12955,0
2017-02-24,28.462,28.526,28.389,28.521,11083,0
2017-02-27,28.57,28.679,28.521,28.653,39908,0
2017-02-28,28.62,28.62,28.423,28.501,31114,0
2017-03-01,28.817,28.952,28.734,28.921,13527,0
2017-03-02,28.906,28.906,28.66,28.66,14739,0
2017-03-03,28.718,28.718,28.615,28.718,31417,0
2017-03-06,28.679,28.679,28.442,28.58,21457,0
2017-03-07,28.521,28.521,28.383,28.403,22408,0
2017-03-08,28.363,28.472,28.363,28.383,5023,0
2017-03-09,28.304,28.433,28.255,28.343,14323,0
2017-03-10,28.476,28.507,28.338,28.423,14369,0
2017-03-13,28.472,28.472,28.353,28.403,16718,0
2017-03-14,28.383,28.383,28.255,28.343,6659,0
2017-03-15,28.462,28.59,28.373,28.58,13725,0
2017-03-16,28.738,28.738,28.55,28.56,24447,0
2017-03-17,28.608,28.687,28.486,28.489,13327,0
2017-03-20,28.519,28.519,28.316,28.367,13462,0
2017-03-21,28.509,28.509,27.924,27.94,30722,0
2017-03-22,27.984,28.054,27.878,27.999,9836,0
2017-03-23,28.083,28.172,27.984,28.014,228342,0
2017-03-24,28.073,28.083,27.865,27.998,65718,0
2017-03-27,27.667,27.934,27.645,27.934,20744,0
2017-03-28,27.954,28.217,27.954,28.209,8462,0
2017-03-29,28.242,28.252,28.182,28.238,8109,0
2017-03-30,28.276,28.39,28.276,28.356,21831,0
2017-03-31,28.34,28.406,28.318,28.362,10234,0
2017-04-03,28.35,28.35,28.073,28.222,10889,0
2017-04-04,28.172,28.222,28.132,28.222,11542,0
2017-04-05,28.232,28.38,28.044,28.044,7306,0
2017-04-06,28.103,28.235,28.073,28.172,7106,0
2017-04-07,28.083,28.162,28.061,28.108,31243,0
2017-04-10,28.152,28.26,28.068,28.162,11281,0
2017-04-11,28.212,28.212,27.93,28.162,23413,0
2017-04-12,28.222,28.222,27.992,28.014,21315,0
2017-04-13,28.004,28.012,27.836,27.836,27964,0
2017-04-17,27.994,28.034,27.816,28.019,12312,0
2017-04-18,27.885,27.991,27.84,27.914,6818,0
2017-04-19,28.112,28.112,27.907,27.909,13615,0
2017-04-20,28.034,28.252,27.972,28.172,16632,0
2017-04-21,28.064,28.112,28.016,28.044,20833,0
2017-04-24,28.252,28.39,28.252,28.321,33175,0
2017-04-25,28.479,28.598,28.467,28.533,13629,0
2017-04-26,28.618,28.697,28.514,28.539,26117,0
2017-04-27,28.529,28.529,28.414,28.479,13123,0
2017-04-28,28.44,28.473,28.371,28.384,8148,0
2017-05-01,28.509,28.509,28.395,28.46,22551,0
2017-05-02,28.588,28.588,28.39,28.479,22079,0
2017-05-03,28.47,28.47,28.37,28.45,26181,0
2017-05-04,28.578,28.578,28.271,28.39,12658,0
2017-05-05,28.43,28.509,28.417,28.457,8449,0
2017-05-08,28.548,28.588,28.462,28.578,7862,0
2017-05-09,28.687,28.687,28.515,28.568,11490,0
2017-05-10,28.479,28.608,28.479,28.608,9325,0
2017-05-11,28.489,28.578,28.341,28.509,15311,0
2017-05-12,28.397,28.42,28.34,28.36,28551,0
2017-05-15,28.36,28.578,28.36,28.489,9061,0
2017-05-16,28.522,28.522,28.446,28.479,9900,0
2017-05-17,28.37,28.37,27.984,27.984,13470,0
2017-05-18,28.034,28.103,27.872,28.054,9864,0
2017-05-19,28.222,28.295,28.162,28.281,16371,0
2017-05-22,28.242,28.42,28.242,28.4,4293,0
2017-05-23,28.489,28.489,28.36,28.479,7882,0
2017-05-24,28.499,28.538,28.479,28.509,6623,0
2017-05-25,28.519,28.678,28.519,28.668,121843,0
2017-05-26,28.668,28.668,28.575,28.6,20357,0
2017-05-30,28.578,28.608,28.539,28.549,6141,0
2017-05-31,28.529,28.529,28.38,28.4,5470,0
2017-06-01,28.479,28.747,28.479,28.703,10690,0
2017-06-02,28.727,28.876,28.727,28.86,18123,0
2017-06-05,28.856,28.856,28.791,28.836,16125,0
2017-06-06,28.717,28.806,28.702,28.702,33461,0
2017-06-07,28.856,28.856,28.684,28.776,17254,0
2017-06-08,28.727,28.915,28.727,28.776,5807,0
2017-06-09,28.856,29.024,28.826,28.915,13925,0
2017-06-12,28.895,28.955,28.812,28.925,19901,0
2017-06-13,29.024,29.024,28.941,29.024,74740,0
2017-06-14,29.103,29.103,28.827,28.91,4947,0
2017-06-15,28.658,28.871,28.658,28.871,24665,0
2017-06-16,28.769,28.888,28.744,28.888,19404,0
2017-06-19,28.968,29.117,28.968,29.092,8579,0
2017-06-20,29.107,29.107,28.924,28.924,3694,0
2017-06-21,29.008,29.008,28.849,28.884,17301,0
2017-06-22,28.918,29.008,28.913,28.978,6394,0
2017-06-23,28.988,29.012,28.948,28.988,8890,0
2017-06-26,29.087,29.197,29.034,29.083,9083,0
2017-06-27,29.068,29.127,28.881,28.888,17169,0
2017-06-28,29.169,29.207,29.158,29.158,12330,0
2017-06-29,29.207,29.207,28.859,28.984,12138,0
2017-06-30,29.087,29.1,28.979,29.028,11445,0
2017-07-03,29.147,29.267,29.147,29.202,4528,0
2017-07-05,29.237,29.237,29.097,29.157,14198,0
2017-07-06,29.074,29.167,28.889,28.903,16947,0
2017-07-07,28.978,29.101,28.971,29.068,12197,0
2017-07-10,29.078,29.107,29.048,29.075,15007,0
2017-07-11,28.958,29.068,28.898,29.018,5625,0
2017-07-12,29.058,29.247,29.058,29.247,9994,0
2017-07-13,29.267,29.287,29.237,29.27,5967,0
2017-07-14,29.346,29.436,29.306,29.436,4864,0
2017-07-17,29.436,29.515,29.421,29.496,13407,0
2017-07-18,29.416,29.466,29.356,29.466,3995,0
2017-07-19,29.476,29.57,29.476,29.541,6177,0
2017-07-20,29.714,29.714,29.545,29.585,5106,0
2017-07-21,29.585,29.585,29.436,29.515,8560,0
2017-07-24,29.535,29.535,29.426,29.505,5950,0
2017-07-25,29.655,29.685,29.58,29.58,21536,0
2017-07-26,29.774,29.774,29.541,29.585,19647,0
2017-07-27,29.714,29.714,29.45,29.585,4071,0
2017-07-28,29.555,29.555,29.51,29.555,3827,0
2017-07-31,29.645,29.645,29.58,29.625,17504,0
2017-08-01,29.724,29.724,29.59,29.655,12071,0
2017-08-02,29.695,29.704,29.605,29.695,4188,0
2017-08-03,29.695,29.734,29.665,29.665,6646,0
2017-08-04,29.71,29.754,29.71,29.714,6817,0
2017-08-07,29.754,29.794,29.725,29.774,14099,0
2017-08-08,29.704,29.963,29.685,29.719,15484,0
2017-08-09,29.714,29.714,29.629,29.653,11404,0
2017-08-10,29.555,29.555,29.217,29.237,27266,0
2017-08-11,29.267,29.304,29.177,29.211,10455,0
2017-08-14,29.426,29.542,29.426,29.491,5977,0
2017-08-15,29.645,29.645,29.514,29.545,5713,0
2017-08-16,29.63,29.665,29.535,29.56,7512,0
2017-08-17,29.456,29.495,29.117,29.117,9609,0
2017-08-18,29.187,29.187,28.988,29.008,11314,0
2017-08-21,29.008,29.06,28.948,29.041,8555,0
2017-08-22,29.038,29.376,29.038,29.376,9778,0
2017-08-23,29.316,29.366,29.292,29.332,3074,0
2017-08-24,29.267,29.361,29.265,29.276,6124,0
2017-08-25,29.426,29.443,29.328,29.336,6816,0
2017-08-28,29.326,29.406,29.287,29.306,6268,0
2017-08-29,29.306,29.411,29.203,29.411,3195,0
2017-08-30,29.426,29.555,29.361,29.436,17567,0
2017-08-31,29.609,29.693,29.609,29.693,3864,0
2017-09-01,29.734,29.861,29.734,29.854,6226,0
2017-09-05,29.824,29.824,29.411,29.564,15509,0
2017-09-06,29.675,29.694,29.605,29.685,9889,0
2017-09-07,29.655,29.655,29.525,29.555,2633,0
2017-09-08,29.495,29.575,29.486,29.496,3476,0
2017-09-11,29.704,29.854,29.704,29.82,17993,0
2017-09-12,29.993,30.003,29.861,29.964,9907,0
2017-09-13,29.982,30.058,29.982,30.058,5985,0
2017-09-14,30.043,30.063,29.973,30.004,12404,0
2017-09-15,29.97,30.11,29.97,30.11,16064,0
2017-09-18,30.23,30.23,30.06,30.0835,11897,0
2017-09-19,30.26,30.26,30.1,30.1232,13779,0
2017-09-20,30.24,30.24,30.0347,30.09,12929,0
2017-09-21,30,30.09,30,30.0834,2070,0
2017-09-22,30.02,30.0499,30,30.03,5463,0
2017-09-25,30.02,30.14,29.95,30.07,13549,0
2017-09-26,30.1111,30.16,30.11,30.14,14855,0
2017-09-27,30.26,30.32,30.11,30.28,14213,0
2017-09-28,30.25,30.328,30.25,30.32,5201,0
2017-09-29,30.33,30.369,30.2755,30.3207,6154,0
2017-10-02,30.51,30.51,30.3693,30.5,14287,0
2017-10-03,30.67,30.69,30.52,30.69,16021,0
2017-10-04,30.7,30.73,30.6433,30.6593,5211,0
2017-10-05,30.76,30.809,30.6976,30.7846,8430,0
2017-10-06,30.84,30.84,30.68,30.74,4573,0
2017-10-09,30.82,30.82,30.611,30.611,10933,0
2017-10-10,30.7675,30.8074,30.685,30.72,9649,0
2017-10-11,30.7424,30.78,30.6876,30.77,20925,0
