Date,Open,High,Low,Close,Volume,OpenInt
2017-05-15,28.191,28.191,28.074,28.074,304,0
2017-05-16,28.201,28.201,28.162,28.162,3952,0
2017-05-22,28.152,28.152,28.152,28.152,685,0
2017-05-23,28.182,28.191,28.181,28.182,1496,0
2017-05-24,28.162,28.162,28.162,28.162,507,0
2017-05-25,28.349,28.369,28.278,28.338,3999,0
2017-05-31,28.29,28.31,28.29,28.31,709,0
2017-06-29,27.82,27.82,27.7047,27.7047,500,0
2017-07-17,27.86,27.86,27.86,27.86,200,0
2017-07-28,27.66,27.66,27.5,27.5,1000,0
2017-07-31,27.54,27.5525,27.54,27.5525,794,0
2017-08-08,27.8,27.878,27.79,27.878,967,0
2017-08-09,28.11,28.11,28.0929,28.0929,1000,0
2017-08-11,27.44,27.85,27.41,27.85,1443,0
2017-08-15,27.66,27.7965,27.66,27.7965,400,0
2017-08-16,28.12,28.16,28.01,28.01,899,0
2017-08-17,28.01,28.01,28.01,28.01,400,0
2017-08-18,27.82,27.82,27.82,27.82,200,0
2017-08-30,27.65,27.65,27.55,27.55,1352,0
2017-09-01,28.1256,28.1256,28.1256,28.1256,365,0
2017-09-11,28.31,28.33,28.31,28.33,368,0
2017-09-12,28.114,28.114,28.114,28.114,100,0
2017-09-18,28.2,28.2,28.2,28.2,302,0
2017-09-19,27.76,27.78,27.76,27.78,200,0
2017-09-20,27.74,27.97,27.74,27.97,375,0
2017-09-21,27.97,27.97,27.97,27.97,0,0
2017-09-25,27.73,27.73,27.73,27.73,100,0
2017-09-26,27.71,27.7682,27.71,27.7682,394,0
2017-10-16,28.6,28.6,28.4299,28.431,300,0
2017-10-24,28.2701,28.3176,28.2701,28.3176,2274,0
2017-10-26,28.825,28.825,28.825,28.825,900,0
2017-10-27,28.47,28.692,28.43,28.44,3899,0
2017-11-01,28.8253,28.8253,28.8253,28.8253,150,0
2017-11-03,29.003,29.003,29.003,29.003,500,0
2017-08-03,27.55,27.55,27.55,27.55,-,0
2017-08-04,27.55,27.55,27.55,27.55,-,0
2017-08-07,27.55,27.55,27.55,27.55,-,0
2017-08-08,27.80,27.88,27.79,27.88,1000,0
2017-08-09,28.11,28.11,28.09,28.09,1000,0
2017-08-10,28.09,28.09,28.09,28.09,-,0
2017-08-11,27.44,27.85,27.41,27.85,1400,0
2017-08-14,27.85,27.85,27.85,27.85,-,0
2017-08-15,27.66,27.80,27.66,27.80,400,0
2017-08-16,28.12,28.16,28.01,28.01,900,0
2017-08-17,28.01,28.01,28.01,28.01,400,0
2017-08-18,27.82,27.82,27.82,27.82,200,0
2017-08-21,27.82,27.82,27.82,27.82,-,0
2017-08-22,27.82,27.82,27.82,27.82,-,0
2017-08-23,27.82,27.82,27.82,27.82,-,0
2017-08-24,27.82,27.82,27.82,27.82,-,0
2017-08-25,27.82,27.82,27.82,27.82,-,0
2017-08-28,27.82,27.82,27.82,27.82,-,0
2017-08-29,27.82,27.82,27.82,27.82,-,0
2017-08-30,27.65,27.65,27.55,27.55,1400,0
2017-08-31,27.55,27.55,27.55,27.55,-,0
2017-09-01,28.13,28.13,28.13,28.13,400,0
2017-09-05,28.13,28.13,28.13,28.13,-,0
2017-09-06,28.13,28.13,28.13,28.13,-,0
2017-09-07,28.13,28.13,28.13,28.13,-,0
2017-09-08,28.13,28.13,28.13,28.13,-,0
2017-09-11,28.31,28.33,28.31,28.33,400,0
2017-09-12,28.11,28.11,28.11,28.11,100,0
2017-09-13,28.11,28.11,28.11,28.11,-,0
2017-09-14,28.11,28.11,28.11,28.11,-,0
2017-09-15,28.11,28.11,28.11,28.11,-,0
2017-09-18,28.20,28.20,28.20,28.20,300,0
2017-09-19,27.76,27.78,27.76,27.78,300,0
2017-09-20,27.74,27.97,27.74,27.97,400,0
2017-09-21,27.97,27.97,27.97,27.97,-,0
2017-09-22,27.97,27.97,27.97,27.97,-,0
2017-09-25,27.73,27.73,27.73,27.73,100,0
2017-09-26,27.71,27.77,27.71,27.77,400,0
2017-09-27,27.77,27.77,27.77,27.77,-,0
2017-09-28,27.77,27.77,27.77,27.77,-,0
2017-09-29,27.77,27.77,27.77,27.77,-,0
2017-10-02,27.77,27.77,27.77,27.77,-,0
2017-10-03,27.77,27.77,27.77,27.77,-,0
2017-10-04,27.77,27.77,27.77,27.77,-,0
