Date,Open,High,Low,Close,Volume,OpenInt
2017-09-21,28.962,28.962,28.72,28.822,5261,0
2017-09-25,29,29,29,29,400,0
2017-09-26,29.21,29.34,29.21,29.34,1011,0
2017-10-02,29.59,29.66,29.3621,29.66,650,0
2017-10-24,30.4553,30.4553,30.4553,30.4553,940,0
2017-10-31,30.94,30.94,30.94,30.94,1000,0
2017-08-04,28.33,28.33,28.33,28.33,-,0
2017-08-07,28.33,28.33,28.33,28.33,-,0
2017-08-08,28.33,28.33,28.33,28.33,-,0
2017-08-09,28.33,28.33,28.33,28.33,-,0
2017-08-10,28.33,28.33,28.33,28.33,-,0
2017-08-11,28.33,28.33,28.33,28.33,-,0
2017-08-14,28.33,28.33,28.33,28.33,-,0
2017-08-15,28.33,28.33,28.33,28.33,-,0
2017-08-16,28.33,28.33,28.33,28.33,-,0
2017-08-17,28.33,28.33,28.33,28.33,-,0
2017-08-18,28.33,28.33,28.33,28.33,-,0
2017-08-21,28.33,28.33,28.33,28.33,-,0
2017-08-22,28.33,28.33,28.33,28.33,-,0
2017-08-23,28.33,28.33,28.33,28.33,-,0
2017-08-24,28.33,28.33,28.33,28.33,-,0
2017-08-25,28.33,28.33,28.33,28.33,-,0
2017-08-28,28.33,28.33,28.33,28.33,-,0
2017-08-29,28.33,28.33,28.33,28.33,-,0
2017-08-30,28.33,28.33,28.33,28.33,-,0
2017-08-31,28.33,28.33,28.33,28.33,-,0
2017-09-01,28.33,28.33,28.33,28.33,-,0
2017-09-05,28.33,28.33,28.33,28.33,-,0
2017-09-06,28.33,28.33,28.33,28.33,-,0
2017-09-07,28.33,28.33,28.33,28.33,-,0
2017-09-08,28.33,28.33,28.33,28.33,-,0
2017-09-11,28.33,28.33,28.33,28.33,-,0
2017-09-12,28.33,28.33,28.33,28.33,-,0
2017-09-13,28.33,28.33,28.33,28.33,-,0
2017-09-14,28.33,28.33,28.33,28.33,-,0
2017-09-15,28.33,28.33,28.33,28.33,-,0
2017-09-18,28.33,28.33,28.33,28.33,-,0
2017-09-19,28.33,28.33,28.33,28.33,-,0
2017-09-20,28.33,28.33,28.33,28.33,-,0
2017-09-21,28.96,28.96,28.72,28.82,5300,0
2017-09-22,28.82,28.82,28.82,28.82,-,0
2017-09-25,29.00,29.00,29.00,29.00,400,0
2017-09-26,29.21,29.34,29.21,29.34,1000,0
2017-09-27,29.34,29.34,29.34,29.34,-,0
2017-09-28,29.34,29.34,29.34,29.34,-,0
2017-09-29,29.34,29.34,29.34,29.34,-,0
2017-10-02,29.59,29.66,29.36,29.66,700,0
2017-10-03,29.66,29.66,29.66,29.66,-,0
2017-10-04,29.66,29.66,29.66,29.66,-,0
2017-10-05,29.66,29.66,29.66,29.66,-,0
2017-10-06,29.66,29.66,29.66,29.66,-,0
2017-10-09,29.66,29.66,29.66,29.66,-,0
2017-10-10,29.66,29.66,29.66,29.66,-,0
2017-10-11,29.66,29.66,29.66,29.66,-,0
2017-10-12,29.66,29.66,29.66,29.66,-,0
2017-10-13,29.66,29.66,29.66,29.66,-,0
2017-10-16,29.66,29.66,29.66,29.66,-,0
2017-10-17,29.66,29.66,29.66,29.66,-,0
2017-10-18,29.66,29.66,29.66,29.66,-,0
2017-10-19,29.66,29.66,29.66,29.66,-,0
2017-10-20,29.66,29.66,29.66,29.66,-,0
2017-10-23,29.66,29.66,29.66,29.66,-,0
2017-10-24,30.16,30.45,30.16,30.45,1400,0
2017-10-25,30.45,30.45,30.45,30.45,-,0
