Date,Open,High,Low,Close,Volume,OpenInt
2017-05-11,25.744,25.744,24.921,25.08,2598,0
2017-05-12,25.852,25.852,25.06,25.1,9911,0
2017-05-15,25.1,25.1,25.1,25.1,9961,0
2017-05-16,25.1,25.1,25.1,25.1,0,0
2017-05-17,25.09,25.09,24.952,24.952,2682,0
2017-05-18,24.952,24.952,24.724,24.842,1870,0
2017-05-19,24.97,25.14,24.97,25.06,2627,0
2017-05-22,25.06,25.06,25.06,25.06,0,0
2017-05-23,25.06,25.188,25.06,25.188,408,0
2017-05-24,25.238,25.238,25.238,25.238,202,0
2017-05-25,25.268,25.278,25.268,25.278,404,0
2017-05-26,25.208,25.248,25.208,25.226,1262,0
2017-05-30,24.922,25.217,24.902,25.217,6439,0
2017-05-31,25.248,25.248,25.15,25.15,1385,0
2017-06-01,25.15,25.15,25.15,25.15,0,0
2017-06-02,25.547,25.547,25.547,25.547,120,0
2017-06-05,25.465,25.536,25.465,25.506,598,0
2017-06-06,25.376,25.376,25.348,25.348,505,0
2017-06-07,25.348,25.348,25.348,25.348,0,0
2017-06-08,25.348,25.348,25.348,25.348,0,0
2017-06-09,25.348,25.348,25.348,25.348,0,0
2017-06-12,25.348,25.348,25.348,25.348,0,0
2017-06-13,25.546,25.584,25.396,25.584,707,0
2017-06-14,25.584,25.584,25.436,25.508,1394,0
2017-06-15,25.366,25.366,25.199,25.299,546,0
2017-06-16,25.299,25.299,25.299,25.299,0,0
2017-06-19,25.488,25.518,25.488,25.518,605,0
2017-06-20,25.516,25.516,25.446,25.446,315,0
2017-06-21,25.386,25.436,25.298,25.298,2858,0
2017-06-22,25.348,25.396,25.348,25.396,344,0
2017-06-23,25.348,25.348,25.348,25.348,202,0
2017-06-26,25.486,25.506,25.376,25.376,1907,0
2017-06-27,25.476,25.476,25.476,25.476,404,0
2017-06-28,25.324,25.551,25.324,25.551,3783,0
2017-06-29,25.546,25.546,25.188,25.188,1143,0
2017-06-30,25.276,25.276,25.276,25.276,202,0
2017-07-03,25.276,25.276,25.276,25.276,0,0
2017-07-05,25.276,25.276,25.276,25.276,0,0
2017-07-06,25.334,25.363,25.105,25.274,3148,0
2017-07-07,25.264,25.264,25.237,25.237,1105,0
2017-07-10,25.244,25.274,25.224,25.224,2713,0
2017-07-11,25.165,25.165,25.165,25.165,396,0
2017-07-12,25.373,25.373,25.373,25.373,1005,0
2017-07-13,25.324,25.334,25.324,25.334,591,0
2017-07-14,25.682,25.692,25.682,25.692,1010,0
2017-07-17,25.652,25.652,25.652,25.652,0,0
2017-07-18,25.652,25.652,25.622,25.632,555,0
2017-07-19,25.632,25.911,25.632,25.911,719,0
2017-07-20,25.992,25.992,25.992,25.992,301,0
2017-07-21,25.793,25.793,25.783,25.783,534,0
2017-07-24,25.783,25.783,25.783,25.783,0,0
2017-07-25,25.783,25.783,25.783,25.783,0,0
2017-07-26,25.96,25.98,25.96,25.97,511,0
2017-07-27,25.925,25.925,25.712,25.712,844,0
2017-07-28,25.712,25.712,25.712,25.712,0,0
2017-07-31,25.834,25.834,25.834,25.834,442,0
2017-08-01,25.834,25.834,25.834,25.834,0,0
2017-08-02,26.005,26.005,26.005,26.005,252,0
2017-08-03,26.005,26.005,26.005,26.005,0,0
2017-08-04,26.005,26.005,26.005,26.005,0,0
2017-08-07,26.13,26.13,26.13,26.13,301,0
2017-08-08,26.07,26.07,26.01,26.01,1156,0
2017-08-09,26.01,26.01,26.01,26.01,0,0
2017-08-10,25.625,25.632,25.612,25.612,996,0
2017-08-11,25.612,25.612,25.612,25.612,0,0
2017-08-14,25.828,25.828,25.828,25.828,201,0
2017-08-15,25.828,25.828,25.828,25.828,0,0
2017-08-16,25.771,25.771,25.771,25.771,261,0
2017-08-17,25.771,25.771,25.771,25.771,0,0
2017-08-18,25.562,25.562,25.562,25.562,0,0
2017-08-21,25.712,25.712,25.712,25.712,192,0
2017-08-22,25.612,25.891,25.612,25.891,558,0
2017-08-23,25.785,25.785,25.785,25.785,100,0
2017-08-24,25.785,25.785,25.785,25.785,0,0
2017-08-25,25.911,25.911,25.911,25.911,116,0
2017-08-28,25.891,25.891,25.891,25.891,1005,0
2017-08-29,25.99,25.99,25.96,25.99,475,0
2017-08-30,25.98,25.99,25.98,25.99,229,0
2017-08-31,26.012,26.012,26.012,26.012,804,0
2017-09-01,26.1,26.1,26.1,26.1,0,0
2017-09-05,26.1,26.1,26.1,26.1,0,0
2017-09-06,25.97,25.97,25.97,25.97,102,0
2017-09-07,25.97,25.97,25.97,25.97,0,0
2017-09-08,26.319,26.319,26.279,26.299,931,0
2017-09-11,26.456,26.456,26.456,26.456,1658,0
2017-09-12,26.536,26.536,26.536,26.536,189,0
2017-09-13,26.536,26.536,26.536,26.536,0,0
2017-09-14,26.667,26.697,26.667,26.697,609,0
2017-09-15,26.567,26.567,26.567,26.567,1301,0
2017-09-18,26.806,26.806,26.727,26.755,465,0
2017-09-19,26.755,26.755,26.755,26.755,0,0
2017-09-20,26.755,26.755,26.755,26.755,0,0
2017-09-21,26.717,26.717,26.707,26.717,699,0
2017-09-22,26.717,26.717,26.717,26.717,0,0
2017-09-25,26.717,26.717,26.717,26.717,0,0
2017-09-26,26.717,26.717,26.717,26.717,0,0
2017-09-27,26.677,26.776,26.677,26.776,201,0
2017-09-28,26.776,26.776,26.776,26.776,0,0
2017-09-29,26.936,26.936,26.867,26.902,1691,0
2017-10-02,26.88,26.88,26.8283,26.8283,275,0
2017-10-03,26.8283,26.8283,26.8283,26.8283,0,0
2017-10-04,26.8283,26.8283,26.8283,26.8283,0,0
2017-10-05,26.93,27.02,26.93,27.02,933,0
2017-10-06,26.88,26.88,26.88,26.88,216,0
2017-10-09,26.88,26.88,26.88,26.88,278,0
2017-10-10,26.88,26.88,26.88,26.88,0,0
2017-10-11,27.0557,27.0557,27.0557,27.0557,458,0
2017-10-12,27.0557,27.0557,27.0557,27.0557,0,0
2017-10-13,26.932,27.29,26.932,27.29,544,0
2017-10-16,27.06,27.06,27.06,27.06,11,0
2017-10-17,27.11,27.11,27.11,27.11,426,0
2017-10-18,27.11,27.11,27.11,27.11,467,0
2017-10-19,27.22,27.22,27.22,27.22,404,0
2017-10-20,27.22,27.22,27.22,27.22,0,0
2017-10-23,27.22,27.22,27.22,27.22,0,0
2017-10-24,27.22,27.22,27.22,27.22,0,0
2017-10-25,26.9132,26.9132,26.9132,26.9132,195,0
2017-10-26,26.9132,26.9132,26.9132,26.9132,0,0
2017-10-27,26.9132,26.9132,26.9132,26.9132,0,0
2017-10-30,26.9132,26.9132,26.9132,26.9132,0,0
2017-10-31,26.9132,26.9132,26.9132,26.9132,202,0
2017-11-01,26.9132,26.9132,26.9132,26.9132,0,0
2017-11-02,26.9132,26.9132,26.9132,26.9132,0,0
2017-11-03,26.9132,26.9132,26.9132,26.9132,0,0
2017-11-06,26.9132,26.9132,26.9132,26.9132,0,0
2017-11-07,26.9132,26.9132,26.9132,26.9132,61,0
2017-11-08,26.75,26.76,26.75,26.75,18760,0
2017-11-09,26.75,26.75,26.75,26.75,1400050,0
2017-11-10,26.75,26.75,26.75,26.75,0,0
2017-11-16,26.56,26.56,26.56,26.56,1400000,0
2017-11-17,26.56,26.56,26.56,26.56,-,0
2017-11-20,26.86,26.86,26.85,26.85,1000,0
2017-11-21,27.01,27.01,27.01,27.01,5300,0
2017-11-22,27.01,27.01,27.01,27.01,-,0
2017-11-24,27.01,27.01,27.01,27.01,-,0
2017-11-27,27.01,27.01,27.01,27.01,-,0
2017-11-28,27.01,27.01,27.01,27.01,-,0
2017-11-29,27.38,27.40,27.38,27.40,600,0
2017-11-30,27.40,27.40,27.40,27.40,-,0
2017-12-01,27.30,27.30,27.30,27.30,300,0
2017-12-04,27.30,27.30,27.30,27.30,100,0
2017-12-05,27.50,27.52,27.40,27.40,400,0
2017-12-06,27.35,27.35,27.35,27.35,1000,0
2017-12-07,27.34,27.34,27.34,27.34,1400100,0
2017-12-08,27.07,27.07,27.07,27.07,100,0
2017-12-11,27.07,27.07,27.07,27.07,100,0
2017-12-12,27.07,27.07,27.07,27.07,-,0
2017-12-13,27.07,27.07,27.07,27.07,100,0
2017-12-14,27.07,27.07,27.07,27.07,1400000,0
2017-12-15,27.48,27.55,27.48,27.55,800,0
2017-12-18,27.55,27.55,27.55,27.55,-,0
2017-12-19,27.76,27.76,27.76,27.76,100,0
2017-12-20,27.76,27.76,27.76,27.76,-,0
2017-12-21,27.83,27.83,27.82,27.82,500,0
2017-12-22,27.88,27.88,27.88,27.88,300,0
2017-12-26,27.88,27.88,27.88,27.88,-,0
2017-12-27,27.88,27.88,27.88,27.88,-,0
2017-12-28,27.88,27.88,27.88,27.88,-,0
2017-12-29,28.00,28.00,28.00,28.00,1000,0
2018-01-02,28.00,28.00,28.00,28.00,100,0
2018-01-03,28.12,28.12,28.12,28.12,100,0
2018-01-04,28.33,28.33,28.33,28.33,300,0
2018-01-05,28.40,28.45,28.40,28.45,1100,0
2018-01-08,28.55,28.58,28.55,28.58,1100,0
2018-01-09,28.48,28.55,28.48,28.48,4600,0
2018-01-10,28.48,28.48,28.48,28.48,-,0
2018-01-11,28.48,28.48,28.48,28.48,700000,0
2018-01-12,28.75,28.75,28.74,28.74,700,0
2018-01-16,28.90,28.92,28.75,28.75,2400,0
2018-01-17,28.98,28.98,28.98,28.98,100,0
2018-01-18,28.98,28.98,28.98,28.98,-,0
2018-01-19,28.98,28.98,28.98,28.98,100,0
2018-01-22,29.24,29.28,29.21,29.27,4200,0
2018-01-23,29.30,29.36,29.30,29.36,500,0
2018-01-24,29.36,29.36,29.36,29.36,-,0
2018-01-25,29.36,29.36,29.36,29.36,700000,0
2018-01-26,29.52,29.52,29.52,29.52,200,0
2018-01-29,29.52,29.52,29.52,29.52,-,0
2018-01-30,29.09,29.14,29.09,29.14,500,0
2018-01-31,29.14,29.14,29.14,29.14,400,0
2018-02-01,29.12,29.12,29.12,29.12,8600,0
2018-02-02,28.76,28.76,28.73,28.73,200,0
2018-02-05,28.34,28.35,28.34,28.35,200,0
2018-02-06,27.46,27.46,27.46,27.46,400,0
2018-02-07,27.82,27.82,27.82,27.82,200,0
2018-02-08,27.52,27.52,27.42,27.49,700600,0
2018-02-09,26.80,27.19,26.80,27.19,500,0
2018-02-12,27.59,27.59,27.59,27.59,400,0
2018-02-13,27.47,27.47,27.47,27.47,200,0
2018-02-14,27.47,27.47,27.47,27.47,-,0
2018-02-15,27.47,27.47,27.47,27.47,650000,0
2018-02-16,28.23,28.24,28.23,28.24,300,0
2018-02-20,28.22,28.22,28.22,28.22,300,0
2018-02-21,28.19,28.19,28.19,28.19,500,0
2018-02-22,28.09,28.16,28.09,28.16,600,0
2018-02-23,28.20,28.20,28.20,28.20,200,0
2018-02-26,28.46,28.46,28.46,28.46,600,0
2018-02-27,28.46,28.46,28.46,28.46,100,0
2018-02-28,28.30,28.30,28.30,28.30,100,0
2018-03-01,28.30,28.30,28.30,28.30,-,0
2018-03-02,27.51,27.51,27.51,27.51,400,0
2018-03-05,27.51,27.51,27.51,27.51,-,0
2018-03-06,28.15,28.15,28.15,28.15,200,0
2018-03-07,28.00,28.00,28.00,28.00,100,0
2018-03-08,28.00,28.00,28.00,28.00,100,0
2018-03-09,28.00,28.00,28.00,28.00,-,0
2018-03-12,28.00,28.00,28.00,28.00,-,0
2018-03-13,28.00,28.00,28.00,28.00,-,0
2018-03-14,28.28,28.28,28.28,28.28,300,0
2018-03-15,28.29,28.50,28.12,28.12,356000,0
2018-03-16,28.12,28.12,28.12,28.12,-,0
2018-03-19,28.12,28.12,28.12,28.12,-,0
2018-03-20,28.12,28.12,28.12,28.12,100,0
2018-03-21,28.16,28.16,28.09,28.09,1600,0
2018-03-22,27.69,27.69,27.63,27.63,600,0
2018-03-23,27.21,27.21,27.21,27.21,100,0
2018-03-26,27.51,27.56,27.50,27.56,1200,0
2018-03-27,27.56,27.56,27.56,27.56,-,0
2018-03-28,27.53,27.67,27.53,27.67,700,0
2018-03-29,27.67,27.67,27.67,27.67,-,0
2018-04-02,27.09,27.09,27.09,27.09,200,0
2018-04-03,27.41,27.59,27.40,27.59,2100,0
2018-04-04,27.62,27.76,27.62,27.74,4000,0
2018-04-05,27.74,27.74,27.74,27.74,-,0
2018-04-06,27.79,27.79,27.79,27.79,100,0
2018-04-09,27.78,27.72,27.72,27.72,3758,0
