Date,Open,High,Low,Close,Volume,OpenInt
2016-08-23,24.964,25.037,24.964,25.008,3936,0
2016-08-25,24.654,24.654,24.654,24.654,808,0
2016-08-29,24.771,24.841,24.731,24.841,1718,0
2016-08-30,25.234,25.234,24.779,24.779,5517,0
2016-08-31,25.234,25.234,25.234,25.234,212,0
2016-09-01,24.681,24.691,24.622,24.622,2325,0
2016-09-02,24.691,24.691,24.642,24.642,208,0
2016-09-07,25.136,25.145,24.973,25.145,1597,0
2016-09-08,24.998,24.998,24.998,24.998,100,0
2016-09-09,24.959,24.959,24.413,24.413,4851,0
2016-09-12,24.433,24.473,24.391,24.473,1140,0
2016-09-13,24.542,24.542,24.453,24.453,404,0
2016-09-14,24.434,24.532,24.403,24.403,1212,0
2016-09-15,24.731,24.731,24.731,24.731,1182,0
2016-09-16,24.596,24.616,24.596,24.616,577,0
2016-09-20,24.642,24.642,24.642,24.642,100,0
2016-09-21,24.692,24.929,24.692,24.908,2431,0
2016-09-22,25.116,25.136,25.077,25.136,505,0
2016-09-23,25.058,25.068,24.939,25.009,1111,0
2016-09-26,24.642,24.642,24.642,24.642,404,0
2016-09-27,24.831,24.929,24.831,24.929,930,0
2016-09-29,24.979,24.979,24.741,24.741,1315,0
2016-09-30,24.949,24.949,24.9,24.9,414,0
2016-10-06,24.893,24.903,24.893,24.903,637,0
2016-10-10,24.789,24.817,24.789,24.794,505,0
2016-10-19,24.794,24.794,24.794,24.794,100,0
2016-10-20,24.664,24.664,24.664,24.664,100,0
2016-10-24,24.913,24.913,24.913,24.913,163,0
2016-10-25,24.734,24.734,24.734,24.734,100,0
2016-10-26,24.645,24.645,24.645,24.645,100,0
2016-10-27,24.446,24.446,24.446,24.446,171,0
2016-10-28,24.466,24.466,24.376,24.376,404,0
2016-11-03,24.031,24.031,24.005,24.005,302,0
2016-11-08,24.376,24.376,24.376,24.376,100,0
2016-11-09,24.405,24.465,24.396,24.465,1227,0
2016-11-10,24.189,24.189,24.189,24.189,198,0
2016-11-14,24.041,24.08,24.041,24.08,7486,0
2016-11-17,24.645,24.645,24.645,24.645,229,0
2016-11-18,24.664,24.664,24.555,24.555,577,0
2016-11-21,24.585,24.684,24.585,24.684,1581,0
2016-11-23,24.744,24.744,24.744,24.744,100,0
2016-11-28,24.774,24.774,24.774,24.774,202,0
2016-11-29,24.655,24.655,24.655,24.655,160,0
2016-11-30,24.551,24.551,24.551,24.551,121,0
2016-12-05,24.466,24.466,24.466,24.466,100,0
2016-12-07,24.893,24.893,24.893,24.893,114,0
2016-12-09,25.002,25.002,24.645,24.948,3927,0
2016-12-13,25.002,25.002,25.002,25.002,110,0
2016-12-15,24.803,24.803,24.766,24.766,403,0
2016-12-16,25.043,25.043,25.043,25.043,100,0
2016-12-21,24.806,24.836,24.806,24.836,487,0
2016-12-23,24.796,24.796,24.796,24.796,223,0
2016-12-27,24.676,24.719,24.676,24.719,286,0
2016-12-28,24.75,24.75,24.75,24.75,141,0
2016-12-29,24.764,24.77,24.764,24.77,303,0
2017-01-03,24.636,24.636,24.636,24.636,202,0
2017-01-04,24.958,24.958,24.958,24.958,1007,0
2017-01-05,24.869,24.869,24.869,24.869,147,0
2017-01-06,24.978,24.978,24.978,24.978,108,0
2017-01-09,25.097,25.137,25.097,25.137,1197,0
2017-01-10,25.077,25.216,25.077,25.167,783,0
2017-01-11,25.187,25.187,25.177,25.187,765,0
2017-01-19,25.216,25.216,25.182,25.182,272,0
2017-01-20,25.117,25.117,25.115,25.115,1298,0
2017-01-24,25.296,25.515,25.296,25.515,696,0
2017-01-25,25.664,25.664,25.664,25.664,150,0
2017-01-30,25.365,25.365,25.365,25.365,402,0
2017-01-31,25.326,25.326,25.257,25.257,202,0
2017-02-01,25.375,25.375,25.375,25.375,150,0
2017-02-03,25.485,25.495,25.485,25.495,303,0
2017-02-06,25.407,25.407,25.407,25.407,100,0
