Date,Open,High,Low,Close,Volume,OpenInt
2017-09-08,49.625,49.625,49.547,49.547,1090,0
2017-09-11,49.625,49.625,49.625,49.625,202,0
2017-09-12,49.645,49.645,49.645,49.645,112,0
2017-09-14,49.715,49.715,49.679,49.695,1724,0
2017-09-18,49.735,49.735,49.675,49.675,5234,0
2017-09-19,49.735,49.775,49.735,49.76,1107,0
2017-09-20,49.785,49.785,49.595,49.605,14663,0
2017-09-21,49.625,49.625,49.577,49.615,20702,0
2017-09-22,49.633,49.635,49.603,49.625,6291,0
2017-09-25,49.635,49.635,49.635,49.635,5234,0
2017-09-26,49.725,49.725,49.725,49.725,100,0
2017-09-28,49.715,49.715,49.715,49.715,252,0
2017-09-29,49.785,49.805,49.785,49.805,542,0
2017-10-02,49.775,49.775,49.689,49.689,2228,0
2017-10-03,49.815,49.815,49.805,49.815,23286,0
2017-10-04,49.815,49.815,49.815,49.815,0,0
2017-10-05,49.815,49.845,49.811,49.815,16497,0
2017-10-06,49.815,49.815,49.815,49.815,9264,0
2017-10-09,49.845,49.845,49.825,49.825,10038,0
2017-10-10,49.845,49.884,49.845,49.874,6604,0
2017-10-12,49.874,49.874,49.874,49.874,100,0
2017-10-16,49.754,49.754,49.754,49.754,100,0
2017-10-17,49.894,49.994,49.894,49.994,5024,0
2017-10-20,50.084,50.094,50.084,50.094,2017,0
2017-10-23,50.074,50.084,50.074,50.084,357,0
2017-10-24,50.074,50.133,50.064,50.064,5019,0
2017-10-25,49.928,49.969,49.92,49.969,3533,0
2017-10-26,49.949,49.949,49.949,49.949,240,0
2017-10-27,50.004,50.004,49.999,49.999,494,0
2017-10-30,50.019,50.019,49.974,49.974,290,0
2017-10-31,50.034,50.034,50.034,50.034,1282,0
2017-11-01,50.06,50.06,50.022,50.05,2048,0
2017-11-02,50.0199,50.02,50.01,50.01,2205,0
2017-11-03,50.06,50.06,50.02,50.02,6079,0
2017-11-06,50.025,50.025,50.025,50.025,148,0
2017-11-07,50.02,50.02,49.93,49.93,736,0
2017-11-08,49.84,49.84,49.8313,49.8314,3005,0
2017-11-09,49.545,49.57,49.47,49.55,1859,0
2017-11-10,49.59,49.6,49.54,49.54,3053,0
2017-11-20,49.76,49.76,49.72,49.72,800,0
2017-11-21,49.86,49.86,49.85,49.85,500,0
2017-11-22,49.83,49.88,49.83,49.86,6700,0
2017-11-24,49.86,49.86,49.86,49.86,100,0
2017-11-27,49.87,49.90,49.81,49.81,9400,0
2017-11-28,49.85,49.97,49.85,49.97,7000,0
2017-11-29,49.94,49.94,49.89,49.89,2800,0
2017-11-30,49.97,50.00,49.95,49.99,4600,0
2017-12-01,49.80,49.80,49.74,49.77,2100,0
2017-12-04,49.83,49.85,49.79,49.79,2900,0
2017-12-05,49.79,49.84,49.79,49.79,1600,0
2017-12-06,49.81,49.82,49.79,49.79,3700,0
2017-12-07,49.81,49.81,49.78,49.78,302200,0
2017-12-08,49.84,49.86,49.83,49.86,9200,0
2017-12-11,49.85,49.87,49.85,49.86,2000,0
2017-12-12,49.84,49.90,49.84,49.86,900,0
2017-12-13,49.84,49.84,49.84,49.84,4600,0
2017-12-14,49.84,49.84,49.80,49.80,9100,0
2017-12-15,49.78,49.81,49.75,49.76,1000,0
2017-12-18,49.80,49.83,49.77,49.79,1800,0
2017-12-19,49.72,49.73,49.69,49.69,1500,0
2017-12-20,49.69,49.69,49.69,49.69,300,0
2017-12-21,49.72,49.72,49.72,49.72,600,0
2017-12-22,49.74,49.74,49.71,49.72,500,0
2017-12-26,49.79,49.79,49.79,49.79,900,0
2017-12-27,49.61,49.61,49.57,49.57,600,0
2017-12-28,49.53,49.53,49.52,49.52,41400,0
2017-12-29,49.57,49.63,49.52,49.52,21900,0
2018-01-02,49.65,49.67,49.62,49.67,4700,0
2018-01-03,49.83,49.87,49.83,49.87,1300,0
2018-01-04,49.97,49.98,49.95,49.95,1300,0
2018-01-05,50.02,50.03,50.02,50.03,1200,0
2018-01-08,50.03,50.04,50.03,50.04,800,0
2018-01-09,50.05,50.05,49.96,49.96,1600,0
2018-01-10,49.87,49.88,49.83,49.88,1400,0
2018-01-11,49.88,49.96,49.88,49.96,2700,0
2018-01-12,49.87,49.94,49.87,49.94,1200,0
2018-01-16,49.92,49.96,49.91,49.91,1300,0
2018-01-17,49.95,49.95,49.93,49.93,2100,0
2018-01-18,49.88,49.88,49.88,49.88,300,0
2018-01-19,49.86,49.87,49.85,49.87,1500,0
2018-01-22,49.94,49.94,49.87,49.87,1300,0
2018-01-23,49.95,49.95,49.95,49.95,300,0
2018-01-24,49.97,50.03,49.97,50.02,600,0
2018-01-25,50.00,50.00,49.99,49.99,500,0
2018-01-26,49.98,50.00,49.98,50.00,1600,0
2018-01-29,49.92,49.92,49.82,49.86,4800,0
2018-01-30,49.74,49.81,49.71,49.72,8900,0
2018-01-31,49.71,49.76,49.69,49.75,11000,0
2018-02-01,49.52,49.54,49.49,49.51,1400,0
2018-02-02,49.32,49.33,49.16,49.16,5100,0
2018-02-05,49.13,49.27,49.04,49.04,2400,0
2018-02-06,49.07,49.14,48.77,49.14,52100,0
2018-02-07,49.35,49.35,49.27,49.27,1400,0
2018-02-08,48.86,48.86,48.61,48.61,3100,0
2018-02-09,48.53,48.53,48.21,48.25,1000,0
2018-02-12,48.62,48.69,48.62,48.69,2800,0
2018-02-13,48.55,48.57,48.50,48.57,2600,0
2018-02-14,48.36,48.36,48.36,48.36,500,0
2018-02-15,48.80,48.83,48.80,48.83,600,0
2018-02-16,49.08,49.16,49.08,49.16,500,0
2018-02-20,49.08,49.10,49.08,49.10,1100,0
2018-02-21,49.13,49.13,49.10,49.10,2800,0
2018-02-22,49.02,49.05,48.97,48.99,1400,0
2018-02-23,48.91,49.08,48.91,49.07,500,0
2018-02-26,49.18,49.18,49.18,49.18,1000,0
2018-02-27,49.02,49.04,49.00,49.04,700,0
2018-02-28,49.12,49.12,48.95,48.95,700,0
2018-03-01,48.95,48.95,48.95,48.95,-,0
2018-03-02,48.61,48.61,48.61,48.61,1400,0
2018-03-05,48.67,48.68,48.67,48.68,1000,0
2018-03-06,48.75,48.78,48.75,48.77,16100,0
2018-03-07,48.70,48.70,48.68,48.68,1400,0
2018-03-08,48.73,48.73,48.71,48.71,2700,0
2018-03-09,48.92,48.92,48.92,48.92,800,0
2018-03-12,48.90,48.90,48.83,48.83,600,0
2018-03-13,48.84,48.84,48.75,48.75,1400,0
2018-03-14,48.72,48.72,48.58,48.63,700,0
2018-03-15,48.69,48.69,48.69,48.69,400,0
2018-03-16,48.65,48.69,48.65,48.68,1500,0
2018-03-19,48.59,48.59,48.59,48.59,1100,0
2018-03-20,48.58,48.58,48.58,48.58,500,0
2018-03-21,48.63,48.63,48.63,48.63,300,0
2018-03-22,48.52,48.52,48.45,48.45,800,0
2018-03-23,48.48,48.50,48.36,48.36,4600,0
2018-03-26,48.47,48.51,48.44,48.49,1400,0
2018-03-27,48.55,48.60,48.55,48.58,700,0
2018-03-28,48.47,48.51,48.42,48.42,1800,0
2018-03-29,48.59,48.62,48.58,48.62,3100,0
2018-04-02,48.08,48.08,48.05,48.06,1400,0
2018-04-03,48.30,48.30,48.20,48.20,2300,0
2018-04-04,48.28,48.42,48.27,48.37,1800,0
2018-04-05,48.44,48.44,48.44,48.44,600,0
2018-04-06,48.33,48.33,48.33,48.33,500,0
2018-04-09,48.46,48.51,48.46,48.51,1862,0
