Date,Open,High,Low,Close,Volume,OpenInt
2017-09-28,25.02,25.3,25.02,25.2,139389,0
2017-09-29,25.25,25.7334,25.207,25.46,45581,0
2017-10-02,25.41,25.74,25.41,25.57,52402,0
2017-10-03,25.5,25.6485,25.452,25.51,32500,0
2017-10-04,25.58,25.63,25.4999,25.55,26026,0
2017-10-05,25.6,25.7399,25.55,25.65,23335,0
2017-10-06,25.69,25.85,25.61,25.85,15278,0
2017-10-09,25.7389,25.75,25.687,25.687,4730,0
2017-10-10,25.66,25.85,25.66,25.85,13571,0
2017-10-11,25.8,25.85,25.75,25.7817,13403,0
2017-10-12,25.79,25.85,25.68,25.85,7750,0
2017-10-13,25.85,25.85,25.7,25.79,12310,0
2017-10-16,25.85,25.85,25.6,25.6488,16210,0
2017-10-17,25.6101,25.94,25.6,25.94,16130,0
2017-10-18,25.75,25.75,25.531,25.65,8625,0
2017-10-19,25.6,25.8,25.4,25.8,30579,0
2017-10-20,25.63,25.91,25.61,25.89,13615,0
2017-10-23,25.7486,25.88,25.7,25.72,6963,0
2017-10-24,25.6469,25.8,25.5,25.67,27872,0
2017-10-25,25.7,25.75,25.51,25.61,14164,0
2017-10-26,25.6169,25.65,25.5,25.52,21576,0
2017-10-27,25.5101,25.71,25.5,25.7,15390,0
2017-10-30,25.7,25.82,25.53,25.82,7150,0
2017-10-31,25.92,25.92,25.62,25.62,1527,0
2017-11-01,25.92,25.92,25.75,25.75,2760,0
2017-11-02,25.83,25.867,25.674,25.867,5400,0
2017-11-03,25.88,25.88,25.75,25.75,4904,0
2017-11-06,25.67,25.85,25.6366,25.8,3400,0
2017-11-07,25.65,25.7499,25.6,25.6986,16802,0
2017-11-08,25.61,25.65,25.37,25.65,40094,0
2017-11-09,25.6135,25.615,25.42,25.44,3150,0
2017-11-10,25.442,25.65,25.414,25.65,7100,0
2017-11-17,25.65,26.00,25.60,25.90,8200,0
2017-11-20,25.82,25.85,25.42,25.45,18400,0
2017-11-21,25.41,25.62,25.41,25.57,11600,0
2017-11-22,25.57,25.70,25.53,25.54,7300,0
2017-11-24,25.58,25.60,25.58,25.60,2300,0
2017-11-27,25.68,25.84,25.65,25.79,7300,0
2017-11-28,25.87,25.94,25.81,25.89,4800,0
2017-11-29,25.95,26.00,25.79,25.94,2800,0
2017-11-30,25.75,25.85,25.75,25.80,4800,0
2017-12-01,25.70,25.85,25.70,25.85,1800,0
2017-12-04,26.12,26.14,26.12,26.14,1000,0
2017-12-05,25.85,26.00,25.77,25.80,4900,0
2017-12-06,25.92,25.92,25.80,25.87,1400,0
2017-12-07,25.52,25.75,25.52,25.64,9000,0
2017-12-08,25.75,25.87,25.65,25.85,15000,0
2017-12-11,25.85,25.85,25.75,25.80,2800,0
2017-12-12,25.80,25.80,25.80,25.80,-,0
2017-12-13,25.75,25.75,25.70,25.72,1800,0
2017-12-14,25.85,25.85,25.70,25.84,3300,0
2017-12-15,25.82,25.82,25.51,25.51,10600,0
2017-12-18,25.50,25.85,25.43,25.85,17300,0
2017-12-19,25.90,25.99,25.81,25.81,18100,0
2017-12-20,25.71,25.83,25.61,25.69,4000,0
2017-12-21,25.57,25.57,25.56,25.56,2200,0
2017-12-22,25.57,25.57,25.55,25.55,2800,0
2017-12-26,25.56,25.56,25.56,25.56,200,0
2017-12-27,25.62,25.70,25.57,25.57,3800,0
2017-12-28,25.65,25.72,25.65,25.72,900,0
2017-12-29,25.75,25.85,25.74,25.85,1700,0
2018-01-02,26.03,26.03,25.57,25.60,5700,0
2018-01-03,25.55,25.74,25.55,25.58,3800,0
2018-01-04,25.58,25.58,25.57,25.58,2300,0
2018-01-05,25.60,25.65,25.60,25.65,1300,0
