Date,Open,High,Low,Close,Volume,OpenInt
2017-06-21,24.34,24.34,24.3,24.3,690,0
2017-06-22,24.379,24.379,24.281,24.281,1452,0
2017-06-23,24.271,24.271,24.271,24.271,104,0
2017-06-26,24.438,24.438,24.427,24.427,916,0
2017-06-27,24.448,24.448,24.369,24.399,1264,0
2017-06-28,24.433,24.504,24.433,24.468,1344,0
2017-06-29,24.517,24.517,24.517,24.517,319,0
2017-06-30,24.32,24.32,24.32,24.32,102,0
2017-07-03,24.517,24.517,24.517,24.517,618,0
2017-07-05,24.438,24.438,24.438,24.438,103,0
2017-07-06,24.32,24.32,24.32,24.32,214,0
2017-07-07,24.3,24.3,24.3,24.3,102,0
2017-07-10,24.34,24.34,24.34,24.34,132,0
2017-07-11,24.304,24.304,24.304,24.304,102,0
2017-07-12,24.44,24.44,24.44,24.44,102,0
2017-07-13,24.478,24.478,24.478,24.478,106,0
2017-07-14,24.556,24.556,24.556,24.556,102,0
2017-07-17,24.674,24.674,24.674,24.674,102,0
2017-07-18,24.585,24.585,24.585,24.585,204,0
2017-07-19,24.772,24.772,24.766,24.766,667,0
2017-07-20,24.763,24.763,24.763,24.763,102,0
2017-07-21,24.753,24.753,24.743,24.743,208,0
2017-07-24,24.748,24.748,24.748,24.748,102,0
2017-07-25,24.806,24.806,24.806,24.806,102,0
2017-07-26,24.772,24.772,24.703,24.703,455,0
2017-07-27,24.527,24.527,24.514,24.514,204,0
2017-07-28,24.664,24.664,24.664,24.664,622,0
2017-07-31,24.747,24.747,24.747,24.747,102,0
2017-08-01,24.684,24.689,24.684,24.689,1062,0
2017-08-02,24.763,24.763,24.763,24.763,251,0
2017-08-03,24.753,24.753,24.722,24.753,746,0
2017-08-04,24.733,24.733,24.733,24.733,724,0
2017-08-07,24.727,24.727,24.727,24.727,102,0
2017-08-08,24.861,24.861,24.861,24.861,102,0
2017-08-09,24.68,24.68,24.68,24.68,102,0
2017-08-10,24.497,24.497,24.497,24.497,135,0
2017-08-11,24.419,24.419,24.394,24.404,1323,0
2017-08-14,24.635,24.635,24.586,24.615,1016,0
2017-08-15,24.568,24.568,24.568,24.568,102,0
2017-08-16,24.645,24.645,24.645,24.645,814,0
2017-08-17,24.296,24.296,24.296,24.296,102,0
2017-08-18,24.193,24.214,24.193,24.214,237,0
2017-08-21,24.217,24.217,24.217,24.217,102,0
2017-08-22,24.442,24.442,24.442,24.442,102,0
2017-08-23,24.384,24.409,24.384,24.389,900,0
2017-08-24,24.301,24.301,24.301,24.301,102,0
2017-08-25,24.438,24.438,24.409,24.409,204,0
2017-08-28,24.291,24.291,24.281,24.281,814,0
2017-08-29,24.296,24.296,24.296,24.296,102,0
2017-08-30,24.341,24.389,24.341,24.389,204,0
2017-08-31,24.576,24.576,24.576,24.576,102,0
2017-09-01,24.634,24.654,24.634,24.654,269,0
2017-09-05,24.399,24.399,24.399,24.399,102,0
2017-09-06,24.438,24.438,24.438,24.438,104,0
2017-09-07,24.32,24.32,24.32,24.32,200,0
2017-09-08,24.438,24.438,24.438,24.438,102,0
2017-09-11,24.746,24.746,24.746,24.746,102,0
2017-09-12,24.871,24.871,24.858,24.858,204,0
2017-09-13,24.9,24.9,24.876,24.9,441,0
2017-09-14,24.871,24.871,24.871,24.871,102,0
2017-09-15,24.955,24.955,24.955,24.955,100,0
2017-09-18,24.99,24.99,24.9701,24.98,600,0
2017-09-19,24.98,24.98,24.98,24.98,100,0
2017-09-20,24.9348,24.9348,24.9348,24.9348,100,0
2017-09-21,24.9399,24.9399,24.93,24.93,1025,0
2017-09-22,24.87,24.88,24.8422,24.88,1750,0
2017-09-25,24.9,24.9,24.89,24.89,662,0
2017-09-26,24.9759,24.9759,24.9759,24.9759,100,0
2017-09-27,24.9599,24.96,24.9599,24.96,334,0
2017-09-28,25.04,25.04,25.04,25.04,100,0
2017-09-29,25.1499,25.1499,25.1499,25.1499,100,0
2017-10-02,25.3328,25.3328,25.3328,25.3328,300,0
2017-10-03,25.35,25.4,25.35,25.4,270,0
2017-10-04,25.4999,25.4999,25.4999,25.4999,101,0
2017-10-05,25.56,25.56,25.5599,25.5599,200,0
2017-10-06,25.4799,25.4799,25.4799,25.4799,100,0
2017-10-09,25.288,25.288,25.288,25.288,100,0
2017-10-10,25.34,25.34,25.34,25.34,113,0
2017-10-11,25.345,25.345,25.345,25.345,100,0
2017-10-12,25.3499,25.3499,25.3497,25.3497,800,0
2017-10-13,25.31,25.31,25.305,25.305,200,0
2017-10-18,25.44,25.44,25.44,25.44,504,0
2017-10-19,25.4501,25.4501,25.4501,25.4501,100,0
2017-10-20,25.68,25.68,25.68,25.68,800,0
2017-10-23,25.7501,25.751,25.75,25.751,606,0
2017-11-15,25.75,25.75,25.75,25.75,-,0
2017-11-16,25.75,25.75,25.75,25.75,-,0
2017-11-17,25.75,25.75,25.75,25.75,-,0
2017-11-20,25.75,25.75,25.75,25.75,-,0
2017-11-21,25.75,25.75,25.75,25.75,-,0
2017-11-22,25.75,25.75,25.75,25.75,-,0
2017-11-24,25.75,25.75,25.75,25.75,-,0
2017-11-27,25.75,25.75,25.75,25.75,-,0
2017-11-28,26.57,26.57,26.54,26.54,500,0
2017-11-29,26.54,26.54,26.54,26.54,-,0
2017-11-30,27.21,27.21,27.21,27.21,200,0
2017-12-01,27.12,27.12,26.97,26.97,700,0
2017-12-04,26.97,26.97,26.97,26.97,-,0
2017-12-05,26.97,26.97,26.97,26.97,-,0
2017-12-06,26.97,26.97,26.97,26.97,-,0
2017-12-07,26.82,26.84,26.82,26.84,600,0
2017-12-08,26.84,26.84,26.84,26.84,-,0
2017-12-11,26.84,26.84,26.84,26.84,-,0
2017-12-12,26.84,26.84,26.84,26.84,-,0
2017-12-13,26.84,26.84,26.84,26.84,-,0
2017-12-14,27.00,27.00,26.91,26.91,400,0
2017-12-15,26.91,26.91,26.91,26.91,-,0
2017-12-18,26.91,26.91,26.91,26.91,-,0
2017-12-19,26.91,26.91,26.91,26.91,-,0
2017-12-20,26.91,26.91,26.91,26.91,-,0
2017-12-21,27.14,27.14,27.14,27.14,600,0
2017-12-22,27.01,27.01,27.01,27.01,300,0
2017-12-26,27.01,27.01,27.01,27.01,-,0
2017-12-27,27.19,27.19,27.10,27.10,900,0
2017-12-28,27.15,27.15,27.15,27.15,500,0
2017-12-29,27.15,27.18,27.15,27.18,300,0
2018-01-02,27.08,27.08,27.08,27.08,200,0
2018-01-03,27.08,27.08,27.08,27.08,-,0
2018-01-04,27.08,27.08,27.08,27.08,-,0
2018-01-05,27.65,27.65,27.64,27.64,600,0
2018-01-08,27.80,27.80,27.80,27.80,400,0
2018-01-09,27.80,27.80,27.80,27.80,-,0
2018-01-10,27.80,27.80,27.80,27.80,-,0
2018-01-11,27.80,27.80,27.80,27.80,-,0
2018-01-12,28.17,28.17,28.08,28.08,400,0
2018-01-16,28.09,28.09,28.09,28.09,100,0
2018-01-17,28.33,28.38,28.33,28.38,700,0
2018-01-18,28.38,28.38,28.38,28.38,-,0
2018-01-19,28.38,28.38,28.38,28.38,-,0
2018-01-22,28.38,28.38,28.38,28.38,-,0
2018-01-23,28.38,28.38,28.38,28.38,-,0
2018-01-24,28.38,28.38,28.38,28.38,-,0
2018-01-25,28.81,28.81,28.81,28.81,1000,0
2018-01-26,28.81,28.81,28.81,28.81,-,0
2018-01-29,28.81,28.81,28.81,28.81,-,0
2018-01-30,28.57,28.57,28.54,28.54,400,0
2018-01-31,28.57,28.57,28.57,28.57,100,0
2018-02-01,28.57,28.57,28.57,28.57,-,0
2018-02-02,28.57,28.57,28.57,28.57,-,0
2018-02-05,27.37,27.37,26.93,26.93,700,0
2018-02-06,26.50,26.54,26.50,26.53,1700,0
2018-02-07,27.28,27.29,27.28,27.29,400,0
2018-02-08,26.34,26.34,26.34,26.34,100,0
2018-02-09,26.34,26.34,26.34,26.34,-,0
2018-02-12,26.34,26.34,26.34,26.34,-,0
2018-02-13,26.34,26.34,26.34,26.34,-,0
2018-02-14,26.34,26.34,26.34,26.34,-,0
2018-02-15,26.34,26.34,26.34,26.34,-,0
2018-02-16,26.34,26.34,26.34,26.34,-,0
2018-02-20,27.30,27.30,27.23,27.23,1800,0
2018-02-21,27.32,27.33,27.32,27.33,600,0
2018-02-22,27.33,27.33,27.33,27.33,-,0
2018-02-23,27.33,27.33,27.33,27.33,-,0
2018-02-26,27.33,27.33,27.33,27.33,-,0
2018-02-27,27.33,27.33,27.33,27.33,-,0
2018-02-28,27.33,27.33,27.33,27.33,-,0
2018-03-01,27.33,27.33,27.33,27.33,-,0
2018-03-02,27.33,27.33,27.33,27.33,-,0
2018-03-05,27.33,27.33,27.33,27.33,-,0
2018-03-06,27.33,27.33,27.33,27.33,-,0
2018-03-07,27.33,27.33,27.33,27.33,-,0
2018-03-08,27.33,27.33,27.33,27.33,-,0
