Date,Open,High,Low,Close,Volume,OpenInt
2017-10-31,25.1,25.15,24.9999,25.05,335610,0
2017-11-01,25.15,25.24,25.07,25.1298,281853,0
2017-11-02,25.2,25.3,25.0903,25.27,192022,0
2017-11-03,25.3,25.3511,25.21,25.29,116448,0
2017-11-06,25.38,25.38,25.25,25.2885,144294,0
2017-11-07,25.3,25.53,25.28,25.47,224919,0
2017-11-08,25.5,25.52,25.39,25.425,188325,0
2017-11-09,25.45,25.45,25.31,25.3821,85692,0
2017-11-10,25.3994,25.41,25.31,25.38,120617,0
2017-11-14,25.35,25.35,25.11,25.11,122000,0
2017-11-15,25.10,25.23,24.92,25.15,166400,0
2017-11-16,25.15,25.26,25.13,25.15,83200,0
2017-11-17,25.15,25.25,25.11,25.25,47600,0
2017-11-20,25.26,25.35,25.20,25.35,33000,0
2017-11-21,25.35,25.44,25.18,25.32,94600,0
2017-11-22,25.25,25.34,25.25,25.34,44000,0
2017-11-24,25.30,25.38,25.26,25.34,18900,0
2017-11-27,25.30,25.31,25.17,25.24,116700,0
2017-11-28,25.22,25.24,25.07,25.15,160200,0
2017-11-29,25.20,25.24,25.12,25.21,50800,0
2017-11-30,25.24,25.24,25.12,25.13,127200,0
2017-12-01,25.21,25.21,25.06,25.13,47400,0
2017-12-04,25.23,25.25,25.13,25.15,80500,0
2017-12-05,25.19,25.19,25.11,25.14,46400,0
2017-12-06,25.18,25.21,25.12,25.15,87600,0
2017-12-07,25.14,25.25,25.14,25.22,41800,0
2017-12-08,25.24,25.37,25.16,25.27,94300,0
2017-12-11,25.30,25.39,25.29,25.33,49400,0
2017-12-12,25.35,25.44,25.31,25.39,67300,0
2017-12-13,25.44,25.54,25.35,25.49,84800,0
2017-12-14,25.50,25.50,25.42,25.44,53400,0
2017-12-15,25.45,25.49,25.40,25.43,82500,0
2017-12-18,25.45,25.58,25.44,25.54,125400,0
2017-12-19,25.58,25.58,25.42,25.50,51600,0
2017-12-20,25.50,25.68,25.46,25.64,54500,0
2017-12-21,25.62,25.71,25.56,25.69,29100,0
2017-12-22,25.70,25.70,25.52,25.67,65400,0
