Date,Open,High,Low,Close,Volume,OpenInt
2017-10-18,20.1,20.1,20.0248,20.0248,818,0
2017-10-19,19.8,19.81,19.8,19.81,2130,0
2017-10-20,20.0299,20.0699,20.0299,20.0699,325,0
2017-10-23,19.97,19.97,19.87,19.87,352,0
2017-10-24,19.99,19.99,19.95,19.97,710,0
2017-10-25,19.89,19.89,19.73,19.73,229,0
2017-10-26,19.8224,19.8999,19.8224,19.8999,453,0
2017-10-27,20.1,20.1,20.1,20.1,125,0
2017-10-30,19.92,19.92,19.92,19.92,150,0
2017-10-31,19.9348,19.9348,19.9348,19.9348,101,0
2017-11-01,20.19,20.19,20.005,20.005,367,0
2017-11-02,20.1099,20.1099,20.1099,20.1099,115,0
2017-11-03,20.41,20.41,20.41,20.41,69,0
2017-11-06,20.22,20.22,20.22,20.22,100,0
2017-11-07,20.22,20.22,20.22,20.22,245,0
2017-11-08,20.1,20.1,20.1,20.1,143,0
2017-11-09,20.1,20.1,20.1,20.1,0,0
2017-11-10,20.1,20.1,20.1,20.1,23,0
2017-11-15,19.97,19.97,19.97,19.97,100,0
2017-11-16,19.97,19.97,19.97,19.97,100,0
2017-11-17,19.83,19.83,19.83,19.83,700,0
2017-11-20,19.98,19.98,19.98,19.98,100,0
2017-11-21,19.98,19.98,19.98,19.98,100,0
2017-11-22,19.76,19.76,19.76,19.76,100,0
2017-11-24,0.01,19.76,0.01,19.76,1100,0
2017-11-27,19.76,19.76,19.76,19.76,100,0
2017-11-28,19.76,19.76,19.76,19.76,100,0
2017-11-29,20.37,20.37,20.37,20.37,100,0
2017-11-30,20.76,20.76,20.76,20.76,100,0
2017-12-01,20.76,20.76,20.76,20.76,100,0
2017-12-04,20.91,20.93,20.76,20.76,6300,0
2017-12-05,20.59,20.61,20.59,20.61,200,0
2017-12-06,20.34,20.34,20.34,20.34,400,0
2017-12-07,20.63,20.63,20.63,20.63,1500,0
2017-12-08,20.78,20.78,20.78,20.78,1000,0
2017-12-11,20.90,20.90,20.69,20.69,3300,0
2017-12-12,20.59,20.59,20.59,20.59,9600,0
2017-12-13,20.77,20.77,20.77,20.77,500,0
2017-12-14,20.77,20.77,20.77,20.77,9000,0
2017-12-15,20.77,20.77,20.77,20.77,100,0
2017-12-18,20.93,21.00,20.93,21.00,1900,0
2017-12-19,22.24,22.24,20.93,20.93,800,0
2017-12-20,21.08,21.08,21.07,21.07,1100,0
2017-12-21,21.36,21.39,21.35,21.39,800,0
2017-12-22,21.27,21.27,21.27,21.27,1300,0
2017-12-26,21.33,21.37,21.33,21.37,600,0
2017-12-27,21.37,21.37,21.35,21.35,1100,0
2017-12-28,21.44,21.44,21.44,21.44,200,0
2017-12-29,21.43,21.48,21.39,21.48,3200,0
2018-01-02,21.46,21.52,21.44,21.47,3100,0
2018-01-03,21.73,21.75,21.55,21.66,1600,0
2018-01-04,21.66,21.66,21.66,21.66,100,0
2018-01-05,21.74,21.80,21.65,21.80,3100,0
2018-01-08,21.95,22.00,21.92,21.92,1200,0
2018-01-09,22.09,22.09,21.86,21.86,2400,0
2018-01-10,21.86,21.86,21.86,21.86,100,0
2018-01-11,22.15,22.19,22.09,22.09,700,0
2018-01-12,22.25,22.25,22.25,22.25,300,0
2018-01-16,22.10,22.10,22.10,22.10,1000,0
2018-01-17,22.06,22.10,22.06,22.10,1000,0
2018-01-18,22.06,22.06,22.04,22.04,800,0
2018-01-19,22.12,22.18,22.12,22.12,1300,0
2018-01-22,22.25,22.27,22.25,22.27,1400,0
2018-01-23,22.25,22.25,22.25,22.25,700,0
2018-01-24,22.64,22.72,22.64,22.71,4100,0
2018-01-25,22.96,22.96,22.41,22.59,4200,0
2018-01-26,22.59,22.59,22.59,22.59,100,0
2018-01-29,22.59,22.59,22.59,22.59,-,0
2018-01-30,22.41,22.47,22.41,22.47,500,0
2018-01-31,22.41,22.42,22.41,22.41,700,0
2018-02-01,22.54,22.54,22.54,22.54,200,0
2018-02-02,22.04,22.04,21.77,21.77,1500,0
2018-02-05,21.00,21.00,21.00,21.00,200,0
2018-02-06,20.49,21.16,20.49,21.16,2900,0
2018-02-07,21.55,21.55,21.47,21.47,700,0
2018-02-08,21.76,21.76,20.87,20.87,900,0
2018-02-09,20.47,20.47,20.47,20.47,200,0
2018-02-12,20.91,20.91,20.91,20.91,200,0
2018-02-13,20.91,20.91,20.91,20.91,100,0
2018-02-14,21.52,21.74,21.46,21.73,3600,0
2018-02-15,22.32,22.32,22.32,22.32,100,0
2018-02-16,22.46,22.46,22.07,22.07,300,0
2018-02-20,22.15,22.19,22.15,22.19,400,0
2018-02-21,22.20,22.20,22.20,22.20,300,0
2018-02-22,22.20,22.20,22.20,22.20,-,0
2018-02-23,22.20,22.20,22.20,22.20,-,0
2018-02-26,22.12,22.12,22.12,22.12,400,0
2018-02-27,22.35,22.35,22.35,22.35,100,0
2018-02-28,22.01,22.18,21.85,21.85,9500,0
2018-03-01,21.90,21.99,21.70,21.70,600,0
2018-03-02,21.88,21.88,21.88,21.88,100,0
2018-03-05,21.87,22.24,21.84,22.21,4700,0
2018-03-06,22.37,22.40,22.36,22.36,2800,0
2018-03-07,22.30,22.38,22.30,22.38,300,0
2018-03-08,22.38,22.38,22.38,22.38,100,0
2018-03-09,22.40,22.78,22.40,22.70,5100,0
2018-03-12,22.78,22.78,22.77,22.77,1700,0
2018-03-13,22.79,22.79,22.75,22.75,600,0
2018-03-14,22.75,22.75,22.75,22.75,-,0
2018-03-15,22.34,22.34,22.33,22.33,500,0
2018-03-16,22.33,22.33,22.33,22.33,-,0
2018-03-19,22.33,22.33,22.33,22.33,-,0
2018-03-20,22.33,22.33,22.33,22.33,-,0
2018-03-21,22.33,22.45,22.33,22.33,3900,0
2018-03-22,22.26,22.26,21.93,22.08,500,0
2018-03-23,22.26,22.26,21.40,21.40,900,0
2018-03-26,21.66,21.66,21.55,21.55,1100,0
2018-03-27,21.78,21.78,21.78,21.78,400,0
2018-03-28,21.38,21.39,21.35,21.35,600,0
2018-03-29,21.63,21.63,21.63,21.63,100,0
2018-04-02,21.64,21.64,21.64,21.64,300,0
2018-04-03,21.64,21.64,21.64,21.64,100,0
2018-04-04,21.42,21.44,21.42,21.44,500,0
2018-04-05,22.00,22.00,22.00,22.00,100,0
2018-04-06,21.75,21.75,21.55,21.55,200,0
2018-04-09,22.03,22.03,21.75,21.75,402,0
