Date,Open,High,Low,Close,Volume,OpenInt
2017-10-31,24.4086,24.42,24.4,24.4,5135,0
2017-11-01,24.6648,24.6648,24.6648,24.6648,165,0
2017-11-02,24.6648,24.6648,24.6648,24.6648,0,0
2017-11-03,24.6648,24.6648,24.6648,24.6648,0,0
2017-11-06,24.63,24.63,24.63,24.63,200,0
2017-11-07,24.63,24.63,24.63,24.63,264,0
2017-11-08,24.63,24.63,24.63,24.63,0,0
2017-11-09,24.63,24.63,24.63,24.63,0,0
2017-11-10,24.14,24.14,24.14,24.14,167,0
2017-11-10,24.140,24.140,24.140,24.140,200,0
2017-11-13,24.140,24.140,24.140,24.140,100,0
2017-11-14,24.140,24.140,24.140,24.140,-,0
2017-11-15,24.140,24.140,24.140,24.140,-,0
2017-11-16,24.140,24.140,24.140,24.140,-,0
2017-11-17,24.140,24.140,24.140,24.140,-,0
2017-11-20,24.140,24.140,24.140,24.140,-,0
2017-11-21,24.140,24.140,24.140,24.140,-,0
2017-11-22,24.140,24.140,24.140,24.140,-,0
2017-11-24,24.140,24.140,24.140,24.140,-,0
2017-11-27,24.140,24.140,24.140,24.140,-,0
2017-11-28,24.140,24.140,24.140,24.140,100,0
2017-11-29,24.140,24.140,24.140,24.140,-,0
2017-11-30,24.140,24.140,24.140,24.140,-,0
2017-12-01,24.140,24.140,24.140,24.140,-,0
2017-12-04,24.140,24.140,24.140,24.140,100,0
2017-12-05,24.405,24.405,24.405,24.405,100,0
2017-12-06,24.405,24.405,24.405,24.405,-,0
2017-12-07,24.405,24.405,24.405,24.405,-,0
2017-12-08,24.260,24.260,24.260,24.260,300,0
2017-12-11,24.330,24.330,24.280,24.280,2400,0
2017-12-12,24.280,24.280,24.280,24.280,100,0
2017-12-13,24.280,24.280,24.280,24.280,-,0
2017-12-14,24.280,24.280,24.280,24.280,100,0
2017-12-15,24.280,24.280,24.280,24.280,5000,0
2017-12-18,24.650,24.850,24.640,24.850,5800,0
2017-12-19,24.850,24.850,24.850,24.850,5100,0
2017-12-20,24.850,24.850,24.850,24.850,100,0
2017-12-21,24.340,24.340,24.340,24.340,100,0
2017-12-22,24.340,24.340,24.340,24.340,-,0
