Date,Open,High,Low,Close,Volume,OpenInt
2017-11-01,49.99,49.99,49.98,49.98,12000,0
2017-11-02,49.986,49.986,49.986,49.986,100,0
2017-11-03,49.96,49.96,49.92,49.93,11000,0
2017-11-06,49.97,49.97,49.97,49.97,152,0
2017-11-07,49.97,49.97,49.97,49.97,0,0
2017-11-08,49.97,49.97,49.97,49.97,400,0
2017-11-09,49.9,49.9,49.86,49.86,900,0
2017-11-10,49.84,49.84,49.84,49.84,255,0
2017-11-16,49.75,49.75,49.75,49.75,200,0
2017-11-17,49.75,49.75,49.75,49.75,900,0
2017-11-20,49.75,49.75,49.75,49.75,-,0
2017-11-21,49.82,49.82,49.82,49.82,200,0
2017-11-22,49.82,49.88,49.82,49.88,600,0
2017-11-24,49.88,49.88,49.88,49.88,-,0
2017-11-27,49.88,49.88,49.88,49.88,-,0
2017-11-28,49.90,49.90,49.90,49.90,2400,0
2017-11-29,49.81,49.81,49.78,49.81,2000,0
2017-11-30,49.81,49.81,49.81,49.81,100,0
2017-12-01,49.74,49.80,49.74,49.76,18100,0
2017-12-04,49.76,49.76,49.76,49.76,-,0
2017-12-05,49.84,49.87,49.83,49.87,1000,0
2017-12-06,49.87,49.87,49.87,49.87,-,0
2017-12-07,49.85,49.86,49.80,49.83,19800,0
2017-12-08,49.73,49.73,49.73,49.73,200,0
2017-12-11,49.82,49.82,49.78,49.78,1800,0
2017-12-12,49.78,49.78,49.78,49.78,-,0
2017-12-13,49.78,49.78,49.78,49.78,-,0
2017-12-14,49.58,49.58,49.58,49.58,1200,0
2017-12-15,49.58,49.58,49.58,49.58,100,0
2017-12-18,49.58,49.58,49.58,49.58,-,0
2017-12-19,49.58,49.58,49.58,49.58,-,0
2017-12-20,49.45,49.45,49.45,49.45,300,0
2017-12-21,49.45,49.45,49.45,49.45,-,0
2017-12-22,49.45,49.45,49.45,49.45,-,0
2017-12-26,49.45,49.45,49.45,49.45,200,0
2017-12-27,49.58,49.64,49.58,49.64,2100,0
2017-12-28,49.72,49.72,49.65,49.72,1500,0
2017-12-29,49.69,49.69,49.69,49.69,100,0
2018-01-02,49.60,49.60,49.60,49.60,300,0
2018-01-03,49.55,49.55,49.55,49.55,100,0
2018-01-04,49.55,49.55,49.55,49.55,100,0
2018-01-05,49.55,49.55,49.55,49.55,100,0
2018-01-08,49.55,49.55,49.55,49.55,100,0
2018-01-09,49.57,49.57,49.51,49.51,800,0
2018-01-10,49.50,49.50,49.50,49.50,200,0
2018-01-11,49.50,49.50,49.50,49.50,-,0
2018-01-12,49.55,49.55,49.55,49.55,100,0
2018-01-16,49.50,49.50,49.50,49.50,200,0
2018-01-17,49.45,49.45,49.45,49.45,300,0
2018-01-18,49.38,49.41,49.35,49.35,6300,0
2018-01-19,49.33,49.33,49.31,49.31,500,0
2018-01-22,49.29,49.29,49.29,49.29,300,0
2018-01-23,49.29,49.29,49.29,49.29,-,0
2018-01-24,49.29,49.29,49.29,49.29,-,0
2018-01-25,49.15,49.15,49.15,49.15,100,0
2018-01-26,49.32,49.32,49.32,49.32,300,0
2018-01-29,49.23,49.23,49.23,49.23,2000,0
2018-01-30,49.20,49.20,49.20,49.20,300,0
2018-01-31,49.24,49.24,49.18,49.18,700,0
2018-02-01,49.24,49.24,49.18,49.18,400,0
2018-02-02,49.14,49.14,49.05,49.05,400,0
2018-02-05,49.13,49.13,49.13,49.13,200,0
2018-02-06,49.21,49.21,49.21,49.21,200,0
2018-02-07,49.18,49.18,49.10,49.10,900,0
2018-02-08,49.01,49.01,49.01,49.01,300,0
2018-02-09,49.01,49.01,49.01,49.01,100,0
2018-02-12,49.01,49.01,49.01,49.01,-,0
2018-02-13,49.01,49.01,49.01,49.01,-,0
2018-02-14,49.01,49.01,49.01,49.01,100,0
2018-02-15,49.01,49.01,49.01,49.01,-,0
2018-02-16,48.81,48.81,48.81,48.81,100,0
2018-02-20,48.81,48.81,48.81,48.81,-,0
2018-02-21,48.81,48.81,48.81,48.81,100,0
2018-02-22,48.81,48.81,48.81,48.81,-,0
2018-02-23,48.89,48.89,48.89,48.89,1300,0
2018-02-26,48.89,48.89,48.89,48.89,100,0
2018-02-27,48.78,48.78,48.78,48.78,100,0
2018-02-28,48.78,48.78,48.78,48.78,-,0
2018-03-01,48.78,48.78,48.78,48.78,-,0
2018-03-02,48.78,48.78,48.78,48.78,-,0
2018-03-05,48.78,48.78,48.78,48.78,-,0
2018-03-06,48.78,48.78,48.78,48.78,-,0
2018-03-07,48.78,48.78,48.78,48.78,100,0
2018-03-08,48.78,48.78,48.78,48.78,-,0
2018-03-09,48.70,48.70,48.70,48.70,100,0
