Date,Open,High,Low,Close,Volume,OpenInt
2017-07-13,30.22,30.2398,30.22,30.2398,200,0
2017-07-17,30.2099,30.2099,30.209,30.209,900,0
2017-07-24,30.615,30.631,30.61,30.631,620,0
2017-07-26,30.4199,30.4199,30.4199,30.4199,1060,0
2017-08-02,31.0083,31.0083,31.0083,31.0083,1050,0
2017-08-11,30.01,30.09,30.01,30.09,332,0
2017-08-15,30.4464,30.456,30.44,30.456,400,0
2017-08-22,31.071,31.071,31.071,31.071,900,0
2017-08-28,31.9399,31.9399,31.9328,31.9328,550,0
2017-08-31,31.87,31.87,31.87,31.87,1950,0
2017-09-05,32.0601,32.07,32.0601,32.07,550,0
2017-09-07,32.2867,32.2867,32.2867,32.2867,105,0
2017-09-22,32.05,32.07,32.05,32.07,250,0
2017-09-26,31.6,31.6224,31.6,31.6224,800,0
2017-10-03,32.53,32.53,32.53,32.53,100,0
2017-10-10,32.8647,32.8647,32.8647,32.8647,140,0
2017-10-20,32.989,32.989,32.989,32.989,102,0
2017-10-30,33.32,33.3438,33.32,33.3438,400,0
2017-11-14,33.34,33.34,33.34,33.34,-,0
2017-11-15,33.34,33.34,33.34,33.34,-,0
2017-11-16,34.14,34.14,34.14,34.14,100,0
2017-11-17,34.05,34.05,34.05,34.05,200,0
2017-11-20,34.05,34.05,34.05,34.05,-,0
2017-11-21,34.05,34.05,34.05,34.05,-,0
2017-11-22,34.05,34.05,34.05,34.05,-,0
2017-11-24,34.05,34.05,34.05,34.05,-,0
2017-11-27,33.69,33.69,33.69,33.69,100,0
2017-11-28,33.69,33.69,33.69,33.69,-,0
2017-11-29,33.69,33.69,33.69,33.69,-,0
2017-11-30,33.69,33.69,33.69,33.69,-,0
2017-12-01,33.69,33.69,33.69,33.69,-,0
2017-12-04,33.69,33.69,33.69,33.69,-,0
2017-12-05,33.69,33.69,33.69,33.69,-,0
2017-12-06,33.69,33.69,33.69,33.69,-,0
2017-12-07,33.69,33.69,33.69,33.69,-,0
2017-12-08,33.69,33.69,33.69,33.69,-,0
2017-12-11,33.58,33.67,33.58,33.67,500,0
2017-12-12,33.67,33.67,33.67,33.67,-,0
2017-12-13,33.64,33.66,33.64,33.66,1700,0
2017-12-14,33.66,33.66,33.66,33.66,-,0
2017-12-15,33.66,33.66,33.66,33.66,-,0
2017-12-18,33.66,33.66,33.66,33.66,-,0
2017-12-19,33.66,33.66,33.66,33.66,-,0
2017-12-20,33.66,33.66,33.66,33.66,-,0
2017-12-21,33.66,33.66,33.66,33.66,-,0
2017-12-22,33.66,33.66,33.66,33.66,-,0
2017-12-26,33.66,33.66,33.66,33.66,-,0
2017-12-27,33.66,33.66,33.66,33.66,-,0
2017-12-28,33.66,33.66,33.66,33.66,-,0
2017-12-29,33.66,33.66,33.66,33.66,-,0
2018-01-02,33.25,33.25,33.25,33.25,500,0
2018-01-03,33.46,33.46,33.46,33.46,500,0
2018-01-04,33.46,33.46,33.46,33.46,-,0
2018-01-05,33.88,33.88,33.88,33.88,200,0
2018-01-08,33.88,33.88,33.88,33.88,-,0
2018-01-09,33.88,33.88,33.88,33.88,-,0
2018-01-10,33.88,33.88,33.88,33.88,-,0
2018-01-11,34.24,34.24,34.24,34.24,400,0
2018-01-12,34.24,34.24,34.24,34.24,-,0
2018-01-16,34.24,34.24,34.24,34.24,-,0
2018-01-17,34.24,34.24,34.24,34.24,-,0
2018-01-18,34.24,34.24,34.24,34.24,-,0
2018-01-19,35.58,35.74,35.58,35.74,1000,0
2018-01-22,35.74,35.74,35.74,35.74,-,0
2018-01-23,36.38,36.38,36.38,36.38,200,0
2018-01-24,36.38,36.38,36.38,36.38,-,0
2018-01-25,36.52,36.52,36.45,36.45,200,0
2018-01-26,36.45,36.45,36.45,36.45,-,0
2018-01-29,36.45,36.45,36.45,36.45,-,0
2018-01-30,36.45,36.45,36.45,36.45,-,0
2018-01-31,36.10,36.11,36.09,36.11,1400,0
2018-02-01,36.11,36.11,36.11,36.11,-,0
2018-02-02,36.11,36.11,36.11,36.11,-,0
2018-02-05,36.11,36.11,36.11,36.11,-,0
2018-02-06,34.00,35.00,34.00,34.90,1400,0
2018-02-07,33.48,33.66,33.39,33.39,700,0
2018-02-08,33.17,33.17,32.42,32.42,600,0
2018-02-09,32.42,32.42,32.42,32.42,-,0
2018-02-12,32.48,32.48,32.48,32.48,300,0
2018-02-13,32.48,32.48,32.48,32.48,-,0
2018-02-14,33.41,33.42,33.41,33.42,600,0
2018-02-15,33.42,33.42,33.42,33.42,-,0
2018-02-16,33.42,33.42,33.42,33.42,-,0
2018-02-20,33.42,33.42,33.42,33.42,-,0
2018-02-21,33.95,33.95,33.95,33.95,200,0
2018-02-22,33.95,33.95,33.95,33.95,-,0
2018-02-23,33.95,33.95,33.95,33.95,-,0
2018-02-26,33.95,33.95,33.95,33.95,-,0
2018-02-27,33.95,33.95,33.95,33.95,-,0
2018-02-28,33.95,33.95,33.95,33.95,-,0
2018-03-01,33.95,33.95,33.95,33.95,-,0
2018-03-02,33.95,33.95,33.95,33.95,-,0
2018-03-05,33.95,33.95,33.95,33.95,-,0
2018-03-06,33.92,33.93,33.92,33.93,300,0
2018-03-07,33.93,33.93,33.93,33.93,-,0
2018-03-08,33.93,33.93,33.93,33.93,-,0
2018-03-09,33.93,33.93,33.93,33.93,-,0
2018-03-12,33.93,33.93,33.93,33.93,-,0
2018-03-13,33.93,33.93,33.93,33.93,-,0
2018-03-14,33.93,33.93,33.93,33.93,-,0
2018-03-15,33.93,33.93,33.93,33.93,-,0
2018-03-16,33.93,33.93,33.93,33.93,-,0
2018-03-19,33.93,33.93,33.93,33.93,-,0
2018-03-20,33.93,33.93,33.93,33.93,-,0
2018-03-21,33.93,33.93,33.93,33.93,-,0
2018-03-22,33.05,33.05,33.05,33.05,300,0
2018-03-23,33.05,33.05,33.05,33.05,-,0
2018-03-26,33.05,33.05,33.05,33.05,-,0
2018-03-27,33.05,33.05,33.05,33.05,-,0
2018-03-28,33.05,33.05,33.05,33.05,-,0
2018-03-29,33.05,33.05,33.05,33.05,-,0
2018-04-02,33.05,33.05,33.05,33.05,-,0
2018-04-03,33.05,33.05,33.05,33.05,-,0
2018-04-04,33.05,33.05,33.05,33.05,-,0
2018-04-05,33.05,33.05,33.05,33.05,-,0
2018-04-06,33.05,33.05,33.05,33.05,-,0
2018-04-09,32.45,32.45,32.45,32.45,400,0
