Date,Open,High,Low,Close,Volume,OpenInt
2017-11-06,15.5,15.7,15.4,15.5,504220,0
2017-11-07,15.53,15.71,15.48,15.645,232064,0
2017-11-08,15.55,15.65,15.361,15.4,105489,0
2017-11-09,15.17,15.65,15.17,15.5,89404,0
2017-11-10,15.35,15.424,15.2,15.31,600069,0
2017-11-20,15.2500,15.2820,15.1600,15.2000,135600,0
2017-11-21,15.2000,15.4000,15.1200,15.4000,172600,0
2017-11-22,15.4000,15.4400,15.3200,15.3500,90100,0
2017-11-24,15.3000,15.4080,15.2000,15.2800,51400,0
2017-11-27,15.0000,15.2800,15.0000,15.2300,598300,0
2017-11-28,15.2500,15.3300,15.2290,15.2800,246800,0
2017-11-29,15.2500,15.4000,15.2500,15.3300,511100,0
2017-11-30,15.3300,15.3800,15.3100,15.3700,294000,0
2017-12-01,15.3600,15.4000,15.2300,15.3500,328900,0
2017-12-04,15.4000,15.4500,15.3100,15.4500,223100,0
2017-12-05,15.5300,15.5300,15.2500,15.3000,180400,0
2017-12-06,15.3010,15.3500,15.2600,15.3000,116800,0
2017-12-07,15.3000,15.4000,15.2600,15.3500,152700,0
2017-12-08,15.3000,15.4290,15.2500,15.3000,215100,0
2017-12-11,15.2600,15.3100,15.2400,15.2600,191000,0
2017-12-12,15.2300,15.3200,15.2000,15.2300,176800,0
2017-12-13,15.2000,15.4100,15.2000,15.3600,177400,0
2017-12-14,15.3000,15.5000,15.3000,15.3800,124700,0
2017-12-15,15.3600,15.4300,15.3300,15.3500,98600,0
2017-12-18,15.3700,15.4300,15.3000,15.3800,203600,0
2017-12-19,15.3500,15.4330,15.3300,15.4200,136100,0
2017-12-20,15.3800,15.4700,15.3530,15.4500,94100,0
2017-12-21,15.4000,15.5540,15.4000,15.4800,112700,0
2017-12-22,15.5000,15.6300,15.5000,15.5500,81100,0
2017-12-26,15.4300,15.5500,15.4200,15.5400,81100,0
2017-12-27,15.5900,15.6100,15.5000,15.5170,129600,0
2017-12-28,15.5100,15.5980,15.2900,15.5190,288000,0
2017-12-29,15.5500,15.6000,15.2000,15.5000,342800,0
2018-01-02,15.2900,15.5600,15.2900,15.5500,89100,0
2018-01-03,15.3800,15.6200,15.3700,15.4000,150100,0
2018-01-04,15.4700,15.5900,15.4300,15.5900,200500,0
2018-01-05,15.5000,15.5900,15.3500,15.5200,154600,0
2018-01-08,15.5900,15.6500,15.4800,15.4800,369200,0
2018-01-09,15.5000,15.7000,15.5000,15.7000,158400,0
2018-01-10,15.7000,15.7000,15.5500,15.6300,65300,0
2018-01-11,15.6000,15.7100,15.5500,15.6800,80300,0
2018-01-12,15.7200,15.7500,15.5500,15.5700,148800,0
2018-01-16,15.4600,15.6500,15.4600,15.6300,110300,0
2018-01-17,15.6400,15.6400,15.5400,15.5500,246300,0
2018-01-18,15.6500,15.7000,15.5000,15.7000,172600,0
2018-01-19,15.7000,15.7000,15.5100,15.5800,265700,0
2018-01-22,15.5000,15.7500,15.5000,15.6400,170400,0
2018-01-23,15.6000,15.6500,15.5600,15.6100,120800,0
2018-01-24,15.5800,15.6700,15.4500,15.5600,269600,0
2018-01-25,15.5200,15.6300,15.5000,15.6300,138200,0
2018-01-26,15.5300,15.6300,15.5000,15.6200,184600,0
2018-01-29,15.6000,15.7500,15.6000,15.6860,108100,0
2018-01-30,15.7300,15.7300,15.5900,15.6500,244700,0
2018-01-31,15.7100,15.7600,15.5600,15.7600,151200,0
2018-02-01,15.7400,15.7600,15.6700,15.7600,90700,0
2018-02-02,15.7500,15.7500,15.5270,15.6000,68200,0
2018-02-05,15.5400,15.5800,15.3500,15.5200,162100,0
2018-02-06,15.5000,15.6000,15.3100,15.6000,158100,0
2018-02-07,15.6000,15.6000,15.4700,15.5400,248700,0
2018-02-08,15.5900,15.5900,15.3500,15.4500,165400,0
2018-02-09,15.4000,15.5300,15.3000,15.3500,200900,0
2018-02-12,15.3200,15.4490,15.2500,15.3600,125600,0
2018-02-13,15.2600,15.5300,15.2600,15.3000,126700,0
2018-02-14,15.3300,15.6000,15.3000,15.4800,103900,0
2018-02-15,15.4500,15.5200,15.3700,15.4000,127300,0
2018-02-16,15.4000,15.5000,15.4000,15.4500,110500,0
2018-02-20,15.4800,15.5600,15.3710,15.5100,165600,0
2018-02-21,15.6000,16.6000,15.5900,16.2300,1894400,0
2018-02-22,16.3300,16.4200,16.1000,16.1800,725000,0
2018-02-23,16.1400,16.2960,16.0000,16.2400,304500,0
2018-02-26,16.2500,16.2500,16.1000,16.2100,353900,0
2018-02-27,16.2000,16.2200,16.0000,16.1100,253500,0
2018-02-28,16.1500,16.1500,15.8300,16.0300,447200,0
2018-03-01,16.0000,16.1400,15.9500,16.0400,234700,0
2018-03-02,16.0100,16.0650,15.8300,15.8500,359100,0
2018-03-05,15.9200,16.2000,15.8500,15.9500,216400,0
2018-03-06,15.9000,16.0600,15.8800,15.9000,352800,0
2018-03-07,15.9100,16.1400,15.8500,15.8700,130600,0
2018-03-08,15.9300,16.1620,15.9100,16.1000,126900,0
2018-03-09,16.0700,16.0980,15.9200,16.0600,136000,0
2018-03-12,16.0100,16.0420,15.9090,15.9600,76700,0
2018-03-13,16.0000,16.0500,15.9500,16.0300,87300,0
2018-03-14,16.1100,16.1100,15.9300,15.9600,108500,0
2018-03-15,15.9500,16.0700,15.9300,16.0300,189000,0
2018-03-16,16.1000,16.1200,15.9800,16.1000,221700,0
2018-03-19,16.0900,16.1350,16.0200,16.0800,176300,0
2018-03-20,16.0800,16.1500,16.0000,16.0900,236800,0
2018-03-21,16.0000,16.0700,16.0000,16.0600,131000,0
2018-03-22,16.0000,16.0700,16.0000,16.0600,125000,0
2018-03-23,16.0000,16.0600,15.9900,16.0200,143400,0
2018-03-26,16.0000,16.0500,15.9500,16.0100,175000,0
2018-03-27,16.0200,16.0800,16.0000,16.0800,130700,0
2018-03-28,16.1500,16.1600,15.9200,16.0000,254300,0
2018-03-29,16.0000,16.1000,15.8900,15.9900,251300,0
2018-04-02,16.1500,16.1500,15.9300,16.0000,205400,0
2018-04-03,16.0500,16.1220,16.0000,16.1200,166600,0
2018-04-04,16.0500,16.1500,16.0300,16.0900,95200,0
2018-04-05,16.1300,16.1300,15.9400,16.0000,248500,0
2018-04-06,16.0600,16.0700,15.9700,16.0200,94600,0
2018-04-09,16.1300,16.3500,16.0000,16.0400,152575,0
