Date,Open,High,Low,Close,Volume,OpenInt
2017-10-05,28.3799,28.3799,28.3327,28.3327,500,0
2017-10-11,28.49,28.49,28.49,28.49,300,0
2017-10-13,28.78,28.78,28.78,28.78,116,0
2017-10-17,29.0345,29.04,29.0345,29.04,200,0
2017-10-20,29.15,29.21,29.15,29.21,6039,0
2017-10-23,29.457,29.4592,29.457,29.4592,2000,0
2017-10-25,29.6,29.6,29.4261,29.4261,3531,0
2017-10-27,29.9099,29.91,29.9099,29.91,670,0
2017-10-30,29.79,29.79,29.6586,29.68,917,0
2017-10-31,29.85,29.85,29.85,29.85,423,0
2017-11-01,30.1947,30.1947,30.1947,30.1947,312,0
2017-11-02,30.2,30.2999,30.2,30.2455,1430,0
2017-11-03,30.3999,30.3999,30.327,30.327,5420,0
2017-11-06,30.31,30.32,30.192,30.28,1100,0
2017-11-08,30.79,30.79,30.79,30.79,404,0
2017-11-09,30.25,30.25,30.25,30.25,287,0
2017-11-13,30.2500,30.2500,30.2500,30.2500,-,0
2017-11-14,30.2500,30.2500,30.2500,30.2500,-,0
2017-11-15,29.5770,29.5770,29.5770,29.5770,200,0
2017-11-16,29.5770,29.5770,29.5770,29.5770,-,0
2017-11-17,29.6000,29.6000,29.5900,29.6000,4400,0
2017-11-20,29.6000,29.6000,29.6000,29.6000,-,0
2017-11-21,30.0400,30.0400,30.0400,30.0400,200,0
2017-11-22,30.0400,30.0400,30.0400,30.0400,-,0
2017-11-24,30.0400,30.0400,30.0400,30.0400,-,0
2017-11-27,29.8700,29.8700,29.8700,29.8700,100,0
2017-11-28,29.8700,29.8700,29.8700,29.8700,-,0
2017-11-29,30.0540,30.0540,30.0540,30.0540,300,0
2017-11-30,30.1600,30.3200,30.1400,30.3200,1600,0
2017-12-01,29.9730,29.9730,29.9730,29.9730,1000,0
2017-12-04,30.0300,30.0400,30.0300,30.0300,1000,0
2017-12-05,30.0300,30.0300,30.0300,30.0300,-,0
2017-12-06,30.0300,30.0300,30.0300,30.0300,-,0
2017-12-07,30.0300,30.0300,30.0300,30.0300,-,0
2017-12-08,30.0300,30.0300,30.0300,30.0300,-,0
2017-12-11,30.0300,30.0300,30.0300,30.0300,-,0
2017-12-12,30.0300,30.0300,30.0300,30.0300,-,0
2017-12-13,30.0300,30.0300,30.0300,30.0300,-,0
2017-12-14,30.5400,30.5500,30.5400,30.5400,3800,0
2017-12-15,30.5400,30.5400,30.5400,30.5400,-,0
2017-12-18,30.6200,30.6200,30.6200,30.6200,100,0
2017-12-19,30.4800,30.4800,30.4800,30.4800,500,0
2017-12-20,30.4800,30.4800,30.4800,30.4800,-,0
2017-12-21,30.6700,30.6700,30.6700,30.6700,200,0
2017-12-22,30.6700,30.6700,30.6700,30.6700,-,0
2017-12-26,30.6700,30.6700,30.6700,30.6700,-,0
2017-12-27,30.6700,30.6700,30.6700,30.6700,-,0
2017-12-28,30.6700,30.6700,30.6700,30.6700,-,0
2017-12-29,30.4000,30.4000,30.4000,30.4000,100,0
2018-01-02,30.4000,30.4000,30.4000,30.4000,-,0
2018-01-03,30.4000,30.4000,30.4000,30.4000,-,0
2018-01-04,30.4000,30.4000,30.4000,30.4000,-,0
2018-01-05,30.4000,30.4000,30.4000,30.4000,-,0
2018-01-08,30.4000,30.4000,30.4000,30.4000,-,0
2018-01-09,30.4000,30.4000,30.4000,30.4000,-,0
2018-01-10,31.5500,31.5500,31.5500,31.5500,200,0
2018-01-11,31.5500,31.5500,31.5500,31.5500,-,0
2018-01-12,31.5500,31.5500,31.5500,31.5500,-,0
2018-01-16,31.6300,31.6300,31.3100,31.3100,300,0
