Date,Open,High,Low,Close,Volume,OpenInt
2017-09-28,40.013,40.013,39.993,39.993,495684,0
2017-10-02,40.054,40.054,40.054,40.054,502,0
2017-10-03,40.103,40.103,40.103,40.103,201,0
2017-10-06,40.013,40.053,40.013,40.033,501,0
2017-10-20,39.983,39.983,39.983,39.983,100,0
2017-10-25,39.94,39.94,39.94,39.94,100,0
2017-10-26,39.99,39.99,39.99,39.99,100,0
2017-11-03,40.22,40.25,40.22,40.25,1200,0
2017-11-08,40.23,40.23,40.23,40.23,351,0
2017-11-09,40.15,40.19,40.15,40.19,504,0
2017-11-10,40.0299,40.0299,40.0299,40.0299,100,0
2017-11-14,40.0300,40.0300,40.0300,40.0300,-,0
2017-11-15,40.0300,40.0300,40.0300,40.0300,-,0
2017-11-16,40.0300,40.0300,40.0300,40.0300,-,0
2017-11-17,40.0300,40.0300,40.0300,40.0300,-,0
2017-11-20,40.0300,40.0300,40.0300,40.0300,-,0
2017-11-21,40.0300,40.0300,40.0300,40.0300,-,0
2017-11-22,40.0300,40.0300,40.0300,40.0300,-,0
2017-11-24,40.0300,40.0300,40.0300,40.0300,-,0
2017-11-27,40.0300,40.0300,40.0300,40.0300,-,0
2017-11-28,40.0300,40.0300,40.0300,40.0300,-,0
2017-11-29,40.0300,40.0300,40.0300,40.0300,-,0
2017-11-30,40.0300,40.0300,40.0300,40.0300,-,0
2017-12-01,40.0300,40.0300,40.0300,40.0300,-,0
2017-12-04,40.0300,40.0300,40.0300,40.0300,-,0
2017-12-05,40.0300,40.0300,40.0300,40.0300,-,0
2017-12-06,40.0300,40.0300,40.0300,40.0300,-,0
2017-12-07,40.0300,40.0300,40.0300,40.0300,-,0
2017-12-08,40.0300,40.0300,40.0300,40.0300,-,0
2017-12-11,40.0300,40.0300,40.0300,40.0300,-,0
2017-12-12,40.0500,40.0500,40.0300,40.0300,300,0
2017-12-13,40.0300,40.0300,40.0300,40.0300,-,0
2017-12-14,40.0300,40.0300,40.0300,40.0300,-,0
2017-12-15,40.0300,40.0300,40.0300,40.0300,-,0
2017-12-18,40.1400,40.1400,40.1400,40.1400,200,0
2017-12-19,40.0100,40.0100,40.0100,40.0100,200,0
2017-12-20,39.9400,39.9400,39.9400,39.9400,100,0
2017-12-21,39.6600,39.6800,39.6600,39.6700,1300,0
2017-12-22,39.6700,39.6700,39.6700,39.6700,-,0
2017-12-26,39.6700,39.6700,39.6700,39.6700,-,0
2017-12-27,40.0500,40.0500,40.0500,40.0500,100,0
2017-12-28,40.0500,40.0500,40.0500,40.0500,-,0
2017-12-29,40.0600,40.0600,40.0600,40.0600,200,0
2018-01-02,40.0600,40.0600,40.0600,40.0600,-,0
2018-01-03,39.9400,40.0100,39.9400,40.0000,300,0
2018-01-04,40.0000,40.0000,40.0000,40.0000,-,0
2018-01-05,40.0000,40.0000,40.0000,40.0000,-,0
2018-01-08,40.0000,40.0000,40.0000,40.0000,-,0
2018-01-09,40.0000,40.0000,40.0000,40.0000,-,0
2018-01-10,39.7170,39.7170,39.7170,39.7170,100,0
2018-01-11,39.7170,39.7170,39.7170,39.7170,-,0
2018-01-12,39.7170,39.7170,39.7170,39.7170,-,0
2018-01-16,39.7170,39.7170,39.7170,39.7170,-,0
2018-01-17,39.7900,39.7900,39.7900,39.7900,300,0
2018-01-18,39.7900,39.7900,39.7900,39.7900,-,0
2018-01-19,39.6500,39.6500,39.6500,39.6500,100,0
2018-01-22,39.6500,39.6500,39.6500,39.6500,-,0
2018-01-23,39.6500,39.6500,39.6500,39.6500,-,0
2018-01-24,39.6500,39.6500,39.6500,39.6500,-,0
2018-01-25,39.6500,39.6500,39.6500,39.6500,-,0
2018-01-26,39.6500,39.6500,39.6500,39.6500,-,0
2018-01-29,39.6500,39.6500,39.6500,39.6500,-,0
2018-01-30,39.6000,39.6000,39.6000,39.6000,100,0
2018-01-31,39.6000,39.6000,39.6000,39.6000,-,0
2018-02-01,39.6000,39.6000,39.6000,39.6000,-,0
