Date,Open,High,Low,Close,Volume,OpenInt
2017-11-03,15,17,12.11,12.66,476808,0
2017-11-06,12,12.3,10.86,10.95,246797,0
2017-11-07,11.14,11.34,11,11.08,170034,0
2017-11-08,11.18,11.5,10.9,10.95,216311,0
2017-11-09,11,11.2895,10.94,11.05,209773,0
2017-11-10,11.24,12.1,11.1447,11.75,229837,0
2017-11-13,12.00,12.65,11.71,12.65,157000,0
2017-11-14,12.54,13.15,11.72,12.52,141000,0
2017-11-15,12.50,13.74,12.42,13.62,190000,0
2017-11-16,14.00,14.00,13.25,13.99,172900,0
2017-11-17,14.00,14.00,13.06,13.75,125500,0
2017-11-20,13.60,13.60,12.73,12.84,129900,0
2017-11-21,11.80,13.24,11.61,13.06,162800,0
2017-11-22,13.17,13.38,12.04,13.24,137400,0
2017-11-24,13.40,13.40,12.85,13.31,32900,0
2017-11-27,13.07,13.45,12.86,13.15,49800,0
2017-11-28,13.06,13.50,12.97,12.98,52900,0
2017-11-29,12.98,13.15,12.34,12.41,34600,0
2017-11-30,12.62,12.98,12.28,12.36,37300,0
2017-12-01,11.80,12.74,11.53,11.64,120000,0
2017-12-04,11.60,11.70,11.11,11.51,79700,0
2017-12-05,12.02,12.69,11.42,11.61,152000,0
2017-12-06,11.50,11.50,11.18,11.25,27200,0
2017-12-07,11.25,11.45,11.00,11.00,168500,0
2017-12-08,11.12,11.55,11.06,11.27,77400,0
2017-12-11,11.43,11.73,11.33,11.46,35400,0
2017-12-12,11.46,11.50,11.13,11.13,94700,0
2017-12-13,11.11,11.57,11.11,11.17,33700,0
2017-12-14,11.48,11.81,11.21,11.22,33300,0
2017-12-15,11.58,11.58,11.16,11.17,12600,0
2017-12-18,11.30,11.44,11.05,11.11,34900,0
2017-12-19,11.11,11.11,11.00,11.00,55200,0
2017-12-20,11.00,11.16,11.00,11.00,55500,0
2017-12-21,11.01,11.10,11.00,11.00,16100,0
2017-12-22,11.03,11.08,11.00,11.00,59800,0
2017-12-26,11.15,11.25,10.80,10.80,52400,0
2017-12-27,10.90,11.36,10.82,11.30,54200,0
2017-12-28,11.30,11.31,11.00,11.06,10800,0
2017-12-29,11.01,11.18,11.01,11.05,1800,0
