Date,Open,High,Low,Close,Volume,OpenInt
2017-02-17,24.539,24.539,24.525,24.525,10731,0
2017-02-21,24.592,24.606,24.592,24.606,11856,0
2017-02-22,24.568,24.568,24.555,24.555,16353,0
2017-02-23,24.596,24.596,24.549,24.578,12101,0
2017-02-24,24.549,24.578,24.549,24.578,12470,0
2017-02-27,24.578,24.578,24.567,24.578,15074,0
2017-02-28,24.577,24.587,24.563,24.587,13184,0
2017-03-01,24.664,24.664,24.634,24.664,12453,0
2017-03-02,24.624,24.624,24.615,24.615,388640,0
2017-03-03,24.664,24.664,24.664,24.664,100,0
2017-03-06,24.606,24.606,24.596,24.596,21365,0
2017-03-07,24.53,24.53,24.51,24.51,22095,0
2017-03-08,24.4,24.4,24.302,24.302,20649,0
2017-03-09,24.255,24.255,24.245,24.245,11024,0
2017-03-10,24.255,24.255,24.206,24.206,10731,0
2017-03-13,24.156,24.156,24.137,24.137,10731,0
2017-03-14,24.117,24.147,24.117,24.147,10786,0
2017-03-15,24.186,24.245,24.15,24.236,18038,0
2017-03-16,24.43,24.43,24.361,24.361,15411,0
2017-03-17,24.42,24.42,24.42,24.42,10220,0
2017-03-20,24.361,24.361,24.356,24.356,10426,0
2017-03-21,24.312,24.312,24.228,24.228,10988,0
2017-03-22,24.255,24.275,24.255,24.275,11141,0
2017-03-23,24.321,24.321,24.321,24.321,10220,0
2017-03-24,24.341,24.341,24.341,24.341,10220,0
2017-03-27,24.302,24.331,24.302,24.331,11701,0
2017-03-28,24.351,24.4,24.351,24.39,10782,0
2017-03-29,24.49,24.53,24.49,24.53,12164,0
2017-03-30,24.539,24.568,24.526,24.558,11856,0
2017-03-31,24.606,24.606,24.606,24.606,10998,0
2017-04-03,24.559,24.616,24.554,24.607,12671,0
2017-04-04,24.597,24.597,24.597,24.597,10249,0
2017-04-05,24.665,24.685,24.607,24.607,11523,0
2017-04-06,24.616,24.645,24.616,24.645,12364,0
2017-04-07,24.635,24.635,24.635,24.635,10187,0
2017-04-10,24.655,24.675,24.645,24.655,12199,0
2017-04-11,24.587,24.6,24.587,24.6,10852,0
2017-04-12,24.597,24.607,24.597,24.607,10970,0
2017-04-13,24.607,24.607,24.597,24.597,10333,0
2017-04-17,24.635,24.635,24.624,24.624,10461,0
2017-04-18,24.645,24.646,24.645,24.646,10527,0
2017-04-19,24.715,24.724,24.705,24.705,10826,0
2017-04-20,24.705,24.705,24.705,24.705,10180,0
2017-04-21,24.734,24.744,24.718,24.724,16234,0
2017-04-24,24.804,24.844,24.804,24.844,12318,0
2017-04-25,24.884,24.884,24.864,24.884,10590,0
2017-04-26,24.874,24.912,24.874,24.894,10536,0
2017-04-27,24.912,24.912,24.912,24.912,10180,0
2017-04-28,24.894,24.922,24.874,24.922,22494,0
2017-05-01,24.914,24.914,24.896,24.905,13699,0
2017-05-02,24.914,24.924,24.914,24.924,10659,0
2017-05-03,24.924,24.924,24.896,24.914,22133,0
2017-05-04,24.856,24.866,24.772,24.806,11814,0
2017-05-05,24.796,24.796,24.796,24.796,10151,0
2017-05-08,24.846,24.846,24.788,24.788,10612,0
2017-05-09,24.846,24.846,24.846,24.846,10152,0
2017-05-10,24.856,24.866,24.826,24.826,15469,0
2017-05-11,24.826,24.826,24.826,24.826,10214,0
2017-05-12,24.836,24.846,24.836,24.846,14374,0
2017-05-15,24.878,24.878,24.878,24.878,116,0
2017-05-17,24.866,24.866,24.856,24.856,391,0
2017-05-18,24.853,24.853,24.836,24.846,7225,0
2017-05-22,24.954,24.962,24.954,24.962,924,0
2017-05-25,25.042,25.042,25.012,25.012,808,0
2017-05-26,24.972,24.975,24.954,24.954,4093,0
2017-05-30,24.982,25.022,24.975,25.022,1655,0
2017-05-31,25.058,25.061,25.043,25.061,4325,0
2017-06-01,25.07,25.125,25.062,25.115,1820,0
2017-06-02,25.15,25.15,25.145,25.145,304,0
2017-06-05,25.175,25.175,25.155,25.155,1439,0
2017-06-06,25.148,25.165,25.135,25.155,6678,0
2017-06-07,25.147,25.147,25.125,25.125,1715,0
2017-06-09,25.145,25.145,25.125,25.125,1282,0
2017-06-12,25.125,25.125,25.125,25.125,965,0
2017-06-13,25.155,25.185,25.155,25.173,1385,0
2017-06-14,25.18,25.195,25.18,25.185,5807,0
2017-06-15,25.135,25.155,25.135,25.155,11353,0
2017-06-16,25.165,25.165,25.115,25.115,1400,0
2017-06-19,25.171,25.185,25.171,25.179,1416,0
2017-06-20,25.123,25.145,25.123,25.135,981603,0
2017-06-21,25.145,25.145,25.016,25.016,2608,0
2017-06-22,25.055,25.075,25.036,25.075,1418,0
2017-06-23,25.085,25.115,25.085,25.105,3273,0
2017-06-26,25.145,25.162,25.145,25.162,544,0
2017-06-27,25.125,25.155,25.075,25.075,3748,0
2017-06-28,25.115,25.155,25.105,25.155,12067,0
2017-06-30,25.114,25.114,25.114,25.114,100,0
2017-07-03,25.15,25.158,25.088,25.088,4954,0
2017-07-05,25.098,25.138,25.068,25.068,1808,0
2017-07-06,25.048,25.048,25.048,25.048,100,0
2017-07-07,24.999,24.999,24.999,24.999,1021,0
2017-07-10,25.068,25.068,25.058,25.068,1014,0
2017-07-11,25.048,25.048,25.033,25.048,752,0
2017-07-12,25.158,25.158,25.128,25.148,4030,0
2017-07-13,25.171,25.178,25.128,25.128,648671,0
2017-07-14,25.137,25.137,25.128,25.128,303,0
2017-07-17,25.148,25.148,25.122,25.122,808,0
2017-07-18,25.142,25.142,25.142,25.142,203,0
2017-07-19,25.198,25.198,25.198,25.198,12985,0
2017-07-21,25.198,25.207,25.198,25.207,2382,0
2017-07-24,25.207,25.207,25.207,25.207,491,0
2017-07-25,25.237,25.237,25.237,25.237,606,0
2017-07-26,25.287,25.287,25.247,25.247,10193,0
2017-07-27,25.267,25.267,25.267,25.267,307,0
2017-07-28,25.257,25.257,25.257,25.257,0,0
2017-07-31,25.296,25.345,25.296,25.345,8642,0
2017-08-01,25.312,25.312,25.312,25.312,248,0
2017-08-02,25.223,25.342,22.748,25.322,12353,0
2017-08-03,25.352,25.352,25.352,25.352,521,0
2017-08-04,25.342,25.352,25.329,25.33,1120,0
2017-08-07,25.342,25.342,25.297,25.332,4969,0
2017-08-08,25.302,25.302,25.283,25.283,1533,0
2017-08-09,25.183,25.195,25.174,25.174,148991,0
2017-08-10,25.104,25.124,25.078,25.094,2816,0
2017-08-11,25.094,25.094,25.044,25.064,2105,0
2017-08-14,25.154,25.154,25.139,25.144,2306,0
2017-08-15,25.144,25.154,25.144,25.149,1454,0
2017-08-16,25.184,25.184,25.174,25.174,2939,0
2017-08-17,25.154,25.154,25.104,25.104,2902,0
2017-08-18,25.134,25.134,25.134,25.134,1113,0
2017-08-21,25.114,25.134,25.114,25.134,410,0
2017-08-22,25.164,25.213,25.164,25.213,2060,0
2017-08-23,25.194,25.218,25.194,25.218,1107,0
2017-08-24,25.223,25.253,25.218,25.253,3409,0
2017-08-25,25.283,25.283,25.283,25.283,100,0
2017-08-28,25.295,25.302,25.294,25.294,1963,0
2017-08-29,25.233,25.302,25.233,25.302,9340,0
2017-08-30,25.342,25.342,25.312,25.312,603,0
2017-08-31,25.352,25.422,25.352,25.422,16861,0
2017-09-01,25.382,25.404,25.382,25.401,1994,0
2017-09-05,25.36,25.414,25.36,25.413,802,0
2017-09-06,25.399,25.404,25.334,25.334,6014,0
2017-09-07,25.394,25.404,25.374,25.374,727,0
2017-09-08,25.384,25.384,25.318,25.318,416,0
2017-09-11,25.414,25.414,25.374,25.374,251,0
2017-09-12,25.374,25.384,25.374,25.374,984,0
2017-09-13,25.324,25.344,25.324,25.344,251,0
2017-09-14,25.339,25.374,25.339,25.364,419031,0
2017-09-15,25.384,25.384,25.374,25.384,3240,0
2017-09-19,25.394,25.394,25.394,25.394,111,0
2017-09-20,25.434,25.434,25.414,25.419,1204,0
2017-09-21,25.414,25.414,25.414,25.414,546,0
2017-09-22,25.404,25.434,25.404,25.434,3934,0
2017-09-25,25.454,25.454,25.434,25.434,308,0
2017-09-26,25.484,25.484,25.434,25.434,6019,0
2017-09-27,25.417,25.464,25.417,25.464,598,0
2017-09-28,25.424,25.436,25.414,25.434,15260,0
2017-09-29,25.434,25.434,25.394,25.394,38422,0
2017-10-02,25.41,25.43,25.4,25.4,2058,0
2017-10-03,25.4319,25.46,25.4319,25.456,1792,0
2017-10-04,25.45,25.45,25.45,25.45,123,0
2017-10-05,25.48,25.48,25.48,25.48,1084,0
2017-10-06,25.45,25.47,25.426,25.47,7780,0
2017-10-09,25.46,25.46,25.46,25.46,2764,0
2017-10-10,25.46,25.46,25.4,25.4,3498,0
2017-10-11,25.46,25.46,25.46,25.46,400,0
2017-10-12,25.434,25.434,25.434,25.434,1201,0
2017-10-13,25.47,25.47,25.411,25.44,4096,0
2017-10-16,25.44,25.44,25.44,25.44,597,0
2017-10-17,25.4196,25.48,25.41,25.48,1970,0
2017-10-18,25.46,25.49,25.46,25.49,2666,0
2017-10-19,25.49,25.52,25.47,25.52,5297,0
2017-10-20,25.52,25.52,25.52,25.52,172,0
2017-10-23,25.515,25.53,25.49,25.49,5144,0
2017-10-24,25.505,25.505,25.49,25.5,3103,0
2017-10-25,25.455,25.51,25.4135,25.5,10876,0
2017-10-26,25.455,25.455,25.42,25.45,2145,0
2017-10-27,25.43,25.48,25.43,25.43,34078,0
2017-10-30,25.425,25.47,25.42,25.46,2712,0
2017-10-31,25.47,25.48,25.4341,25.47,5582,0
2017-11-01,25.39,25.4,25.39,25.4,2572,0
2017-11-02,25.43,25.44,25.425,25.44,8239,0
2017-11-03,25.43,25.44,25.39,25.44,2433,0
2017-11-06,25.38,25.43,25.38,25.4,2739,0
2017-11-07,25.37,25.37,25.37,25.37,7853,0
2017-11-08,25.311,25.32,25.2561,25.2561,2709,0
2017-11-09,25.1748,25.23,25.1748,25.23,867,0
2017-11-10,25.21,25.21,25.21,25.21,595,0
2017-11-20,25.24,25.25,25.22,25.22,3000,0
2017-11-21,25.30,25.30,25.30,25.30,600,0
2017-11-22,25.31,25.32,25.31,25.31,1100,0
2017-11-24,25.31,25.31,25.31,25.31,-,0
2017-11-27,25.33,25.33,25.33,25.33,300,0
2017-11-28,25.36,25.39,25.36,25.39,4900,0
2017-11-29,25.32,25.33,25.31,25.33,5400,0
2017-11-30,25.34,25.34,25.34,25.34,700,0
2017-12-01,25.15,25.22,25.15,25.22,4500,0
2017-12-04,25.27,25.27,25.19,25.20,5200,0
2017-12-05,25.17,25.20,25.17,25.20,3200,0
2017-12-06,25.22,25.23,25.19,25.20,600,0
2017-12-07,25.15,25.21,25.15,25.20,700,0
2017-12-08,25.23,25.24,25.19,25.21,17300,0
2017-12-11,25.25,25.25,25.24,25.24,1700,0
2017-12-12,25.25,25.25,25.22,25.23,4800,0
2017-12-13,25.22,25.22,25.22,25.22,500,0
2017-12-14,25.27,25.27,25.17,25.17,9900,0
2017-12-15,25.24,25.24,25.20,25.20,2900,0
2017-12-18,25.23,25.24,25.21,25.21,4500,0
2017-12-19,25.19,25.22,25.17,25.22,1800,0
2017-12-20,25.23,25.23,25.19,25.20,2600,0
2017-12-21,25.24,25.25,25.21,25.21,5400,0
2017-12-22,25.24,25.24,25.19,25.20,3000,0
2017-12-26,25.23,25.26,25.23,25.26,400,0
2017-12-27,25.29,25.29,25.28,25.29,2600,0
2017-12-28,25.16,25.16,25.15,25.16,1200,0
2017-12-29,25.11,25.15,25.11,25.15,2200,0
2018-01-02,25.17,25.25,25.17,25.25,5100,0
2018-01-03,25.27,25.33,25.27,25.33,1800,0
2018-01-04,25.32,25.37,25.32,25.37,1000,0
2018-01-05,25.36,25.36,25.36,25.36,500,0
2018-01-08,25.37,25.37,25.34,25.35,2500,0
2018-01-09,25.32,25.32,25.31,25.31,1000,0
2018-01-10,25.25,25.25,25.18,25.22,2800,0
2018-01-11,25.26,25.30,25.24,25.30,4200,0
2018-01-12,25.27,25.28,25.25,25.25,4000,0
2018-01-16,25.27,25.27,25.23,25.25,4500,0
2018-01-17,25.23,25.28,25.23,25.28,2200,0
2018-01-18,25.23,25.23,25.20,25.20,150900,0
2018-01-19,25.20,25.23,25.19,25.23,36100,0
2018-01-22,25.26,25.27,25.25,25.26,38000,0
2018-01-23,25.28,25.29,25.25,25.29,10200,0
2018-01-24,25.26,25.28,25.24,25.27,14400,0
2018-01-25,25.25,25.26,25.24,25.26,2000,0
2018-01-26,25.28,25.31,25.25,25.28,3500,0
2018-01-29,25.17,25.22,25.15,25.18,3100,0
2018-01-30,25.10,25.11,25.07,25.10,1500,0
2018-01-31,25.13,25.14,25.09,25.12,5800,0
2018-02-01,25.02,25.03,24.97,24.97,3300,0
2018-02-02,24.90,24.92,24.90,24.92,300,0
2018-02-05,24.88,24.91,24.65,24.65,2900,0
2018-02-06,24.70,24.85,24.70,24.83,2700,0
2018-02-07,24.87,24.89,24.84,24.84,2400,0
2018-02-08,24.63,24.63,24.58,24.58,1900,0
2018-02-09,24.51,24.51,24.32,24.32,300,0
2018-02-12,24.55,24.57,24.53,24.57,2500,0
2018-02-13,24.55,24.55,24.55,24.55,100,0
2018-02-14,24.39,24.46,24.39,24.45,3600,0
2018-02-15,24.57,24.58,24.57,24.58,2500,0
2018-02-16,24.58,24.58,24.58,24.58,-,0
2018-02-20,24.58,24.58,24.58,24.58,-,0
2018-02-21,24.65,24.65,24.59,24.59,1200,0
2018-02-22,24.71,24.71,24.70,24.71,1200,0
2018-02-23,24.69,24.69,24.67,24.67,900,0
2018-02-26,24.82,24.83,24.80,24.80,2500,0
2018-02-27,24.78,24.78,24.76,24.77,1900,0
2018-02-28,24.76,24.77,24.76,24.77,800,0
2018-03-01,24.60,24.63,24.58,24.61,3300,0
2018-03-02,24.52,24.63,24.52,24.60,4400,0
2018-03-05,24.60,24.60,24.60,24.60,900,0
2018-03-06,24.60,24.60,24.60,24.60,-,0
2018-03-07,24.58,24.63,24.57,24.63,107600,0
2018-03-08,24.58,24.58,24.56,24.57,800,0
2018-03-09,24.65,24.65,24.65,24.65,200,0
2018-03-12,24.64,24.68,24.63,24.68,2000,0
2018-03-13,24.65,24.66,24.63,24.63,1100,0
2018-03-14,24.63,24.63,24.63,24.63,-,0
2018-03-15,24.55,24.58,24.55,24.58,500,0
2018-03-16,24.58,24.58,24.58,24.58,-,0
2018-03-19,24.55,24.56,24.52,24.52,900,0
2018-03-20,24.54,24.54,24.54,24.54,600,0
2018-03-21,24.58,24.58,24.56,24.57,1300,0
2018-03-22,24.54,24.54,24.41,24.41,2800,0
