Date,Open,High,Low,Close,Volume,OpenInt
2017-01-17,49.439,49.439,49.439,49.439,204,0
2017-01-19,49.486,49.486,49.486,49.486,209,0
2017-01-30,49.522,49.53,49.522,49.53,209,0
2017-02-06,49.712,49.712,49.712,49.712,157,0
2017-02-07,49.778,49.778,49.778,49.778,100,0
2017-02-16,49.892,49.892,49.892,49.892,402,0
2017-02-23,50.267,50.267,50.267,50.267,784,0
2017-02-28,50.307,50.307,50.307,50.307,387,0
2017-03-03,50.331,50.345,50.33,50.345,847,0
2017-03-10,49.594,49.594,49.594,49.594,384,0
2017-03-24,49.627,49.63,49.625,49.627,2584,0
2017-04-05,50.343,50.344,50.343,50.344,1934,0
2017-04-12,50.285,50.285,50.285,50.285,340,0
2017-04-24,50.665,50.665,50.665,50.665,248,0
2017-04-25,50.713,50.713,50.694,50.694,1030,0
2017-04-26,50.683,50.683,50.683,50.683,100,0
2017-04-28,50.77,50.78,50.77,50.78,4424,0
2017-05-01,50.831,50.831,50.831,50.831,101,0
2017-05-03,50.868,50.868,50.831,50.831,825,0
2017-05-05,50.674,50.674,50.674,50.674,984,0
2017-05-09,50.771,50.771,50.771,50.771,461,0
2017-05-10,50.831,50.831,50.831,50.831,217,0
2017-05-19,50.743,50.743,50.743,50.743,4097,0
2017-05-22,50.84,50.853,50.84,50.853,232,0
2017-05-31,51.048,51.048,51.048,51.048,205,0
2017-06-01,51.133,51.133,51.133,51.133,513,0
2017-06-19,51.349,51.349,51.349,51.349,134,0
2017-06-20,51.233,51.26,51.233,51.26,1120,0
2017-06-21,51.191,51.191,51.162,51.162,304,0
2017-06-22,54.419,54.419,51.044,51.113,4459,0
2017-06-26,51.29,51.29,51.277,51.277,1948,0
2017-07-03,51.378,51.378,51.358,51.358,405,0
2017-07-18,51.585,51.585,51.585,51.585,193,0
2017-07-20,51.733,51.733,51.733,51.733,415,0
2017-07-25,51.753,51.753,51.733,51.733,487,0
2017-07-26,51.753,51.753,51.753,51.753,243,0
2017-08-01,51.767,51.767,51.767,51.767,214,0
2017-08-02,51.79,51.8,51.79,51.8,315,0
2017-08-04,51.671,51.691,51.671,51.691,313,0
2017-08-07,51.69,51.69,51.674,51.674,204,0
2017-08-08,51.701,51.701,51.701,51.701,169,0
2017-08-09,51.502,51.502,51.424,51.424,2727,0
2017-08-10,51.236,51.236,51.216,51.216,609,0
2017-08-11,51.186,51.198,51.186,51.192,635,0
2017-08-14,51.362,51.362,51.362,51.362,139,0
2017-08-17,51.324,51.324,51.324,51.324,473,0
2017-08-18,51.265,51.275,51.255,51.255,820,0
2017-08-21,51.275,51.304,51.275,51.304,242,0
2017-08-22,51.383,51.383,51.383,51.383,1025,0
2017-08-25,51.502,51.502,51.502,51.502,100,0
2017-08-28,51.552,51.552,51.552,51.552,1775,0
2017-08-29,51.542,51.542,51.542,51.542,100,0
