Date,Open,High,Low,Close,Volume,OpenInt
2017-10-09,9.75,9.85,9.75,9.8,516881,0
2017-10-10,9.85,9.85,9.8204,9.83,44687,0
2017-10-11,9.85,10.01,9.85,9.87,28720,0
2017-10-12,9.84,9.89,9.84,9.87,185800,0
2017-10-13,9.84,9.95,9.8106,9.84,206086,0
2017-10-16,9.8304,9.8304,9.78,9.83,14700,0
2017-10-17,9.83,9.83,9.83,9.83,2047,0
2017-10-19,9.83,9.86,9.82,9.84,4741,0
2017-10-20,9.84,9.85,9.83,9.8499,4739,0
2017-10-23,9.8459,9.85,9.83,9.8372,2301,0
2017-10-25,9.82,9.85,9.8,9.85,418412,0
2017-10-26,9.84,9.84,9.84,9.84,25001,0
2017-10-27,9.8499,9.8499,9.8499,9.8499,487,0
2017-10-31,9.85,9.8538,9.83,9.8538,3950,0
2017-11-01,9.85,9.85,9.85,9.85,450,0
2017-11-02,9.82,9.82,9.82,9.82,200,0
2017-11-06,9.77,10.52,9.77,9.88,2175,0
2017-11-07,9.9,9.9,9.86,9.89,5400,0
2017-11-08,9.84,9.88,9.84,9.88,1200,0
2017-11-13,9.84,9.90,9.84,9.90,2800,0
2017-11-14,9.86,9.92,9.85,9.85,301500,0
2017-11-15,9.85,9.85,9.85,9.85,-,0
2017-11-16,9.89,9.89,9.89,9.89,2200,0
2017-11-17,9.85,9.93,9.85,9.93,201200,0
2017-11-20,9.85,9.85,9.84,9.85,29100,0
2017-11-21,9.91,9.95,9.86,9.86,2600,0
2017-11-22,9.93,10.16,9.78,9.85,15100,0
2017-11-24,9.85,9.85,9.85,9.85,-,0
2017-11-27,11.11,11.11,9.82,9.98,2200,0
2017-11-28,9.89,9.93,9.89,9.93,300,0
2017-11-29,9.80,9.93,9.80,9.93,5900,0
2017-11-30,9.93,9.93,9.93,9.93,-,0
2017-12-01,9.90,9.90,9.86,9.90,11000,0
2017-12-04,9.88,9.88,9.88,9.88,600,0
2017-12-05,9.88,9.88,9.88,9.88,-,0
2017-12-06,9.88,9.88,9.88,9.88,-,0
2017-12-07,9.88,9.88,9.88,9.88,-,0
2017-12-08,9.88,9.88,9.88,9.88,-,0
2017-12-11,9.90,9.90,9.90,9.90,13600,0
2017-12-12,9.90,9.91,9.90,9.90,1100,0
2017-12-13,9.94,9.95,9.94,9.95,600,0
2017-12-14,9.95,9.95,9.95,9.95,-,0
2017-12-15,9.94,9.97,9.93,9.93,1600,0
2017-12-18,9.93,9.93,9.93,9.93,-,0
2017-12-19,9.95,9.95,9.92,9.92,800,0
2017-12-20,9.92,9.92,9.92,9.92,-,0
2017-12-21,9.91,9.91,9.80,9.86,5000,0
2017-12-22,9.80,9.80,9.80,9.80,600,0
2017-12-26,9.80,9.80,9.80,9.80,-,0
2017-12-27,9.80,9.80,9.80,9.80,-,0
2017-12-28,10.00,10.00,9.85,9.87,2000,0
2017-12-29,9.87,9.87,9.87,9.87,-,0
2018-01-02,9.87,9.87,9.87,9.87,-,0
2018-01-03,9.87,9.87,9.87,9.87,-,0
2018-01-04,9.87,9.87,9.87,9.87,-,0
2018-01-05,9.87,9.87,9.87,9.87,-,0
2018-01-08,9.87,9.87,9.87,9.87,-,0
2018-01-09,9.87,9.87,9.87,9.87,-,0
2018-01-10,9.87,9.87,9.87,9.87,-,0
2018-01-11,9.87,9.87,9.87,9.87,-,0
2018-01-12,9.87,9.87,9.87,9.87,-,0
2018-01-16,9.87,9.87,9.87,9.87,-,0
2018-01-17,9.85,9.85,9.85,9.85,100,0
2018-01-18,9.85,9.85,9.85,9.85,-,0
2018-01-19,9.85,9.85,9.85,9.85,-,0
2018-01-22,9.85,9.85,9.85,9.85,-,0
2018-01-23,9.85,9.85,9.85,9.85,-,0
2018-01-24,9.85,9.85,9.85,9.85,-,0
2018-01-25,9.85,9.85,9.85,9.85,-,0
2018-01-26,9.85,9.85,9.85,9.85,-,0
2018-01-29,9.85,9.85,9.85,9.85,-,0
2018-01-30,9.85,9.85,9.85,9.85,100,0
2018-01-31,9.85,9.85,9.85,9.85,-,0
2018-02-01,9.85,9.85,9.85,9.85,-,0
2018-02-02,9.85,9.86,9.85,9.86,59000,0
2018-02-05,9.86,9.86,9.86,9.86,-,0
2018-02-06,9.86,9.86,9.86,9.86,-,0
2018-02-07,9.86,9.86,9.86,9.86,-,0
2018-02-08,9.86,9.86,9.86,9.86,-,0
2018-02-09,9.86,9.86,9.86,9.86,-,0
2018-02-12,9.86,9.86,9.86,9.86,500,0
2018-02-13,9.95,9.95,9.95,9.95,300,0
2018-02-14,10.20,10.20,9.89,9.93,11800,0
2018-02-15,9.93,9.93,9.93,9.93,-,0
2018-02-16,9.93,9.93,9.93,9.93,-,0
2018-02-20,9.93,9.93,9.93,9.93,-,0
2018-02-21,10.02,10.02,10.02,10.02,200,0
2018-02-22,9.86,9.97,9.85,9.97,800,0
2018-02-23,9.97,9.97,9.97,9.97,-,0
2018-02-26,9.88,9.88,9.88,9.88,100,0
2018-02-27,9.88,9.88,9.88,9.88,225000,0
2018-02-28,9.88,9.88,9.86,9.87,15400,0
2018-03-01,9.87,9.87,9.87,9.87,-,0
2018-03-02,9.90,9.90,9.90,9.90,200,0
2018-03-05,9.90,9.90,9.90,9.90,-,0
2018-03-06,9.88,9.90,9.86,9.90,14000,0
2018-03-07,9.87,9.99,9.87,9.95,5200,0
2018-03-08,9.93,9.93,9.93,9.93,200,0
2018-03-09,9.93,9.93,9.93,9.93,-,0
2018-03-12,9.93,9.93,9.93,9.93,-,0
2018-03-13,9.93,9.93,9.93,9.93,-,0
2018-03-14,9.93,9.93,9.93,9.93,-,0
2018-03-15,11.94,11.94,10.10,10.10,1100,0
2018-03-16,9.96,9.98,9.95,9.95,2400,0
2018-03-19,9.90,9.97,9.90,9.90,3600,0
2018-03-20,9.90,9.90,9.90,9.90,-,0
2018-03-21,9.97,9.97,9.97,9.97,2100,0
2018-03-22,9.94,9.94,9.94,9.94,500,0
2018-03-23,9.94,9.94,9.94,9.94,-,0
2018-03-26,9.94,9.94,9.94,9.94,-,0
2018-03-27,9.94,9.94,9.94,9.94,-,0
2018-03-28,9.94,9.94,9.94,9.94,-,0
2018-03-29,9.94,9.94,9.94,9.94,-,0
2018-04-02,9.94,9.94,9.94,9.94,-,0
2018-04-03,9.94,9.94,9.94,9.94,-,0
2018-04-04,9.94,9.94,9.94,9.94,-,0
2018-04-05,9.94,9.94,9.94,9.94,-,0
2018-04-06,9.94,9.94,9.94,9.94,-,0
2018-04-09,9.94,9.95,9.95,9.95,40,0
