Date,Open,High,Low,Close,Volume,OpenInt
2017-09-15,24.96,24.96,24.955,24.955,400,0
2017-09-18,25.01,25.01,24.92,24.97,3885,0
2017-09-19,24.98,24.98,24.86,24.86,3500,0
2017-09-20,24.9,24.9,24.84,24.86,1670,0
2017-09-21,24.81,24.81,24.8064,24.8064,4000,0
2017-09-22,24.87,24.87,24.86,24.87,1364,0
2017-09-25,24.88,24.96,24.88,24.96,1084,0
2017-09-26,24.86,24.86,24.86,24.86,235,0
2017-09-27,24.81,24.84,24.8016,24.8077,4727,0
2017-09-28,24.82,24.85,24.8,24.85,2701,0
2017-09-29,24.84,24.86,24.84,24.84,3092,0
2017-10-02,24.9,24.9,24.826,24.8525,3665,0
2017-10-03,24.89,24.92,24.89,24.92,1294,0
2017-10-04,24.95,24.95,24.92,24.92,1655,0
2017-10-05,24.93,24.93,24.9,24.92,4099,0
2017-10-06,24.84,24.88,24.83,24.88,3567,0
2017-10-09,24.9,24.9,24.88,24.88,4230,0
2017-10-10,24.9325,24.9325,24.9325,24.9325,200,0
2017-10-13,25.01,25.05,25.01,25.05,700,0
2017-10-16,25.0499,25.0499,25.04,25.04,400,0
2017-10-17,25.02,25.0591,25.02,25.059,1383,0
2017-10-18,24.97,24.98,24.95,24.9567,11591,0
2017-10-20,24.9,24.93,24.8833,24.93,4941,0
2017-10-23,24.9736,25.04,24.9736,25.0019,4536,0
2017-10-24,24.98,24.98,24.9694,24.98,7016,0
2017-10-25,24.88,24.899,24.84,24.899,3793,0
2017-10-26,24.9116,24.9116,24.91,24.91,414,0
2017-10-27,24.94,24.96,24.9388,24.96,2425,0
2017-10-30,25.0026,25.045,25.0026,25.0325,1171,0
2017-10-31,25.038,25.038,25.037,25.037,1100,0
2017-11-01,24.97,24.97,24.9,24.9453,4823,0
2017-11-02,24.96,24.99,24.956,24.99,2266,0
2017-11-03,24.94,24.99,24.9243,24.99,7396,0
2017-11-06,24.9664,25.02,24.9664,25.01,6545,0
2017-11-07,24.98,24.98,24.97,24.97,5273,0
2017-11-08,24.95,24.96,24.9182,24.9299,2968,0
2017-11-09,24.9,24.92,24.86,24.9,3766,0
2017-11-10,24.779,24.78,24.76,24.76,3229,0
2017-11-20,24.790,24.840,24.768,24.840,5300,0
2017-11-21,24.850,24.850,24.832,24.832,1100,0
2017-11-22,24.910,24.980,24.901,24.980,3100,0
2017-11-24,24.910,24.950,24.910,24.950,1300,0
2017-11-27,24.980,24.980,24.930,24.940,1000,0
2017-11-28,24.950,25.000,24.950,24.980,1900,0
2017-11-29,24.860,24.910,24.860,24.900,3700,0
2017-11-30,24.860,24.900,24.816,24.873,19500,0
2017-12-01,24.750,24.905,24.750,24.905,600,0
2017-12-04,24.810,24.810,24.780,24.800,800,0
2017-12-05,24.840,24.940,24.830,24.940,7200,0
2017-12-06,24.950,24.990,24.950,24.990,1000,0
2017-12-07,24.910,24.950,24.880,24.890,2800,0
2017-12-08,24.829,24.910,24.829,24.884,826200,0
2017-12-11,24.860,24.910,24.810,24.880,4000,0
2017-12-12,24.781,24.880,24.781,24.850,7100,0
2017-12-13,24.850,24.980,24.850,24.907,6000,0
2017-12-14,24.880,25.000,24.880,24.960,9000,0
2017-12-15,24.863,25.000,24.856,24.950,11900,0
2017-12-18,24.935,24.960,24.865,24.930,5400,0
2017-12-19,24.830,24.830,24.767,24.779,4300,0
2017-12-20,24.700,24.800,24.700,24.770,6400,0
2017-12-21,24.710,24.770,24.650,24.770,4600,0
2017-12-22,24.740,25.040,24.700,24.700,337800,0
2017-12-26,25.890,25.890,24.690,24.780,22700,0
2017-12-27,24.830,24.920,24.750,24.895,45300,0
2017-12-28,24.840,24.920,24.840,24.860,2300,0
2017-12-29,24.850,24.970,24.850,24.940,22800,0
2018-01-02,24.880,24.920,24.780,24.869,33700,0
2018-01-03,24.900,24.910,24.850,24.890,59100,0
2018-01-04,24.860,24.910,24.840,24.900,12800,0
2018-01-05,24.830,24.870,24.817,24.830,6900,0
2018-01-08,24.990,24.990,24.800,24.860,19800,0
2018-01-09,24.910,24.910,24.660,24.755,84000,0
2018-01-10,24.710,24.710,24.679,24.681,3200,0
2018-01-11,24.760,24.870,24.722,24.870,34900,0
2018-01-12,24.785,24.840,24.700,24.840,6800,0
2018-01-16,24.830,24.880,24.800,24.850,40200,0
2018-01-17,24.850,24.850,24.726,24.800,29800,0
2018-01-18,24.650,24.710,24.620,24.700,10900,0
2018-01-19,24.670,24.670,24.600,24.600,16200,0
2018-01-22,24.550,24.640,24.550,24.580,39300,0
2018-01-23,24.630,24.705,24.628,24.690,800300,0
2018-01-24,24.650,24.670,24.601,24.650,16200,0
2018-01-25,24.590,24.730,24.590,24.717,235700,0
2018-01-26,24.687,24.690,24.570,24.680,7200,0
2018-01-29,24.550,24.680,24.500,24.680,73100,0
