Date,Open,High,Low,Close,Volume,OpenInt
2017-07-14,49.984,49.984,49.964,49.964,202,0
2017-07-17,49.964,49.964,49.964,49.964,0,0
2017-07-18,49.964,49.964,49.964,49.964,0,0
2017-07-19,50.152,50.162,50.152,50.162,322,0
2017-07-20,50.162,50.162,50.162,50.162,0,0
2017-07-21,50.162,50.162,50.162,50.162,0,0
2017-07-24,50.262,50.262,50.262,50.262,119,0
2017-07-25,50.262,50.262,50.262,50.262,0,0
2017-07-26,50.262,50.262,50.262,50.262,0,0
2017-07-27,50.262,50.262,50.262,50.262,0,0
2017-07-28,50.262,50.262,50.262,50.262,0,0
2017-07-31,50.182,50.182,50.182,50.182,100,0
2017-08-01,50.182,50.182,50.182,50.182,0,0
2017-08-02,50.182,50.182,50.182,50.182,0,0
2017-08-03,50.182,50.182,50.182,50.182,0,0
2017-08-04,50.182,50.182,50.182,50.182,0,0
2017-08-07,50.182,50.182,50.182,50.182,0,0
2017-08-08,50.182,50.182,50.182,50.182,0,0
2017-08-09,50.182,50.182,50.182,50.182,0,0
2017-08-10,50.182,50.182,50.182,50.182,0,0
2017-08-11,50.182,50.182,50.182,50.182,0,0
2017-08-14,50.182,50.182,50.182,50.182,100,0
2017-08-15,50.182,50.182,50.182,50.182,0,0
2017-08-16,50.182,50.182,50.182,50.182,0,0
2017-08-17,50.29,50.29,50.29,50.29,403,0
2017-08-18,50.361,50.361,50.361,50.361,108,0
2017-08-21,50.291,50.291,50.291,50.291,0,0
2017-08-22,50.291,50.291,50.291,50.291,0,0
2017-08-23,50.291,50.291,50.291,50.291,0,0
2017-08-24,50.291,50.291,50.291,50.291,0,0
2017-08-25,50.291,50.291,50.291,50.291,0,0
2017-08-28,50.291,50.291,50.291,50.291,0,0
2017-08-29,50.291,50.291,50.291,50.291,0,0
2017-08-30,50.291,50.291,50.291,50.291,0,0
2017-08-31,50.599,50.599,50.599,50.599,202,0
2017-09-01,50.632,50.632,50.582,50.582,201,0
2017-09-05,50.582,50.582,50.582,50.582,0,0
2017-09-06,50.732,50.732,50.732,50.732,201,0
2017-09-07,50.732,50.732,50.732,50.732,0,0
2017-09-08,50.732,50.732,50.732,50.732,0,0
2017-09-11,50.732,50.732,50.732,50.732,0,0
2017-09-12,50.443,50.443,50.443,50.443,204,0
2017-09-13,50.492,50.492,50.492,50.492,1033,0
2017-09-14,50.413,50.413,50.413,50.413,156,0
2017-09-15,50.413,50.413,50.413,50.413,0,0
2017-09-18,50.492,50.492,50.492,50.492,100,0
2017-09-19,50.433,50.433,50.433,50.433,606,0
2017-09-20,50.333,50.333,50.333,50.333,414,0
2017-09-21,50.333,50.333,50.333,50.333,0,0
2017-09-22,50.333,50.333,50.333,50.333,0,0
2017-09-25,50.592,50.592,50.592,50.592,501,0
2017-09-26,50.602,50.602,50.562,50.562,1801,0
2017-09-27,50.413,50.413,50.413,50.413,1472,0
2017-09-28,50.413,50.413,50.413,50.413,0,0
2017-09-29,50.413,50.413,50.413,50.413,0,0
2017-10-02,50.4126,50.4126,50.4126,50.4126,0,0
2017-10-03,50.5852,50.5852,50.56,50.56,200,0
2017-10-04,50.56,50.56,50.56,50.56,0,0
2017-10-05,50.56,50.56,50.56,50.56,0,0
2017-10-06,50.47,50.47,50.47,50.47,100,0
2017-10-09,50.57,50.57,50.5516,50.5516,375,0
2017-10-10,50.5516,50.5516,50.5516,50.5516,0,0
2017-10-11,50.5516,50.5516,50.5516,50.5516,0,0
2017-10-12,50.5901,50.6599,50.5901,50.6599,430,0
2017-10-13,50.6599,50.6599,50.6599,50.6599,0,0
2017-10-16,50.6599,50.6599,50.6599,50.6599,0,0
2017-10-17,50.6599,50.6599,50.6599,50.6599,10,0
2017-10-18,50.7,50.7,50.7,50.7,459,0
2017-10-19,50.7,50.7,50.7,50.7,0,0
2017-10-20,50.7,50.7,50.7,50.7,0,0
2017-10-23,50.7,50.7,50.7,50.7,65,0
2017-10-24,50.7,50.7,50.7,50.7,130,0
2017-10-25,50.45,50.45,50.45,50.45,213,0
2017-10-26,50.525,50.525,50.525,50.525,175,0
2017-10-27,50.53,50.53,50.53,50.53,100,0
2017-10-30,50.53,50.53,50.53,50.53,162,0
2017-10-31,50.53,50.53,50.53,50.53,0,0
2017-11-01,50.58,50.58,50.58,50.58,12,0
2017-11-02,50.61,50.61,50.61,50.61,125,0
2017-11-03,50.61,50.61,50.61,50.61,127,0
2017-11-06,50.61,50.61,50.61,50.61,0,0
2017-11-07,50.66,50.66,50.66,50.66,114,0
2017-11-08,50.66,50.66,50.66,50.66,115,0
2017-11-09,50.66,50.66,50.66,50.66,4,0
2017-11-10,50.66,50.66,50.66,50.66,0,0
2017-11-20,50.43,50.43,50.43,50.43,-,0
2017-11-21,50.43,50.43,50.43,50.43,-,0
2017-11-22,50.43,50.43,50.43,50.43,100,0
2017-11-24,50.43,50.43,50.43,50.43,-,0
2017-11-27,50.43,50.43,50.43,50.43,-,0
2017-11-28,50.43,50.43,50.43,50.43,-,0
2017-11-29,50.43,50.43,50.43,50.43,-,0
2017-11-30,50.43,50.43,50.43,50.43,-,0
2017-12-01,50.43,50.43,50.43,50.43,-,0
2017-12-04,50.43,50.43,50.43,50.43,-,0
2017-12-05,50.57,50.57,50.57,50.57,300,0
2017-12-06,50.57,50.57,50.57,50.57,-,0
2017-12-07,50.57,50.57,50.57,50.57,-,0
2017-12-08,50.57,50.57,50.57,50.57,-,0
2017-12-11,50.57,50.57,50.57,50.57,-,0
2017-12-12,50.49,50.49,50.49,50.49,300,0
2017-12-13,50.49,50.49,50.49,50.49,-,0
2017-12-14,50.49,50.49,50.49,50.49,-,0
2017-12-15,50.49,50.49,50.49,50.49,-,0
2017-12-18,50.67,50.67,50.67,50.67,100,0
2017-12-19,50.67,50.67,50.67,50.67,-,0
2017-12-20,50.31,50.31,50.31,50.31,1000,0
2017-12-21,50.13,50.13,50.13,50.13,-,0
2017-12-22,50.13,50.13,50.13,50.13,-,0
2017-12-26,50.13,50.13,50.13,50.13,-,0
2017-12-27,50.13,50.13,50.13,50.13,-,0
2017-12-28,50.13,50.13,50.13,50.13,-,0
2017-12-29,50.13,50.13,50.13,50.13,-,0
2018-01-02,50.13,50.13,50.13,50.13,100,0
2018-01-03,50.13,50.13,50.13,50.13,-,0
2018-01-04,50.36,50.38,50.36,50.38,700,0
2018-01-05,50.34,50.34,50.34,50.34,500,0
2018-01-08,50.40,50.40,50.40,50.40,900,0
2018-01-09,50.40,50.40,50.40,50.40,-,0
2018-01-10,50.25,50.25,50.25,50.25,200,0
2018-01-11,50.24,50.34,50.24,50.34,900,0
2018-01-12,50.34,50.34,50.34,50.34,-,0
2018-01-16,50.34,50.34,50.34,50.34,-,0
2018-01-17,50.30,50.30,50.30,50.30,100,0
2018-01-18,50.30,50.30,50.30,50.30,-,0
2018-01-19,50.01,50.04,50.01,50.04,400,0
2018-01-22,49.96,49.96,49.96,49.96,100,0
2018-01-23,49.96,49.96,49.96,49.96,-,0
2018-01-24,49.96,49.96,49.96,49.96,-,0
2018-01-25,49.96,49.96,49.96,49.96,-,0
2018-01-26,49.96,49.96,49.96,49.96,100,0
2018-01-29,50.04,50.04,50.04,50.04,100,0
2018-01-30,50.04,50.04,50.04,50.04,-,0
2018-01-31,50.04,50.04,50.04,50.04,100,0
2018-02-01,50.04,50.04,50.04,50.04,-,0
2018-02-02,49.91,49.91,49.91,49.91,100,0
2018-02-05,49.39,49.58,49.39,49.58,1500,0
2018-02-06,49.58,49.58,49.58,49.58,100,0
2018-02-07,49.58,49.60,49.58,49.60,500,0
2018-02-08,49.13,49.13,49.13,49.13,100,0
2018-02-09,49.13,49.13,49.13,49.13,-,0
2018-02-12,49.13,49.13,49.13,49.13,100,0
2018-02-13,49.13,49.13,49.13,49.13,-,0
2018-02-14,49.13,49.13,49.13,49.13,100,0
2018-02-15,49.13,49.13,49.13,49.13,100,0
2018-02-16,49.13,49.13,49.13,49.13,-,0
2018-02-20,49.13,49.13,49.13,49.13,-,0
2018-02-21,49.13,49.13,49.13,49.13,100,0
2018-02-22,49.13,49.13,49.13,49.13,-,0
