Date,Open,High,Low,Close,Volume,OpenInt
2017-09-14,24.861,24.861,24.849,24.849,201,0
2017-09-20,24.751,24.751,24.751,24.751,100,0
2017-09-28,24.602,24.602,24.602,24.602,301,0
2017-10-19,24.7499,24.7499,24.7302,24.7302,280,0
2017-11-17,24.56,24.56,24.56,24.56,-,0
2017-11-20,24.56,24.56,24.56,24.56,-,0
2017-11-21,24.56,24.56,24.56,24.56,-,0
2017-11-22,24.77,24.83,24.77,24.83,500,0
2017-11-24,24.83,24.83,24.83,24.83,-,0
2017-11-27,24.77,24.77,24.77,24.77,200,0
2017-11-28,24.81,24.81,24.81,24.81,200,0
2017-11-29,24.77,24.77,24.77,24.77,200,0
2017-11-30,24.77,24.77,24.77,24.77,-,0
2017-12-01,24.68,24.68,24.68,24.68,100,0
2017-12-04,24.68,24.68,24.68,24.68,-,0
2017-12-05,24.68,24.68,24.68,24.68,-,0
2017-12-06,24.68,24.68,24.68,24.68,-,0
2017-12-07,24.68,24.68,24.68,24.68,-,0
2017-12-08,24.68,24.68,24.68,24.68,-,0
2017-12-11,24.68,24.68,24.68,24.68,-,0
2017-12-12,24.68,24.68,24.68,24.68,-,0
2017-12-13,24.68,24.68,24.68,24.68,-,0
2017-12-14,24.68,24.68,24.68,24.68,-,0
2017-12-15,24.68,24.68,24.68,24.68,-,0
2017-12-18,24.68,24.68,24.68,24.68,-,0
2017-12-19,24.68,24.68,24.68,24.68,-,0
2017-12-20,24.67,24.67,24.61,24.61,48100,0
2017-12-21,24.61,24.61,24.61,24.61,-,0
2017-12-22,24.61,24.61,24.61,24.61,-,0
2017-12-26,24.61,24.61,24.61,24.61,-,0
2017-12-27,24.61,24.61,24.61,24.61,-,0
2017-12-28,24.61,24.61,24.61,24.61,-,0
2017-12-29,24.61,24.61,24.61,24.61,-,0
2018-01-02,24.61,24.61,24.61,24.61,-,0
2018-01-03,24.61,24.61,24.61,24.61,-,0
2018-01-04,24.61,24.61,24.61,24.61,-,0
2018-01-05,24.61,24.61,24.61,24.61,-,0
2018-01-08,24.61,24.61,24.61,24.61,-,0
2018-01-09,25.19,25.19,25.19,25.19,1800,0
2018-01-10,24.82,24.82,24.77,24.77,1600,0
2018-01-11,24.77,24.77,24.77,24.77,-,0
2018-01-12,24.77,24.77,24.77,24.77,-,0
2018-01-16,24.77,24.77,24.77,24.77,-,0
2018-01-17,24.77,24.77,24.77,24.77,100,0
2018-01-18,24.77,24.77,24.77,24.77,100,0
2018-01-19,24.77,24.77,24.77,24.77,-,0
2018-01-22,24.77,24.77,24.77,24.77,-,0
2018-01-23,24.77,24.77,24.77,24.77,-,0
2018-01-24,24.77,24.77,24.77,24.77,200,0
2018-01-25,24.50,24.50,24.50,24.50,200,0
2018-01-26,24.50,24.50,24.50,24.50,-,0
2018-01-29,24.50,24.50,24.50,24.50,-,0
2018-01-30,24.50,24.50,24.50,24.50,-,0
2018-01-31,24.50,24.50,24.50,24.50,-,0
2018-02-01,24.50,24.50,24.50,24.50,-,0
2018-02-02,24.50,24.50,24.50,24.50,-,0
2018-02-05,24.50,24.50,24.50,24.50,-,0
2018-02-06,24.23,24.23,24.07,24.21,600,0
2018-02-07,24.21,24.21,24.21,24.21,-,0
2018-02-08,24.25,24.25,24.25,24.25,300,0
2018-02-09,24.22,24.22,24.22,24.22,200,0
2018-02-12,23.78,23.78,23.78,23.78,100,0
2018-02-13,23.78,23.78,23.78,23.78,-,0
2018-02-14,23.78,23.78,23.78,23.78,-,0
2018-02-15,23.87,23.87,23.87,23.87,200,0
2018-02-16,23.87,23.87,23.87,23.87,-,0
2018-02-20,23.87,23.87,23.87,23.87,-,0
2018-02-21,23.88,23.93,23.88,23.93,400,0
2018-02-22,23.76,23.76,23.76,23.76,200,0
2018-02-23,23.76,23.76,23.76,23.76,-,0
2018-02-26,23.76,23.76,23.76,23.76,-,0
2018-02-27,23.76,23.76,23.76,23.76,-,0
2018-02-28,23.76,23.76,23.76,23.76,-,0
2018-03-01,-,-,-,-,-,0
2018-03-02,23.76,23.76,23.76,23.76,-,0
2018-03-05,23.76,23.76,23.76,23.76,-,0
2018-03-06,23.76,23.76,23.76,23.76,-,0
2018-03-07,23.76,23.76,23.76,23.76,-,0
2018-03-08,23.76,23.76,23.76,23.76,-,0
2018-03-09,23.76,23.76,23.76,23.76,-,0
2018-03-12,23.76,23.76,23.76,23.76,-,0
2018-03-13,23.76,23.76,23.76,23.76,-,0
2018-03-14,23.76,23.76,23.76,23.76,-,0
2018-03-15,23.76,23.76,23.76,23.76,-,0
2018-03-16,23.76,23.76,23.76,23.76,-,0
2018-03-19,23.76,23.76,23.76,23.76,-,0
2018-03-20,23.76,23.76,23.76,23.76,-,0
2018-03-21,23.76,23.76,23.76,23.76,-,0
2018-03-22,23.76,23.76,23.76,23.76,-,0
2018-03-23,23.76,23.76,23.76,23.76,-,0
2018-03-26,23.76,23.76,23.76,23.76,-,0
2018-03-27,23.94,23.95,23.94,23.94,5600,0
2018-03-28,23.94,23.94,23.94,23.94,-,0
2018-03-29,23.94,23.94,23.94,23.94,-,0
2018-04-02,23.94,23.94,23.94,23.94,-,0
2018-04-03,24.02,24.04,24.02,24.04,400,0
2018-04-04,24.04,24.04,24.04,24.04,-,0
2018-04-05,24.04,24.04,24.04,24.04,-,0
2018-04-06,24.04,24.04,24.04,24.04,-,0
