Date,Open,High,Low,Close,Volume,OpenInt
2017-08-11,6,6,6,6,200,0
2017-08-14,6.4,6.5,6.4,6.5,425,0
2017-08-15,6.7,6.7,6.7,6.7,1575,0
2017-08-16,6.75,6.75,6.75,6.75,822,0
2017-08-17,6.75,6.75,6.75,6.75,907,0
2017-08-18,6.85,6.85,6.85,6.85,562,0
2017-08-21,6.95,6.95,6.95,6.95,700,0
2017-08-22,7,7,7,7,406,0
2017-08-24,7,7,7,7,510,0
2017-08-25,7.1,7.1,7.1,7.1,1000,0
2017-08-28,7.2,7.2,7.2,7.2,1301,0
2017-08-29,7.2,7.2,7.2,7.2,300,0
2017-08-30,7.2,7.2,7.2,7.2,319,0
2017-09-01,7.35,7.35,7.35,7.35,515,0
2017-09-05,7.35,7.35,7.35,7.35,301,0
2017-09-06,7.35,7.35,7.35,7.35,309,0
2017-09-07,7.5,7.5,7.5,7.5,243,0
2017-09-08,7.5,7.5,7.5,7.5,540,0
2017-09-12,7.65,7.65,7.65,7.65,821,0
2017-09-14,7.75,7.75,7.75,7.75,1117,0
2017-09-15,8.03,8.03,7.4999,7.4999,2539,0
2017-09-20,7.34,7.9,7.34,7.9,458,0
2017-09-21,7.95,7.95,7.95,7.95,322,0
2017-09-26,7.5,7.5,7.5,7.5,200,0
2017-10-04,7.5,7.5,7.5,7.5,1142,0
2017-10-06,7.12,7.12,7.12,7.12,106,0
2017-11-13,7.12,7.12,7.12,7.12,-,0
2017-11-14,7.12,7.12,7.12,7.12,-,0
2017-11-15,7.12,7.12,7.12,7.12,-,0
2017-11-16,7.12,7.12,7.12,7.12,-,0
2017-11-17,7.12,7.12,7.12,7.12,-,0
2017-11-20,7.12,7.12,7.12,7.12,-,0
2017-11-21,7.12,7.12,7.12,7.12,-,0
2017-11-22,8.05,10.00,8.05,10.00,6900,0
2017-11-24,9.60,10.00,8.06,8.13,5200,0
2017-11-27,8.13,8.13,8.13,8.13,-,0
2017-11-28,7.20,7.20,7.00,7.00,500,0
2017-11-29,7.00,7.00,6.00,6.00,2800,0
2017-11-30,6.00,6.00,6.00,6.00,-,0
2017-12-01,6.25,6.25,6.25,6.25,500,0
2017-12-04,6.25,6.25,6.25,6.25,-,0
2017-12-05,6.86,6.86,6.86,6.86,200,0
2017-12-06,7.24,7.24,7.00,7.00,1200,0
2017-12-07,7.00,7.15,6.80,7.00,4300,0
2017-12-08,7.00,7.00,7.00,7.00,-,0
2017-12-11,6.30,6.30,6.30,6.30,200,0
2017-12-12,6.30,6.30,6.30,6.30,-,0
2017-12-13,6.30,6.30,6.30,6.30,-,0
2017-12-14,5.60,6.25,5.60,6.25,500,0
2017-12-15,6.25,6.25,6.25,6.25,-,0
2017-12-18,6.25,6.25,6.25,6.25,-,0
2017-12-19,6.25,6.25,6.25,6.25,-,0
2017-12-20,6.25,6.25,6.25,6.25,-,0
2017-12-21,5.63,5.63,5.63,5.63,100,0
2017-12-22,5.63,5.63,5.63,5.63,-,0
2017-12-26,5.63,5.63,5.63,5.63,-,0
2017-12-27,5.63,5.63,5.63,5.63,-,0
2017-12-28,5.63,5.63,5.63,5.63,-,0
2017-12-29,5.63,5.63,5.63,5.63,1000,0
2018-01-02,5.60,5.60,5.60,5.60,300,0
2018-01-03,5.60,5.60,5.60,5.60,-,0
2018-01-04,5.04,5.26,5.04,5.26,600,0
2018-01-05,5.26,5.26,5.26,5.26,-,0
2018-01-08,5.70,5.70,5.50,5.50,1200,0
2018-01-09,5.60,5.95,5.60,5.60,3000,0
2018-01-10,5.65,5.99,5.65,5.99,700,0
2018-01-11,5.53,6.25,5.53,5.86,3200,0
2018-01-12,5.86,5.86,5.86,5.86,-,0
2018-01-16,5.79,5.79,5.79,5.79,200,0
2018-01-17,5.80,5.80,5.80,5.80,200,0
2018-01-18,5.80,5.80,5.80,5.80,-,0
2018-01-19,5.80,5.80,5.80,5.80,-,0
2018-01-22,5.80,5.80,5.80,5.80,-,0
2018-01-23,5.65,5.65,5.60,5.60,400,0
2018-01-24,5.60,5.60,5.60,5.60,100,0
2018-01-25,5.60,5.60,5.60,5.60,-,0
2018-01-26,5.60,5.60,5.60,5.60,-,0
2018-01-29,5.60,5.60,5.60,5.60,-,0
2018-01-30,5.60,5.60,5.60,5.60,-,0
2018-01-31,5.49,6.00,5.49,6.00,300,0
2018-02-01,6.00,6.00,6.00,6.00,-,0
2018-02-02,6.00,6.00,6.00,6.00,-,0
2018-02-05,5.42,5.42,5.27,5.27,200,0
2018-02-06,5.27,5.27,5.27,5.27,-,0
2018-02-07,5.27,5.27,5.27,5.27,-,0
2018-02-08,4.80,5.00,4.80,5.00,1100,0
2018-02-09,5.04,5.04,5.00,5.00,400,0
2018-02-12,5.00,5.00,5.00,5.00,-,0
2018-02-13,5.01,5.01,5.00,5.00,300,0
2018-02-14,5.00,5.00,5.00,5.00,-,0
2018-02-15,5.00,5.00,5.00,5.00,-,0
2018-02-16,5.00,5.00,5.00,5.00,-,0
2018-02-20,4.42,4.71,4.42,4.43,2000,0
2018-02-21,4.07,4.07,4.03,4.03,1200,0
2018-02-22,4.03,4.03,4.03,4.03,-,0
2018-02-23,4.24,4.24,4.24,4.24,800,0
2018-02-26,4.24,4.24,4.24,4.24,-,0
2018-02-27,4.24,4.24,4.24,4.24,-,0
2018-02-28,4.24,4.24,4.24,4.24,-,0
2018-03-01,4.24,4.24,4.24,4.24,-,0
2018-03-02,4.00,4.00,4.00,4.00,1000,0
2018-03-05,4.39,4.39,4.39,4.39,800,0
2018-03-06,4.39,4.39,4.39,4.39,-,0
2018-03-07,4.39,4.39,4.39,4.39,-,0
2018-03-08,4.90,4.90,4.87,4.87,1200,0
2018-03-09,4.87,4.87,4.87,4.87,-,0
2018-03-12,4.12,4.12,4.03,4.03,2100,0
2018-03-13,4.12,4.12,3.34,3.48,1500,0
2018-03-14,3.82,3.82,3.82,3.82,200,0
2018-03-15,4.01,4.01,3.22,3.38,900,0
2018-03-16,3.38,3.38,3.38,3.38,-,0
2018-03-19,3.38,3.38,3.38,3.38,-,0
2018-03-20,3.38,3.38,3.38,3.38,-,0
2018-03-21,3.38,3.38,3.38,3.38,-,0
2018-03-22,3.38,3.38,3.38,3.38,-,0
2018-03-23,3.38,3.38,3.38,3.38,-,0
2018-03-26,3.38,3.38,3.38,3.38,-,0
2018-03-27,3.38,3.38,3.38,3.38,-,0
2018-03-28,3.38,3.38,3.38,3.38,-,0
2018-03-29,3.19,3.19,3.19,3.19,400,0
2018-04-02,3.22,3.22,3.22,3.22,200,0
2018-04-03,3.22,3.22,3.22,3.22,-,0
2018-04-04,3.22,3.22,3.22,3.22,-,0
2018-04-05,3.10,3.10,3.10,3.10,100,0
2018-04-06,3.12,3.12,3.00,3.00,3400,0
2018-04-06,3.12,3.12,3.00,3.00,1,0
