Date,Open,High,Low,Close,Volume,OpenInt
2016-12-02,100.01,100.01,100.01,100.01,4548,0
2016-12-05,100.01,100.01,100.01,100.01,5000,0
2016-12-06,100.01,100.01,100.01,100.01,4500,0
2016-12-07,100.01,100.01,100.01,100.01,6000,0
2016-12-08,100.01,100.01,100.01,100.01,5000,0
2016-12-09,100.01,100.01,100.01,100.01,4500,0
2016-12-12,100.01,100.01,100.01,100.01,3500,0
2016-12-13,100.01,100.01,100.01,100.01,5000,0
2016-12-14,100.01,100.01,100.01,100.01,4500,0
2016-12-15,100.01,100.01,100.01,100.01,6500,0
2016-12-16,100.01,100.01,100.01,100.01,5500,0
2016-12-19,100.01,100.01,100.01,100.01,5300,0
2016-12-20,100.01,100.01,100.01,100.01,3700,0
2016-12-21,100.01,100.01,100.01,100.01,6500,0
2016-12-22,100.01,100.01,100.01,100.01,4600,0
2016-12-23,100.01,100.01,100.01,100.01,4900,0
2017-01-03,100.01,100.01,100.01,100.01,6400,0
2017-01-04,100.01,100.01,100.01,100.01,5900,0
2017-01-05,100.01,100.01,100.01,100.01,5700,0
2017-01-06,100.01,100.01,100.01,100.01,7000,0
2017-01-09,100.01,100.01,100.01,100.01,5200,0
2017-01-11,100.01,100.01,100.01,100.01,5900,0
2017-01-12,100.01,100.01,100.01,100.01,6500,0
2017-01-13,100.01,100.01,100.01,100.01,7400,0
2017-01-17,100.01,100.01,100.01,100.01,7100,0
2017-01-18,100.01,100.01,100.01,100.01,5900,0
2017-01-19,100.01,100.01,100.01,100.01,6500,0
2017-01-20,100.01,100.01,100.01,100.01,5500,0
2017-01-23,100.01,100.01,100.01,100.01,5600,0
2017-01-24,100.01,100.01,100.01,100.01,5100,0
2017-01-25,100.01,100.01,100.01,100.01,4800,0
2017-01-26,100.01,100.01,100.01,100.01,6000,0
2017-01-27,100.01,100.01,100.01,100.01,3500,0
2017-01-30,100.01,100.01,100.01,100.01,6200,0
2017-01-31,100.01,100.01,100.01,100.01,5100,0
2017-02-01,100.01,100.01,100.01,100.01,3400,0
2017-02-02,100.01,100.01,100.01,100.01,4500,0
2017-02-03,100.01,100.01,100.01,100.01,5800,0
2017-02-06,100.01,100.01,100.01,100.01,5300,0
2017-02-07,100.01,100.01,100.01,100.01,4800,0
2017-02-08,100.01,100.01,100.01,100.01,5600,0
2017-02-09,100.01,100.01,100.01,100.01,5000,0
2017-02-10,100.01,100.01,100.01,100.01,4300,0
2017-02-13,100.01,100.01,100.01,100.01,4900,0
2017-02-14,100.01,100.01,100.01,100.01,6100,0
2017-02-15,100.01,100.01,100.01,100.01,5300,0
2017-02-16,100.01,100.01,100.01,100.01,4500,0
2017-02-17,100.01,100.01,100.01,100.01,4200,0
2017-03-08,99.99,99.99,99.99,99.99,1000,0
2017-08-02,100.06,100.06,100.06,100.06,205,0
2017-09-27,99.99,99.99,99.99,99.99,355,0
2017-11-13,100.06,100.06,100.06,100.06,-,0
2017-11-14,100.06,100.06,100.06,100.06,-,0
2017-11-15,100.06,100.06,100.06,100.06,-,0
2017-11-16,100.06,100.06,100.06,100.06,-,0
2017-11-17,100.06,100.06,100.06,100.06,-,0
2017-11-20,100.06,100.06,100.06,100.06,-,0
2017-11-21,100.06,100.06,100.06,100.06,-,0
2017-11-22,100.06,100.06,100.06,100.06,-,0
2017-11-24,100.06,100.06,100.06,100.06,-,0
2017-11-27,100.06,100.06,100.06,100.06,-,0
2017-11-28,100.06,100.06,100.06,100.06,-,0
2017-11-29,100.06,100.06,100.06,100.06,-,0
2017-11-30,100.01,100.01,100.01,100.01,100,0
2017-12-01,100.01,100.01,100.01,100.01,-,0
2017-12-04,100.01,100.01,100.01,100.01,-,0
2017-12-05,100.01,100.01,100.01,100.01,-,0
2017-12-06,100.01,100.01,100.01,100.01,-,0
2017-12-07,100.01,100.01,100.01,100.01,-,0
2017-12-08,100.01,100.01,100.01,100.01,-,0
2017-12-11,100.01,100.01,100.01,100.01,-,0
2017-12-12,100.01,100.01,100.01,100.01,-,0
2017-12-13,100.01,100.01,100.01,100.01,-,0
2017-12-14,100.01,100.01,100.01,100.01,-,0
2017-12-15,100.01,100.01,100.01,100.01,-,0
2017-12-18,100.01,100.01,100.01,100.01,-,0
2017-12-19,100.01,100.01,100.01,100.01,-,0
2017-12-20,100.01,100.01,100.01,100.01,-,0
2017-12-21,100.01,100.01,100.01,100.01,-,0
2017-12-22,100.05,100.05,100.05,100.05,-,0
2017-12-26,100.05,100.05,100.05,100.05,-,0
2017-12-27,100.05,100.05,100.05,100.05,-,0
2017-12-28,100.05,100.05,100.05,100.05,-,0
2017-12-29,100.05,100.05,100.05,100.05,-,0
2018-01-02,100.05,100.05,100.05,100.05,-,0
2018-01-03,100.05,100.05,100.05,100.05,-,0
2018-01-04,100.05,100.05,100.05,100.05,-,0
2018-01-05,100.05,100.05,100.05,100.05,-,0
2018-01-08,100.05,100.05,100.05,100.05,-,0
2018-01-09,100.05,100.05,100.05,100.05,-,0
2018-01-10,100.05,100.05,100.05,100.05,-,0
2018-01-11,100.05,100.05,100.05,100.05,-,0
2018-01-12,100.05,100.05,100.05,100.05,-,0
2018-01-16,100.05,100.05,100.05,100.05,-,0
2018-01-17,100.05,100.05,100.05,100.05,-,0
2018-01-18,100.05,100.05,100.05,100.05,-,0
2018-01-19,100.05,100.05,100.05,100.05,-,0
2018-01-22,100.05,100.05,100.05,100.05,-,0
2018-01-23,100.05,100.05,100.05,100.05,-,0
2018-01-24,100.05,100.05,100.05,100.05,-,0
2018-01-25,100.05,100.05,100.05,100.05,-,0
2018-01-26,100.05,100.05,100.05,100.05,-,0
2018-01-29,100.05,100.05,100.05,100.05,-,0
2018-01-30,100.05,100.05,100.05,100.05,-,0
2018-01-31,100.05,100.05,100.05,100.05,-,0
2018-02-01,100.05,100.05,100.05,100.05,-,0
2018-02-02,100.05,100.05,100.05,100.05,-,0
2018-02-05,100.05,100.05,100.05,100.05,-,0
2018-02-06,100.05,100.05,100.05,100.05,-,0
2018-02-07,100.05,100.05,100.05,100.05,-,0
2018-02-08,100.05,100.05,100.05,100.05,-,0
2018-02-09,100.05,100.05,100.05,100.05,-,0
2018-02-12,100.02,100.02,100.02,100.02,-,0
2018-02-13,100.02,100.02,100.02,100.02,-,0
2018-02-14,100.02,100.02,100.02,100.02,-,0
2018-02-15,100.02,100.02,100.02,100.02,-,0
2018-02-16,100.02,100.02,100.02,100.02,-,0
2018-02-20,100.02,100.02,100.02,100.02,900,0
2018-02-21,100.02,100.02,100.02,100.02,-,0
2018-02-22,100.02,100.02,100.02,100.02,-,0
2018-02-23,100.02,100.02,100.02,100.02,-,0
2018-02-26,100.02,100.02,100.02,100.02,-,0
2018-02-27,100.02,100.02,100.02,100.02,-,0
2018-02-28,100.02,100.02,100.02,100.02,-,0
2018-03-01,100.02,100.02,100.02,100.02,-,0
2018-03-02,100.02,100.02,100.02,100.02,-,0
2018-03-05,100.02,100.02,100.02,100.02,-,0
2018-03-06,100.02,100.02,100.02,100.02,-,0
2018-03-07,100.02,100.02,100.02,100.02,-,0
2018-03-08,100.02,100.02,100.02,100.02,-,0
2018-03-09,100.02,100.02,100.02,100.02,-,0
2018-03-12,100.02,100.02,100.02,100.02,-,0
2018-03-13,100.02,100.02,100.02,100.02,-,0
2018-03-14,100.02,100.02,100.02,100.02,-,0
2018-03-15,99.98,99.98,99.98,99.98,-,0
2018-03-16,99.98,99.98,99.98,99.98,-,0
2018-03-19,99.98,99.98,99.98,99.98,-,0
2018-03-20,99.98,99.98,99.98,99.98,-,0
2018-03-21,100.01,100.01,100.01,100.01,-,0
2018-03-22,100.01,100.01,100.01,100.01,-,0
2018-03-23,100.01,100.01,100.01,100.01,-,0
2018-03-26,100.01,100.01,100.01,100.01,-,0
2018-03-27,100.01,100.01,100.01,100.01,-,0
2018-03-28,99.98,99.98,99.98,99.98,-,0
2018-03-29,99.98,99.98,99.98,99.98,-,0
2018-04-02,99.98,99.98,99.98,99.98,-,0
2018-04-03,99.98,99.98,99.98,99.98,-,0
2018-04-04,99.98,99.98,99.98,99.98,-,0
2018-04-05,99.98,99.98,99.98,99.98,-,0
2018-04-06,99.98,99.98,99.98,99.98,-,0
