Date,Open,High,Low,Close,Volume,OpenInt
2017-03-29,9.71,9.73,9.71,9.72,1723406,0
2017-03-30,9.71,9.777,9.71,9.71,411572,0
2017-03-31,9.72,9.74,9.71,9.72,131137,0
2017-04-03,9.71,9.73,9.71,9.72,48958,0
2017-04-04,9.73,9.75,9.72,9.72,71098,0
2017-04-05,9.72,9.75,9.71,9.74,57806,0
2017-04-06,9.75,9.759,9.735,9.759,36037,0
2017-04-07,9.759,9.768,9.73,9.759,44227,0
2017-04-10,9.768,9.807,9.759,9.807,66337,0
2017-04-11,9.797,9.817,9.797,9.817,43541,0
2017-04-12,9.827,9.827,9.8,9.817,25932,0
2017-04-13,9.817,9.836,9.807,9.827,55651,0
2017-04-17,9.827,9.836,9.777,9.836,31557,0
2017-04-18,9.817,9.817,9.777,9.777,26628,0
2017-04-19,9.777,9.787,9.777,9.787,11559,0
2017-04-20,9.787,9.787,9.759,9.787,27677,0
2017-04-21,9.787,9.846,9.784,9.846,24180,0
2017-04-24,9.846,9.875,9.807,9.817,14143,0
2017-04-25,9.846,9.875,9.797,9.797,19671,0
2017-04-26,9.836,9.875,9.777,9.817,40057,0
2017-04-27,9.875,9.875,9.841,9.846,19357,0
2017-04-28,9.856,9.856,9.827,9.846,15777,0
2017-05-01,9.759,9.777,9.75,9.759,149746,0
2017-05-02,9.777,9.777,9.72,9.74,156344,0
2017-05-03,9.74,9.74,9.72,9.72,60680,0
2017-05-04,9.74,9.74,9.71,9.73,46369,0
2017-05-05,9.72,9.75,9.72,9.74,75020,0
2017-05-08,9.75,9.759,9.741,9.759,17246,0
2017-05-09,9.75,9.787,9.741,9.787,75844,0
2017-05-10,9.777,9.777,9.759,9.768,23019,0
2017-05-11,9.765,9.784,9.757,9.774,41995,0
2017-05-12,9.784,9.814,9.779,9.794,59397,0
2017-05-15,9.794,9.804,9.747,9.747,83113,0
2017-05-16,9.765,9.804,9.757,9.804,69507,0
2017-05-17,9.784,9.804,9.757,9.757,64036,0
2017-05-18,9.774,9.794,9.757,9.784,28188,0
2017-05-19,9.794,9.794,9.747,9.765,56629,0
2017-05-22,9.774,9.794,9.747,9.747,45201,0
2017-05-23,9.784,9.784,9.757,9.771,45225,0
2017-05-24,9.784,9.804,9.757,9.784,99939,0
2017-05-25,9.784,9.804,9.783,9.804,36910,0
2017-05-26,9.804,9.912,9.784,9.843,87835,0
2017-05-30,9.812,9.961,9.794,9.961,63758,0
2017-05-31,9.902,9.979,9.853,9.979,136381,0
2017-06-01,9.942,9.942,9.804,9.843,23243,0
2017-06-02,9.824,9.902,9.824,9.899,16395,0
2017-06-05,9.902,9.912,9.765,9.794,51075,0
2017-06-06,9.814,9.843,9.797,9.814,16918,0
2017-06-07,9.853,9.853,9.784,9.804,49386,0
2017-06-08,9.804,9.824,9.784,9.814,18645,0
2017-06-09,9.794,9.843,9.784,9.843,21383,0
2017-06-12,9.833,9.942,9.824,9.863,38626,0
2017-06-13,9.85,9.929,9.791,9.811,94740,0
2017-06-14,9.84,9.88,9.796,9.84,54673,0
2017-06-15,9.831,9.839,9.801,9.812,29486,0
2017-06-16,9.821,9.831,9.801,9.821,29588,0
2017-06-19,9.811,9.84,9.801,9.811,75960,0
2017-06-20,9.821,9.85,9.819,9.85,56571,0
2017-06-21,9.821,9.85,9.811,9.85,48616,0
2017-06-22,9.844,9.85,9.821,9.85,23286,0
2017-06-23,9.85,9.852,9.821,9.84,22859,0
2017-06-26,9.86,9.86,9.811,9.85,68412,0
2017-06-27,9.821,9.85,9.791,9.801,99892,0
2017-06-28,9.834,9.84,9.811,9.821,20552,0
2017-06-29,9.83,9.83,9.801,9.811,24512,0
2017-06-30,9.821,9.85,9.81,9.84,48667,0
2017-07-03,9.84,9.846,9.821,9.846,13235,0
2017-07-05,9.84,9.84,9.829,9.84,6631,0
2017-07-06,9.822,9.86,9.811,9.831,129683,0
2017-07-07,9.811,9.84,9.811,9.831,29936,0
2017-07-10,9.832,9.86,9.817,9.85,39046,0
2017-07-11,9.858,9.86,9.831,9.86,30369,0
2017-07-12,9.88,9.929,9.88,9.919,61514,0
2017-07-13,9.919,9.929,9.899,9.929,33193,0
2017-07-14,9.89,9.902,9.87,9.88,61014,0
2017-07-17,9.88,9.978,9.877,9.969,44684,0
2017-07-18,9.919,9.919,9.877,9.89,21114,0
2017-07-19,9.899,9.969,9.85,9.899,61857,0
2017-07-20,9.899,9.939,9.899,9.939,24013,0
2017-07-21,9.93,9.949,9.93,9.949,9865,0
2017-07-24,9.939,9.939,9.899,9.919,14263,0
2017-07-25,9.909,9.939,9.87,9.929,30964,0
2017-07-26,9.928,9.949,9.89,9.949,35481,0
2017-07-27,9.929,9.939,9.88,9.929,42420,0
2017-07-28,9.89,10.028,9.89,10.028,71420,0
2017-07-31,10.028,10.037,9.988,9.988,37716,0
2017-08-01,10.028,10.037,9.969,10.037,29187,0
2017-08-02,9.959,10.018,9.939,9.949,63535,0
2017-08-03,9.969,10.037,9.949,10.037,34421,0
2017-08-04,10.024,10.033,10.018,10.018,7817,0
2017-08-07,10.016,10.016,9.919,9.949,45245,0
2017-08-08,9.949,9.969,9.949,9.949,12308,0
2017-08-09,9.929,9.969,9.89,9.89,39073,0
2017-08-10,9.909,9.915,9.85,9.87,30452,0
2017-08-11,9.899,9.929,9.87,9.89,61274,0
2017-08-14,9.909,9.919,9.87,9.874,57038,0
2017-08-15,9.88,9.899,9.87,9.899,27358,0
2017-08-16,9.929,9.989,9.899,9.909,67557,0
2017-08-17,9.909,9.959,9.9,9.939,17852,0
2017-08-18,9.919,9.929,9.909,9.909,11375,0
2017-08-21,9.926,9.939,9.899,9.919,30314,0
2017-08-22,9.929,9.969,9.916,9.919,44687,0
2017-08-23,9.926,9.939,9.909,9.919,21033,0
2017-08-24,9.939,9.939,9.899,9.909,26426,0
2017-08-25,9.9,9.905,9.87,9.88,21521,0
