Date,Open,High,Low,Close,Volume,OpenInt
2017-11-09,24.95,24.9999,24.95,24.9999,200,0
2017-11-14,25.11,25.11,25.11,25.11,994700,0
2017-11-15,25.11,25.11,25.11,25.11,-,0
2017-11-16,25.11,25.11,25.11,25.11,-,0
2017-11-17,25.11,25.11,25.11,25.11,-,0
2017-11-20,25.11,25.11,25.11,25.11,-,0
2017-11-21,25.11,25.11,25.11,25.11,-,0
2017-11-22,25.11,25.11,25.11,25.11,-,0
2017-11-24,25.36,25.36,25.33,25.33,800,0
2017-11-27,25.39,25.39,25.39,25.39,100,0
2017-11-28,25.39,25.39,25.39,25.39,-,0
2017-11-29,25.65,25.67,25.64,25.66,2300,0
2017-11-30,25.81,25.81,25.81,25.81,800,0
2017-12-01,25.81,25.81,25.71,25.74,1000,0
2017-12-04,25.74,25.74,25.74,25.74,-,0
2017-12-05,25.86,25.86,25.80,25.80,400,0
2017-12-06,25.71,25.71,25.71,25.71,300,0
2017-12-07,25.75,25.75,25.75,25.75,300,0
2017-12-08,25.81,25.88,25.81,25.88,400,0
2017-12-11,25.97,25.97,25.97,25.97,200,0
2017-12-12,25.98,25.98,25.98,25.98,300,0
2017-12-13,26.02,26.02,26.02,26.02,300,0
2017-12-14,26.10,26.10,26.10,26.10,200,0
2017-12-15,26.10,26.10,26.04,26.04,1600,0
2017-12-18,26.04,26.04,26.04,26.04,-,0
2017-12-19,26.11,26.11,26.11,26.11,2500,0
2017-12-20,26.09,26.11,26.09,26.11,500,0
2017-12-21,26.06,26.06,26.05,26.05,500,0
2017-12-22,26.05,26.05,26.05,26.05,-,0
2017-12-26,26.04,26.04,25.98,25.98,1600,0
2017-12-27,25.98,25.98,25.98,25.98,-,0
2017-12-28,25.98,26.00,25.98,26.00,1800,0
2017-12-29,26.00,26.00,26.00,26.00,-,0
2018-01-02,26.08,26.08,26.08,26.08,400,0
2018-01-03,26.11,26.11,26.11,26.11,200,0
2018-01-04,26.11,26.11,26.11,26.11,-,0
2018-01-05,26.11,26.11,26.11,26.11,-,0
2018-01-08,26.20,26.20,26.20,26.20,100,0
2018-01-09,26.20,26.20,26.20,26.20,-,0
2018-01-10,26.20,26.20,26.20,26.20,-,0
2018-01-11,26.24,26.24,26.24,26.24,800,0
2018-01-12,26.24,26.24,26.24,26.24,-,0
2018-01-16,26.43,26.43,26.15,26.16,1600,0
2018-01-17,26.27,26.34,26.12,26.34,1400,0
2018-01-18,26.21,26.21,26.21,26.21,700,0
2018-01-19,26.46,26.46,26.32,26.32,800,0
2018-01-22,26.48,26.49,26.48,26.49,600,0
2018-01-23,26.46,26.60,26.46,26.60,900,0
2018-01-24,26.74,26.74,26.61,26.61,1200,0
2018-01-25,26.61,26.61,26.61,26.61,-,0
2018-01-26,26.61,26.61,26.61,26.61,-,0
2018-01-29,26.63,26.63,26.63,26.63,1300,0
2018-01-30,26.63,26.63,26.63,26.63,-,0
2018-01-31,26.63,26.63,26.63,26.63,-,0
2018-02-01,26.24,26.24,26.24,26.24,100,0
2018-02-02,25.95,25.95,25.95,25.95,200,0
2018-02-05,25.59,25.59,24.98,25.17,500,0
2018-02-06,25.17,25.17,25.17,25.17,-,0
2018-02-07,25.17,25.17,25.17,25.17,-,0
2018-02-08,25.15,25.15,25.15,25.15,100,0
2018-02-09,25.15,25.15,25.15,25.15,-,0
2018-02-12,25.15,25.15,25.15,25.15,-,0
2018-02-13,24.87,24.87,24.87,24.87,700,0
2018-02-14,24.87,24.87,24.87,24.87,-,0
2018-02-15,24.87,24.87,24.87,24.87,-,0
2018-02-16,25.63,25.63,25.63,25.63,1200,0
2018-02-20,25.35,25.35,25.35,25.35,500,0
2018-02-21,25.35,25.35,25.35,25.35,-,0
2018-02-22,25.38,25.38,25.38,25.38,100,0
2018-02-23,25.42,25.42,25.42,25.42,200,0
2018-02-26,25.42,25.42,25.42,25.42,-,0
2018-02-27,25.42,25.42,25.42,25.42,-,0
2018-02-28,25.42,25.42,25.42,25.42,-,0
2018-03-01,25.42,25.42,25.42,25.42,-,0
2018-03-02,25.42,25.42,25.42,25.42,-,0
2018-03-05,25.42,25.42,25.42,25.42,-,0
2018-03-06,25.42,25.42,25.42,25.42,-,0
2018-03-07,25.42,25.42,25.42,25.42,-,0
2018-03-08,25.42,25.42,25.42,25.42,-,0
2018-03-09,25.42,25.42,25.42,25.42,-,0
2018-03-12,25.42,25.42,25.42,25.42,-,0
2018-03-13,25.75,25.77,25.75,25.75,1100,0
2018-03-14,25.75,25.75,25.75,25.75,-,0
2018-03-15,25.45,25.45,25.42,25.42,400,0
2018-03-16,25.42,25.42,25.42,25.42,-,0
2018-03-19,25.36,25.38,25.30,25.30,900,0
2018-03-20,25.19,25.19,25.19,25.19,400,0
2018-03-21,25.19,25.19,25.19,25.19,-,0
2018-03-22,25.19,25.19,25.19,25.19,-,0
2018-03-23,24.55,24.55,24.18,24.18,500,0
2018-03-26,24.18,24.18,24.18,24.18,-,0
2018-03-27,24.18,24.18,24.18,24.18,100,0
2018-03-28,24.18,24.18,24.18,24.18,-,0
2018-03-29,24.57,24.82,24.57,24.79,2000,0
2018-04-02,24.79,24.79,24.79,24.79,-,0
2018-04-03,24.79,24.79,24.79,24.79,-,0
2018-04-04,24.79,24.79,24.79,24.79,-,0
2018-04-05,24.79,24.79,24.79,24.79,-,0
2018-04-06,24.79,24.79,24.79,24.79,-,0
