Date,Open,High,Low,Close,Volume,OpenInt
2016-06-15,25.672,25.672,25.305,25.305,824,0
2016-06-21,25.344,25.344,25.344,25.344,413,0
2016-06-27,26.385,26.385,25.42,25.42,409,0
2016-06-28,25.654,25.654,25.631,25.654,1661,0
2016-07-06,26.463,26.551,26.424,26.551,1372,0
2016-07-18,26.171,26.171,26.151,26.151,308,0
2016-07-22,26.161,26.239,26.161,26.239,205,0
2016-07-25,26.298,26.298,26.298,26.298,102,0
2016-07-26,26.337,26.337,26.337,26.337,102,0
2016-08-01,26.034,26.034,26.034,26.034,307,0
2016-08-02,25.888,25.946,25.888,25.917,508,0
2016-08-03,26.093,26.093,26.093,26.093,205,0
2016-08-08,25.498,25.498,25.488,25.488,1634,0
2016-08-09,25.342,25.342,25.342,25.342,521,0
2016-08-12,25.576,25.576,25.576,25.576,102,0
2016-08-18,25.322,25.342,25.322,25.332,704150,0
2016-08-19,25.322,25.322,25.137,25.146,308,0
2016-08-24,25.01,25.098,25.01,25.098,661,0
2016-08-25,25.186,25.186,25.088,25.127,2123,0
2016-08-26,25.215,25.215,25.166,25.166,256,0
2016-09-08,25.156,25.156,25.156,25.156,564,0
2016-09-14,24.337,24.337,24.337,24.337,410,0
2016-09-19,24.981,25.01,24.981,25.01,550,0
2016-09-21,25.342,25.342,25.342,25.342,513,0
2016-09-23,25.742,25.761,25.742,25.761,358,0
2016-09-30,24.824,24.824,24.786,24.786,241,0
2016-10-06,23.83,23.898,23.83,23.898,526,0
2016-10-11,23.937,23.937,23.937,23.937,102,0
2016-10-14,24.181,24.22,24.181,24.22,571,0
2016-10-17,24.328,24.328,24.259,24.259,212,0
2016-10-18,24.337,24.337,24.337,24.337,126,0
2016-10-20,24.386,24.386,24.386,24.386,820,0
2016-10-24,24.25,24.25,24.25,24.25,205,0
2016-10-25,24.356,24.356,24.356,24.356,736,0
2016-10-26,24.444,24.444,24.444,24.444,512,0
2016-11-02,24.259,24.259,24.015,24.015,1543,0
2016-11-14,23.566,23.566,23.329,23.46,1168,0
2016-11-15,23.703,23.742,23.654,23.742,2270,0
2016-11-16,23.566,23.566,23.566,23.566,601,0
2016-11-17,23.736,23.736,23.736,23.736,227,0
2016-11-18,23.647,23.647,23.647,23.647,205,0
2016-11-21,23.898,23.898,23.898,23.898,211,0
2016-11-22,23.898,23.986,23.898,23.986,450,0
2016-11-23,23.937,23.937,23.81,23.81,368,0
2016-11-28,24.61,24.61,24.61,24.61,403,0
2016-11-30,24.119,24.119,24.119,24.119,102,0
2016-12-01,23.752,23.752,23.606,23.606,233,0
2016-12-06,23.869,23.869,23.869,23.869,105,0
2016-12-07,24.125,24.125,24.125,24.125,131,0
2016-12-13,24.942,24.942,24.942,24.942,164,0
2016-12-19,25.049,25.049,24.899,24.899,352,0
2016-12-20,25.104,25.104,25.104,25.104,205,0
2016-12-22,25.052,25.052,25.052,25.052,102,0
2016-12-28,24.934,24.934,24.934,24.934,242,0
2017-01-03,24.934,24.934,24.934,24.934,509,0
2017-01-05,25.072,25.072,25.062,25.062,224,0
2017-01-06,25.18,25.18,25.18,25.18,183,0
2017-01-11,24.815,24.815,24.815,24.815,101,0
2017-01-17,25.171,25.171,25.161,25.161,2026,0
2017-01-19,25.028,25.028,25.028,25.028,101,0
2017-01-20,25.013,25.013,25.013,25.013,487,0
2017-01-24,24.963,24.963,24.963,24.963,2099,0
2017-01-25,24.944,24.944,24.916,24.916,1420,0
2017-01-26,24.926,24.934,24.909,24.909,1030,0
2017-01-27,24.944,24.944,24.909,24.909,3627,0
2017-01-30,24.934,24.934,24.934,24.934,106,0
2017-01-31,24.963,24.963,24.963,24.963,506,0
2017-02-02,24.954,25.092,24.884,25.042,1733,0
2017-02-03,25.27,25.27,25.27,25.27,2636,0
2017-02-06,25.22,25.245,25.22,25.245,508,0
2017-02-13,25.388,25.388,25.388,25.388,190,0
2017-02-15,25.23,25.23,25.23,25.23,1519,0
2017-02-21,25.477,25.724,25.477,25.724,811,0
2017-03-01,26.484,26.484,26.481,26.483,3387,0
2017-03-02,26.514,26.514,26.514,26.514,154,0
2017-03-07,26.388,26.388,26.388,26.388,113,0
2017-03-08,26,26,25.967,25.967,957,0
2017-03-20,26.276,26.276,26.276,26.276,265,0
2017-03-21,26.514,26.514,26.514,26.514,112,0
2017-03-22,26.79,26.81,26.78,26.81,2028,0
2017-03-23,26.81,26.81,26.81,26.81,101,0
2017-03-28,26.667,26.672,26.667,26.672,23255,0
2017-03-29,26.583,26.583,26.553,26.553,214,0
2017-03-31,26.642,26.642,26.635,26.635,621,0
2017-04-03,26.484,26.484,26.464,26.464,1261,0
2017-04-04,26.692,26.721,26.692,26.711,2744,0
2017-04-05,26.718,26.741,26.701,26.741,2557,0
2017-04-07,26.731,26.731,26.731,26.731,159,0
2017-04-10,26.721,27.254,26.721,26.889,2451,0
2017-04-12,26.692,26.83,26.692,26.83,2584,0
2017-04-17,26.928,26.928,26.928,26.928,385,0
2017-04-19,27.175,27.442,26.731,26.731,9027,0
2017-04-20,26.662,26.662,26.516,26.516,685,0
2017-04-21,26.721,26.859,26.721,26.79,2132,0
2017-04-25,26.851,26.958,26.851,26.958,793,0
2017-04-26,26.843,26.843,26.843,26.843,400,0
2017-05-01,26.636,26.636,26.636,26.636,243,0
2017-05-05,26.78,26.78,26.78,26.78,313,0
2017-05-09,26.573,26.652,26.464,26.464,990,0
2017-05-10,26.385,26.385,26.385,26.385,256,0
2017-05-11,26.494,26.494,26.454,26.494,3139,0
2017-05-12,26.682,26.682,26.672,26.672,1087,0
2017-05-19,26.79,26.85,26.79,26.85,203,0
2017-06-02,27.975,27.975,27.975,27.975,207,0
2017-06-07,27.649,27.649,27.649,27.649,2026,0
2017-06-08,27.499,27.499,27.499,27.499,305,0
2017-06-09,27.491,27.491,27.491,27.491,3686,0
2017-06-12,27.497,27.497,27.497,27.497,304,0
2017-06-13,27.546,27.546,27.546,27.546,508,0
2017-06-15,27.946,27.946,27.946,27.946,263,0
2017-06-19,27.965,27.975,27.963,27.963,3621,0
2017-06-20,27.965,27.965,27.965,27.965,234,0
2017-06-26,27.88,27.88,27.88,27.88,7197,0
2017-06-27,27.78,27.78,27.5295,27.5295,915,0
2017-06-29,27.16,27.16,27.16,27.16,17626,0
2017-07-03,26.98,26.98,26.98,26.98,2001,0
2017-07-06,26.78,26.78,26.71,26.75,849,0
2017-07-10,26.8699,26.8699,26.8699,26.8699,100,0
2017-07-11,26.67,26.72,26.65,26.72,336,0
2017-07-13,26.9999,27,26.9999,27,477,0
2017-07-17,27.057,27.057,27.057,27.057,400,0
2017-07-20,27.4894,27.4894,27.4894,27.4894,500,0
2017-07-25,27.43,27.43,27.43,27.43,100,0
2017-08-01,27.94,27.94,27.937,27.9392,310,0
2017-08-02,27.8579,27.8579,27.8579,27.8579,505,0
2017-08-04,27.91,27.91,27.91,27.91,100,0
2017-08-08,28.1399,28.1399,28.1399,28.1399,150,0
2017-08-09,28.022,28.022,28.022,28.022,875,0
2017-08-11,27.8837,27.8837,27.8837,27.8837,500,0
2017-08-18,28.36,28.36,28.3599,28.3599,426,0
2017-08-21,28.62,28.62,28.29,28.3216,956,0
2017-08-24,28.49,28.568,28.49,28.562,535,0
2017-09-01,28.42,28.42,28.39,28.42,1500,0
2017-09-05,28.42,28.42,28.4,28.4,4171,0
2017-09-06,28.36,28.36,28.32,28.32,1501,0
2017-09-07,28.52,28.53,28.52,28.52,1172,0
2017-09-08,28.5531,28.6076,28.5531,28.6076,550,0
2017-09-11,28.9,28.92,28.9,28.92,1010,0
2017-09-18,28.59,28.59,28.363,28.3891,2106,0
2017-09-19,28.25,28.3065,28.25,28.3065,1607,0
2017-09-20,28.29,28.29,28.29,28.29,215,0
2017-09-25,27.9,28.18,27.9,28.15,2003,0
2017-09-27,27.8199,27.8199,27.795,27.795,208,0
2017-09-29,27.8,27.91,27.8,27.8,567,0
2017-10-02,27.8001,27.83,27.78,27.83,3611,0
2017-10-03,27.77,27.77,27.77,27.77,20460,0
2017-10-10,28.2787,28.2787,28.2787,28.2787,110,0
2017-10-11,28.5,28.5,28.37,28.3998,946,0
2017-10-13,28.95,28.95,28.36,28.36,670,0
2017-10-16,28.3195,28.3195,28.3195,28.3195,200,0
2017-10-17,28.45,28.45,28.45,28.45,183,0
2017-10-24,28.74,28.74,28.74,28.74,124,0
2017-10-25,28.45,28.45,28.38,28.38,1232,0
2017-10-31,28.74,28.74,28.74,28.74,131,0
2017-11-01,28.75,28.75,28.75,28.75,101,0
2017-11-08,29.19,29.19,29.14,29.14,266,0
2017-11-10,28.9428,28.9428,28.9428,28.9428,391,0
2017-11-14,29.20,29.74,29.20,29.74,4200,0
2017-11-15,29.74,29.74,29.74,29.74,-,0
2017-11-16,29.37,29.37,29.37,29.37,200,0
2017-11-17,29.37,29.37,29.37,29.37,-,0
2017-11-20,29.37,29.37,29.37,29.37,-,0
2017-11-21,29.37,29.37,29.37,29.37,-,0
2017-11-22,29.13,29.13,29.13,29.13,300,0
2017-11-24,29.13,29.13,29.13,29.13,-,0
2017-11-27,29.13,29.13,29.13,29.13,-,0
2017-11-28,29.13,29.13,29.13,29.13,-,0
2017-11-29,29.36,29.65,29.36,29.50,700,0
2017-11-30,29.61,29.65,29.57,29.57,14800,0
2017-12-01,29.57,29.57,29.57,29.57,-,0
2017-12-04,29.57,29.57,29.57,29.57,-,0
2017-12-05,28.90,29.00,28.86,28.91,25000,0
2017-12-06,28.99,29.12,28.99,29.12,600,0
2017-12-07,28.97,29.08,28.71,28.79,1800,0
2017-12-08,29.12,29.23,28.80,28.95,7200,0
2017-12-11,29.20,29.20,29.20,29.20,300,0
2017-12-12,29.09,29.10,28.94,28.94,239100,0
2017-12-13,29.06,29.06,28.93,28.93,1800,0
2017-12-14,28.95,28.95,28.92,28.92,600,0
2017-12-15,28.95,28.97,28.92,28.97,2200,0
2017-12-18,28.80,28.80,28.76,28.76,1000,0
2017-12-19,28.50,28.50,28.50,28.50,600,0
2017-12-20,28.09,28.09,28.09,28.09,400,0
2017-12-21,27.64,28.22,27.62,27.62,9800,0
2017-12-22,28.07,28.07,27.71,27.77,3000,0
2017-12-26,28.37,28.37,27.32,27.32,1400,0
2017-12-27,27.36,27.39,27.26,27.38,3600,0
2017-12-28,27.52,27.52,27.52,27.52,300,0
2017-12-29,27.59,27.59,27.50,27.50,3100,0
2018-01-02,27.40,27.40,27.30,27.30,1100,0
2018-01-03,27.34,27.34,27.16,27.16,3100,0
2018-01-04,27.21,27.25,26.90,26.90,6300,0
2018-01-05,26.90,26.90,26.90,26.90,600,0
2018-01-08,26.64,27.11,26.64,27.11,1800,0
2018-01-09,27.01,27.02,26.86,26.86,7800,0
2018-01-10,26.61,26.66,26.61,26.66,2800,0
2018-01-11,26.60,26.60,26.53,26.53,800,0
2018-01-12,26.50,26.55,26.49,26.49,500,0
2018-01-16,26.52,26.52,26.25,26.26,273900,0
2018-01-17,26.52,26.54,26.34,26.54,1600,0
2018-01-18,26.28,26.28,26.28,26.28,1000,0
2018-01-19,26.28,26.28,26.28,26.28,-,0
2018-01-22,26.48,26.52,26.36,26.36,1400,0
2018-01-23,26.36,26.36,26.36,26.36,-,0
2018-01-24,26.47,26.48,26.45,26.45,3600,0
2018-01-25,26.70,26.84,26.70,26.84,700,0
2018-01-26,26.80,26.88,26.73,26.88,1500,0
2018-01-29,26.88,26.88,26.88,26.88,-,0
2018-01-30,26.88,26.88,26.88,26.88,-,0
2018-01-31,26.56,26.61,26.56,26.61,1000,0
2018-02-01,26.58,26.58,26.58,26.58,200,0
2018-02-02,26.25,26.25,26.20,26.20,800,0
2018-02-05,26.15,26.18,25.73,25.77,12400,0
2018-02-06,25.05,25.30,25.02,25.15,1400,0
2018-02-07,25.15,25.15,25.15,25.15,-,0
2018-02-08,25.30,25.30,25.00,25.00,600,0
2018-02-09,25.15,25.18,25.00,25.00,600,0
2018-02-12,25.00,25.00,25.00,25.00,-,0
2018-02-13,25.00,25.00,25.00,25.00,-,0
2018-02-14,25.00,25.00,25.00,25.00,-,0
2018-02-15,25.00,25.00,25.00,25.00,-,0
2018-02-16,25.00,25.00,25.00,25.00,-,0
2018-02-20,25.82,25.82,25.82,25.82,400,0
2018-02-21,26.08,26.08,26.05,26.05,1700,0
2018-02-22,25.95,25.95,25.95,25.95,100,0
2018-02-23,25.95,25.95,25.95,25.95,-,0
2018-02-26,26.19,26.19,26.19,26.19,300,0
2018-02-27,26.19,26.19,26.19,26.19,-,0
2018-02-28,26.19,26.19,26.19,26.19,-,0
2018-03-01,-,-,-,-,-,0
2018-03-02,26.19,26.19,26.19,26.19,-,0
2018-03-05,25.91,25.91,25.91,25.91,500,0
2018-03-06,25.73,25.73,25.73,25.73,200,0
2018-03-07,25.73,25.73,25.73,25.73,-,0
2018-03-08,25.73,25.73,25.73,25.73,-,0
2018-03-09,25.73,25.73,25.73,25.73,-,0
2018-03-12,25.73,25.73,25.73,25.73,-,0
2018-03-13,25.73,25.73,25.73,25.73,-,0
2018-03-14,25.73,25.73,25.73,25.73,-,0
2018-03-15,25.73,25.73,25.73,25.73,-,0
2018-03-16,25.73,25.73,25.73,25.73,-,0
2018-03-19,25.73,25.73,25.73,25.73,-,0
2018-03-20,25.73,25.73,25.73,25.73,-,0
2018-03-21,26.34,26.34,26.34,26.34,300,0
2018-03-22,26.28,26.28,26.28,26.28,400,0
2018-03-23,26.30,26.30,26.30,26.30,300,0
2018-03-26,26.30,26.30,26.30,26.30,-,0
2018-03-27,26.50,26.50,26.50,26.50,400,0
2018-03-28,26.50,26.50,26.50,26.50,-,0
2018-03-29,26.78,26.78,26.78,26.78,300,0
2018-04-02,26.78,26.78,26.78,26.78,-,0
2018-04-03,26.78,26.78,26.78,26.78,-,0
2018-04-04,26.69,26.69,26.66,26.66,500,0
2018-04-05,26.66,26.66,26.66,26.66,-,0
2018-04-06,26.88,26.88,26.88,26.88,300,0
2018-04-06,26.88,26.88,26.88,26.88,327,0
