Date,Open,High,Low,Close,Volume,OpenInt
2017-11-10,25.01,25.01,25.0009,25.0011,3000,0
2017-11-13,24.920,24.930,24.900,24.910,2600,0
2017-11-14,24.890,24.920,24.870,24.890,1016700,0
2017-11-15,24.880,24.880,24.840,24.840,800,0
2017-11-16,25.130,25.130,25.090,25.110,1800,0
2017-11-17,25.070,25.170,25.066,25.144,2800,0
2017-11-20,25.230,25.283,25.230,25.283,2800,0
2017-11-21,25.369,25.420,25.352,25.420,2100,0
2017-11-22,25.545,25.545,25.460,25.460,1600,0
2017-11-24,25.460,25.470,25.403,25.430,2400,0
2017-11-27,25.420,25.420,25.380,25.380,1800,0
2017-11-28,25.500,25.660,25.480,25.650,2000,0
2017-11-29,25.921,25.930,25.880,25.880,1800,0
2017-11-30,26.250,26.250,25.990,25.990,600,0
2017-12-01,25.960,25.960,25.720,25.819,1100,0
2017-12-04,26.220,26.220,26.130,26.130,2900,0
2017-12-05,25.830,25.890,25.740,25.740,2900,0
2017-12-06,25.670,25.670,25.600,25.600,400,0
2017-12-07,25.740,25.800,25.720,25.740,1600,0
2017-12-08,25.690,25.750,25.690,25.710,2200,0
2017-12-11,25.809,25.809,25.730,25.730,900,0
2017-12-12,25.730,25.730,25.730,25.730,-,0
2017-12-13,25.865,25.865,25.865,25.865,600,0
2017-12-14,25.670,25.670,25.480,25.480,800,0
2017-12-15,25.930,25.930,25.900,25.900,800,0
2017-12-18,26.130,26.130,26.090,26.090,1400,0
2017-12-19,26.090,26.090,25.945,25.945,2200,0
2017-12-20,26.090,26.090,26.090,26.090,100,0
2017-12-21,26.160,26.160,26.142,26.142,600,0
2017-12-22,26.070,26.100,26.070,26.100,1400,0
2017-12-26,26.090,26.090,26.090,26.090,600,0
2017-12-27,26.090,26.090,26.090,26.090,-,0
2017-12-28,26.140,26.190,26.140,26.190,1400,0
2017-12-29,26.260,26.260,26.110,26.110,2700,0
2018-01-02,26.110,26.110,26.110,26.110,-,0
2018-01-03,26.290,26.290,26.290,26.290,200,0
2018-01-04,26.400,26.400,26.350,26.350,500,0
2018-01-05,26.396,26.420,26.350,26.384,2700,0
2018-01-08,26.780,26.780,26.440,26.520,9300,0
2018-01-09,26.475,26.590,26.450,26.513,9700,0
2018-01-10,26.400,26.470,26.345,26.390,10300,0
2018-01-11,26.830,26.830,26.575,26.736,9100,0
2018-01-12,26.810,26.893,26.794,26.860,1600,0
2018-01-16,28.270,28.270,26.650,26.670,6100,0
2018-01-17,26.760,26.880,26.760,26.840,3200,0
2018-01-18,26.820,26.820,26.700,26.750,3200,0
2018-01-19,26.840,26.930,26.700,26.911,20700,0
2018-01-22,28.240,28.240,26.975,27.150,4300,0
2018-01-23,27.450,27.450,27.129,27.200,10900,0
2018-01-24,27.320,27.320,26.990,27.130,2300,0
2018-01-25,27.058,27.096,27.050,27.050,1400,0
2018-01-26,27.050,27.050,27.050,27.050,-,0
2018-01-29,27.120,27.120,27.090,27.090,1300,0
2018-01-30,26.990,26.990,26.800,26.860,1100,0
2018-01-31,26.819,26.820,26.761,26.808,3700,0
2018-02-01,26.611,26.660,26.611,26.660,1400,0
2018-02-02,26.610,26.700,26.295,26.315,5000,0
2018-02-05,25.640,26.025,25.470,25.673,2800,0
2018-02-06,24.870,25.600,24.610,25.580,6500,0
2018-02-07,25.570,25.639,25.430,25.600,3500,0
2018-02-08,25.670,25.700,25.045,25.045,2300,0
2018-02-09,25.000,25.020,24.270,24.270,53200,0
2018-02-12,25.200,25.210,25.200,25.210,7600,0
2018-02-13,25.100,25.100,25.070,25.070,14900,0
2018-02-14,25.308,25.308,25.308,25.308,1100,0
2018-02-15,25.740,25.800,25.650,25.800,1200,0
2018-02-16,26.020,26.020,25.976,25.978,2700,0
2018-02-20,25.830,25.890,25.779,25.779,2400,0
2018-02-21,25.680,26.050,25.680,25.860,2000,0
2018-02-22,25.710,25.710,25.710,25.710,100,0
2018-02-23,25.830,25.830,25.830,25.830,200,0
2018-02-26,26.000,26.110,26.000,26.110,3300,0
2018-02-27,25.926,25.945,25.820,25.820,1600,0
2018-02-28,25.830,25.839,25.550,25.550,1500,0
2018-03-01,25.550,25.550,25.230,25.305,3800,0
2018-03-02,25.160,25.500,25.117,25.500,2700,0
2018-03-05,25.770,25.840,25.770,25.786,6700,0
2018-03-06,25.930,26.080,25.910,26.060,1200,0
2018-03-07,26.310,26.310,26.130,26.220,3400,0
2018-03-08,26.090,26.195,26.090,26.120,6100,0
2018-03-09,26.495,26.560,26.495,26.560,2200,0
2018-03-12,26.560,26.560,26.560,26.560,-,0
2018-03-13,26.650,26.650,26.500,26.500,700,0
2018-03-14,26.470,26.470,26.280,26.311,130000,0
2018-03-15,26.285,26.285,26.150,26.150,3600,0
2018-03-16,26.400,26.410,26.360,26.360,3200,0
2018-03-19,25.950,26.055,25.950,26.043,800,0
2018-03-20,26.135,26.135,26.135,26.135,400,0
2018-03-21,26.160,26.259,26.160,26.259,900,0
2018-03-22,26.000,26.100,25.641,25.660,31000,0
2018-03-23,26.040,26.040,25.140,25.140,6700,0
2018-03-26,25.140,25.140,25.140,25.140,-,0
2018-03-27,25.700,25.700,25.140,25.140,3500,0
2018-03-28,25.370,25.390,25.200,25.300,4800,0
2018-03-29,25.560,25.690,25.467,25.585,7300,0
2018-04-02,25.035,25.075,24.870,24.910,9600,0
2018-04-03,25.155,25.421,25.135,25.360,9200,0
2018-04-04,25.200,25.620,25.200,25.620,6100,0
2018-04-05,25.940,25.940,25.682,25.840,26500,0
2018-04-06,26.510,26.510,25.180,25.390,11500,0
2018-04-09,25.410,25.630,24.920,25.393,6932,0
