Date,Open,High,Low,Close,Volume,OpenInt
2017-10-16,25.22,25.47,25.22,25.47,977,0
2017-10-17,25.46,25.46,25.2375,25.2375,714,0
2017-10-18,25.67,25.7145,25.67,25.687,350,0
2017-10-19,25.42,25.42,25.1597,25.194,17420,0
2017-10-20,25.5399,25.5399,25.5399,25.5399,106,0
2017-10-23,25.81,25.93,25.7604,25.8,41110,0
2017-10-24,25.78,25.83,25.78,25.8,2538,0
2017-10-25,25.905,25.95,25.64,25.7999,20300,0
2017-10-26,26.07,26.14,26,26,954,0
2017-10-27,25.71,25.87,25.71,25.78,3484,0
2017-10-30,25.49,25.61,25.4385,25.57,7978,0
2017-10-31,25.5982,25.68,25.5,25.5,152882,0
2017-11-01,25.62,25.65,25.4,25.4,53995,0
2017-11-02,25.34,25.68,25.34,25.68,777,0
2017-11-03,25.49,25.58,25.49,25.49,6489,0
2017-11-06,25.3,25.7,25.3,25.68,12035,0
2017-11-07,25.528,25.528,25.352,25.352,1600,0
2017-11-08,25.708,25.82,25.708,25.82,899,0
2017-11-09,25.63,25.63,25.52,25.55,550,0
2017-11-10,25.555,25.69,25.46,25.64,3032,0
2017-11-10,25.56,25.69,25.46,25.64,3000,0
2017-11-13,26.57,26.57,25.50,25.55,2200,0
2017-11-14,25.58,25.59,25.54,25.54,500,0
2017-11-15,25.33,25.55,25.12,25.12,6900,0
2017-11-16,25.20,25.48,25.18,25.48,600,0
2017-11-17,24.87,25.17,24.70,24.78,2200,0
2017-11-20,25.07,25.07,25.07,25.07,300,0
2017-11-21,24.97,25.52,24.97,25.52,1800,0
2017-11-22,25.04,25.50,25.04,25.07,4300,0
2017-11-24,24.97,24.97,24.97,24.97,100,0
2017-11-27,24.72,24.72,24.72,24.72,300,0
2017-11-28,24.72,24.72,24.72,24.72,-,0
2017-11-29,24.71,24.73,24.50,24.73,1000,0
2017-11-30,24.81,24.82,24.57,24.57,1500,0
2017-12-01,24.80,24.80,24.50,24.50,900,0
2017-12-04,24.50,24.50,24.50,24.50,600,0
2017-12-05,24.50,24.50,24.50,24.50,-,0
2017-12-06,23.80,23.80,23.58,23.65,900,0
2017-12-07,23.57,23.60,23.53,23.53,300,0
2017-12-08,23.95,23.95,23.95,23.95,200,0
2017-12-11,24.41,24.41,23.98,24.28,700,0
2017-12-12,23.79,23.92,23.79,23.92,400,0
2017-12-13,24.00,24.30,24.00,24.30,3700,0
2017-12-14,24.47,24.58,24.47,24.58,6600,0
2017-12-15,24.46,24.54,24.00,24.44,31600,0
2017-12-18,24.14,24.14,24.14,24.14,100,0
2017-12-19,24.14,24.25,24.14,24.25,700,0
2017-12-20,24.25,24.25,24.25,24.25,100,0
2017-12-21,25.00,25.07,24.46,25.07,4800,0
2017-12-22,25.10,25.21,24.83,25.00,3900,0
2017-12-26,25.43,25.46,25.15,25.35,1200,0
2017-12-27,25.54,25.54,25.54,25.54,200,0
2017-12-28,25.54,25.54,25.54,25.54,-,0
2017-12-29,25.75,25.75,25.30,25.30,900,0
2018-01-02,25.30,25.30,25.30,25.30,-,0
2018-01-03,25.96,26.40,25.96,26.40,1300,0
2018-01-04,26.35,26.42,26.05,26.05,1400,0
2018-01-05,26.34,26.34,26.34,26.34,400,0
2018-01-08,26.67,26.75,26.67,26.75,900,0
2018-01-09,27.15,27.15,26.55,26.55,16100,0
2018-01-10,26.72,26.94,26.72,26.80,4900,0
2018-01-11,27.26,27.26,26.88,26.98,1400,0
2018-01-12,27.10,27.10,27.10,27.10,300,0
2018-01-16,27.12,27.30,27.10,27.10,6000,0
2018-01-17,26.90,26.90,26.90,26.90,400,0
2018-01-18,27.96,27.96,26.82,26.82,4000,0
2018-01-19,26.85,26.85,26.59,26.59,700,0
2018-01-22,27.13,27.57,27.13,27.22,1200,0
2018-01-23,27.09,27.24,27.09,27.21,2100,0
2018-01-24,27.16,27.16,27.10,27.10,1800,0
2018-01-25,26.85,26.87,26.85,26.87,500,0
2018-01-26,26.98,26.98,26.83,26.84,900,0
2018-01-29,26.99,26.99,26.80,26.80,300,0
2018-01-30,26.70,26.70,26.70,26.70,300,0
2018-01-31,26.56,26.56,26.50,26.50,500,0
2018-02-01,26.41,26.61,26.41,26.56,1100,0
2018-02-02,26.17,26.17,25.57,25.59,2600,0
2018-02-05,25.67,25.73,25.45,25.45,2100,0
2018-02-06,24.97,25.25,24.46,25.25,11000,0
2018-02-07,24.73,24.73,24.73,24.73,400,0
2018-02-08,24.17,24.17,23.77,23.77,1300,0
2018-02-09,23.65,23.65,23.65,23.65,500,0
2018-02-12,23.65,23.65,23.65,23.65,-,0
2018-02-13,23.65,23.65,23.65,23.65,-,0
2018-02-14,24.51,24.78,24.51,24.78,600,0
2018-02-15,25.31,25.31,24.98,25.11,4400,0
2018-02-16,25.28,25.28,25.23,25.26,600,0
2018-02-20,25.03,25.22,25.03,25.19,9300,0
2018-02-21,25.28,25.35,25.25,25.25,700,0
2018-02-22,25.41,25.41,25.34,25.34,600,0
2018-02-23,25.40,25.40,25.38,25.38,600,0
2018-02-26,25.18,25.18,25.18,25.18,200,0
2018-02-27,24.86,24.86,24.80,24.80,800,0
2018-02-28,25.19,25.19,25.00,25.17,1200,0
2018-03-01,25.20,25.20,24.60,24.60,600,0
2018-03-02,24.60,24.60,24.60,24.60,-,0
2018-03-05,24.69,25.05,24.69,25.05,300,0
2018-03-06,25.17,25.17,24.81,24.81,900,0
2018-03-07,24.81,24.81,24.81,24.81,-,0
2018-03-08,24.81,24.81,24.81,24.81,-,0
2018-03-09,25.20,25.20,25.20,25.20,100,0
2018-03-12,25.29,25.29,25.29,25.29,900,0
2018-03-13,25.17,25.17,24.98,24.98,800,0
2018-03-14,25.05,25.05,24.93,24.93,300,0
2018-03-15,24.95,24.95,24.95,24.95,200,0
2018-03-16,27.00,27.00,24.80,24.81,1800,0
2018-03-19,24.43,24.53,24.43,24.53,400,0
2018-03-20,24.53,24.53,24.53,24.53,-,0
2018-03-21,24.65,24.66,24.65,24.66,600,0
2018-03-22,24.28,24.28,23.87,23.87,4000,0
2018-03-23,23.50,23.70,23.37,23.37,1700,0
2018-03-26,24.11,24.20,24.11,24.15,3900,0
2018-03-27,24.15,24.15,24.15,24.15,-,0
