Date,Open,High,Low,Close,Volume,OpenInt
2017-05-05,20.393,22.034,19.908,21.491,2093735,0
2017-05-08,21.461,21.608,21.365,21.471,256829,0
2017-05-09,21.374,21.511,21.219,21.278,117661,0
2017-05-10,21.219,21.384,20.889,21.18,46639,0
2017-05-11,21.18,22.141,21.025,21.365,645873,0
2017-05-12,21.413,21.631,21.199,21.365,67826,0
2017-05-15,21.452,21.792,21.261,21.316,59834,0
2017-05-16,21.316,22.064,21.278,21.743,112522,0
2017-05-17,21.365,22.024,21.355,21.743,61420,0
2017-05-18,21.617,22.074,21.608,21.86,45788,0
2017-05-19,21.714,22.511,21.656,21.714,66319,0
2017-05-22,21.801,21.966,21.694,21.889,48613,0
2017-05-23,21.889,22.049,21.851,21.889,34689,0
2017-05-24,23.297,23.297,21.689,21.928,46980,0
2017-05-25,22.064,22.306,21.898,22.044,79197,0
2017-05-26,22.326,22.326,22.034,22.141,46457,0
2017-05-30,22.141,22.229,21.656,21.753,103756,0
2017-05-31,21.666,21.811,21.306,21.471,141785,0
2017-06-01,21.413,22.083,21.413,21.918,59699,0
2017-06-02,21.966,22.326,21.821,22.278,88565,0
2017-06-05,22.219,23.044,21.909,21.938,105968,0
2017-06-06,21.666,21.996,20.976,21.374,128067,0
2017-06-07,21.384,21.851,21.121,21.248,147650,0
2017-06-08,21.093,21.608,21.02,21.287,72043,0
2017-06-09,21.355,21.806,21.083,21.131,67658,0
2017-06-12,21.083,21.841,21.015,21.336,146648,0
2017-06-13,21.296,21.296,20.617,21.073,154126,0
2017-06-14,20.938,21.171,20.646,20.85,71289,0
2017-06-15,20.752,21.025,20.685,20.986,37313,0
2017-06-16,20.938,21.209,20.491,20.617,418747,0
2017-06-19,20.617,20.811,20.476,20.617,70737,0
2017-06-20,20.52,20.636,20.393,20.636,71435,0
2017-06-21,20.617,20.986,20.403,20.588,66055,0
2017-06-22,20.578,20.636,20.374,20.461,56592,0
2017-06-23,20.442,21.413,20.393,20.743,1181806,0
2017-06-26,20.695,21.656,20.617,20.626,75518,0
2017-06-27,20.782,20.976,20.452,20.743,51485,0
2017-06-28,20.841,21.578,20.812,21.392,47738,0
2017-06-29,21.431,21.745,20.871,21.008,55972,0
2017-06-30,20.881,21.284,20.655,21.126,35621,0
2017-07-03,21.038,21.765,21.038,21.254,44099,0
2017-07-05,21.136,21.618,20.65,20.792,54519,0
2017-07-06,20.674,21.058,20.537,20.881,38642,0
2017-07-07,20.832,21.185,20.517,21.018,15883,0
2017-07-10,21.008,21.667,20.999,21.303,48143,0
2017-07-11,21.303,21.49,20.95,21.215,41627,0
2017-07-12,21.274,21.569,20.871,20.871,79255,0
2017-07-13,20.92,21.097,20.635,20.822,181622,0
2017-07-14,20.782,20.979,20.753,20.822,21009,0
2017-07-17,20.851,20.851,20.655,20.694,18074,0
2017-07-18,20.655,20.723,20.077,20.596,107369,0
2017-07-19,20.48,20.812,20.439,20.694,32781,0
2017-07-20,20.645,20.733,20.522,20.625,33085,0
2017-07-21,20.792,20.851,20.507,20.586,23444,0
2017-07-24,20.586,20.733,20.271,20.478,34244,0
2017-07-25,20.606,20.831,20.399,20.517,48983,0
2017-07-26,20.576,20.625,20.468,20.497,23919,0
2017-07-27,20.458,20.507,20.139,20.399,18328,0
2017-07-28,20.036,20.36,19.751,20.065,75931,0
2017-07-31,20.37,20.37,19.918,20.144,59586,0
2017-08-01,20.134,20.458,20.134,20.409,28769,0
2017-08-02,20.301,20.301,19.888,20.144,39581,0
2017-08-03,19.82,20.301,19.82,20.144,48070,0
2017-08-04,20.045,20.281,19.967,20.124,36735,0
2017-08-07,20.154,20.197,19.849,19.888,54302,0
2017-08-08,19.918,20.144,19.77,19.908,87232,0
2017-08-09,19.839,19.839,19.329,19.613,72650,0
2017-08-10,19.476,19.584,19.23,19.446,64615,0
2017-08-11,19.505,19.652,19.466,19.495,43868,0
2017-08-14,19.436,20.002,19.436,19.79,45416,0
2017-08-15,19.741,19.952,19.672,19.78,14687,0
2017-08-16,19.898,20.104,19.652,19.839,344805,0
2017-08-17,19.761,20.163,19.761,19.79,29365,0
2017-08-18,19.652,19.878,19.505,19.8,37411,0
2017-08-21,19.78,19.987,19.721,19.859,13936,0
2017-08-22,20.037,20.037,19.702,19.819,13176,0
2017-08-23,19.731,20.095,19.692,19.888,25349,0
2017-08-24,19.937,20.065,19.839,19.928,20493,0
2017-08-25,20.085,20.085,19.918,20.045,21324,0
2017-08-28,20.045,20.183,20.045,20.124,26961,0
2017-08-29,20.144,20.34,20.045,20.075,20024,0
2017-08-30,20.075,20.114,19.987,20.055,24034,0
2017-08-31,20.154,20.507,20.154,20.409,26789,0
2017-09-01,20.497,20.94,20.429,20.841,51075,0
2017-09-05,20.792,20.841,20.399,20.497,60273,0
2017-09-06,20.586,20.792,20.478,20.497,57577,0
2017-09-07,20.517,20.773,20.419,20.488,27656,0
2017-09-08,20.537,20.763,20.488,20.517,29449,0
2017-09-11,20.655,21.028,20.301,20.93,35335,0
2017-09-12,20.949,21.244,20.684,20.92,51743,0
2017-09-13,20.851,21.117,20.792,20.92,62949,0
2017-09-14,20.871,20.979,20.861,20.94,42554,0
2017-09-15,20.999,21.018,20.743,20.93,366553,0
2017-09-18,20.969,20.999,20.792,20.871,20768,0
2017-09-19,20.881,21.077,20.841,20.959,22591,0
2017-09-20,20.851,21.004,20.753,20.94,25785,0
2017-09-21,21.136,21.441,20.665,20.93,32128,0
2017-09-22,20.999,21.166,20.832,20.959,18869,0
2017-09-25,21.146,21.175,20.787,20.9,31355,0
2017-09-26,21.008,21.008,20.763,20.802,22448,0
2017-09-27,20.871,20.969,20.861,20.92,45179,0
2017-09-28,20.92,21.1099,20.8,20.99,26841,0
2017-09-29,20.87,21.32,20.87,21.04,22731,0
2017-10-02,21.1,21.5,20.97,21.44,43568,0
2017-10-03,21.53,21.53,21.2,21.38,15457,0
2017-10-04,21.25,21.4,21.04,21.23,13771,0
2017-10-05,21.29,21.53,21.28,21.35,18225,0
2017-10-06,21.23,21.33,21.09,21.28,13279,0
2017-10-09,21.27,21.355,21.27,21.33,7368,0
2017-10-10,21.3,21.44,21.25,21.31,19438,0
2017-10-11,21.34,21.46,21.34,21.38,17361,0
2017-10-12,21.32,21.43,21.32,21.36,9753,0
2017-10-13,21.35,21.4858,21.35,21.41,9914,0
