Date,Open,High,Low,Close,Volume,OpenInt
2017-10-06,49.723,49.891,49.719,49.891,2943,0
2017-10-09,49.891,49.891,49.891,49.891,0,0
2017-10-10,49.891,49.891,49.891,49.891,0,0
2017-10-11,49.891,49.891,49.891,49.891,19,0
2017-10-12,49.972,50.111,49.972,50.111,201,0
2017-10-13,50.41,50.429,50.4,50.429,933,0
2017-10-16,50.444,50.444,50.444,50.444,196,0
2017-10-17,50.27,50.444,50.27,50.444,205,0
2017-10-18,50.444,50.444,50.444,50.444,209,0
2017-10-19,50.439,50.439,50.409,50.409,201,0
2017-10-20,50.409,50.409,50.409,50.409,0,0
2017-10-23,50.409,50.409,50.409,50.409,0,0
2017-10-24,50.409,50.409,50.409,50.409,0,0
2017-10-25,49.793,49.793,49.793,49.793,2513,0
2017-10-26,49.793,49.793,49.793,49.793,0,0
2017-10-27,49.793,49.793,49.793,49.793,0,0
2017-10-30,49.793,49.793,49.793,49.793,6,0
2017-10-31,49.793,49.793,49.793,49.793,0,0
2017-11-01,49.7927,49.7927,49.7927,49.7927,1,0
2017-11-02,49.7927,49.7927,49.7927,49.7927,0,0
2017-11-03,49.7927,49.7927,49.7927,49.7927,26,0
2017-11-06,49.7927,49.7927,49.7927,49.7927,0,0
2017-11-07,49.7927,49.7927,49.7927,49.7927,1,0
2017-11-08,50.46,50.46,50.425,50.425,400,0
2017-11-09,50.425,50.425,50.425,50.425,482,0
2017-11-10,49.8,49.8,49.8,49.8,350,0
2017-11-17,49.80,49.80,49.80,49.80,-,0
2017-11-20,49.80,49.80,49.80,49.80,100,0
2017-11-21,49.80,49.80,49.80,49.80,-,0
2017-11-22,49.80,49.80,49.80,49.80,-,0
2017-11-24,49.80,49.80,49.80,49.80,-,0
2017-11-27,49.80,49.80,49.80,49.80,100,0
2017-11-28,49.80,49.80,49.80,49.80,100,0
2017-11-29,49.80,49.80,49.80,49.80,-,0
2017-11-30,50.28,50.40,50.28,50.37,3000,0
2017-12-01,50.53,50.53,50.53,50.53,2500,0
2017-12-04,50.53,50.53,50.53,50.53,-,0
2017-12-05,50.53,50.53,50.53,50.53,100,0
2017-12-06,50.53,50.53,50.53,50.53,100,0
2017-12-07,51.09,51.15,51.09,51.11,10000,0
2017-12-08,51.11,51.11,51.11,51.11,100,0
2017-12-11,50.78,50.78,50.78,50.78,100,0
2017-12-12,50.78,50.78,50.78,50.78,-,0
2017-12-13,50.78,50.78,50.78,50.78,200,0
2017-12-14,51.14,51.14,51.14,51.14,100,0
2017-12-15,51.31,51.31,51.31,51.31,5000,0
2017-12-18,51.30,51.30,51.30,51.30,100,0
2017-12-19,51.30,51.30,51.30,51.30,100,0
2017-12-20,50.41,50.41,50.41,50.41,100,0
2017-12-21,50.33,50.33,50.33,50.33,3200,0
2017-12-22,50.33,50.33,50.33,50.33,-,0
2017-12-26,50.33,50.33,50.33,50.33,100,0
2017-12-27,51.14,51.25,51.14,51.25,500,0
2017-12-28,51.25,51.25,51.25,51.25,-,0
2017-12-29,51.25,51.25,51.25,51.25,100,0
2018-01-02,51.09,51.09,51.09,51.09,100,0
2018-01-03,50.93,50.93,50.93,50.93,100,0
2018-01-04,50.93,50.93,50.93,50.93,100,0
2018-01-05,50.93,50.93,50.93,50.93,100,0
2018-01-08,50.93,50.93,50.93,50.93,-,0
2018-01-09,50.93,50.93,50.93,50.93,-,0
2018-01-10,50.93,50.93,50.93,50.93,-,0
2018-01-11,50.93,50.93,50.93,50.93,-,0
2018-01-12,51.02,51.04,51.02,51.03,37800,0
2018-01-16,51.06,51.06,51.06,51.06,20200,0
2018-01-17,51.12,51.12,50.85,50.85,400,0
2018-01-18,50.62,50.62,50.54,50.54,11100,0
2018-01-19,50.54,50.54,50.54,50.54,-,0
2018-01-22,50.54,50.54,50.54,50.54,-,0
2018-01-23,50.54,50.54,50.54,50.54,-,0
2018-01-24,50.54,50.54,50.54,50.54,100,0
2018-01-25,50.84,50.84,50.67,50.67,200,0
2018-01-26,50.63,50.69,50.51,50.69,1400,0
2018-01-29,50.69,50.69,50.34,50.49,1900,0
2018-01-30,50.49,50.49,50.49,50.49,-,0
2018-01-31,50.37,50.60,50.29,50.60,300,0
2018-02-01,50.43,50.46,50.43,50.46,1000,0
2018-02-02,49.70,49.71,49.37,49.48,900,0
2018-02-05,49.40,49.62,49.40,49.62,400,0
2018-02-06,49.51,49.54,49.51,49.54,500,0
2018-02-07,49.65,49.65,49.48,49.48,400,0
2018-02-08,48.84,48.84,48.83,48.83,600,0
2018-02-09,48.38,48.38,48.38,48.38,100,0
2018-02-12,48.38,48.38,48.38,48.38,-,0
2018-02-13,48.38,48.38,48.38,48.38,-,0
2018-02-14,48.33,48.33,48.33,48.33,100,0
2018-02-15,48.33,48.33,48.33,48.33,-,0
2018-02-16,48.33,48.33,48.33,48.33,-,0
2018-02-20,48.33,48.33,48.33,48.33,-,0
2018-02-21,48.33,48.33,48.33,48.33,-,0
2018-02-22,48.33,48.33,48.33,48.33,-,0
2018-02-23,48.33,48.33,48.33,48.33,-,0
2018-02-26,48.33,48.33,48.33,48.33,-,0
2018-02-27,48.33,48.33,48.33,48.33,-,0
2018-02-28,48.62,48.62,48.62,48.62,100,0
2018-03-01,48.45,48.45,48.45,48.45,100,0
2018-03-02,48.45,48.45,48.45,48.45,-,0
2018-03-05,47.96,47.96,47.96,47.96,100,0
2018-03-06,47.96,47.96,47.96,47.96,100,0
2018-03-07,48.14,48.14,48.14,48.14,200,0
2018-03-08,48.14,48.14,48.14,48.14,100,0
2018-03-09,48.14,48.14,48.14,48.14,-,0
2018-03-12,48.14,48.14,48.14,48.14,-,0
2018-03-13,48.14,48.14,48.14,48.14,-,0
2018-03-14,48.02,48.02,48.02,48.02,100,0
2018-03-15,48.30,48.30,48.30,48.30,100,0
2018-03-16,48.30,48.30,48.30,48.30,-,0
2018-03-19,48.11,48.11,48.11,48.11,100,0
2018-03-20,47.93,47.94,47.93,47.94,6500,0
2018-03-21,47.94,47.94,47.94,47.94,-,0
2018-03-22,48.06,48.06,48.06,48.06,200,0
2018-03-23,48.06,48.06,48.06,48.06,-,0
