Date,Open,High,Low,Close,Volume,OpenInt
2017-10-24,15.0495,15.0699,15.0495,15.0699,710,0
2017-10-25,15,15,14.94,14.94,50152,0
2017-10-26,14.94,14.94,14.94,14.94,50185,0
2017-10-27,14.98,14.98,14.95,14.97,3073,0
2017-10-30,14.95,14.95,14.8653,14.8653,688,0
2017-10-31,14.92,14.96,14.92,14.95,1176,0
2017-11-01,14.95,14.95,14.95,14.95,1102,0
2017-11-02,14.95,14.95,14.95,14.95,901,0
2017-11-03,14.94,14.94,14.8942,14.91,5286,0
2017-11-06,14.91,14.91,14.91,14.91,0,0
2017-11-07,14.91,14.91,14.91,14.91,105,0
2017-11-08,14.91,14.91,14.91,14.91,0,0
2017-11-09,14.829,14.829,14.79,14.79,336,0
2017-11-10,14.79,14.79,14.79,14.79,354,0
2017-11-13,14.79,14.79,14.79,14.79,-,0
2017-11-14,14.79,14.79,14.79,14.79,-,0
2017-11-15,14.89,14.89,14.89,14.89,100,0
2017-11-16,14.97,14.97,14.97,14.97,100,0
2017-11-17,15.07,15.07,15.07,15.07,100,0
2017-11-20,15.07,15.07,15.07,15.07,-,0
2017-11-21,15.17,15.17,15.17,15.17,100,0
2017-11-22,15.17,15.17,15.17,15.17,100,0
2017-11-24,15.18,15.18,15.18,15.18,100,0
2017-11-27,15.18,15.18,15.18,15.18,100,0
2017-11-28,15.20,15.20,15.20,15.20,2000,0
2017-11-29,15.43,15.43,15.43,15.43,100,0
2017-11-30,15.43,15.43,15.43,15.43,100,0
2017-12-01,15.50,15.50,15.40,15.40,1300,0
2017-12-04,15.40,15.40,15.40,15.40,100,0
2017-12-05,15.50,15.50,15.50,15.50,300,0
2017-12-06,15.50,15.50,15.50,15.50,-,0
2017-12-07,15.45,15.49,15.42,15.49,2400,0
2017-12-08,15.56,15.56,15.56,15.56,100,0
2017-12-11,15.62,15.62,15.60,15.61,1000,0
2017-12-12,15.65,15.69,15.65,15.69,1200,0
2017-12-13,15.73,15.73,15.69,15.69,400,0
2017-12-14,15.69,15.69,15.69,15.69,200,0
2017-12-15,15.78,15.78,15.78,15.78,200,0
2017-12-18,15.87,15.87,15.87,15.87,200,0
2017-12-19,15.85,15.85,15.85,15.85,200,0
2017-12-20,15.85,15.85,15.85,15.85,100,0
2017-12-21,15.85,15.85,15.85,15.85,100,0
2017-12-22,15.84,15.84,15.84,15.84,300,0
2017-12-26,15.84,15.84,15.84,15.84,-,0
2017-12-27,15.84,15.84,15.84,15.84,100,0
2017-12-28,15.83,15.84,15.83,15.83,3300,0
2017-12-29,15.83,15.83,15.83,15.83,500,0
2018-01-02,15.83,15.89,15.83,15.89,300,0
2018-01-03,15.93,15.93,15.93,15.93,200,0
2018-01-04,16.01,16.01,16.01,16.01,600,0
2018-01-05,16.14,16.19,16.14,16.19,400,0
2018-01-08,16.22,16.22,16.22,16.22,100,0
2018-01-09,16.27,16.27,16.22,16.25,1000,0
2018-01-10,16.25,16.25,16.25,16.25,100,0
2018-01-11,16.25,16.25,16.25,16.25,-,0
2018-01-12,16.25,16.25,16.25,16.25,-,0
2018-01-16,16.55,16.55,16.42,16.44,4300,0
2018-01-17,16.46,16.56,16.46,16.56,3200,0
2018-01-18,16.56,16.56,16.56,16.56,-,0
2018-01-19,16.61,16.61,16.59,16.59,300,0
2018-01-22,16.74,16.74,16.71,16.71,1300,0
2018-01-23,16.88,16.88,16.85,16.88,3200,0
2018-01-24,16.88,16.88,16.88,16.88,100,0
2018-01-25,16.76,16.77,16.76,16.76,1700,0
2018-01-26,16.82,16.82,16.82,16.82,800,0
2018-01-29,16.91,16.91,16.91,16.91,1000,0
2018-01-30,16.91,16.91,16.91,16.91,100,0
2018-01-31,16.74,16.74,16.61,16.61,700,0
2018-02-01,16.61,16.61,16.61,16.61,100,0
2018-02-02,16.52,16.52,16.28,16.28,500,0
2018-02-05,16.09,16.16,16.00,16.00,900,0
2018-02-06,16.00,16.00,16.00,16.00,-,0
2018-02-07,16.00,16.00,16.00,16.00,100,0
2018-02-08,15.94,15.94,15.46,15.46,300,0
2018-02-09,15.48,15.48,15.48,15.48,200,0
2018-02-12,15.48,15.48,15.48,15.48,100,0
2018-02-13,15.48,15.48,15.48,15.48,-,0
2018-02-14,15.80,15.80,15.80,15.80,300,0
2018-02-15,15.99,15.99,15.99,15.99,200,0
2018-02-16,16.09,16.09,16.09,16.09,200,0
2018-02-20,16.09,16.09,16.09,16.09,-,0
2018-02-21,16.09,16.09,16.09,16.09,-,0
2018-02-22,16.05,16.05,16.05,16.05,100,0
2018-02-23,15.98,15.98,15.98,15.98,100,0
2018-02-26,16.22,16.22,16.22,16.22,100,0
2018-02-27,16.22,16.22,16.22,16.22,100,0
2018-02-28,16.22,16.22,16.22,16.22,-,0
2018-03-01,16.22,16.22,16.22,16.22,100,0
2018-03-02,16.22,16.22,16.22,16.22,100,0
