Date,Open,High,Low,Close,Volume,OpenInt
2017-04-24,54.4668,54.4668,54.4668,54.4668,104,0
2017-04-25,56.12,56.12,54.4253,54.4253,292,0
2017-04-27,56.33,56.33,56.33,56.33,100,0
2017-04-28,55.5196,55.5196,55.5196,55.5196,109,0
2017-05-10,55.33,55.33,55.33,55.33,192,0
2017-05-15,53.7299,53.7299,53.7299,53.7299,100,0
2017-06-01,56.1199,56.1199,56.1199,56.1199,201,0
2017-06-21,53.331,53.331,53.331,53.331,600,0
2017-07-05,51.8001,51.8001,51.8001,51.8001,103,0
2017-07-19,56.3799,56.3799,56.3799,56.3799,110,0
2017-08-25,59.88,59.88,59.88,59.88,100,0
2017-10-23,59.88,59.88,59.88,59.88,-,0
2017-10-24,59.88,59.88,59.88,59.88,-,0
2017-10-25,59.88,59.88,59.88,59.88,-,0
2017-10-26,59.88,59.88,59.88,59.88,-,0
2017-10-27,59.88,59.88,59.88,59.88,-,0
2017-10-30,59.88,59.88,59.88,59.88,-,0
2017-10-31,59.88,59.88,59.88,59.88,-,0
2017-11-01,59.88,59.88,59.88,59.88,-,0
2017-11-02,59.88,59.88,59.88,59.88,-,0
2017-11-03,59.88,59.88,59.88,59.88,-,0
2017-11-06,59.88,59.88,59.88,59.88,-,0
2017-11-07,59.88,59.88,59.88,59.88,-,0
2017-11-08,59.88,59.88,59.88,59.88,-,0
2017-11-09,59.88,59.88,59.88,59.88,-,0
2017-11-10,59.88,59.88,59.88,59.88,-,0
2017-11-13,59.88,59.88,59.88,59.88,-,0
2017-11-14,59.88,59.88,59.88,59.88,-,0
2017-11-15,59.88,59.88,59.88,59.88,-,0
2017-11-16,59.88,59.88,59.88,59.88,-,0
2017-11-17,59.88,59.88,59.88,59.88,-,0
2017-11-20,59.88,59.88,59.88,59.88,-,0
2017-11-21,59.88,59.88,59.88,59.88,-,0
2017-11-22,59.88,59.88,59.88,59.88,-,0
2017-11-24,59.88,59.88,59.88,59.88,-,0
2017-11-27,59.88,59.88,59.88,59.88,-,0
2017-11-28,59.88,59.88,59.88,59.88,-,0
2017-11-29,59.88,59.88,59.88,59.88,-,0
2017-11-30,59.88,59.88,59.88,59.88,-,0
2017-12-01,59.88,59.88,59.88,59.88,-,0
2017-12-04,59.88,59.88,59.88,59.88,-,0
2017-12-05,59.88,59.88,59.88,59.88,-,0
2017-12-06,59.88,59.88,59.88,59.88,-,0
2017-12-07,59.88,59.88,59.88,59.88,-,0
2017-12-08,59.88,59.88,59.88,59.88,-,0
2017-12-11,59.88,59.88,59.88,59.88,-,0
2017-12-12,59.88,59.88,59.88,59.88,-,0
2017-12-13,59.88,59.88,59.88,59.88,-,0
2017-12-14,59.88,59.88,59.88,59.88,-,0
2017-12-15,59.88,59.88,59.88,59.88,-,0
2017-12-18,59.88,59.88,59.88,59.88,-,0
2017-12-19,59.88,59.88,59.88,59.88,-,0
2017-12-20,59.88,59.88,59.88,59.88,-,0
2017-12-21,59.88,59.88,59.88,59.88,-,0
2017-12-22,59.88,59.88,59.88,59.88,-,0
2017-12-26,59.88,59.88,59.88,59.88,-,0
2017-12-27,59.88,59.88,59.88,59.88,-,0
2017-12-28,59.88,59.88,59.88,59.88,-,0
2017-12-29,54.30,54.30,54.30,54.30,200,0
2018-01-02,54.30,54.30,54.30,54.30,-,0
2018-01-03,54.30,54.30,54.30,54.30,-,0
2018-01-04,54.30,54.30,54.30,54.30,-,0
2018-01-05,54.30,54.30,54.30,54.30,-,0
2018-01-08,54.30,54.30,54.30,54.30,-,0
2018-01-09,54.30,54.30,54.30,54.30,-,0
2018-01-10,54.30,54.30,54.30,54.30,-,0
2018-01-11,54.30,54.30,54.30,54.30,-,0
2018-01-12,54.30,54.30,54.30,54.30,-,0
2018-01-16,54.30,54.30,54.30,54.30,-,0
2018-01-17,54.30,54.30,54.30,54.30,-,0
2018-01-18,54.30,54.30,54.30,54.30,-,0
2018-01-19,54.30,54.30,54.30,54.30,-,0
2018-01-22,54.30,54.30,54.30,54.30,-,0
2018-01-23,54.30,54.30,54.30,54.30,-,0
2018-01-24,54.30,54.30,54.30,54.30,-,0
2018-01-25,54.30,54.30,54.30,54.30,-,0
2018-01-26,54.30,54.30,54.30,54.30,-,0
2018-01-29,54.30,54.30,54.30,54.30,-,0
2018-01-30,54.30,54.30,54.30,54.30,-,0
2018-01-31,54.30,54.30,54.30,54.30,-,0
2018-02-01,54.30,54.30,54.30,54.30,-,0
2018-02-02,54.30,54.30,54.30,54.30,-,0
2018-02-05,54.30,54.30,54.30,54.30,-,0
2018-02-06,54.30,54.30,54.30,54.30,-,0
2018-02-07,54.30,54.30,54.30,54.30,-,0
2018-02-08,54.30,54.30,54.30,54.30,-,0
2018-02-09,54.30,54.30,54.30,54.30,-,0
2018-02-12,54.30,54.30,54.30,54.30,-,0
2018-02-13,54.30,54.30,54.30,54.30,-,0
2018-02-14,54.30,54.30,54.30,54.30,-,0
2018-02-15,54.30,54.30,54.30,54.30,-,0
2018-02-16,54.30,54.30,54.30,54.30,-,0
2018-02-20,54.30,54.30,54.30,54.30,-,0
2018-02-21,54.30,54.30,54.30,54.30,-,0
2018-02-22,54.30,54.30,54.30,54.30,-,0
2018-02-23,54.30,54.30,54.30,54.30,-,0
