Date,Open,High,Low,Close,Volume,OpenInt
2017-05-15,24.931,24.931,24.918,24.918,501,0
2017-05-16,24.918,24.918,24.918,24.918,0,0
2017-05-17,24.582,24.582,24.582,24.582,501,0
2017-05-18,24.582,24.582,24.582,24.582,0,0
2017-05-19,24.702,24.841,24.702,24.841,1003,0
2017-05-22,24.841,24.841,24.841,24.841,0,0
2017-05-23,24.841,24.841,24.841,24.841,0,0
2017-05-24,24.841,24.841,24.841,24.841,0,0
2017-05-25,24.841,24.841,24.841,24.841,0,0
2017-05-26,24.841,24.841,24.841,24.841,0,0
2017-05-30,24.841,24.841,24.841,24.841,0,0
2017-05-31,24.841,24.841,24.841,24.841,0,0
2017-06-01,24.841,24.841,24.841,24.841,0,0
2017-06-02,24.841,24.841,24.841,24.841,0,0
2017-06-05,24.841,24.841,24.841,24.841,0,0
2017-06-06,24.841,24.841,24.841,24.841,0,0
2017-06-07,25.361,25.361,25.355,25.355,2346,0
2017-06-08,25.355,25.355,25.355,25.355,0,0
2017-06-09,25.355,25.355,25.355,25.355,0,0
2017-06-12,25.355,25.355,25.355,25.355,0,0
2017-06-13,25.519,25.519,25.519,25.519,2346,0
2017-06-14,25.589,25.589,25.49,25.49,2539,0
2017-06-15,25.49,25.49,25.49,25.49,0,0
2017-06-16,25.49,25.49,25.49,25.49,0,0
2017-06-19,25.49,25.49,25.49,25.49,0,0
2017-06-20,25.46,25.46,25.46,25.46,586,0
2017-06-21,25.46,25.46,25.46,25.46,0,0
2017-06-22,25.46,25.46,25.46,25.46,0,0
2017-06-23,25.4596,25.4596,25.4596,25.4596,0,0
2017-06-26,25.4596,25.4596,25.4596,25.4596,0,0
2017-06-27,25.4596,25.4596,25.4596,25.4596,0,0
2017-06-28,25.5885,25.5885,25.525,25.535,2150,0
2017-06-29,25.535,25.535,25.535,25.535,0,0
2017-06-30,25.535,25.535,25.535,25.535,0,0
2017-07-03,25.535,25.535,25.535,25.535,0,0
2017-07-05,25.535,25.535,25.535,25.535,0,0
2017-07-06,25.12,25.12,25.06,25.06,1355,0
2017-07-07,25.06,25.06,25.06,25.06,0,0
2017-07-10,25.06,25.06,25.06,25.06,0,0
2017-07-11,25.06,25.06,25.06,25.06,0,0
2017-07-12,25.06,25.06,25.06,25.06,0,0
2017-07-13,25.06,25.06,25.06,25.06,0,0
2017-07-14,25.06,25.06,25.06,25.06,0,0
2017-07-17,25.06,25.06,25.06,25.06,0,0
2017-07-18,25.06,25.06,25.06,25.06,0,0
2017-07-19,25.06,25.06,25.06,25.06,0,0
2017-07-20,25.06,25.06,25.06,25.06,0,0
2017-07-21,25.06,25.06,25.06,25.06,0,0
2017-07-24,25.06,25.06,25.06,25.06,0,0
2017-07-25,25.06,25.06,25.06,25.06,0,0
2017-07-26,25.06,25.06,25.06,25.06,0,0
2017-07-27,25.06,25.06,25.06,25.06,0,0
2017-07-28,25.06,25.06,25.06,25.06,0,0
2017-07-31,25.06,25.06,25.06,25.06,0,0
2017-08-01,25.06,25.06,25.06,25.06,0,0
2017-08-02,25.06,25.06,25.06,25.06,0,0
2017-08-03,25.06,25.06,25.06,25.06,0,0
2017-08-04,25.06,25.06,25.06,25.06,0,0
2017-08-07,25.06,25.06,25.06,25.06,0,0
2017-08-08,25.06,25.06,25.06,25.06,0,0
2017-08-09,25.06,25.06,25.06,25.06,0,0
2017-08-10,25.06,25.06,25.06,25.06,0,0
2017-08-11,25.06,25.06,25.06,25.06,0,0
2017-08-14,25.06,25.06,25.06,25.06,0,0
2017-08-15,25.06,25.06,25.06,25.06,0,0
2017-08-16,25.06,25.06,25.06,25.06,0,0
2017-08-17,25.06,25.06,25.06,25.06,0,0
2017-08-18,25.06,25.06,25.06,25.06,0,0
