Date,Open,High,Low,Close,Volume,OpenInt
2017-10-20,7.39,14.47,7.39,13.67,588443,0
2017-10-23,14,14.99,10.56,11.5,393370,0
2017-10-24,11.27,11.52,10.131,10.42,246708,0
2017-10-25,10.6,12,9.5575,10.5184,507224,0
2017-10-26,10.39,11.5,9.85,11.07,212425,0
2017-10-27,11.2,12.979,9.05,9.1,574519,0
2017-10-30,8.7,9.35,6.8,6.98,503368,0
2017-10-31,7.21,7.4999,6.6505,6.91,202316,0
2017-11-01,6.88,6.99,5.1555,5.44,204680,0
2017-11-02,5.34,5.3699,4.53,5.0499,188712,0
2017-11-03,5.2,6.349,5.2,5.56,115596,0
2017-11-06,5.73,6.1,5.68,5.6875,59001,0
2017-11-07,5.6613,6.7867,5.6613,6.55,164512,0
2017-11-08,6.45,7.74,6.45,7.51,161553,0
2017-11-09,7.29,7.98,6.8359,6.91,128670,0
2017-11-10,6.75,6.9,5.45,6.3,72907,0
2017-11-13,6.07,6.45,6.01,6.21,22300,0
2017-11-14,6.08,6.62,6.08,6.14,31100,0
2017-11-15,6.13,6.27,5.81,5.90,22000,0
2017-11-16,5.95,6.53,5.85,5.85,32800,0
2017-11-17,5.80,6.02,5.80,5.96,23900,0
2017-11-20,5.96,6.19,5.96,6.03,13000,0
2017-11-21,6.01,6.05,5.50,5.76,45200,0
2017-11-22,5.49,5.92,5.26,5.49,25200,0
2017-11-24,5.52,5.89,5.37,5.48,19300,0
2017-11-27,5.89,5.98,5.45,5.45,14200,0
2017-11-28,5.49,5.49,4.64,5.09,61800,0
2017-11-29,4.99,5.22,4.80,4.85,21100,0
2017-11-30,4.85,5.05,4.82,4.89,19600,0
2017-12-01,4.88,5.00,4.32,4.63,31600,0
2017-12-04,4.60,4.60,3.70,4.40,19300,0
2017-12-05,4.24,4.51,4.03,4.46,36100,0
2017-12-06,4.45,4.46,4.00,4.44,31100,0
2017-12-07,4.20,4.43,4.12,4.12,9100,0
2017-12-08,4.20,4.35,4.10,4.18,8500,0
2017-12-11,4.04,4.41,4.03,4.07,2500,0
2017-12-12,4.26,4.78,4.07,4.15,35900,0
2017-12-13,4.36,4.46,4.15,4.20,34800,0
2017-12-14,4.38,5.00,4.23,4.67,58700,0
2017-12-15,4.61,5.49,4.54,4.88,61700,0
2017-12-18,4.85,5.75,4.51,5.38,136600,0
2017-12-19,5.63,5.91,5.01,5.03,147200,0
2017-12-20,4.94,5.56,4.94,5.06,34400,0
2017-12-21,5.10,5.67,5.10,5.13,46800,0
2017-12-22,5.37,5.54,4.88,5.03,44000,0
2017-12-26,5.27,5.36,4.80,4.81,18600,0
2017-12-27,4.96,5.05,4.61,4.61,13100,0
2017-12-28,4.63,4.99,4.49,4.64,36500,0
