Date,Open,High,Low,Close,Volume,OpenInt
2017-09-07,25.1399,25.1399,24.919,25,454233,0
2017-09-08,25.25,25.2659,24.9302,25.01,43734,0
2017-09-11,25.36,25.36,25.1245,25.24,149746,0
2017-09-12,25.39,25.4099,25.32,25.38,39668,0
2017-09-13,25.37,25.43,25.37,25.43,18910,0
2017-09-14,25.72,25.72,25.44,25.56,34084,0
2017-09-15,25.57,25.57,25.4113,25.52,18159,0
2017-09-18,25.74,25.74,25.587,25.6308,8245,0
2017-09-19,25.95,25.95,25.6001,25.6354,7252,0
2017-09-20,25.755,25.755,25.65,25.73,15705,0
2017-09-21,26.02,26.02,25.69,25.7499,12245,0
2017-09-22,25.83,25.83,25.7,25.78,17111,0
2017-09-25,25.89,25.9379,25.8493,25.9124,19442,0
2017-09-26,26.29,26.29,25.9304,25.99,36451,0
2017-09-27,26.25,26.25,26,26.0867,23668,0
2017-09-28,26.115,26.115,26.01,26.06,600613,0
2017-09-29,26.175,26.175,26.075,26.111,21128,0
2017-10-02,26.1509,26.26,26.07,26.26,13083,0
2017-10-03,26.5,26.8744,26.2176,26.32,201834,0
2017-10-04,26.4,26.4099,26.3,26.35,7025,0
2017-10-05,26.41,26.49,26.3983,26.46,4879,0
2017-10-06,26.43,26.43,26.29,26.29,9867,0
2017-10-09,26.47,26.47,26.26,26.26,1630,0
2017-10-10,26.53,26.53,26.32,26.3599,10640,0
2017-10-11,26.22,26.37,26.22,26.36,6699,0
2017-10-12,26.27,26.35,26.27,26.3144,4525,0
2017-10-13,26.3,26.42,26.3,26.36,25864,0
2017-10-16,26.48,26.48,26.36,26.36,1757,0
2017-10-17,26.3603,26.38,26.3102,26.3102,2737,0
2017-10-18,26.3731,26.3872,26.321,26.34,2925,0
2017-10-19,26.2359,26.39,26.2206,26.39,15384,0
2017-10-20,26.41,26.56,26.41,26.5,1677,0
2017-10-23,26.695,26.695,26.47,26.49,2672,0
2017-10-24,26.57,26.57,26.4872,26.4936,2880,0
2017-10-25,26.4147,26.4147,26.158,26.2131,9582,0
2017-10-26,26.3,26.394,26.3,26.3767,1207,0
2017-10-27,26.2699,26.43,26.23,26.43,2734,0
2017-10-30,26.35,26.38,26.3,26.32,2940,0
2017-10-31,26.19,26.36,26.19,26.33,8299,0
2017-11-01,26.33,26.47,26.33,26.41,7795,0
2017-11-02,26.48,26.48,26.3194,26.38,3913,0
2017-11-03,26.59,26.59,26.38,26.4924,4047,0
2017-11-06,26.5,26.66,26.4701,26.66,5187,0
2017-11-07,26.78,26.78,26.5,26.55,3773,0
2017-11-08,26.515,26.57,26.47,26.55,4752,0
2017-11-09,26.45,26.5,26.3377,26.47,7027,0
2017-11-10,26.56,26.56,26.391,26.41,8353,0
2017-11-14,26.40,26.40,26.30,26.33,3200,0
2017-11-15,26.17,26.25,26.11,26.20,1600,0
2017-11-16,26.26,26.38,26.26,26.37,4000,0
2017-11-17,26.36,26.42,26.34,26.41,1900,0
2017-11-20,26.57,26.57,26.13,26.42,3100,0
2017-11-21,26.49,26.53,26.48,26.49,2100,0
2017-11-22,26.51,26.61,26.49,26.58,2900,0
2017-11-24,26.68,26.68,26.57,26.57,700,0
2017-11-27,26.65,26.65,26.47,26.53,2200,0
2017-11-28,26.63,26.83,26.56,26.83,7300,0
2017-11-29,27.10,27.14,26.89,27.09,11500,0
2017-11-30,27.36,27.55,27.30,27.40,9700,0
2017-12-01,27.24,27.47,27.06,27.39,7000,0
2017-12-04,27.70,27.81,27.65,27.65,9400,0
2017-12-05,27.84,27.84,27.41,27.41,5300,0
2017-12-06,27.47,27.47,27.27,27.31,5500,0
2017-12-07,27.41,27.41,27.39,27.39,700,0
2017-12-08,27.57,27.58,27.57,27.58,500,0
2017-12-11,27.65,27.67,27.58,27.58,13400,0
2017-12-12,27.66,27.75,27.66,27.75,4000,0
2017-12-13,27.80,27.80,27.70,27.71,5300,0
2017-12-14,27.76,27.76,27.50,27.50,900,0
2017-12-15,27.67,27.67,27.60,27.62,1600,0
2017-12-18,27.89,27.89,27.76,27.83,6100,0
2017-12-19,27.93,27.93,27.83,27.83,3100,0
2017-12-20,27.98,27.98,27.76,27.86,2900,0
2017-12-21,28.00,28.06,27.92,28.06,7500,0
2017-12-22,28.08,28.08,27.96,28.03,3200,0
2017-12-26,28.08,28.12,28.08,28.08,3100,0
2017-12-27,28.20,28.20,28.03,28.07,1900,0
2017-12-28,27.99,27.99,27.84,27.91,1500,0
2017-12-29,27.98,28.00,27.91,27.91,6200,0
2018-01-02,28.00,28.03,27.99,27.99,2100,0
2018-01-03,28.00,28.25,28.00,28.25,4000,0
2018-01-04,28.44,28.44,28.30,28.38,8400,0
2018-01-05,28.40,28.45,28.34,28.45,6600,0
2018-01-08,28.56,28.57,28.40,28.56,32500,0
2018-01-09,28.72,28.72,28.56,28.65,45900,0
2018-01-10,28.50,28.65,28.50,28.53,10800,0
2018-01-11,28.72,28.88,28.67,28.88,22300,0
2018-01-12,29.02,29.10,28.97,29.08,12500,0
2018-01-16,29.30,29.35,28.78,28.87,23600,0
2018-01-17,29.10,29.12,28.87,29.07,6400,0
2018-01-18,29.12,29.12,28.91,28.93,128000,0
