Date,Open,High,Low,Close,Volume,OpenInt
2017-11-08,38.84,39,38.84,38.84,1560394,0
2017-11-09,36.82,37.17,36.5,37.02,355731,0
2017-11-10,36.75,37.05,36.35,36.99,67030,0
2017-11-13,36.95,38.23,36.95,37.94,39700,0
2017-11-14,37.84,38.17,36.90,37.10,104800,0
2017-11-15,36.80,39.05,36.77,38.74,107300,0
2017-11-16,38.85,39.29,37.67,39.14,148500,0
2017-11-17,39.06,39.65,38.66,39.59,30000,0
2017-11-20,39.75,41.75,39.75,41.32,79900,0
2017-11-21,41.35,42.37,40.93,42.07,87800,0
2017-11-22,42.19,42.20,41.76,41.94,14800,0
2017-11-24,42.00,42.35,41.80,42.15,12800,0
2017-11-27,42.15,42.69,42.00,42.54,28600,0
2017-11-28,42.52,43.29,42.34,42.49,46400,0
2017-11-29,42.45,44.53,42.45,43.65,85200,0
2017-11-30,43.95,44.38,43.47,43.76,114600,0
2017-12-01,43.86,44.20,43.15,43.95,52500,0
2017-12-04,43.99,45.14,43.99,44.66,101800,0
2017-12-05,45.00,45.05,44.25,44.58,124300,0
2017-12-06,44.60,45.64,44.60,44.64,47000,0
2017-12-07,44.64,48.87,44.64,46.01,234100,0
2017-12-08,46.51,48.21,45.88,47.26,174800,0
2017-12-11,47.99,48.26,47.52,47.82,131900,0
2017-12-12,48.25,50.16,47.94,50.03,252500,0
2017-12-13,49.95,51.30,45.01,46.16,371800,0
2017-12-14,45.93,45.93,43.00,43.46,277600,0
2017-12-15,43.50,45.63,43.09,44.55,647500,0
2017-12-18,44.71,49.50,44.67,47.49,445700,0
2017-12-19,48.35,49.00,43.06,44.50,422800,0
2017-12-20,46.20,47.34,44.56,45.75,313100,0
2017-12-21,45.95,46.79,45.06,45.50,168800,0
2017-12-22,44.50,44.75,43.02,43.18,155000,0
2017-12-26,43.30,44.66,43.30,43.75,100300,0
2017-12-27,43.94,44.00,43.32,43.42,56900,0
2017-12-28,43.48,43.48,42.24,43.11,80600,0
2017-12-29,43.50,43.55,41.62,42.10,140100,0
2018-01-02,42.45,45.49,42.20,45.49,172900,0
2018-01-03,45.69,45.90,44.21,45.21,136300,0
2018-01-04,45.23,46.29,45.13,45.99,126900,0
2018-01-05,46.22,46.70,45.76,45.82,153200,0
2018-01-08,45.96,45.96,44.60,45.58,128700,0
2018-01-09,45.48,45.75,44.52,45.67,109700,0
2018-01-10,45.60,45.99,44.86,45.24,116300,0
2018-01-11,45.28,45.45,43.95,44.86,134100,0
2018-01-12,44.88,45.00,44.38,44.95,35100,0
2018-01-16,43.99,45.35,43.74,44.82,109100,0
2018-01-17,44.93,44.93,43.09,44.06,130100,0
2018-01-18,43.92,44.25,42.91,43.00,85900,0
2018-01-19,42.94,44.35,42.69,42.93,71800,0
2018-01-22,43.00,43.59,42.35,43.36,57700,0
2018-01-23,43.35,44.34,42.92,44.21,124100,0
2018-01-24,44.30,44.55,43.72,44.21,29500,0
2018-01-25,43.96,44.28,43.15,43.65,81500,0
2018-01-26,43.82,43.93,42.75,43.16,31700,0
2018-01-29,43.16,44.40,42.63,43.50,70700,0
2018-01-30,43.38,44.70,43.38,44.55,127500,0
2018-01-31,44.70,47.76,44.50,47.49,161500,0
2018-02-01,47.31,48.45,46.64,48.04,103700,0
2018-02-02,47.81,48.83,46.55,46.70,106700,0
2018-02-05,46.30,47.21,45.69,46.22,63700,0
2018-02-06,45.41,46.36,44.68,45.28,43300,0
2018-02-07,45.11,45.30,44.67,45.06,41000,0
2018-02-08,45.01,45.50,44.72,44.91,40400,0
2018-02-09,45.44,45.44,43.90,44.70,49300,0
2018-02-12,45.15,46.14,44.37,45.51,24800,0
2018-02-13,45.50,45.51,44.82,45.00,16300,0
2018-02-14,44.80,45.82,44.55,45.19,49400,0
2018-02-15,45.25,45.60,44.60,45.13,33000,0
2018-02-16,45.19,46.09,45.15,45.66,16300,0
2018-02-20,45.64,46.09,45.11,45.45,21900,0
2018-02-21,45.41,45.89,45.41,45.57,15200,0
2018-02-22,45.75,45.75,44.69,44.95,29900,0
2018-02-23,45.08,45.38,44.68,45.26,17900,0
2018-02-26,45.42,45.51,44.69,45.17,23700,0
2018-02-27,45.25,45.73,44.94,45.05,24000,0
2018-02-28,45.25,45.25,44.11,44.42,24600,0
2018-03-01,44.68,45.63,44.03,44.64,42000,0
2018-03-02,44.29,45.49,44.00,45.30,47600,0
2018-03-05,44.84,47.45,44.41,46.50,45300,0
2018-03-06,46.41,46.69,46.10,46.43,16100,0
2018-03-07,46.13,47.43,46.13,46.72,13600,0
2018-03-08,46.75,47.25,46.17,46.20,26000,0
2018-03-09,46.25,47.10,46.22,46.79,21800,0
2018-03-12,46.72,46.72,44.54,44.56,85000,0
2018-03-13,44.87,45.81,44.71,45.42,30100,0
2018-03-14,45.37,45.42,43.81,44.09,66600,0
2018-03-15,44.28,44.64,43.32,43.69,40500,0
2018-03-16,43.62,44.10,43.24,43.88,37200,0
2018-03-19,43.74,43.91,42.81,42.90,43900,0
2018-03-20,42.90,43.12,41.95,42.58,142400,0
2018-03-21,42.52,44.04,42.52,42.67,42900,0
2018-03-22,42.47,43.07,41.95,42.10,45600,0
2018-03-23,42.27,43.11,41.51,41.67,34700,0
2018-03-26,42.27,42.70,42.03,42.43,18800,0
2018-03-27,42.35,42.35,41.64,41.65,18200,0
2018-03-28,41.66,41.68,41.17,41.45,17500,0
2018-03-29,41.21,42.80,41.09,42.11,47600,0
2018-04-02,42.34,42.59,42.12,42.50,31700,0
2018-04-03,42.71,43.51,42.60,43.10,45600,0
2018-04-04,42.79,43.93,42.72,43.78,55200,0
2018-04-05,43.93,44.46,43.75,44.19,25300,0
2018-04-06,43.88,44.45,43.53,43.66,35300,0
2018-04-09,43.95,44.36,43.71,44.24,27987,0
