Date,Open,High,Low,Close,Volume,OpenInt
2017-09-05,28.83,29.2,28.57,29.2,52856131,0
2017-09-06,30.82,32.19,30.37,31.73,30378845,0
2017-09-07,31.63,32.46,31.3,31.71,11418459,0
2017-09-08,31.8,32.03,30.7507,30.99,13320518,0
2017-09-11,31.5,31.85,31.15,31.48,9247418,0
2017-09-12,31.72,32.39,31.64,32.15,4238687,0
2017-09-13,32.08,32.13,31.92,31.97,2993282,0
2017-09-14,32.31,32.31,32.05,32.19,3276459,0
2017-09-15,32.55,32.67,32.29,32.47,4117992,0
2017-09-18,32.65,32.8,32.4,32.43,2445960,0
2017-09-19,33.14,33.19,32.93,33.1,2613990,0
2017-09-20,33.05,33.09,32.82,32.82,1937957,0
2017-09-21,32.78,32.8,32.54,32.55,1331295,0
2017-09-22,32.89,32.92,32.775,32.85,1648468,0
2017-09-25,33.05,33.18,32.73,32.94,1753524,0
2017-09-26,32.7,32.78,32.375,32.57,969649,0
2017-09-27,32.55,32.61,32.32,32.32,1134772,0
2017-09-28,32.17,32.24,31.515,31.65,2480389,0
2017-09-29,31.9,32.03,31.735,31.9,1565131,0
2017-10-02,32,32.03,31.76,31.87,1890720,0
2017-10-03,31.64,31.65,31.501,31.58,1868786,0
2017-10-04,31.83,31.85,31.57,31.67,1378659,0
2017-10-05,31.85,31.95,31.7,31.79,3328041,0
2017-10-06,31.6,31.75,31.54,31.58,1337293,0
2017-10-09,31.73,31.79,31.68,31.73,912074,0
2017-10-10,31.99,32,31.69,31.8,1036785,0
2017-10-11,31.7,31.84,31.6,31.79,1287531,0
2017-10-12,31.82,31.99,31.76,31.92,1631870,0
2017-10-13,32.01,32.06,31.96,31.97,570111,0
2017-10-16,32.07,32.53,32.04,32.47,1595943,0
2017-10-17,32.5,32.51,32,32.17,692798,0
2017-10-18,32.38,32.52,32.29,32.45,800365,0
2017-10-19,32.37,32.66,32.3,32.43,1288605,0
2017-10-20,32.5,32.57,32.39,32.45,726902,0
2017-10-23,32.94,33.2,32.79,33.05,686442,0
2017-10-24,32.93,32.98,32.81,32.91,940953,0
2017-10-25,33.37,33.61,33.32,33.57,881306,0
2017-10-26,33.6,33.89,33.4669,33.67,2707820,0
2017-10-27,33.8,34.06,33.7,33.98,878306,0
2017-10-30,34.29,34.315,34.18,34.28,501852,0
2017-10-31,34.85,35.09,34.66,34.93,1652907,0
2017-11-01,35.305,35.55,35.25,35.38,1080755,0
2017-11-02,34.74,35.04,34.67,34.86,1235786,0
2017-11-03,34.86,34.89,34.62,34.84,1156591,0
2017-11-06,34.82,34.83,34.63,34.72,834242,0
2017-11-07,34.87,34.87,34.46,34.58,581856,0
2017-11-08,34.5,34.97,34.48,34.97,2080267,0
2017-11-09,34.46,34.59,34.33,34.52,709403,0
2017-11-10,34.68,34.722,34.43,34.53,654764,0
2017-11-14,34.540,34.620,34.490,34.530,1619300,0
2017-11-15,34.570,34.710,34.500,34.630,706000,0
2017-11-16,35.400,35.680,35.310,35.530,879900,0
2017-11-17,35.690,35.720,35.330,35.440,686300,0
2017-11-20,35.560,35.810,35.460,35.730,902300,0
2017-11-21,35.890,36.210,35.750,35.810,900200,0
2017-11-22,35.930,36.015,35.700,35.880,549200,0
2017-11-24,35.500,35.530,35.340,35.460,286200,0
2017-11-27,34.190,34.210,33.930,34.110,1020500,0
2017-11-28,34.090,34.570,33.965,34.340,829300,0
2017-11-29,34.160,34.170,33.160,33.330,863200,0
2017-11-30,33.400,33.630,33.190,33.500,612400,0
2017-12-01,33.190,33.280,32.882,33.010,424300,0
2017-12-04,33.040,33.140,32.670,32.680,629700,0
2017-12-05,32.780,33.310,32.760,32.930,529600,0
2017-12-06,32.500,32.645,32.270,32.290,568200,0
2017-12-07,32.330,32.610,32.270,32.570,652100,0
2017-12-08,32.580,32.660,32.240,32.360,421400,0
2017-12-11,32.470,32.550,32.400,32.490,566800,0
2017-12-12,33.050,33.080,32.760,32.920,778100,0
2017-12-13,33.020,33.210,33.010,33.150,866700,0
2017-12-14,33.460,33.480,33.240,33.300,814500,0
2017-12-15,33.200,33.600,33.190,33.410,1100600,0
2017-12-18,33.760,34.000,33.580,33.710,734800,0
2017-12-19,33.010,33.200,32.960,33.120,801300,0
2017-12-20,33.220,33.360,33.040,33.100,326700,0
2017-12-21,33.590,33.590,33.090,33.140,458100,0
2017-12-22,33.150,33.280,32.980,33.070,304000,0
2017-12-26,32.650,33.120,32.500,33.100,650500,0
2017-12-27,33.180,33.330,32.760,32.920,822400,0
2017-12-28,33.100,33.310,33.052,33.190,274200,0
2017-12-29,33.800,33.980,33.590,33.590,623900,0
2018-01-02,33.710,33.710,33.300,33.640,605200,0
2018-01-03,33.810,34.140,33.810,33.860,627300,0
2018-01-04,34.490,34.735,34.310,34.720,638000,0
2018-01-05,34.750,34.990,34.520,34.680,786400,0
2018-01-08,28.670,29.340,28.610,28.920,2542800,0
2018-01-09,29.710,29.880,29.550,29.830,5076500,0
2018-01-10,30.460,30.750,30.380,30.570,4765500,0
2018-01-11,30.540,31.030,30.210,30.790,2338700,0
2018-01-12,31.240,31.570,31.170,31.420,1675700,0
2018-01-16,30.740,31.092,30.600,30.700,2449100,0
2018-01-17,30.280,30.480,29.500,30.190,4894900,0
2018-01-18,29.720,30.165,29.720,30.120,1639200,0
