Date,Open,High,Low,Close,Volume,OpenInt
2017-08-14,24.636,24.636,24.636,24.636,2035,0
2017-08-17,23.584,23.584,23.562,23.562,264,0
2017-08-18,23.623,23.623,23.623,23.623,134,0
2017-08-21,23.25,23.25,23.25,23.25,814,0
2017-08-22,23.402,23.402,23.402,23.402,203,0
2017-09-06,24.651,24.651,24.651,24.651,102,0
2017-09-07,24.602,24.602,24.602,24.602,102,0
2017-09-25,24.74,24.74,24.74,24.74,203,0
2017-10-12,24.91,24.91,24.91,24.91,200,0
2017-10-13,24.57,24.57,24.57,24.57,130,0
2017-11-03,23.475,23.475,23.46,23.46,400,0
2017-11-13,23.46,23.46,23.46,23.46,-,0
2017-11-14,23.46,23.46,23.46,23.46,-,0
2017-11-15,23.46,23.46,23.46,23.46,-,0
2017-11-16,23.46,23.46,23.46,23.46,-,0
2017-11-17,23.46,23.46,23.46,23.46,-,0
2017-11-20,23.46,23.46,23.46,23.46,-,0
2017-11-21,23.46,23.46,23.46,23.46,-,0
2017-11-22,23.46,23.46,23.46,23.46,-,0
2017-11-24,23.46,23.46,23.46,23.46,-,0
2017-11-27,23.46,23.46,23.46,23.46,-,0
2017-11-28,23.46,23.46,23.46,23.46,-,0
2017-11-29,23.46,23.46,23.46,23.46,-,0
2017-11-30,23.46,23.46,23.46,23.46,-,0
2017-12-01,23.46,23.46,23.46,23.46,-,0
2017-12-04,23.46,23.46,23.46,23.46,-,0
2017-12-05,23.46,23.46,23.46,23.46,-,0
2017-12-06,23.46,23.46,23.46,23.46,-,0
2017-12-07,23.23,23.23,23.23,23.23,2000,0
2017-12-08,23.23,23.23,23.23,23.23,-,0
2017-12-11,23.23,23.23,23.23,23.23,-,0
2017-12-12,23.23,23.23,23.23,23.23,-,0
2017-12-13,23.23,23.23,23.23,23.23,-,0
2017-12-14,23.23,23.23,23.23,23.23,-,0
2017-12-15,23.23,23.23,23.23,23.23,-,0
2017-12-18,23.23,23.23,23.23,23.23,-,0
2017-12-19,23.23,23.23,23.23,23.23,-,0
2017-12-20,23.23,23.23,23.23,23.23,-,0
2017-12-21,23.23,23.23,23.23,23.23,-,0
2017-12-22,23.23,23.23,23.23,23.23,-,0
2017-12-26,23.23,23.23,23.23,23.23,-,0
2017-12-27,23.23,23.23,23.23,23.23,-,0
2017-12-28,23.23,23.23,23.23,23.23,-,0
2017-12-29,23.23,23.23,23.23,23.23,-,0
2018-01-02,23.23,23.23,23.23,23.23,-,0
2018-01-03,23.23,23.23,23.23,23.23,-,0
2018-01-04,23.23,23.23,23.23,23.23,-,0
2018-01-05,23.23,23.23,23.23,23.23,-,0
2018-01-08,23.23,23.23,23.23,23.23,-,0
2018-01-09,23.23,23.23,23.23,23.23,-,0
2018-01-10,25.77,25.77,25.77,25.77,200,0
2018-01-11,26.24,26.27,26.24,26.27,400,0
2018-01-12,26.27,26.27,26.27,26.27,-,0
2018-01-16,26.26,26.26,26.26,26.26,200,0
2018-01-17,26.26,26.26,26.26,26.26,-,0
2018-01-18,26.26,26.26,26.26,26.26,-,0
2018-01-19,26.26,26.26,26.26,26.26,-,0
2018-01-22,26.18,26.18,26.18,26.18,1900,0
2018-01-23,26.36,26.40,26.36,26.40,500,0
2018-01-24,26.40,26.40,26.40,26.40,-,0
2018-01-25,26.40,26.40,26.40,26.40,-,0
2018-01-26,26.40,26.40,26.40,26.40,-,0
2018-01-29,26.40,26.40,26.40,26.40,-,0
2018-01-30,26.40,26.40,26.40,26.40,-,0
2018-01-31,26.40,26.40,26.40,26.40,-,0
2018-02-01,26.40,26.40,26.40,26.40,-,0
2018-02-02,26.40,26.40,26.40,26.40,-,0
2018-02-05,26.40,26.40,26.40,26.40,-,0
2018-02-06,26.40,26.40,26.40,26.40,-,0
2018-02-07,26.40,26.40,26.40,26.40,-,0
2018-02-08,26.40,26.40,26.40,26.40,-,0
2018-02-09,26.40,26.40,26.40,26.40,-,0
2018-02-12,26.40,26.40,26.40,26.40,-,0
2018-02-13,26.40,26.40,26.40,26.40,-,0
2018-02-14,26.40,26.40,26.40,26.40,-,0
2018-02-15,26.40,26.40,26.40,26.40,-,0
2018-02-16,26.40,26.40,26.40,26.40,-,0
2018-02-20,24.13,24.13,24.05,24.11,500,0
2018-02-21,24.11,24.11,24.11,24.11,-,0
2018-02-22,24.11,24.11,24.11,24.11,-,0
2018-02-23,24.11,24.11,24.11,24.11,-,0
2018-02-26,24.11,24.11,24.11,24.11,-,0
2018-02-27,24.11,24.11,24.11,24.11,-,0
2018-02-28,24.11,24.11,24.11,24.11,-,0
2018-03-01,24.11,24.11,24.11,24.11,-,0
2018-03-02,24.11,24.11,24.11,24.11,-,0
2018-03-05,24.11,24.11,24.11,24.11,-,0
2018-03-06,24.11,24.11,24.11,24.11,-,0
