Date,Open,High,Low,Close,Volume,OpenInt
2017-11-07,17.5,18.4238,17.25,18.25,648034,0
2017-11-08,18.01,18.4832,17.51,17.9,77703,0
2017-11-09,17.65,18.4446,17.65,18.01,27647,0
2017-11-10,18.63,18.63,17.9,18.25,18318,0
2017-11-13,18.37,18.40,18.25,18.32,5000,0
2017-11-14,18.25,18.25,18.12,18.14,2200,0
2017-11-15,18.03,18.35,18.00,18.30,45000,0
2017-11-16,18.35,18.35,18.13,18.25,8700,0
2017-11-17,18.25,18.25,18.15,18.15,17300,0
2017-11-20,18.15,18.15,18.08,18.08,30400,0
2017-11-21,18.01,18.26,18.01,18.26,16400,0
2017-11-22,18.22,18.25,17.97,18.25,28300,0
2017-11-24,18.25,18.25,17.98,17.98,2600,0
2017-11-27,18.02,18.02,17.81,17.90,20100,0
2017-11-28,17.83,17.99,17.61,17.97,36300,0
2017-11-29,17.92,17.99,17.26,17.58,23800,0
2017-11-30,17.67,18.39,17.58,18.39,56600,0
2017-12-01,18.36,18.40,17.33,18.35,3100,0
2017-12-04,18.01,18.25,18.01,18.03,11000,0
2017-12-05,18.03,18.03,17.50,17.75,4100,0
2017-12-06,17.68,18.02,17.47,17.65,9900,0
2017-12-07,17.70,17.75,17.68,17.75,3100,0
2017-12-08,17.90,18.10,17.90,18.00,2100,0
2017-12-11,18.20,19.24,18.20,19.19,31000,0
2017-12-12,19.24,21.37,18.56,20.98,34500,0
2017-12-13,20.88,21.00,19.81,20.97,32100,0
2017-12-14,20.45,20.50,19.31,20.50,22400,0
2017-12-15,20.41,20.61,19.43,19.69,130300,0
2017-12-18,19.60,20.11,19.20,20.11,4200,0
2017-12-19,19.74,20.60,19.50,20.54,4500,0
2017-12-20,20.00,20.35,19.75,20.30,12300,0
2017-12-21,20.09,20.48,20.09,20.48,3100,0
2017-12-22,20.29,20.29,19.63,20.10,2500,0
2017-12-26,19.15,19.52,19.15,19.52,1600,0
2017-12-27,19.47,19.47,19.31,19.39,1400,0
2017-12-28,19.24,20.05,19.05,19.06,16600,0
2017-12-29,19.01,19.98,19.01,19.98,1300,0
2018-01-02,19.21,19.95,19.05,19.07,10600,0
2018-01-03,19.05,20.38,19.05,20.38,14500,0
2018-01-04,20.01,20.25,19.20,19.58,12800,0
2018-01-05,19.92,20.79,19.25,20.44,44200,0
2018-01-08,20.50,20.50,19.45,20.00,11900,0
2018-01-09,19.61,19.73,19.46,19.46,4500,0
2018-01-10,19.45,19.60,19.45,19.48,6400,0
2018-01-11,19.99,20.00,19.55,19.85,16600,0
2018-01-12,19.85,19.85,19.85,19.85,-,0
2018-01-16,20.24,20.24,19.60,20.00,1000,0
2018-01-17,20.00,20.00,20.00,20.00,-,0
2018-01-18,20.00,20.42,19.64,20.10,8000,0
2018-01-19,20.05,20.07,19.45,20.00,15800,0
2018-01-22,19.95,19.95,19.51,19.51,1200,0
2018-01-23,19.34,19.63,19.28,19.29,3200,0
2018-01-24,19.48,19.48,19.48,19.48,200,0
2018-01-25,19.27,19.31,19.26,19.26,1100,0
2018-01-26,19.45,19.45,18.49,19.20,2000,0
2018-01-29,19.28,19.40,17.51,17.70,9100,0
2018-01-30,16.56,18.42,16.56,18.40,19000,0
2018-01-31,18.67,18.68,18.10,18.24,19400,0
2018-02-01,18.30,18.57,18.30,18.33,4300,0
2018-02-02,18.31,18.38,18.11,18.16,7400,0
2018-02-05,18.12,18.12,17.03,17.91,12400,0
2018-02-06,17.87,18.06,17.75,18.00,13700,0
