Date,Open,High,Low,Close,Volume,OpenInt
2017-06-28,14.25,14.7,14,14,2700662,0
2017-06-29,13.85,13.9,12.71,13.52,1009442,0
2017-06-30,13.5,14.25,13.1434,13.97,114056,0
2017-07-03,13.94,14,13.085,13.82,7660,0
2017-07-05,13.78,14.09,13.1837,13.99,93744,0
2017-07-06,14.3,14.3,13.065,13.35,146968,0
2017-07-07,13.54,13.67,13.05,13.29,33055,0
2017-07-10,13.29,13.4853,13.03,13.27,31224,0
2017-07-11,13.14,13.8293,13.1,13.81,64135,0
2017-07-12,13.99,14.05,13.61,14.03,34731,0
2017-07-13,14.1499,14.1499,13.75,14.1,126898,0
2017-07-14,14.1,14.25,13.8196,14.04,30035,0
2017-07-17,14.1,14.2689,13.85,14.15,149452,0
2017-07-18,14.01,14.25,13.8539,14.15,35021,0
2017-07-19,14,14.28,13.82,14.25,129446,0
2017-07-20,14.1,14.2317,13.85,14.19,13300,0
2017-07-21,14.1593,14.18,13.95,14.05,33796,0
2017-07-24,14.08,15.87,14.08,15,228735,0
2017-07-25,15.01,15.645,15.01,15.01,71803,0
2017-07-26,15,15.06,14.5,14.99,195089,0
2017-07-27,15.12,15.25,14.14,15.1,144354,0
2017-07-28,15,15,14.0811,14.6,2621,0
2017-07-31,14.63,14.95,13.867,14.9,56641,0
2017-08-01,14.98,15.1,13.831,14.85,59596,0
2017-08-02,14.95,14.9947,14.04,14.8,34485,0
2017-08-03,15,15,14.0922,14.76,52701,0
2017-08-04,14.81,15.37,14.63,15.01,39775,0
2017-08-07,15.13,15.13,14.85,15.1,15908,0
2017-08-08,15.22,15.25,14.83,15.16,42831,0
2017-08-09,15.25,15.35,14.9674,15.03,18360,0
2017-08-10,15.21,15.21,15.11,15.15,12064,0
2017-08-11,15.01,15.45,15.01,15.42,15235,0
2017-08-14,15.5,15.74,15.48,15.74,14179,0
2017-08-15,15.76,15.76,15.3,15.55,36623,0
2017-08-16,15.43,15.68,15.08,15.35,52129,0
2017-08-17,15.2,16.08,15.02,15.62,56638,0
2017-08-18,15.46,16.25,15.22,16.21,68616,0
2017-08-21,16.135,16.76,15.6478,16.55,66633,0
2017-08-22,16.6,16.75,15.75,16.12,64357,0
2017-08-23,15.97,16.825,15.97,16.35,72150,0
2017-08-24,16.8742,16.8742,15.78,16.12,80904,0
2017-08-25,16,16.46,15.501,15.84,53349,0
2017-08-28,15.85,16.63,15.73,16.4,57420,0
2017-08-29,16.265,16.78,16.265,16.6,35456,0
2017-08-30,16.46,18.48,16.45,17.88,169739,0
2017-08-31,17.85,18.0522,17.3,17.51,67624,0
2017-09-01,17.8,18.2799,17.5,17.55,47740,0
2017-09-05,17.84,17.85,17.28,17.5,110609,0
2017-09-06,17.575,18.23,17.45,17.65,78167,0
2017-09-07,17.65,18.07,17.43,17.75,92050,0
2017-09-08,17.75,18.48,17.45,17.75,186239,0
2017-09-11,17.88,18,17.18,17.9,52883,0
2017-09-12,17.85,17.85,17.18,17.5,44292,0
2017-09-13,17.65,17.6854,16.77,16.93,56583,0
2017-09-14,17,17.385,16.8,17.18,85478,0
2017-09-15,16.99,17.21,16.2,16.2,536317,0
2017-09-18,16.17,16.76,15.49,15.92,112584,0
2017-09-19,15.92,16.2,15.17,15.34,73321,0
2017-09-20,15.35,17.03,15.2,16.78,72755,0
2017-09-21,16.28,17.88,15.98,17.58,53825,0
2017-09-22,17.44,18.18,16.69,18.06,20597,0
2017-09-25,17.44,17.97,17.24,17.76,16177,0
2017-09-26,17.39,17.93,17.3,17.79,14796,0
2017-09-27,17.95,18.33,17.7301,18,32537,0
2017-09-28,18,18,17.35,17.46,30199,0
2017-09-29,17.86,17.89,17.2,17.29,57883,0
2017-10-02,17.43,20.01,17.09,19.84,88355,0
2017-10-03,19.41,21.01,19.41,19.9,82879,0
2017-10-04,19.9,19.94,19.398,19.74,47629,0
2017-10-05,19.84,19.97,18.9,19.35,70077,0
2017-10-06,19.25,19.75,18.8601,18.925,114173,0
2017-10-09,18.85,19.199,18.62,18.79,22919,0
2017-10-10,18.96,18.96,18.11,18.31,33845,0
2017-10-11,18.1,18.335,17.88,18.01,21190,0
2017-10-12,18.1,18.1,17.62,17.75,23893,0
2017-10-13,16.61,17.45,15.84,16.13,48362,0
2017-10-16,16.04,18.4,15.85,18.12,56256,0
2017-10-17,18.05,18.8,17.07,18.42,47456,0
2017-10-18,18.79,18.79,17.03,17.11,24936,0
2017-10-19,17.01,17.1051,16.5,16.75,21323,0
2017-10-20,16.83,17.595,16.7,17.46,12066,0
2017-10-23,16.8,18.1,16.8,17.76,12879,0
2017-10-24,17.65,17.79,16.95,17.27,16921,0
2017-10-25,17.17,17.685,16.775,16.83,15378,0
2017-10-26,16.85,18.48,15.11,15.3,31413,0
2017-10-27,15.46,15.91,14.9,14.95,67227,0
2017-10-30,15.1,16.3,14.5005,15.97,46612,0
2017-10-31,15.99,16.54,15.37,16.26,25675,0
2017-11-01,16.3999,16.3999,15.01,15.18,17926,0
2017-11-02,15.25,17.09,15.23,16.89,19576,0
2017-11-03,17.65,17.65,16,17.3,29520,0
2017-11-06,17.16,17.98,17.1,17.86,44904,0
2017-11-07,17.92,18.0251,17.23,17.35,16068,0
2017-11-08,17.2,18.02,16.4,17.92,40788,0
2017-11-09,17.98,17.98,16.9,17.1,28893,0
