Date,Open,High,Low,Close,Volume,OpenInt
2017-09-21,24.85,24.85,24.8393,24.8393,1100,0
2017-09-22,24.81,24.81,24.78,24.79,43350,0
2017-09-25,24.81,24.81,24.71,24.71,6418,0
2017-09-27,24.8399,24.86,24.8399,24.86,501,0
2017-09-28,24.84,24.8425,24.84,24.8425,200,0
2017-09-29,24.89,24.99,24.89,24.99,2569,0
2017-10-19,25.06,25.12,25.06,25.12,800,0
2017-10-31,25.03,25.03,25.03,25.03,200,0
2017-11-01,25.15,25.15,25.15,25.15,4100,0
2017-11-02,25.06,25.06,25.06,25.06,510,0
2017-11-10,25.3,25.3,25.3,25.3,429,0
2017-11-14,25.30,25.30,25.30,25.30,-,0
2017-11-15,25.30,25.30,25.30,25.30,-,0
2017-11-16,25.30,25.30,25.30,25.30,-,0
2017-11-17,25.30,25.30,25.30,25.30,-,0
2017-11-20,25.63,25.63,25.63,25.63,200,0
2017-11-21,25.55,25.55,25.55,25.55,600,0
2017-11-22,25.60,25.60,25.60,25.60,300,0
2017-11-24,25.66,25.66,25.66,25.66,1000,0
2017-11-27,25.66,25.66,25.66,25.66,-,0
2017-11-28,25.70,25.70,25.70,25.70,1000,0
2017-11-29,25.70,25.70,25.70,25.70,-,0
2017-11-30,25.70,25.70,25.70,25.70,-,0
2017-12-01,26.10,26.10,26.10,26.10,100,0
2017-12-04,26.10,26.10,26.10,26.10,-,0
2017-12-05,26.10,26.10,26.10,26.10,-,0
2017-12-06,25.93,25.94,25.93,25.94,900,0
2017-12-07,25.94,25.94,25.94,25.94,-,0
2017-12-08,25.94,25.94,25.94,25.94,-,0
2017-12-11,26.29,26.29,26.29,26.29,2800,0
2017-12-12,26.29,26.29,26.29,26.29,-,0
2017-12-13,26.29,26.29,26.29,26.29,-,0
2017-12-14,26.33,26.33,26.33,26.33,23000,0
2017-12-15,26.33,26.33,26.33,26.33,-,0
2017-12-18,26.33,26.33,26.33,26.33,-,0
2017-12-19,26.33,26.33,26.33,26.33,-,0
2017-12-20,26.33,26.33,26.33,26.33,-,0
2017-12-21,26.33,26.33,26.33,26.33,-,0
2017-12-22,26.33,26.33,26.33,26.33,-,0
2017-12-26,26.33,26.33,26.33,26.33,-,0
2017-12-27,26.53,26.53,26.53,26.53,16100,0
2017-12-28,26.53,26.53,26.53,26.53,-,0
2017-12-29,26.63,26.63,26.63,26.63,18500,0
2018-01-02,26.53,26.53,26.52,26.52,15400,0
2018-01-03,26.52,26.52,26.52,26.52,-,0
2018-01-04,26.82,26.82,26.82,26.82,4200,0
2018-01-05,26.82,26.82,26.82,26.82,-,0
2018-01-08,26.82,26.82,26.82,26.82,-,0
2018-01-09,26.82,26.82,26.82,26.82,-,0
2018-01-10,26.82,26.82,26.82,26.82,-,0
2018-01-11,26.82,26.82,26.82,26.82,-,0
2018-01-12,26.82,26.82,26.82,26.82,-,0
2018-01-16,26.82,26.82,26.82,26.82,-,0
2018-01-17,26.82,26.82,26.82,26.82,-,0
2018-01-18,26.82,26.82,26.82,26.82,-,0
2018-01-19,26.82,26.82,26.82,26.82,-,0
2018-01-22,26.82,26.82,26.82,26.82,-,0
2018-01-23,26.82,26.82,26.82,26.82,-,0
2018-01-24,26.82,26.82,26.82,26.82,-,0
2018-01-25,26.82,26.82,26.82,26.82,-,0
2018-01-26,28.36,28.40,28.35,28.38,1300,0
2018-01-29,28.38,28.38,28.38,28.38,-,0
2018-01-30,28.38,28.38,28.38,28.38,-,0
2018-01-31,27.94,27.94,27.93,27.93,300,0
2018-02-01,27.95,27.95,27.95,27.95,1000,0
2018-02-02,27.71,27.71,27.53,27.53,300,0
2018-02-05,27.19,27.19,26.51,26.51,10200,0
2018-02-06,26.01,26.46,26.01,26.33,500,0
2018-02-07,26.90,27.00,26.84,26.84,26000,0
2018-02-08,26.52,26.52,25.99,26.10,38400,0
2018-02-09,26.10,26.10,26.10,26.10,-,0
2018-02-12,26.42,26.51,26.42,26.51,300,0
2018-02-13,26.34,26.34,26.34,26.34,74200,0
2018-02-14,26.34,26.34,26.34,26.34,-,0
2018-02-15,26.34,26.34,26.34,26.34,-,0
2018-02-16,26.34,26.34,26.34,26.34,-,0
2018-02-20,26.34,26.34,26.34,26.34,-,0
2018-02-21,26.34,26.34,26.34,26.34,-,0
2018-02-22,26.34,26.34,26.34,26.34,-,0
2018-02-23,27.04,27.08,27.04,27.08,600,0
2018-02-26,27.41,27.48,27.41,27.48,400,0
2018-02-27,27.48,27.48,27.48,27.48,-,0
2018-02-28,27.48,27.48,27.48,27.48,-,0
2018-03-01,27.48,27.48,27.48,27.48,-,0
2018-03-02,26.43,26.43,26.43,26.43,9600,0
2018-03-05,26.43,26.43,26.43,26.43,-,0
2018-03-06,26.43,26.43,26.43,26.43,-,0
2018-03-07,26.43,26.43,26.43,26.43,-,0
2018-03-08,26.43,26.43,26.43,26.43,-,0
2018-03-09,26.43,26.43,26.43,26.43,-,0
2018-03-12,26.43,26.43,26.43,26.43,-,0
2018-03-13,26.43,26.43,26.43,26.43,-,0
2018-03-14,26.43,26.43,26.43,26.43,-,0
2018-03-15,26.43,26.43,26.43,26.43,-,0
2018-03-16,27.36,27.42,27.36,27.42,5500,0
2018-03-19,27.42,27.42,27.42,27.42,-,0
2018-03-20,27.42,27.42,27.42,27.42,-,0
2018-03-21,27.21,27.21,27.21,27.21,100,0
2018-03-22,27.21,27.21,27.21,27.21,-,0
2018-03-23,27.21,27.21,27.21,27.21,-,0
2018-03-26,26.43,26.43,26.42,26.42,800,0
2018-03-27,26.50,26.50,26.37,26.37,5700,0
2018-03-28,26.37,26.37,26.37,26.37,-,0
2018-03-29,26.37,26.37,26.37,26.37,-,0
2018-04-02,26.37,26.37,26.37,26.37,-,0
2018-04-03,25.95,25.95,25.92,25.92,1400,0
2018-04-04,25.92,25.92,25.92,25.92,-,0
2018-04-05,26.53,26.53,26.53,26.53,7100,0
2018-04-06,26.50,26.50,26.50,26.50,2100,0
2018-04-09,26.45,26.45,26.45,26.45,158,0
