Date,Open,High,Low,Close,Volume,OpenInt
2017-06-13,7.6,7.6,7.3101,7.37,104604,0
2017-06-14,7.47,7.47,6.7665,6.7665,35517,0
2017-06-15,6.97,9.2386,6.97,9,538411,0
2017-06-16,10.66,18.1999,10.1,14.45,1810478,0
2017-06-19,17.3,23.1964,14.51,19.31,1908830,0
2017-06-20,18.96,21.94,17.5101,19.25,858292,0
2017-06-21,19.43,20,14.06,14.85,756933,0
2017-06-22,14.85,14.87,13.2101,14.25,452161,0
2017-06-23,14.07,14.8,13.51,13.88,273241,0
2017-06-26,13.89,14.41,12.2,12.46,305779,0
2017-06-27,12.5,15,11.03,11.5001,1328565,0
2017-06-28,11.52,12,10.88,11.43,146153,0
2017-06-29,11.29,11.63,9.77,10.92,362466,0
2017-06-30,10.92,11.2,10.35,10.64,87768,0
2017-07-03,10.75,10.85,9.65,10.1,133987,0
2017-07-05,9.96,11.9,9.3301,11,478054,0
2017-07-06,11,11.05,9.65,9.65,209446,0
2017-07-07,9.69,10.4,9.65,9.81,222071,0
2017-07-10,9.7171,10.61,9.6218,9.9,249396,0
2017-07-11,9.9,11.78,9.48,11.75,1033821,0
2017-07-12,12.319,13.5,11.22,13.05,1281903,0
2017-07-13,12.7,12.98,11.6101,11.71,420323,0
2017-07-14,12,12.25,11.38,11.72,141365,0
2017-07-17,12,12.25,10.5,10.7,246678,0
2017-07-18,10.87,10.87,9.8726,10.7,153065,0
2017-07-19,10.65,10.85,10.1,10.48,77979,0
2017-07-20,10.4,10.44,10,10.199,76933,0
2017-07-21,10.48,10.48,9.65,9.75,157304,0
2017-07-24,9.65,10.0633,9.5,9.52,101857,0
2017-07-25,9.57,10.8,9.57,10.04,575556,0
2017-07-26,10.54,10.55,10.06,10.37,97709,0
2017-07-27,10.3,10.3,8.65,9.28,172910,0
2017-07-28,9.27,9.27,8.135,8.8,190950,0
2017-07-31,10.4,10.6,9.6,9.95,716588,0
2017-08-01,9.56,9.7,8.9,9.37,144051,0
2017-08-02,9.33,9.55,8.6,9.11,202570,0
2017-08-03,9.0315,9.1894,8.512,9.04,82339,0
2017-08-04,8.892,9,8.67,8.69,50538,0
2017-08-07,8.75,8.8,8.01,8.11,92346,0
2017-08-08,8,8.2152,7.01,7.05,152066,0
2017-08-09,7.05,7.227,6.21,6.6,199551,0
2017-08-10,6.66,7.39,6.24,7.1,143987,0
2017-08-11,7.11,7.8503,6.88,7.16,92251,0
2017-08-14,7.01,7.5,7.01,7.26,96373,0
2017-08-15,6.02,6.995,5.75,6.75,126251,0
2017-08-16,6.36,7.6899,6.3269,6.75,44185,0
2017-08-17,6.5001,7.24,6.16,6.54,22461,0
2017-08-18,6.78,6.86,6.13,6.15,57850,0
2017-08-21,5.99,6.1584,5.8,5.91,37527,0
2017-08-22,5.75,6.12,5.75,6.01,27115,0
2017-08-23,5.977,6.15,5.977,6.07,9265,0
2017-08-24,6.15,6.93,6.15,6.8,47100,0
2017-08-25,7,7,6.05,6.25,29123,0
2017-08-28,6.54,6.8,6.2,6.51,30622,0
2017-08-29,6.82,6.82,6.1193,6.2,33468,0
2017-08-30,6.05,6.43,6.05,6.2,12594,0
2017-08-31,6.45,6.5,6.21,6.49,11527,0
2017-09-01,6.6,6.6,6.11,6.22,20972,0
2017-09-05,6.223,6.72,6.11,6.72,38603,0
2017-09-06,6.7,7,6.39,6.85,70203,0
2017-09-07,7,7.67,6.8656,7.38,106556,0
2017-09-08,7.6,7.64,7.21,7.45,37606,0
2017-09-11,7.68,7.83,7.3884,7.6,30052,0
2017-09-12,7.25,7.83,7.25,7.58,24413,0
2017-09-13,7.6,7.6,7.14,7.14,37118,0
2017-09-14,7.5,7.87,7.32,7.43,68978,0
2017-09-15,7.441,7.79,6.58,6.58,65193,0
2017-09-18,6.8,7,6.05,6.07,76135,0
2017-09-19,6.06,6.5275,6.03,6.21,99709,0
2017-09-20,6.3308,6.6175,6.1305,6.36,23333,0
2017-09-21,6.35,6.45,6.24,6.41,36529,0
2017-09-22,6.5,6.64,6.25,6.64,42624,0
2017-09-25,6.4,6.492,6.23,6.3,21129,0
2017-09-26,6.42,6.44,5.8,6.01,43749,0
2017-09-27,6.45,6.45,5.98,6.17,27317,0
2017-09-28,5.95,6.0963,5.12,6.02,45937,0
2017-09-29,6.02,6.02,5.2605,6,31213,0
2017-10-02,6.12,6.53,5.77,5.77,46202,0
2017-10-03,5.82,5.906,5.52,5.8,14827,0
2017-10-04,5.58,5.8936,5.57,5.65,12442,0
2017-10-05,5.65,5.6783,5.3,5.47,25215,0
2017-10-06,5.42,5.67,5.37,5.59,8271,0
2017-10-09,5.46,5.53,5.2081,5.3,32000,0
2017-10-10,5.27,5.27,4.5701,5,36390,0
2017-10-11,4.84,4.96,4.11,4.46,42579,0
2017-10-12,4.7,4.7,3.93,4,106721,0
2017-10-13,3.97,4.12,3.63,3.95,46158,0
2017-10-16,3.93,4,3.67,3.7,29176,0
2017-10-17,3.73,3.84,3.65,3.67,54127,0
2017-10-18,3.95,3.95,3.7,3.7,30753,0
2017-10-19,3.7,3.705,3.5117,3.5317,23531,0
2017-10-20,3.555,3.58,3.25,3.25,78218,0
2017-10-23,3.1,3.1282,2.74,2.89,117431,0
2017-10-24,2.79,2.79,2.57,2.57,78137,0
2017-10-25,2.55,2.9,2.55,2.62,68838,0
2017-10-26,2.65,2.7,2.5301,2.68,57803,0
2017-10-27,2.69,3.365,2.69,3.08,197360,0
2017-10-30,3.23,3.3,2.85,2.98,78397,0
2017-10-31,3.39,3.39,2.95,3.32,75898,0
2017-11-01,3.4,3.41,3.17,3.24,30248,0
2017-11-02,3.28,3.28,2.85,2.85,35925,0
2017-11-03,3.14,4.48,3.14,4.1243,524776,0
2017-11-06,4.64,4.75,4.04,4.24,420659,0
2017-11-07,7.07,11.4,5.56,8.85,8741062,0
2017-11-08,8.1,8.75,6.25,6.25,843124,0
2017-11-09,6.06,7.49,5.75,6.65,439380,0
2017-11-10,6.84,6.85,6.0683,6.65,310360,0
2017-11-13,6.59,6.65,5.90,6.29,226000,0
2017-11-14,5.99,6.22,5.34,5.51,152900,0
2017-11-15,5.40,5.40,5.00,5.09,106400,0
2017-11-16,5.34,5.40,4.68,4.80,152800,0
2017-11-17,4.90,4.90,4.41,4.70,108100,0
2017-11-20,4.51,4.56,4.20,4.45,118000,0
2017-11-21,4.42,4.68,4.05,4.18,319700,0
2017-11-22,4.20,4.48,4.00,4.25,150500,0
2017-11-24,4.34,4.44,4.15,4.34,72100,0
2017-11-27,4.35,4.35,3.81,3.88,150400,0
2017-11-28,3.89,4.01,3.50,3.66,180900,0
2017-11-29,3.95,4.12,2.80,2.91,1005100,0
2017-11-30,2.17,2.34,2.07,2.21,3636500,0
2017-12-01,2.35,2.40,2.18,2.28,878100,0
2017-12-04,2.30,2.40,2.25,2.26,948900,0
2017-12-05,2.45,2.60,2.25,2.39,3715300,0
2017-12-06,2.46,2.95,2.31,2.78,4274500,0
2017-12-07,3.18,3.59,3.00,3.18,9582300,0
2017-12-08,3.31,3.44,2.84,3.16,2389400,0
2017-12-11,3.00,3.25,2.80,3.12,1208800,0
2017-12-12,3.04,3.10,2.90,2.92,582300,0
2017-12-13,2.92,2.93,2.60,2.72,808200,0
2017-12-14,2.85,2.85,2.62,2.68,742900,0
2017-12-15,2.65,2.88,2.60,2.78,531700,0
2017-12-18,2.83,2.88,2.68,2.84,500800,0
2017-12-19,2.80,3.38,2.80,3.15,1929000,0
2017-12-20,3.13,3.70,3.00,3.56,2786900,0
2017-12-21,3.50,3.75,3.24,3.36,1493600,0
2017-12-22,3.45,4.10,3.01,3.96,1941200,0
2017-12-26,4.11,4.46,3.86,4.08,2311700,0
2017-12-27,4.05,4.28,3.60,4.13,1594100,0
2017-12-28,4.02,4.15,3.85,3.89,801700,0
2017-12-29,3.86,3.95,3.55,3.75,683900,0
2018-01-02,3.67,3.77,3.51,3.65,538400,0
2018-01-03,3.56,4.04,3.56,3.94,760600,0
2018-01-04,4.00,4.00,3.77,3.81,444200,0
2018-01-05,3.81,4.12,3.75,3.90,604700,0
2018-01-08,3.89,3.97,3.75,3.92,479700,0
2018-01-09,3.96,3.96,3.75,3.85,480900,0
2018-01-10,3.78,3.85,3.62,3.72,489600,0
2018-01-11,3.85,3.85,3.65,3.73,269700,0
2018-01-12,3.73,3.88,3.65,3.72,441900,0
2018-01-16,3.75,3.79,3.61,3.68,362400,0
2018-01-17,3.71,3.71,3.11,3.54,523600,0
2018-01-18,3.45,3.57,3.40,3.53,165600,0
2018-01-19,3.53,3.60,3.30,3.53,342400,0
2018-01-22,3.58,4.05,3.51,3.99,1276500,0
2018-01-23,4.11,4.35,4.07,4.11,1028200,0
2018-01-24,4.36,4.71,4.15,4.49,1847600,0
2018-01-25,4.73,4.95,4.50,4.93,2017300,0
2018-01-26,5.30,5.63,4.97,5.28,3557800,0
2018-01-29,5.15,5.30,4.71,4.78,1542500,0
2018-01-30,4.56,4.60,4.02,4.42,1323300,0
2018-01-31,4.60,4.99,4.25,4.74,1360300,0
2018-02-01,4.74,4.75,4.40,4.46,644700,0
2018-02-02,4.40,4.42,4.05,4.29,768900,0
2018-02-05,4.10,4.58,4.10,4.26,585500,0
2018-02-06,4.07,4.25,3.79,4.10,817500,0
2018-02-07,4.05,4.28,3.95,4.08,630800,0
2018-02-08,4.01,4.08,3.87,3.93,290300,0
2018-02-09,3.87,3.95,3.40,3.63,737600,0
2018-02-12,3.65,3.90,3.45,3.80,355600,0
2018-02-13,3.67,3.96,3.65,3.79,357700,0
2018-02-14,3.88,4.10,3.79,4.01,359100,0
2018-02-15,4.05,4.11,3.92,4.05,269400,0
2018-02-16,4.03,4.09,3.85,3.92,239000,0
2018-02-20,3.90,3.98,3.82,3.93,244200,0
2018-02-21,3.87,3.99,3.86,3.90,197200,0
2018-02-22,3.85,3.93,3.70,3.76,308700,0
