Date,Open,High,Low,Close,Volume,OpenInt
2017-11-02,4.6,4.6,3.68,4.5,39014,0
2017-11-06,4.89,4.89,4.2501,4.4975,17826,0
2017-11-07,4.58,4.6,4.5,4.5042,14447,0
2017-11-08,4.55,4.7,4.5,4.7,5547,0
2017-11-09,4.25,4.695,4.25,4.5,7105,0
2017-11-10,4.5,4.7,4.28,4.61,18950,0
2017-11-13,4.50,4.64,4.50,4.50,5000,0
2017-11-14,4.40,4.67,4.40,4.58,2900,0
2017-11-15,4.60,4.64,4.27,4.59,6800,0
2017-11-16,4.50,4.65,4.50,4.50,2700,0
2017-11-17,4.66,4.67,4.37,4.67,8100,0
2017-11-20,4.60,4.67,4.55,4.67,7000,0
2017-11-21,4.50,4.60,4.50,4.60,3500,0
2017-11-22,4.50,4.67,4.50,4.60,5800,0
2017-11-24,4.50,4.58,4.50,4.54,4900,0
2017-11-27,4.60,4.60,4.53,4.55,4300,0
2017-11-28,4.55,4.60,4.50,4.55,7900,0
2017-11-29,4.40,4.60,4.02,4.55,233900,0
2017-11-30,4.55,4.77,4.25,4.65,73700,0
2017-12-01,4.79,4.79,4.28,4.28,17900,0
2017-12-04,4.56,4.67,4.36,4.50,17000,0
2017-12-05,4.47,4.65,4.40,4.44,44100,0
2017-12-06,4.32,4.60,4.30,4.60,8500,0
2017-12-07,4.26,4.60,4.26,4.55,9300,0
2017-12-08,4.14,4.55,4.14,4.50,14200,0
2017-12-11,4.58,4.58,4.44,4.49,14000,0
2017-12-12,4.50,4.60,4.40,4.49,19700,0
2017-12-13,4.55,4.60,4.43,4.47,36200,0
2017-12-14,4.47,4.60,4.40,4.48,16900,0
2017-12-15,4.72,4.72,4.22,4.22,45700,0
2017-12-18,4.37,4.67,4.30,4.50,18700,0
2017-12-19,4.65,4.65,4.50,4.50,8600,0
2017-12-20,4.61,4.66,4.52,4.59,4200,0
2017-12-21,4.59,4.63,4.49,4.50,2800,0
2017-12-22,4.59,4.66,4.46,4.62,22800,0
2017-12-26,4.60,4.60,4.60,4.60,800,0
2017-12-27,4.60,4.67,4.16,4.67,6700,0
2017-12-28,4.65,4.90,4.32,4.68,12700,0
2017-12-29,4.68,4.90,4.43,4.68,11800,0
2018-01-02,4.68,4.68,4.52,4.52,1800,0
2018-01-03,4.43,4.80,4.40,4.61,44200,0
2018-01-04,4.68,4.68,4.48,4.64,8500,0
2018-01-05,4.64,4.67,4.55,4.67,10900,0
2018-01-08,4.67,4.67,4.67,4.67,-,0
2018-01-09,4.62,4.68,4.60,4.67,6100,0
2018-01-10,3.74,4.72,3.74,4.69,5700,0
2018-01-11,4.68,4.68,4.68,4.68,100,0
2018-01-12,4.68,4.90,4.57,4.88,8200,0
2018-01-16,4.86,4.90,4.47,4.47,9300,0
2018-01-17,4.63,4.63,4.33,4.45,4700,0
2018-01-18,4.63,4.68,4.45,4.54,6400,0
2018-01-19,4.67,4.88,4.50,4.68,48100,0
2018-01-22,4.67,4.67,4.50,4.52,11700,0
2018-01-23,4.65,4.67,4.50,4.65,12900,0
2018-01-24,4.55,4.68,4.22,4.64,9700,0
2018-01-25,4.35,4.40,4.35,4.39,6000,0
2018-01-26,4.39,4.57,4.20,4.44,8200,0
2018-01-29,4.64,4.64,4.55,4.55,300,0
2018-01-30,4.35,4.72,4.35,4.72,10900,0
2018-01-31,4.59,4.78,4.54,4.70,7000,0
2018-02-01,4.68,4.68,4.49,4.68,400,0
