Date,Open,High,Low,Close,Volume,OpenInt
2017-09-28,15.5,16.93,15,16.23,1868636,0
2017-09-29,16.15,19.95,16.15,18.37,412788,0
2017-10-02,18.54,18.54,16.9,18.05,105818,0
2017-10-03,18.11,18.9839,18.05,18.61,217497,0
2017-10-04,18.6,19.4434,18.3,18.72,120166,0
2017-10-05,19.2,19.87,17.5,17.9,202241,0
2017-10-06,18.15,18.25,16.59,16.7,217874,0
2017-10-09,16.86,17.85,16.01,16.53,53941,0
2017-10-10,16.3,16.98,16.05,16.25,57870,0
2017-10-11,16.89,16.89,15.3,15.49,20470,0
2017-10-12,15.5753,15.5753,14.06,14.45,286535,0
2017-10-13,14.35,14.63,14,14.38,105952,0
2017-10-16,14.42,14.7,14.08,14.21,83515,0
2017-10-17,14.52,14.52,13.0501,14.05,80872,0
2017-10-18,14.08,14.54,13.93,14.41,16448,0
2017-10-19,14.97,14.97,13.79,14.38,9805,0
2017-10-20,14.46,14.46,13.6335,14.08,43147,0
2017-10-23,14.34,14.34,13.7501,13.91,64288,0
2017-10-24,13.99,14.5,13.8,13.8,57867,0
2017-10-25,14.1,14.2757,12.71,12.88,60155,0
2017-10-26,12.57,13,12,12.5,125109,0
2017-10-27,12.6,13.12,11.74,12.5,101075,0
2017-10-30,12.24,12.7499,12.16,12.5,42759,0
2017-10-31,12.42,12.79,11.03,11.36,61618,0
2017-11-01,11.47,12.752,11.35,11.89,97113,0
2017-11-02,11.61,12.16,10.25,10.45,60754,0
2017-11-03,10.34,10.65,9.64,10.25,183505,0
2017-11-06,10.1,10.57,9.99,10.28,66343,0
2017-11-07,10.19,11.3199,10.19,11.3199,46413,0
2017-11-08,11.16,11.69,11.05,11.15,72016,0
2017-11-09,11.18,11.5999,11,11.04,62143,0
2017-11-10,11,11.4,11,11,45669,0
2017-11-13,11.02,11.30,10.77,11.02,37200,0
2017-11-14,11.05,11.85,10.68,11.31,60500,0
2017-11-15,11.31,11.45,11.10,11.37,10800,0
2017-11-16,11.26,11.63,11.03,11.03,3600,0
2017-11-17,11.03,11.35,11.00,11.31,27200,0
2017-11-20,11.00,11.40,10.56,11.00,41100,0
2017-11-21,10.82,11.58,10.75,11.37,25100,0
2017-11-22,11.38,12.50,11.38,12.17,55400,0
2017-11-24,12.45,13.63,11.75,13.01,51600,0
2017-11-27,13.04,13.41,12.02,12.17,52100,0
2017-11-28,12.05,12.62,11.65,12.07,7000,0
2017-11-29,12.12,12.12,11.44,11.56,6000,0
2017-11-30,12.18,12.50,11.67,12.30,3400,0
2017-12-01,11.95,12.60,11.75,11.86,26600,0
2017-12-04,11.44,12.41,11.43,12.40,35800,0
2017-12-05,12.48,12.73,11.07,12.14,83700,0
2017-12-06,11.79,12.25,11.50,11.82,30400,0
2017-12-07,11.55,11.99,11.25,11.60,20300,0
2017-12-08,11.45,11.80,10.78,11.50,173000,0
2017-12-11,11.40,12.01,10.99,11.27,58900,0
2017-12-12,11.03,11.13,10.68,11.13,22100,0
2017-12-13,10.80,12.29,10.80,11.28,97900,0
2017-12-14,11.00,11.25,10.66,10.68,14500,0
2017-12-15,10.76,11.60,10.66,11.00,76700,0
2017-12-18,11.15,11.26,10.76,10.76,4100,0
2017-12-19,10.84,11.30,10.75,10.75,51800,0
2017-12-20,10.60,10.98,10.60,10.65,5800,0
2017-12-21,10.76,10.87,10.30,10.75,31600,0
2017-12-22,10.60,10.75,10.50,10.58,29900,0
2017-12-26,10.56,10.70,10.37,10.37,7400,0
2017-12-27,11.01,11.23,10.02,10.41,56700,0
2017-12-28,10.24,10.72,9.32,10.00,146000,0
2017-12-29,9.93,10.73,9.86,10.11,64700,0
2018-01-02,10.35,10.82,9.89,10.05,95300,0
2018-01-03,10.10,10.48,9.58,10.04,59200,0
2018-01-04,9.74,10.22,9.48,10.17,118700,0
2018-01-05,9.94,11.61,9.85,11.01,34500,0
2018-01-08,11.10,12.44,11.09,12.29,47600,0
2018-01-09,12.25,13.49,12.20,12.72,96100,0
2018-01-10,12.83,13.50,12.70,13.23,37300,0
2018-01-11,13.73,13.80,13.01,13.72,131300,0
2018-01-12,13.80,14.56,13.80,14.30,116300,0
2018-01-16,14.40,14.80,12.70,13.32,60300,0
2018-01-17,12.55,13.81,11.61,13.21,23400,0
2018-01-18,13.99,14.80,13.98,14.49,25000,0
2018-01-19,14.46,25.68,13.61,20.51,958300,0
2018-01-22,20.95,22.17,18.87,21.80,528000,0
2018-01-23,21.47,23.97,20.80,22.86,360500,0
2018-01-24,23.01,24.45,22.34,24.22,491700,0
2018-01-25,25.05,29.07,24.17,27.78,367800,0
2018-01-26,27.88,29.23,26.25,28.25,298400,0
2018-01-29,28.45,29.75,24.25,26.65,350800,0
2018-01-30,26.50,27.17,23.98,24.77,181300,0
2018-01-31,24.76,25.19,24.08,24.51,114500,0
2018-02-01,24.50,24.58,23.91,24.25,64600,0
2018-02-02,23.90,24.20,21.00,23.13,246400,0
2018-02-05,22.77,24.19,22.25,22.94,52900,0
2018-02-06,22.07,25.27,22.05,22.95,88600,0
2018-02-07,23.28,23.28,21.24,22.02,56600,0
2018-02-08,22.21,22.21,20.00,21.17,108700,0
2018-02-09,21.62,22.14,20.10,20.56,168100,0
2018-02-12,20.80,21.14,18.31,18.95,153700,0
2018-02-13,19.00,20.69,19.00,20.01,147100,0
2018-02-14,20.00,22.49,19.74,20.68,63200,0
2018-02-15,20.70,24.05,19.00,19.86,118500,0
2018-02-16,19.68,21.14,19.17,19.87,95400,0
2018-02-20,19.84,20.94,19.48,19.98,58500,0
2018-02-21,20.04,20.56,19.61,20.27,83700,0
2018-02-22,20.30,21.36,19.59,20.18,29200,0
2018-02-23,20.52,20.97,19.80,20.78,65400,0
2018-02-26,21.00,22.38,19.35,20.15,134100,0
2018-02-27,20.03,21.09,19.70,19.75,36300,0
2018-02-28,19.95,20.23,18.90,19.43,48900,0
2018-03-01,19.55,19.74,17.51,18.35,90000,0
2018-03-02,18.28,19.30,18.28,18.74,143100,0
2018-03-05,18.52,19.50,18.11,19.50,97100,0
2018-03-06,19.46,20.22,18.20,18.55,90700,0
2018-03-07,18.54,19.81,17.75,18.27,129800,0
2018-03-08,18.48,18.72,17.73,17.91,112200,0
2018-03-09,18.14,19.98,17.84,19.49,164500,0
2018-03-12,19.68,21.91,19.00,20.00,356700,0
2018-03-13,20.27,20.27,18.33,19.50,143200,0
2018-03-14,19.48,19.94,18.00,18.09,201400,0
2018-03-15,18.05,19.50,18.05,18.98,204200,0
2018-03-16,18.75,19.62,18.08,18.74,52100,0
2018-03-19,18.76,19.43,18.11,18.20,64300,0
2018-03-20,18.33,19.88,18.08,19.24,43600,0
2018-03-21,19.16,19.48,18.57,19.00,60600,0
2018-03-22,18.81,19.31,17.40,17.43,118600,0
2018-03-23,18.18,18.52,17.05,17.69,45700,0
2018-03-26,18.12,18.12,17.06,17.50,82400,0
2018-03-27,17.66,18.99,17.66,18.68,184500,0
2018-03-28,18.92,19.78,18.27,18.70,116100,0
2018-03-29,18.40,19.39,18.00,18.92,150000,0
2018-04-02,19.00,20.49,18.66,20.49,26200,0
2018-04-03,20.49,21.49,20.32,21.17,43500,0
2018-04-04,21.40,22.93,20.57,22.93,46200,0
2018-04-05,23.71,23.71,21.21,22.43,116500,0
2018-04-06,22.19,26.30,21.97,26.23,617700,0
2018-04-09,26.69,28.53,25.04,27.40,370340,0
