Date,Open,High,Low,Close,Volume,OpenInt
2017-06-30,3.985,3.99,3.9,3.9,825,0
2017-07-05,3.5999,3.5999,3.5999,3.5999,1900,0
2017-07-06,3.59,3.59,3.59,3.59,105,0
2017-07-10,3.169,3.4,3.169,3.4,6425,0
2017-07-11,3.6,4,3.6,3.71,12306,0
2017-07-12,3.98,3.98,3.8,3.8,639,0
2017-07-17,3.75,3.75,3.6551,3.75,3574,0
2017-07-19,3.5748,3.59,3.4001,3.59,4863,0
2017-07-20,3.4,3.4001,3.4,3.4,3975,0
2017-07-21,3.11,3.49,3.11,3.49,448,0
2017-07-27,3.411,3.411,3.4,3.4,200,0
2017-07-28,3.45,3.45,3.03,3.4,5758,0
2017-07-31,3.4,3.4,3.4,3.4,1000,0
2017-08-01,3.2,3.2,3.102,3.102,451,0
2017-08-02,3.25,3.3,3.2,3.2,4030,0
2017-08-03,3.2465,3.2465,2.97,2.97,2050,0
2017-08-04,3.3,3.411,3.3,3.41,5701,0
2017-08-08,3.06,3.06,3.03,3.03,1000,0
2017-08-09,3.05,3.085,3,3.085,3558,0
2017-08-10,3,3.2455,3,3.05,3323,0
2017-08-11,3.26,3.3,3.26,3.3,1602,0
2017-08-16,3.2009,3.2009,3.08,3.08,2231,0
2017-08-17,3,3.24,2.8,3.24,3001,0
2017-08-21,3.3212,3.3212,3.25,3.25,7906,0
2017-08-22,3.26,3.26,3.26,3.26,229,0
2017-08-23,3.25,3.25,3.25,3.25,1264,0
2017-08-24,3.26,3.26,3.26,3.26,1492,0
2017-08-28,3.33,3.33,3.33,3.33,100,0
2017-08-31,3.25,3.2501,3.25,3.2501,3011,0
2017-09-01,3.26,3.26,3.25,3.25,8121,0
2017-09-07,3.26,3.375,3,3,14913,0
2017-09-08,3.02,3.212,3.02,3.212,1000,0
2017-09-11,3.05,3.15,2.7733,2.7733,13641,0
2017-09-12,2.7,2.77,2.7,2.77,1001,0
2017-09-13,2.59,2.6,2.59,2.6,3700,0
2017-09-14,2.6,3,2.6,3,5228,0
2017-09-15,3.25,3.45,3.1,3.1,20707,0
2017-09-18,3.01,3.01,3.01,3.01,150,0
2017-09-20,3.1,3.85,3.1,3.8337,34435,0
2017-09-21,3.5,3.5,3.4,3.4,13524,0
2017-09-22,3.4,3.5682,3.21,3.237,15267,0
2017-09-25,3.43,3.57,3.23,3.23,25425,0
2017-09-26,3.18,3.59,3.09,3.15,17146,0
2017-09-27,3.23,3.26,3.2,3.2,4338,0
2017-09-28,3.195,3.24,3.15,3.15,1900,0
2017-09-29,3.2,3.231,3.1071,3.18,9524,0
2017-10-02,3.05,3.35,3.05,3.1,11411,0
2017-10-03,3.15,3.1562,3.15,3.1562,1999,0
2017-10-04,3.15,3.15,3.05,3.06,933,0
2017-10-05,3.06,3.32,3.06,3.3107,3061,0
2017-10-10,3.1699,3.1699,3.05,3.05,2125,0
2017-10-11,3.06,3.06,3.05,3.05,2000,0
2017-10-16,3.34,3.34,3.34,3.34,100,0
2017-10-17,3.35,3.35,2.99,3.07,4779,0
2017-10-18,3.28,3.28,3.15,3.15,3398,0
2017-10-19,3.29,3.29,3.29,3.29,200,0
2017-10-20,3.11,3.18,2.9,2.9,11683,0
2017-10-23,3.3457,3.3457,2.85,2.86,7177,0
2017-10-24,2.78,3.01,2.67,2.77,11962,0
2017-10-25,2.76,2.93,2.5,2.55,9017,0
2017-10-26,2.5105,3,2.25,2.72,21156,0
2017-10-27,2.5,2.8349,2.45,2.6,11001,0
2017-10-30,2.6,2.65,2.26,2.5,8084,0
2017-10-31,2.51,2.51,2.25,2.3,8513,0
2017-11-01,2.44,2.44,2.4,2.41,4517,0
2017-11-02,2.41,2.61,2.41,2.5,5299,0
2017-11-03,2.35,2.35,2.2,2.2,2420,0
2017-11-06,2.2,2.2,2.2,2.2,100,0
2017-11-07,2.2001,2.22,2.2001,2.22,3599,0
2017-11-08,2.22,2.3,2.21,2.23,1797,0
2017-11-09,2.32,2.3315,2.3,2.3115,2991,0
2017-11-10,2.3,2.3,2.3,2.3,120,0
2017-11-13,2.3100,2.3500,2.3100,2.3500,900,0
2017-11-14,2.3400,2.5000,2.3350,2.5000,5600,0
2017-11-15,2.7000,2.7300,2.3900,2.4300,9600,0
2017-11-16,2.3000,2.4320,2.3000,2.3000,4900,0
2017-11-17,2.3100,2.4400,2.2000,2.3600,27700,0
2017-11-20,2.4000,2.4000,2.1500,2.3300,10200,0
2017-11-21,2.3500,2.9400,2.3100,2.9000,29100,0
2017-11-22,3.0000,3.4000,3.0000,3.2400,12800,0
2017-11-24,3.2500,3.7500,3.2000,3.7500,5200,0
2017-11-27,3.6600,3.7500,3.0200,3.2600,20200,0
2017-11-28,3.2600,3.6100,3.2100,3.5900,5800,0
2017-11-29,3.7600,4.1600,3.2500,3.4500,61400,0
2017-11-30,3.4500,3.8730,3.4500,3.6000,21400,0
2017-12-01,3.6000,3.8900,3.5900,3.5900,33900,0
2017-12-04,3.5900,4.0510,3.5900,3.6300,25700,0
2017-12-05,3.7600,4.0000,3.7600,3.9720,11100,0
2017-12-06,3.9120,3.9900,3.8400,3.8440,12300,0
2017-12-07,3.9900,4.7400,3.8800,4.0300,63700,0
2017-12-08,4.1000,4.4420,3.6300,3.7100,48800,0
2017-12-11,3.9400,4.0000,3.5500,3.5900,31100,0
2017-12-12,3.7100,4.1090,3.6910,4.0600,23500,0
2017-12-13,4.0000,4.2500,3.9700,4.2500,12800,0
2017-12-14,4.2500,4.8900,4.0200,4.4000,40900,0
2017-12-15,4.5700,4.5700,4.0600,4.1100,21000,0
2017-12-18,4.2500,4.3130,4.0500,4.0500,21300,0
2017-12-19,4.0500,4.0500,3.5900,3.6600,16100,0
2017-12-20,3.6600,3.6600,3.6600,3.6600,-,0
2017-12-21,3.6900,3.8200,3.6300,3.7350,1200,0
2017-12-22,3.8100,3.8300,3.7920,3.8000,2300,0
2017-12-26,3.8500,5.8800,3.8390,4.8300,416200,0
2017-12-27,5.5000,5.5000,4.9500,4.9990,293800,0
2017-12-28,5.1000,5.1000,4.6300,4.8600,146600,0
2017-12-29,5.0700,5.2800,4.5560,4.8600,81700,0
2018-01-02,5.0000,5.3000,4.7700,4.9500,108000,0
2018-01-03,5.1600,5.2000,4.6200,4.6700,40400,0
2018-01-04,4.6200,4.8690,4.3000,4.4100,55200,0
2018-01-05,4.3700,4.4050,4.0200,4.0500,51400,0
2018-01-08,4.0500,4.0600,3.6700,3.9200,66100,0
2018-01-09,3.9800,4.0400,3.8000,3.9500,31600,0
2018-01-10,3.8800,3.9900,3.8000,3.9100,9700,0
2018-01-11,3.9800,4.0300,3.8000,3.9000,17400,0
2018-01-12,3.9000,4.0110,3.6300,3.6300,19400,0
2018-01-16,3.6300,3.8500,3.1000,3.1000,48600,0
2018-01-17,3.0900,3.2700,2.9000,3.0900,25900,0
2018-01-18,3.0300,3.0700,2.5500,2.8200,55300,0
2018-01-19,2.8200,2.8200,2.6800,2.7100,32400,0
2018-01-22,2.7500,3.0100,2.7500,2.8500,25500,0
2018-01-23,2.9500,2.9500,2.5500,2.7200,37900,0
2018-01-24,2.7500,2.8350,2.6510,2.7110,36000,0
2018-01-25,2.7240,2.8900,2.6100,2.7200,17400,0
