Date,Open,High,Low,Close,Volume,OpenInt
2017-01-17,25.49,25.54,25.17,25.17,1131,0
2017-01-18,25.17,25.17,25.17,25.17,0,0
2017-01-19,25.17,25.17,25.17,25.17,0,0
2017-01-20,25.17,25.17,25.17,25.17,0,0
2017-01-23,25.22,25.22,25.22,25.22,811,0
2017-01-24,25.22,25.22,25.22,25.22,0,0
2017-01-25,25.22,25.22,25.22,25.22,0,0
2017-01-26,25.22,25.22,25.22,25.22,0,0
2017-01-27,25.22,25.22,25.22,25.22,0,0
2017-01-30,25.22,25.22,25.22,25.22,0,0
2017-01-31,25.22,25.22,25.22,25.22,0,0
2017-02-01,25.22,25.22,25.22,25.22,0,0
2017-02-02,25.22,25.22,25.22,25.22,0,0
2017-02-03,25.22,25.22,25.22,25.22,0,0
2017-02-06,25.79,25.79,25.68,25.68,500,0
2017-02-07,25.68,25.68,25.68,25.68,0,0
2017-02-08,25.68,25.68,25.68,25.68,0,0
2017-02-09,25.68,25.68,25.68,25.68,0,0
2017-02-10,26.07,26.07,25.95,25.95,200,0
2017-02-13,25.95,25.95,25.95,25.95,0,0
2017-02-14,25.95,25.95,25.95,25.95,0,0
2017-02-15,25.95,25.95,25.95,25.95,0,0
2017-02-16,25.95,25.95,25.95,25.95,0,0
2017-02-17,25.95,25.95,25.95,25.95,0,0
2017-02-21,25.95,25.95,25.95,25.95,0,0
2017-02-22,25.95,25.95,25.95,25.95,0,0
2017-02-23,25.95,25.95,25.95,25.95,0,0
2017-02-24,25.95,25.95,25.95,25.95,0,0
2017-02-27,26.4699,26.4699,26.4699,26.4699,657,0
2017-02-28,26.22,26.22,26.22,26.22,100,0
2017-03-01,26.22,26.22,26.22,26.22,0,0
2017-03-02,26.22,26.22,26.22,26.22,0,0
2017-03-03,26.54,26.54,26.54,26.54,1600,0
2017-03-06,26.2999,26.63,26.2999,26.62,4176,0
2017-03-07,26.13,26.13,26.13,26.13,2695,0
2017-03-08,26.13,26.13,26.13,26.13,0,0
2017-03-09,26.13,26.13,26.13,26.13,0,0
2017-03-10,26.13,26.13,26.13,26.13,0,0
2017-03-13,26.13,26.13,26.13,26.13,0,0
2017-03-14,26.17,26.2,26.13,26.19,1074,0
2017-03-15,26.19,26.19,26.19,26.19,0,0
2017-03-16,26.19,26.19,26.19,26.19,0,0
2017-03-17,26.19,26.19,26.19,26.19,0,0
2017-03-20,26.3765,26.3836,26.3765,26.3836,260,0
2017-03-21,26.3836,26.3836,26.3836,26.3836,0,0
2017-03-22,26.3836,26.3836,26.3836,26.3836,0,0
2017-03-23,26.3836,26.3836,26.3836,26.3836,0,0
2017-03-24,26.3836,26.3836,26.3836,26.3836,0,0
2017-03-27,26.21,26.21,26.21,26.21,213,0
2017-03-28,26.21,26.21,26.21,26.21,0,0
2017-03-29,26.4128,26.4128,26.4128,26.4128,3926,0
2017-03-30,26.41,26.41,26.41,26.41,269,0
2017-03-31,26.4,26.4,26.4,26.4,657,0
2017-04-05,26.5,26.5,25.9488,25.99,10651,0
2017-04-06,25.99,25.99,25.99,25.99,0,0
2017-04-07,25.984,25.984,25.984,25.984,270,0
2017-04-10,25.984,25.984,25.984,25.984,0,0
2017-04-11,25.984,25.984,25.984,25.984,93,0
2017-04-12,25.9,25.9,25.9,25.9,700,0
2017-04-13,26,26,26,26,118,0
2017-04-17,25.8599,25.8599,25.835,25.835,651,0
2017-04-18,25.835,25.835,25.835,25.835,0,0
2017-04-19,26.0294,26.0294,26.0294,26.0294,334,0
2017-04-20,26.1,26.2294,26.0799,26.2294,805,0
2017-04-21,26.2294,26.2294,26.2294,26.2294,0,0
2017-04-24,26.46,26.46,26.4599,26.4599,532,0
2017-04-25,26.4599,26.4599,26.4599,26.4599,0,0
2017-04-26,26.75,26.75,26.75,26.75,308,0
2017-04-27,26.75,26.75,26.75,26.75,0,0
2017-04-28,26.4898,26.4898,26.4898,26.4898,145,0
2017-05-01,26.4898,26.4898,26.4898,26.4898,0,0
2017-05-02,26.4898,26.4898,26.4898,26.4898,0,0
2017-05-03,26.4898,26.4898,26.4898,26.4898,0,0
2017-05-04,26.4898,26.4898,26.4898,26.4898,0,0
2017-05-05,26.6299,26.6299,26.5706,26.5706,380,0
2017-05-08,26.66,26.66,26.61,26.61,560,0
2017-05-09,26.61,26.61,26.61,26.61,0,0
2017-05-10,26.61,26.61,26.61,26.61,0,0
2017-05-11,26.61,26.61,26.61,26.61,0,0
2017-05-12,26.61,26.61,26.61,26.61,0,0
2017-05-15,27.62,27.62,27.62,27.62,412,0
2017-05-16,26.474,26.474,26.474,26.474,194,0
2017-05-17,26.2999,26.2999,26.1899,26.1899,853,0
2017-05-18,26.1899,26.1899,26.1899,26.1899,15,0
2017-05-19,26.1899,26.1899,26.1899,26.1899,0,0
2017-05-22,26.5199,26.5199,26.496,26.496,259,0
2017-05-23,26.58,26.58,26.538,26.538,503,0
2017-05-24,26.54,26.54,26.53,26.53,456,0
2017-05-25,26.53,26.53,26.53,26.53,0,0
2017-05-26,26.6899,26.6899,26.6112,26.6112,580,0
2017-05-30,26.6112,26.6112,26.6112,26.6112,0,0
2017-05-31,26.6112,26.6112,26.6112,26.6112,0,0
2017-06-01,26.6112,26.6112,26.6112,26.6112,0,0
2017-06-02,27.09,27.09,27.073,27.073,1019,0
2017-06-05,27.19,27.19,27.0958,27.0958,328,0
2017-06-06,27.03,27.03,26.89,26.89,2610,0
2017-06-07,26.89,26.89,26.89,26.89,0,0
2017-06-08,26.89,26.89,26.89,26.89,0,0
2017-06-09,27.0199,27.02,27.0199,27.02,649,0
2017-06-12,26.8454,26.8454,26.8454,26.8454,226,0
2017-06-13,27.05,27.05,27.05,27.05,942,0
2017-06-14,27.05,27.05,27.05,27.05,0,0
2017-06-15,27.05,27.05,27.05,27.05,0,0
2017-06-16,26.99,26.99,26.9,26.94,2465,0
2017-06-19,27.23,27.23,27.186,27.186,368,0
2017-06-20,27.119,27.12,27.119,27.12,467,0
2017-06-21,27.01,27.01,27.01,27.01,387,0
2017-06-22,26.9065,27.1489,26.9065,27.1489,592,0
2017-06-23,27.26,27.27,27.26,27.27,759,0
2017-06-26,27.36,27.36,27.2245,27.3,2224,0
2017-06-27,27.3,27.3,27.3,27.3,0,0
2017-06-28,27.3,27.3,27.3,27.3,0,0
2017-06-29,27.309,27.32,26.9324,26.95,2447,0
2017-06-30,27.07,27.18,27.07,27.18,218,0
2017-07-03,27.28,27.28,27.17,27.2,1426,0
2017-07-05,27.2,27.2,27.2,27.2,0,0
2017-07-06,27.2,27.2,27.2,27.2,0,0
2017-07-07,27.79,27.79,27.01,27.09,6650,0
2017-07-10,27.09,27.09,27.09,27.09,0,0
2017-07-11,27.0802,27.0802,27.0802,27.0802,182,0
2017-07-12,27.0802,27.0802,27.0802,27.0802,0,0
2017-07-13,27.37,27.37,27.3562,27.3562,3073,0
2017-07-14,27.55,27.55,27.55,27.55,194,0
2017-07-17,27.55,27.59,27.51,27.51,2418,0
2017-07-18,27.48,27.48,27.41,27.4396,831,0
2017-07-19,27.62,27.62,27.62,27.62,203,0
2017-07-20,27.6399,27.64,27.61,27.61,806,0
2017-07-21,27.68,27.68,27.68,27.68,151,0
2017-07-24,27.6,27.6,27.6,27.6,174,0
2017-07-25,27.6,27.6,27.6,27.6,0,0
2017-07-26,27.52,27.52,27.52,27.52,109,0
2017-07-27,27.56,27.57,27.3004,27.33,2240,0
2017-07-28,27.4,27.4,27.4,27.4,650,0
2017-07-31,27.4,27.4,27.4,27.4,0,0
2017-08-01,27.4,27.4,27.4,27.4,0,0
2017-08-02,27.4,27.4,27.4,27.4,0,0
2017-08-03,27.4,27.4,27.4,27.4,0,0
2017-08-04,27.4,27.4,27.4,27.4,0,0
2017-08-07,27.3499,27.3499,27.2956,27.2956,515,0
2017-08-08,27.2956,27.2956,27.2956,27.2956,0,0
2017-08-09,27.2956,27.2956,27.2956,27.2956,0,0
2017-08-10,26.52,26.52,26.52,26.52,320,0
2017-08-11,26.77,26.77,26.76,26.76,252,0
2017-08-14,26.86,26.86,26.86,26.86,117,0
2017-08-15,26.81,26.81,26.72,26.8099,700,0
2017-08-16,26.922,26.922,26.922,26.922,554,0
2017-08-17,26.922,26.922,26.922,26.922,0,0
2017-08-18,26.5296,26.5296,26.5296,26.5296,185,0
2017-08-21,26.5296,26.5296,26.5296,26.5296,0,0
2017-08-22,26.65,26.65,26.65,26.65,119,0
2017-08-23,26.7199,26.7199,26.6774,26.6774,769,0
2017-08-24,26.7126,26.7126,26.7126,26.7126,198,0
2017-08-25,26.7126,26.7126,26.7126,26.7126,0,0
2017-08-28,26.7599,26.7599,26.736,26.736,344,0
2017-08-29,26.56,26.74,26.56,26.74,497,0
2017-08-30,26.74,26.74,26.74,26.74,0,0
2017-08-31,26.74,26.74,26.74,26.74,0,0
2017-09-01,27.28,27.28,27.2794,27.2794,675,0
2017-09-05,27.15,27.15,27.1209,27.13,1188,0
2017-09-06,27.1999,27.2,27.185,27.2,1840,0
2017-09-07,27.1617,27.17,27.1617,27.17,14341,0
