Date,Open,High,Low,Close,Volume,OpenInt
2017-09-11,25.15,25.21,25.15,25.21,644,0
2017-09-12,26.01,26.01,25.047,25.07,4769,0
2017-09-13,25,25,24.9234,24.9234,1823,0
2017-09-14,24.88,24.98,24.88,24.98,29913,0
2017-09-15,25,25.01,24.93,25.01,7987,0
2017-09-18,25.08,25.095,25.05,25.075,34262,0
2017-09-19,25,25,24.95,25,43398,0
2017-09-20,25.07,25.07,24.9,24.98,7555,0
2017-09-21,24.97,25.035,24.97,25,7402,0
2017-09-22,24.95,24.95,24.85,24.9,11819,0
2017-09-25,24.72,24.7232,24.57,24.6626,3088,0
2017-09-26,24.76,24.76,24.7064,24.7064,1220,0
2017-09-27,24.5999,24.5999,24.5352,24.54,38130,0
2017-09-28,24.5,24.5565,24.4676,24.53,16115,0
2017-09-29,24.67,24.737,24.6,24.71,6540,0
2017-10-02,24.71,24.749,24.7,24.718,6740,0
2017-10-03,24.87,24.95,24.87,24.95,6518,0
2017-10-04,24.93,24.95,24.89,24.89,6873,0
2017-10-05,25.03,25.14,25,25.11,15602,0
2017-10-06,25.05,25.09,24.98,25.0883,4243,0
2017-10-09,25,25,24.89,24.94,8265,0
2017-10-10,25.051,25.0688,25.0368,25.0656,831,0
2017-10-11,25.07,25.148,25.04,25.148,850,0
2017-10-12,25.17,25.23,25.1274,25.17,9001,0
2017-10-13,25.31,25.33,25.283,25.31,10237,0
2017-10-16,25.38,25.38,25.35,25.3667,4090,0
2017-10-17,25.2325,25.25,25.21,25.2376,4885,0
2017-10-18,25.39,25.39,25.3,25.39,2356,0
2017-10-19,25.12,25.17,25.1128,25.155,3088,0
2017-10-20,25.29,25.29,25.2251,25.27,5553,0
2017-10-23,25.23,25.26,25.1601,25.18,47187,0
2017-10-24,25.27,25.27,25.2399,25.2399,1428,0
2017-10-25,25.31,25.31,25.1,25.25,21980,0
2017-10-26,25.37,25.37,25.3,25.3,666,0
2017-10-27,25.27,25.3999,25.26,25.37,1928,0
2017-10-30,25.37,25.37,25.3167,25.33,4597,0
2017-10-31,25.32,25.3599,25.3,25.345,2658,0
2017-11-01,25.44,25.5,25.425,25.425,3112,0
2017-11-02,25.37,25.38,25.35,25.359,3190,0
2017-11-03,25.28,25.28,25.1234,25.2,3315,0
2017-11-06,25.27,25.38,25.27,25.38,2718,0
2017-11-07,25.23,25.23,25.23,25.23,995,0
2017-11-08,25.33,25.37,25.33,25.3401,2592,0
2017-11-09,25.3,25.37,25.3,25.3613,5089,0
2017-11-10,25.2865,25.2865,25.23,25.26,1911,0
2017-11-14,25.150,25.150,25.139,25.139,700,0
2017-11-15,24.950,24.950,24.800,24.820,8100,0
2017-11-16,24.880,24.940,24.861,24.940,3900,0
2017-11-17,24.900,24.959,24.900,24.959,2700,0
2017-11-20,24.930,24.970,24.930,24.970,1400,0
2017-11-21,24.970,24.970,24.970,24.970,-,0
2017-11-22,25.380,25.410,25.380,25.399,3100,0
2017-11-24,25.390,25.390,25.373,25.380,1900,0
2017-11-27,25.290,25.290,25.190,25.190,4400,0
2017-11-28,25.200,25.255,25.100,25.255,1300,0
2017-11-29,25.187,25.187,25.100,25.120,700,0
2017-11-30,25.070,25.115,25.070,25.080,2300,0
2017-12-01,25.000,25.000,24.980,24.982,1100,0
2017-12-04,25.010,25.023,25.000,25.000,2300,0
2017-12-05,24.900,24.953,24.900,24.950,2500,0
2017-12-06,24.749,24.749,24.700,24.701,3200,0
2017-12-07,24.590,24.730,24.590,24.730,1000,0
2017-12-08,24.849,24.861,24.849,24.861,300,0
2017-12-11,24.910,25.000,24.910,24.980,2600,0
2017-12-12,24.850,24.860,24.830,24.860,700,0
2017-12-13,25.000,25.132,25.000,25.100,2000,0
2017-12-14,24.960,24.960,24.960,24.960,100,0
2017-12-15,24.910,24.975,24.830,24.970,32600,0
2017-12-18,24.880,25.015,24.880,25.010,2800,0
2017-12-19,24.860,24.860,24.850,24.850,1300,0
2017-12-20,25.000,25.040,25.000,25.040,400,0
2017-12-21,25.150,25.150,25.150,25.150,200,0
2017-12-22,25.215,25.270,25.210,25.266,4300,0
2017-12-26,25.360,25.380,25.328,25.370,3300,0
2017-12-27,25.304,25.330,25.289,25.310,3500,0
2017-12-28,25.420,25.475,25.420,25.475,700,0
2017-12-29,25.580,25.580,25.550,25.560,1000,0
2018-01-02,25.872,25.900,25.859,25.885,2900,0
2018-01-03,26.110,26.190,26.110,26.179,2700,0
2018-01-04,26.330,26.470,26.330,26.421,148700,0
2018-01-05,26.510,26.620,26.510,26.620,6200,0
2018-01-08,26.550,26.640,26.550,26.620,3100,0
2018-01-09,26.530,26.550,26.474,26.540,8100,0
2018-01-10,26.440,26.519,26.440,26.460,6000,0
2018-01-11,26.520,26.640,26.520,26.639,3700,0
2018-01-12,26.599,26.799,26.599,26.790,5700,0
2018-01-16,26.810,26.830,26.700,26.700,165600,0
2018-01-17,26.800,26.985,26.750,26.960,227400,0
2018-01-18,27.000,27.000,26.850,26.897,44500,0
2018-01-19,27.030,27.090,26.944,27.090,37900,0
2018-01-22,27.160,27.290,27.120,27.290,34100,0
2018-01-23,27.360,27.430,27.300,27.350,26600,0
2018-01-24,27.590,27.690,27.550,27.560,20700,0
2018-01-25,27.780,27.869,27.670,27.715,42700,0
2018-01-26,27.980,28.160,27.930,28.130,203400,0
2018-01-29,28.100,28.100,27.760,27.790,74300,0
2018-01-30,27.580,27.590,27.420,27.540,37000,0
2018-01-31,27.610,27.640,27.489,27.540,33000,0
2018-02-01,27.340,27.460,27.310,27.360,16900,0
