Date,Open,High,Low,Close,Volume,OpenInt
2017-06-29,25.05,25.05,24.9114,24.9114,1484,0
2017-06-30,24.9326,24.9502,24.92,24.9502,1229,0
2017-07-03,25,25,25,25,120,0
2017-07-05,24.89,24.9536,24.88,24.9352,1000,0
2017-07-06,24.85,24.8505,24.8,24.8,8126,0
2017-07-07,24.84,24.89,24.8148,24.88,1381,0
2017-07-10,24.9,24.93,24.9,24.928,606599,0
2017-07-11,24.9,24.9,24.9,24.9,1320,0
2017-07-12,25.11,25.14,25.11,25.14,400,0
2017-07-13,25.12,25.17,25.11,25.17,3225,0
2017-07-17,25.26,25.28,25.26,25.27,7663,0
2017-07-18,25.24,25.2846,25.2399,25.2846,1015,0
2017-07-19,25.39,25.39,25.39,25.39,249940,0
2017-07-20,25.4,25.41,25.4,25.41,1656,0
2017-07-21,25.35,25.37,25.35,25.37,5536,0
2017-07-24,25.37,25.39,25.35,25.37,203371,0
2017-07-25,25.3901,25.3901,25.3901,25.3901,100,0
2017-07-26,25.43,25.45,25.43,25.45,204,0
2017-07-27,25.46,25.46,25.32,25.4,4400,0
2017-08-01,25.48,25.49,25.48,25.49,800201,0
2017-08-02,25.54,25.54,25.43,25.48,391,0
2017-08-04,25.45,25.47,25.44,25.47,2165,0
2017-08-07,25.4525,25.4525,25.4525,25.4525,200103,0
2017-08-08,25.49,25.52,25.49,25.52,1400,0
2017-08-09,25.38,25.38,25.38,25.38,1000,0
2017-08-10,25.21,25.21,25.21,25.21,515,0
2017-08-11,25.1699,25.1699,25.1699,25.1699,697,0
2017-08-14,25.32,25.3236,25.32,25.3236,1000,0
2017-08-17,25.3,25.3,25.3,25.3,200150,0
2017-08-18,25.13,25.22,25.13,25.16,1097,0
2017-08-22,25.27,25.27,25.27,25.27,1011,0
2017-08-23,25.28,25.3,25.28,25.3,203000,0
2017-08-24,25.32,25.32,25.32,25.32,500,0
2017-08-25,25.36,25.371,25.36,25.371,1300,0
2017-08-28,25.41,25.41,25.36,25.36,3908,0
2017-08-29,25.28,25.28,25.28,25.28,200235,0
2017-08-30,25.36,25.4,25.31,25.39,3697,0
2017-08-31,25.4517,25.4517,25.4517,25.4517,100,0
2017-09-01,25.58,25.58,25.58,25.58,499,0
2017-09-05,25.45,25.45,25.4,25.419,1200,0
2017-09-06,25.51,25.51,25.44,25.51,1670,0
2017-09-07,25.5198,25.5198,25.5198,25.5198,200,0
2017-09-08,25.48,25.54,25.48,25.52,608,0
2017-09-11,25.6442,25.6442,25.6442,25.6442,100,0
2017-09-12,25.6973,25.7,25.6973,25.6998,100700,0
2017-09-13,25.69,25.69,25.69,25.69,100,0
2017-09-15,25.76,25.76,25.71,25.72,631,0
2017-09-18,25.77,25.77,25.75,25.75,902,0
2017-09-19,25.81,25.81,25.76,25.7699,155021,0
2017-09-20,25.72,25.72,25.7,25.7,2100,0
2017-09-21,25.75,25.76,25.75,25.76,7543,0
2017-09-25,25.7,25.7,25.638,25.644,202190,0
2017-09-26,25.7,25.7,25.64,25.68,677,0
2017-09-27,25.6413,25.67,25.5878,25.665,2546,0
2017-09-28,25.66,25.7,25.644,25.7,4069,0
2017-09-29,25.75,25.8,25.6976,25.7967,2178,0
2017-10-02,25.72,25.8,25.72,25.8,2826,0
2017-10-03,25.9,25.9,25.9,25.9,100,0
2017-10-04,25.92,25.92,25.92,25.92,100,0
2017-10-05,25.93,25.99,25.93,25.98,1042,0
2017-10-06,25.919,25.94,25.905,25.9332,2474,0
2017-10-09,25.9228,25.93,25.9228,25.93,400,0
2017-10-10,26,26,26,26,2500,0
2017-10-12,26.02,26.02,26.02,26.02,200,0
2017-10-13,26.03,26.11,26.03,26.11,2300,0
2017-10-16,26.12,26.13,26.09,26.09,825,0
2017-10-17,26.08,26.09,26.02,26.09,2290,0
2017-10-18,26.041,26.13,26.041,26.13,1664,0
2017-10-23,26.18,26.18,26.12,26.12,50150,0
2017-10-25,25.901,26,25.901,26,273,0
2017-10-27,26.08,26.092,26.08,26.092,2417,0
2017-10-31,26.1548,26.1548,26.15,26.15,200,0
2017-11-01,26.17,26.21,26.15,26.17,3186,0
2017-11-02,26.19,26.19,26.1425,26.1425,51135,0
2017-11-03,26.1509,26.156,26.15,26.156,2000,0
2017-11-07,26.29,26.29,26.2,26.21,2025,0
2017-11-08,26.2,26.25,26.2,26.25,315,0
2017-11-09,26.16,26.17,26.16,26.17,1260,0
2017-11-14,26.0600,26.0700,26.0400,26.0700,2400,0
2017-11-15,26.0700,26.0700,26.0700,26.0700,100000,0
2017-11-16,26.1610,26.1610,26.1610,26.1610,100,0
2017-11-17,26.1800,26.1800,26.1300,26.1580,3200,0
2017-11-20,26.1750,26.1750,26.1750,26.1750,200,0
2017-11-21,26.3200,26.3400,26.3200,26.3400,800,0
2017-11-22,26.3400,26.3400,26.3400,26.3400,-,0
2017-11-24,26.4200,26.4300,26.4200,26.4300,300,0
2017-11-27,26.3600,26.3600,26.3600,26.3600,600,0
2017-11-28,26.4700,26.4700,26.4700,26.4700,100,0
2017-11-29,26.4600,26.4600,26.4600,26.4600,600,0
2017-11-30,26.4800,26.5100,26.4730,26.5100,700,0
2017-12-01,26.3800,26.3800,26.3200,26.3750,1700,0
2017-12-04,26.6400,26.6400,26.4900,26.5200,800,0
2017-12-05,26.3800,26.3800,26.3700,26.3700,400,0
2017-12-06,26.3300,26.3300,26.3000,26.3000,600,0
2017-12-07,26.3800,26.3800,26.3800,26.3800,50100,0
2017-12-08,26.3800,26.3800,26.3800,26.3800,-,0
2017-12-11,26.5300,26.5300,26.5300,26.5300,500,0
2017-12-12,26.5050,26.5200,26.5010,26.5200,1000,0
2017-12-13,26.6210,26.6210,26.6100,26.6100,600,0
2017-12-14,26.6300,26.6300,26.6300,26.6300,800,0
2017-12-15,26.6300,26.6300,26.6300,26.6300,-,0
2017-12-18,26.6300,26.6300,26.6300,26.6300,-,0
2017-12-19,26.7100,26.7130,26.7100,26.7130,1000,0
2017-12-20,26.6660,26.6660,26.6660,26.6660,200,0
2017-12-21,26.7200,26.7200,26.7200,26.7200,200,0
2017-12-22,26.7200,26.7200,26.7200,26.7200,-,0
2017-12-26,26.8100,26.8100,26.8100,26.8100,600,0
2017-12-27,26.8100,26.8100,26.8100,26.8100,-,0
2017-12-28,26.6300,26.6300,26.5800,26.5800,500,0
2017-12-29,26.7600,26.7600,26.7600,26.7600,800,0
2018-01-02,26.7000,26.7060,26.6800,26.7060,1000,0
2018-01-03,26.7990,26.8100,26.7800,26.7950,2700,0
2018-01-04,26.7950,26.7950,26.7950,26.7950,-,0
2018-01-05,27.0300,27.0390,27.0300,27.0390,300,0
2018-01-08,27.0600,27.0600,27.0600,27.0600,300,0
2018-01-09,27.0700,27.1000,27.0700,27.0850,700,0
2018-01-10,27.0300,27.0800,27.0200,27.0700,2000,0
2018-01-11,27.1310,27.1700,27.1310,27.1700,1400,0
2018-01-12,27.1700,27.1700,27.1700,27.1700,-,0
2018-01-16,27.4400,27.4410,27.3000,27.3000,3100,0
2018-01-17,27.4200,27.4900,27.4200,27.4900,500,0
2018-01-18,27.4900,27.4900,27.4900,27.4900,-,0
2018-01-19,27.4900,27.4900,27.4900,27.4900,-,0
2018-01-22,27.4200,27.5710,27.4200,27.5710,400,0
2018-01-23,27.6700,27.6700,27.6700,27.6700,200,0
2018-01-24,27.8100,27.8100,27.6710,27.6710,500,0
2018-01-25,27.6710,27.6710,27.6710,27.6710,-,0
2018-01-26,27.7700,27.7700,27.7700,27.7700,900,0
