Date,Open,High,Low,Close,Volume,OpenInt
2016-11-29,48.84,49.3,48.84,49.3,300,0
2016-12-07,54.3,54.3,54.3,54.3,100,0
2016-12-12,58.38,58.38,57.24,57.24,542,0
2016-12-14,56.81,56.81,55.54,55.54,765,0
2016-12-29,57.71,57.71,57.71,57.71,2584,0
2016-12-30,57.21,57.21,57.15,57.15,1716,0
2017-01-05,57.22,57.22,57.22,57.22,200,0
2017-01-09,55.41,55.41,55.41,55.41,200,0
2017-01-10,54.29,54.29,54.29,54.29,100,0
2017-01-13,55.81,55.81,55.81,55.81,100,0
2017-01-19,55.05,55.31,54.73,54.73,1000,0
2017-01-20,56.1,56.1,56.07,56.08,5600,0
2017-01-27,55.6,55.6,55.39,55.4,5000,0
2017-02-02,56.56,56.56,56.27,56.27,600,0
2017-02-15,55.5,55.79,55.5,55.79,5700,0
2017-02-16,55.3,55.3,55.3,55.3,400,0
2017-02-21,56.9,56.9,56.82,56.82,2550,0
2017-02-22,55.79,55.79,55.53,55.68,6200,0
2017-02-27,56.39,56.39,56.15,56.15,4100,0
2017-02-28,55.4,55.4,55.4,55.4,800,0
2017-03-09,51.26,51.26,51.26,51.26,696,0
2017-03-10,51.18,51.23,50.69,50.69,4602,0
2017-03-13,50.35,50.35,50.35,50.35,1800,0
2017-03-20,50.35,50.35,50.35,50.35,0,0
2017-03-30,51.71,51.72,51.71,51.72,3200,0
2017-03-31,51.66,51.67,51.66,51.66,5600,0
2017-04-05,53.23,53.29,53.23,53.29,7201,0
2017-05-02,49.1,49.1,48.5,48.62,8700,0
2017-05-04,46.48,46.48,46.3622,46.3622,1000,0
2017-05-09,47.09,47.09,47.09,47.09,304,0
2017-05-10,47.7099,48.56,47.7099,48.56,979,0
2017-05-15,50.19,50.19,50.19,50.19,178,0
2017-05-17,49.95,50.22,49.9075,50.19,873,0
2017-05-24,51.77,51.82,51.76,51.82,1577,0
2017-05-25,49.97,49.97,49.97,49.97,127,0
2017-05-30,50.1999,50.2,50.1769,50.2,1739,0
2017-06-02,48.2593,48.2593,48.2593,48.2593,201,0
2017-06-05,48.15,48.15,48.0372,48.0372,453,0
2017-06-13,46.79,47.0012,46.79,47.0012,1254,0
2017-06-14,46.59,46.59,45.14,45.14,1230,0
2017-06-20,43.8524,43.8524,43.8524,43.8524,100,0
2017-06-21,42.69,42.925,42.69,42.925,591,0
2017-06-28,45.07,45.07,44.92,45,1580,0
2017-06-30,45.9616,45.9616,45.9616,45.9616,135,0
2017-07-05,45.9,45.9,45.4902,45.55,414,0
2017-07-10,44.9499,44.9499,44.9499,44.9499,255,0
2017-07-12,45.84,46.29,45.8,45.8,21300,0
2017-07-13,46.42,46.42,46.39,46.39,200,0
2017-07-17,46.49,46.49,46.49,46.49,6439,0
2017-07-21,46.2413,46.2413,46.0899,46.0899,609,0
2017-07-24,46.61,46.64,46.61,46.64,940,0
2017-07-25,48.09,48.09,48.09,48.09,263,0
2017-07-26,48.95,48.95,48.95,48.95,151,0
2017-07-27,49.35,49.36,49.31,49.31,6304,0
2017-07-28,49.92,49.98,49.8999,49.9416,9358,0
2017-07-31,49.47,50,49.46,50,14786,0
