Date,Open,High,Low,Close,Volume,OpenInt
2017-05-02,28.92,28.95,28.92,28.95,332,0
2017-05-03,28.44,28.44,28.44,28.44,502,0
2017-05-04,27.97,27.97,27.97,27.97,355,0
2017-05-10,27.93,27.93,27.93,27.93,500,0
2017-05-17,29.18,29.18,29.18,29.18,500,0
2017-05-31,28.33,28.33,28.33,28.33,333,0
2017-06-06,28.4299,28.4299,28.386,28.386,1069,0
2017-06-07,28.24,28.24,27.98,27.98,700,0
2017-06-12,27.42,27.42,27.42,27.42,100,0
2017-06-13,27.5592,27.58,27.5592,27.58,501,0
2017-06-14,27.46,27.46,26.4264,26.4264,654,0
2017-06-15,26.2801,26.3199,26.2801,26.3199,437,0
2017-06-16,26.39,26.49,26.39,26.49,1298,0
2017-06-28,26.02,26.21,26.02,26.21,1000,0
2017-07-06,27.08,27.08,27.08,27.08,578,0
2017-07-07,26,26,25.9,25.9,200,0
2017-07-12,27.32,27.32,27.32,27.32,500,0
2017-07-13,26.87,26.87,26.87,26.87,100,0
2017-07-19,27.62,27.66,27.62,27.64,3152,0
2017-08-02,28.9,28.9,28.9,28.9,517,0
2017-08-08,28.731,28.731,28.731,28.731,502,0
2017-08-14,28.13,28.1399,28.096,28.096,404,0
2017-08-15,27.87,27.898,27.87,27.8979,808,0
2017-08-18,27.56,28.32,27.56,28.32,1090,0
2017-08-21,27.874,27.874,27.874,27.874,101,0
2017-09-08,28.45,28.45,28.17,28.17,1917,0
2017-09-11,27.59,28.08,27.58,28.08,1662,0
2017-09-14,29.2,29.29,29.03,29.03,1123,0
2017-09-15,29.16,29.16,29.16,29.16,375,0
2017-09-22,29.36,29.36,29.36,29.36,1200,0
2017-09-28,30.55,30.55,30.506,30.5335,2600,0
2017-10-02,29.19,29.19,29.04,29.04,825,0
2017-10-04,29.26,29.26,28.94,28.94,1536,0
2017-10-05,29.46,29.46,29.46,29.46,600,0
2017-10-06,28.6,28.6,28.5892,28.5892,722,0
2017-10-10,29.28,29.35,29.28,29.35,476,0
2017-10-13,29.7352,29.74,29.7352,29.74,500,0
2017-10-19,29.8,29.8,29.72,29.72,497,0
2017-10-24,30.07,30.07,30.07,30.07,200,0
2017-11-10,32.73,32.74,32.65,32.6657,4090,0
2017-11-10,32.730,32.740,32.650,32.666,4100,0
2017-11-13,32.820,32.820,32.820,32.820,400,0
2017-11-14,32.070,32.080,32.070,32.080,400,0
2017-11-15,32.080,32.080,32.080,32.080,-,0
2017-11-16,31.740,31.740,31.740,31.740,100,0
2017-11-17,32.230,32.420,32.220,32.420,900,0
2017-11-20,32.420,32.420,32.420,32.420,-,0
2017-11-21,32.420,32.420,32.420,32.420,-,0
2017-11-22,32.420,32.420,32.420,32.420,-,0
2017-11-24,33.660,33.660,33.660,33.660,3000,0
2017-11-27,33.660,33.660,33.660,33.660,-,0
2017-11-28,33.660,33.660,33.660,33.660,-,0
2017-11-29,33.660,33.660,33.660,33.660,-,0
2017-11-30,33.660,33.660,33.660,33.660,-,0
2017-12-01,33.660,33.660,33.660,33.660,-,0
2017-12-04,33.660,33.660,33.660,33.660,-,0
2017-12-05,33.660,33.660,33.660,33.660,-,0
2017-12-06,33.660,33.660,33.660,33.660,-,0
2017-12-07,33.660,33.660,33.660,33.660,-,0
2017-12-08,33.660,33.660,33.660,33.660,6000,0
2017-12-11,33.010,33.010,33.010,33.010,200,0
2017-12-12,33.010,33.010,33.010,33.010,-,0
2017-12-13,33.010,33.010,33.010,33.010,-,0
2017-12-14,32.650,32.650,32.600,32.600,600,0
2017-12-15,32.600,32.600,32.600,32.600,-,0
2017-12-18,32.600,32.600,32.600,32.600,-,0
2017-12-19,32.600,32.600,32.600,32.600,-,0
2017-12-20,32.600,32.600,32.600,32.600,-,0
2017-12-21,32.600,32.600,32.600,32.600,-,0
2017-12-22,32.600,32.600,32.600,32.600,-,0
2017-12-26,32.600,32.600,32.600,32.600,-,0
2017-12-27,32.600,32.600,32.600,32.600,-,0
2017-12-28,32.600,32.600,32.600,32.600,-,0
2017-12-29,32.600,32.600,32.600,32.600,-,0
2018-01-02,34.620,34.620,34.620,34.620,200,0
2018-01-03,34.620,34.620,34.620,34.620,-,0
2018-01-04,34.620,34.620,34.620,34.620,-,0
2018-01-05,34.620,34.620,34.620,34.620,-,0
2018-01-08,34.620,34.620,34.620,34.620,-,0
2018-01-09,34.620,34.620,34.620,34.620,-,0
2018-01-10,34.620,34.620,34.620,34.620,-,0
2018-01-11,36.930,36.930,36.840,36.840,300,0
2018-01-12,36.760,36.760,36.760,36.760,300,0
2018-01-16,36.760,36.760,36.760,36.760,-,0
2018-01-17,36.580,36.760,36.580,36.760,400,0
2018-01-18,36.760,36.760,36.760,36.760,-,0
2018-01-19,36.760,36.760,36.760,36.760,-,0
2018-01-22,36.760,36.760,36.760,36.760,-,0
2018-01-23,36.760,36.760,36.760,36.760,-,0
2018-01-24,37.190,37.560,37.190,37.560,600,0
2018-01-25,37.950,37.950,37.950,37.950,100,0
2018-01-26,38.030,38.030,37.980,37.980,800,0
2018-01-29,37.730,37.730,37.730,37.730,900,0
2018-01-30,37.730,37.730,37.730,37.730,-,0
2018-01-31,36.780,36.798,36.780,36.798,700,0
2018-02-01,36.798,36.798,36.798,36.798,-,0
2018-02-02,36.798,36.798,36.798,36.798,-,0
2018-02-05,36.760,36.760,36.670,36.670,200,0
2018-02-06,36.670,36.670,36.670,36.670,-,0
2018-02-07,36.480,36.480,36.460,36.460,400,0
2018-02-08,36.460,36.460,36.460,36.460,-,0
2018-02-09,36.460,36.460,36.460,36.460,-,0
2018-02-12,36.460,36.460,36.460,36.460,-,0
2018-02-13,36.460,36.460,36.460,36.460,-,0
2018-02-14,36.460,36.460,36.460,36.460,-,0
2018-02-15,36.460,36.460,36.460,36.460,-,0
2018-02-16,35.210,35.210,35.210,35.210,300,0
2018-02-20,35.210,35.210,35.210,35.210,-,0
2018-02-21,35.210,35.210,35.210,35.210,-,0
2018-02-22,35.210,35.210,35.210,35.210,-,0
2018-02-23,35.210,35.210,35.210,35.210,-,0
2018-02-26,36.665,36.665,36.665,36.665,100,0
2018-02-27,36.665,36.665,36.665,36.665,-,0
2018-02-28,36.665,36.665,36.665,36.665,-,0
2018-03-01,36.665,36.665,36.665,36.665,-,0
2018-03-02,36.665,36.665,36.665,36.665,-,0
2018-03-05,36.665,36.665,36.665,36.665,-,0
2018-03-06,36.665,36.665,36.665,36.665,-,0
2018-03-07,36.665,36.665,36.665,36.665,-,0
2018-03-08,36.665,36.665,36.665,36.665,-,0
2018-03-09,36.665,36.665,36.665,36.665,-,0
2018-03-12,36.665,36.665,36.665,36.665,-,0
2018-03-13,36.665,36.665,36.665,36.665,-,0
2018-03-14,36.665,36.665,36.665,36.665,-,0
2018-03-15,35.480,35.480,35.480,35.480,100,0
2018-03-16,35.480,35.480,35.480,35.480,-,0
2018-03-19,35.480,35.480,35.480,35.480,-,0
2018-03-20,35.480,35.480,35.480,35.480,-,0
2018-03-21,35.480,35.480,35.480,35.480,-,0
