Date,Open,High,Low,Close,Volume,OpenInt
2017-11-10,24.91,24.95,24.88,24.9499,53308,0
2017-11-14,24.9300,24.9900,24.9000,24.9900,600,0
2017-11-15,24.9000,24.9000,24.9000,24.9000,1500,0
2017-11-16,25.1100,25.1100,25.1100,25.1100,600,0
2017-11-17,25.1100,25.1100,25.1100,25.1100,-,0
2017-11-20,25.0800,25.0800,25.0800,25.0800,300,0
2017-11-21,25.2150,25.2150,25.2150,25.2150,200,0
2017-11-22,25.2200,25.2200,25.2200,25.2200,200,0
2017-11-24,25.2200,25.2200,25.2200,25.2200,-,0
2017-11-27,25.2200,25.2200,25.2200,25.2200,-,0
2017-11-28,25.2200,25.2200,25.2200,25.2200,-,0
2017-11-29,25.2200,25.2200,25.2200,25.2200,-,0
2017-11-30,25.6000,25.6000,25.6000,25.6000,1000,0
2017-12-01,25.7600,25.7600,25.5100,25.5500,1200,0
2017-12-04,25.5500,25.5500,25.5500,25.5500,100,0
2017-12-05,25.5500,25.5500,25.5500,25.5500,-,0
2017-12-06,25.5500,25.5500,25.5500,25.5500,100,0
2017-12-07,25.5500,25.5500,25.5500,25.5500,100,0
2017-12-08,25.7600,25.7700,25.7570,25.7700,5300,0
2017-12-11,25.7700,25.7700,25.7700,25.7700,-,0
2017-12-12,25.7700,25.7700,25.7700,25.7700,-,0
2017-12-13,25.7700,25.7700,25.7700,25.7700,-,0
2017-12-14,25.9350,25.9350,25.9300,25.9300,4000,0
2017-12-15,26.0800,26.1400,26.0800,26.1400,1100,0
2017-12-18,26.2700,26.2700,26.2700,26.2700,100,0
2017-12-19,26.2260,26.2260,26.2250,26.2250,2000,0
2017-12-20,26.1750,26.1750,26.1450,26.1500,13400,0
2017-12-21,26.1880,26.1880,26.1850,26.1850,2700,0
2017-12-22,26.0800,26.1000,26.0780,26.1000,9900,0
2017-12-26,26.1250,26.1300,26.1250,26.1250,1600,0
2017-12-27,26.1900,26.1900,26.1450,26.1450,1500,0
2017-12-28,26.1000,26.1000,26.1000,26.1000,400,0
2017-12-29,26.1000,26.1000,26.1000,26.1000,100,0
2018-01-02,26.1000,26.1000,26.1000,26.1000,-,0
2018-01-03,26.1700,26.1700,26.1700,26.1700,400,0
2018-01-04,26.1700,26.1700,26.1700,26.1700,100,0
2018-01-05,26.1700,26.1700,26.1700,26.1700,-,0
2018-01-08,26.1700,26.1700,26.1700,26.1700,-,0
2018-01-09,26.7150,26.7150,26.7150,26.7150,400,0
2018-01-10,26.5200,26.5400,26.5200,26.5400,6600,0
2018-01-11,26.6000,26.6630,26.6000,26.6630,1600,0
2018-01-12,26.8900,26.8900,26.8900,26.8900,400,0
2018-01-16,26.9400,26.9400,26.7500,26.7500,7900,0
2018-01-17,26.9900,26.9900,26.9800,26.9800,3400,0
2018-01-18,27.0100,27.0100,26.9450,26.9450,3500,0
2018-01-19,27.1200,27.1600,27.1200,27.1600,5100,0
2018-01-22,27.2600,27.2600,27.2600,27.2600,200,0
2018-01-23,27.3200,27.3650,27.3200,27.3400,4800,0
2018-01-24,27.3800,27.3800,27.3800,27.3800,1000,0
2018-01-25,27.3100,27.3100,27.3100,27.3100,600,0
2018-01-26,27.4100,27.4670,27.4100,27.4670,6200,0
2018-01-29,27.3200,27.3300,27.2900,27.2900,2200,0
2018-01-30,26.9960,26.9960,26.9950,26.9950,600,0
2018-01-31,27.0350,27.0400,27.0300,27.0300,800,0
2018-02-01,26.9400,27.0400,26.9400,26.9400,2600,0
2018-02-02,26.7200,26.7200,26.4400,26.4400,2500,0
2018-02-05,26.4500,26.4500,25.5300,25.5300,700,0
2018-02-06,25.8700,25.8700,25.7950,25.7950,700,0
2018-02-07,25.7950,25.7950,25.7950,25.7950,-,0
2018-02-08,25.2000,25.3300,25.2000,25.3200,500,0
2018-02-09,24.8500,24.8600,24.7400,24.8300,1900,0
2018-02-12,25.3600,25.3600,25.3600,25.3600,100,0
2018-02-13,25.3600,25.3600,25.3600,25.3600,-,0
