Date,Open,High,Low,Close,Volume,OpenInt
2015-12-14,52.548,52.548,52.182,52.182,2512,0
2015-12-15,52.182,52.182,52.182,52.182,16381,0
2015-12-16,53.428,53.731,53.281,53.731,1201,0
2015-12-17,53.263,53.263,53.263,53.263,327,0
2015-12-18,52.739,52.739,52.667,52.667,2396,0
2015-12-23,53.723,53.915,53.723,53.915,326,0
2016-01-08,51.033,51.033,50.611,50.611,327,0
2016-01-11,50.214,50.463,50.214,50.463,219,0
2016-01-12,50.288,50.288,50.288,50.288,110,0
2016-01-14,50.197,50.197,50.197,50.197,110,0
2016-01-20,47.837,47.837,47.837,47.837,110,0
2016-01-21,49.094,49.094,49.094,49.094,219,0
2016-01-22,49.664,49.664,49.664,49.664,219,0
2016-01-25,49.205,49.205,49.205,49.205,110,0
2016-01-26,49.443,49.443,49.443,49.443,110,0
2016-01-27,50.353,50.353,50.353,50.353,110,0
2016-01-29,50.923,51.638,50.923,51.638,2070,0
2016-02-01,51.39,51.822,51.353,51.712,1743,0
2016-02-02,50.785,50.933,50.627,50.765,1634,0
2016-02-04,51.446,51.684,51.446,51.684,435,0
2016-02-05,51.463,51.463,51.18,51.18,1305,0
2016-02-08,50.142,50.142,50.142,50.142,110,0
2016-02-09,50.05,50.224,49.848,50.114,1198,0
2016-02-10,50.179,50.453,49.911,49.911,1090,0
2016-02-11,49.168,49.545,49.021,49.545,870,0
2016-02-12,49.875,50.38,49.848,50.326,26442,0
2016-02-16,50.831,51.399,50.831,51.399,1754,0
2016-02-17,52.198,52.226,52.087,52.198,1198,0
2016-02-18,51.958,52.455,51.958,52.326,1156,0
2016-02-19,51.94,52.116,51.94,52.106,2101,0
2016-02-22,52.759,52.823,52.667,52.814,2550,0
2016-02-23,52.721,52.768,52.355,52.419,1625,0
2016-02-29,53.327,53.59,53.327,53.59,329,0
2016-03-01,53.861,54.022,53.861,54.022,1456,0
2016-03-02,54.44,54.44,54.44,54.44,110,0
2016-03-03,55.155,55.155,55.155,55.155,128,0
2016-03-10,55.514,55.514,55.514,55.514,123,0
2016-03-11,56.519,56.533,56.519,56.533,634,0
2016-03-14,56.368,56.368,56.34,56.34,421,0
2016-03-30,57.876,57.876,57.793,57.793,324,0
2016-04-04,57.728,57.728,57.382,57.382,982,0
2016-04-11,57.227,57.227,57.218,57.218,263,0
2016-04-29,58.949,58.949,58.949,58.949,411,0
2016-05-02,58.31,58.31,58.31,58.31,135,0
2016-05-09,57.486,57.486,57.486,57.486,109,0
2016-05-12,57.386,57.386,57.386,57.386,134,0
