Date,Open,High,Low,Close,Volume,OpenInt
2017-08-29,24.5,27.95,24,27.65,66931,0
2017-08-30,28,36.3,27.871,30.94,169925,0
2017-08-31,33,36.6,32,35.5,126896,0
2017-09-01,37,40.5,37,39,182082,0
2017-09-05,40,40,32,37.44,110832,0
2017-09-06,38.1,44.4347,38.1,44,128799,0
2017-09-07,46,50.7,44.63,50.5,236301,0
2017-09-08,51.9,51.9,46,49.93,148280,0
2017-09-11,48.65,51,47,49.88,79979,0
2017-09-12,49,49.4999,33.26,36,326482,0
2017-09-13,36,38.541,35.11,36.98,108849,0
2017-09-14,37.63,37.6607,22.75,26.79,347377,0
2017-09-15,25.71,27.88,23.26,24.1155,199772,0
2017-09-18,24.05,28.9752,24.02,27.55,155315,0
2017-09-19,28.5,37.5,28.04,35.7,365002,0
2017-09-20,36.99,39.542,34.7501,36.78,236746,0
2017-09-21,35.31,37.5897,35.31,37,55901,0
2017-09-22,37.75,41.94,37.1493,40.58,145769,0
2017-09-25,40.6,41,35.3901,38.43,98611,0
2017-09-26,39.1,40.86,38.8201,39.92,65539,0
2017-09-27,40.03,41.34,38.28,38.81,80129,0
2017-09-28,38.85,39.7489,37.0091,37.65,67402,0
2017-09-29,37.68,38,35.5001,36.79,31287,0
2017-10-02,36.05,36.6565,32.07,34.79,116261,0
2017-10-03,33.42,34.02,31.02,31.8,76214,0
2017-10-04,32.36,35.1598,30.7601,34.5,48222,0
2017-10-05,34.7,36.5,34.52,36.35,51729,0
2017-10-06,36.35,38.5,34.89,35.95,80328,0
2017-10-09,35.9,37.95,35.5224,37.75,38298,0
2017-10-10,38,39.3545,37.5141,38.65,50417,0
2017-10-11,38.54,39,38,38.2474,17404,0
2017-10-12,36.01,38.3876,36,36.11,31947,0
2017-10-13,35.5,38.15,34.8359,37.98,25156,0
2017-10-16,38.64,38.7,32.04,33.7,76366,0
2017-10-17,34.5,36.8266,33.8937,35.78,31615,0
2017-10-18,35.9,37.95,34,35.97,18075,0
2017-10-19,36.7,36.7,35,35.49,10800,0
2017-10-20,34.5,35.2999,30.0101,32,88047,0
2017-10-23,32.56,36.4383,30.54,30.8,27829,0
2017-10-24,30.38,31.73,28.1,29,108048,0
2017-10-25,29.62,30.315,28.75,29.6,42792,0
2017-10-26,30.5,48,30.4207,40.15,586916,0
2017-10-27,42,42,34.85,36.59,291932,0
2017-10-30,36,36.969,34.6,36.34,90930,0
2017-10-31,37.58,39.2948,35.4,38.39,92128,0
2017-11-01,39.49,40,37.1948,38.89,54146,0
2017-11-02,39.03,41,37.8363,38.7,155383,0
2017-11-03,39.25,40,36.39,37.62,39148,0
2017-11-06,38.08,39.19,35.75,36.8,33481,0
2017-11-07,36.1,36.469,35.5273,35.7,39846,0
2017-11-08,36.76,36.77,35.758,35.99,15813,0
2017-11-09,35.26,36.2322,35.26,35.76,16573,0
2017-11-10,36,36.2697,34.17,34.5,42253,0
2017-11-13,35.42,35.42,33.70,34.50,26300,0
2017-11-14,35.20,35.43,34.48,34.65,15300,0
2017-11-15,34.91,34.91,33.82,34.11,18000,0
2017-11-16,34.10,34.40,32.55,33.16,40200,0
2017-11-17,33.72,33.72,30.50,30.89,50700,0
2017-11-20,30.73,34.06,30.45,33.07,41200,0
2017-11-21,33.98,35.00,33.50,34.48,23200,0
2017-11-22,35.28,35.46,34.60,35.02,25300,0
2017-11-24,35.49,35.49,33.25,34.45,20800,0
2017-11-27,34.99,34.99,32.75,33.08,28700,0
2017-11-28,33.73,34.45,33.01,33.45,24100,0
2017-11-29,34.23,34.23,32.21,33.09,19600,0
2017-11-30,33.05,33.05,31.04,31.74,25900,0
2017-12-01,30.84,31.91,30.45,30.56,33600,0
2017-12-04,30.85,33.10,30.85,31.36,31400,0
2017-12-05,30.55,31.94,30.00,30.89,45200,0
2017-12-06,30.42,31.53,30.15,30.38,23200,0
2017-12-07,30.32,31.49,30.00,30.24,23600,0
2017-12-08,30.30,31.00,30.00,30.01,24500,0
2017-12-11,30.00,30.89,28.50,29.50,72600,0
2017-12-12,29.50,30.00,28.50,28.89,78400,0
2017-12-13,28.50,29.00,24.00,24.11,167700,0
2017-12-14,24.10,24.76,21.35,23.50,163900,0
2017-12-15,23.00,23.75,22.51,22.55,72500,0
2017-12-18,23.00,23.50,19.01,19.05,199000,0
2017-12-19,20.84,22.49,17.01,18.16,125600,0
2017-12-20,19.20,25.06,19.10,23.70,394700,0
2017-12-21,24.00,24.70,23.00,23.25,95000,0
2017-12-22,23.99,25.41,23.25,24.95,62800,0
2017-12-26,24.59,25.53,23.01,24.03,86600,0
2017-12-27,23.74,23.74,20.61,21.06,140900,0
2017-12-28,21.01,23.23,20.95,23.23,66100,0
2017-12-29,23.35,24.00,21.22,22.97,46200,0
2018-01-02,23.37,24.88,23.28,23.87,47100,0
2018-01-03,23.46,24.95,23.02,24.49,39700,0
2018-01-04,24.63,25.15,24.13,24.84,28500,0
2018-01-05,24.69,25.20,24.29,24.43,27200,0
2018-01-08,24.71,24.94,24.10,24.11,18400,0
2018-01-09,24.01,24.01,23.09,23.25,22400,0
2018-01-10,23.17,24.85,23.17,23.34,23100,0
2018-01-11,23.50,24.78,21.70,22.46,63700,0
2018-01-12,22.79,23.08,21.50,21.50,19900,0
2018-01-16,21.50,22.38,21.01,21.01,38500,0
2018-01-17,21.01,21.87,19.80,20.10,76500,0
2018-01-18,20.02,20.86,19.92,20.41,35600,0
2018-01-19,21.97,21.97,20.60,20.60,31400,0
2018-01-22,20.60,21.23,20.31,20.34,15500,0
2018-01-23,20.34,21.03,19.56,20.66,45300,0
2018-01-24,21.41,21.45,19.93,20.86,35600,0
2018-01-25,21.27,21.27,20.43,20.86,16300,0
2018-01-26,21.22,21.81,20.74,21.77,15700,0
2018-01-29,21.99,22.86,20.66,21.72,45400,0
2018-01-30,21.07,21.79,20.70,20.70,16400,0
2018-01-31,21.51,21.99,20.56,20.65,9300,0
2018-02-01,21.28,21.28,20.65,20.90,5000,0
2018-02-02,20.63,21.00,19.77,19.77,22400,0
2018-02-05,19.80,21.00,19.26,19.30,20600,0
2018-02-06,18.58,19.50,18.37,18.80,35500,0
