Date,Open,High,Low,Close,Volume,OpenInt
2017-10-13,20,20.949,18.16,19,3917392,0
2017-10-16,19,20.97,18.61,19.61,546939,0
2017-10-17,19.56,19.909,18.73,19.22,359246,0
2017-10-18,19.23,20.05,18.7,19.14,388721,0
2017-10-19,19.02,19.65,18.905,19,80700,0
2017-10-20,18.99,19.45,18.95,19.01,165904,0
2017-10-23,19.05,19.57,18.65,19.04,100359,0
2017-10-24,18.93,19.255,18.6818,19.1,191185,0
2017-10-25,19,20,18.8,19.91,184962,0
2017-10-26,19.76,20.08,19.1883,19.99,380026,0
2017-10-27,20.05,20.4,19.7,20.3,334671,0
2017-10-30,20,20.32,19.54,20.01,205481,0
2017-10-31,19.63,20.39,19.63,20.16,95099,0
2017-11-01,20.27,20.27,19.25,19.71,177892,0
2017-11-02,19.53,20.35,19.38,19.89,138525,0
2017-11-03,19.76,20.24,19.3,20.08,117764,0
2017-11-06,19.84,21.46,19.83,20.76,177075,0
2017-11-07,20.58,20.84,18.3201,19.02,447269,0
2017-11-08,19.37,19.7306,18.9,19,105861,0
2017-11-09,18.95,19.27,17.33,17.34,168772,0
2017-11-10,17.2,17.999,16.66,17.32,154030,0
2017-11-13,17.08,17.39,16.80,16.85,108900,0
2017-11-14,16.95,16.96,15.01,15.20,114400,0
2017-11-15,15.37,16.50,15.26,16.12,115700,0
2017-11-16,16.28,16.50,15.48,15.93,89200,0
2017-11-17,16.00,16.00,15.56,15.75,122700,0
2017-11-20,15.80,17.02,15.50,16.58,86300,0
2017-11-21,16.87,17.39,16.17,16.85,118100,0
2017-11-22,16.77,18.53,16.77,18.46,82000,0
2017-11-24,18.63,20.54,17.21,20.02,53400,0
2017-11-27,20.00,20.10,19.03,19.22,111500,0
2017-11-28,19.19,19.40,18.11,18.87,89700,0
2017-11-29,18.84,20.13,18.30,18.92,75300,0
2017-11-30,18.81,19.84,18.45,19.09,134400,0
2017-12-01,18.94,20.21,17.61,18.53,137200,0
2017-12-04,18.77,19.79,18.69,18.98,98100,0
2017-12-05,19.16,20.00,18.52,18.73,101900,0
2017-12-06,18.62,19.64,18.05,18.60,103200,0
2017-12-07,18.07,18.95,17.93,17.93,83200,0
2017-12-08,18.08,18.47,17.46,18.14,79500,0
2017-12-11,18.18,19.42,18.13,18.99,198600,0
2017-12-12,18.88,19.40,17.00,17.00,156900,0
2017-12-13,17.30,19.25,17.20,18.66,161000,0
2017-12-14,18.81,19.51,18.29,18.81,189500,0
2017-12-15,18.80,20.50,18.37,18.95,799000,0
2017-12-18,18.91,21.28,18.61,19.49,398600,0
2017-12-19,19.60,20.34,18.50,19.20,133000,0
2017-12-20,19.09,20.40,18.82,19.40,117100,0
2017-12-21,19.33,20.69,19.33,19.89,112000,0
2017-12-22,19.50,20.55,19.24,19.76,96700,0
2017-12-26,19.58,20.22,19.12,19.61,121700,0
2017-12-27,19.46,19.72,18.83,19.34,211700,0
2017-12-28,19.04,19.73,18.73,19.50,266100,0
2017-12-29,19.51,19.62,18.52,18.90,133500,0
2018-01-02,18.82,19.44,18.40,19.07,66600,0
2018-01-03,19.01,19.33,18.11,18.62,60000,0
2018-01-04,18.57,19.24,17.08,17.42,85800,0
2018-01-05,19.28,19.28,16.45,17.20,71000,0
2018-01-08,17.11,17.90,16.96,17.68,31800,0
2018-01-09,17.84,18.42,16.99,18.02,58000,0
2018-01-10,17.95,19.22,17.60,18.59,113900,0
2018-01-11,18.46,20.15,18.46,19.67,194500,0
2018-01-12,20.00,21.50,19.56,19.87,146500,0
2018-01-16,19.77,20.21,19.27,19.36,65000,0
2018-01-17,19.39,19.62,18.75,19.10,32800,0
2018-01-18,19.05,19.40,19.04,19.15,57900,0
2018-01-19,18.99,19.75,18.99,19.25,43200,0
2018-01-22,19.29,20.31,19.12,19.27,46700,0
2018-01-23,19.39,20.00,19.06,19.27,59700,0
2018-01-24,19.38,20.60,19.09,19.66,93100,0
2018-01-25,19.65,19.65,19.08,19.35,27800,0
2018-01-26,19.34,20.08,19.26,19.98,25200,0
2018-01-29,20.02,20.91,19.65,20.82,50800,0
2018-01-30,20.60,20.79,19.31,19.71,66400,0
2018-01-31,19.93,19.96,18.62,18.95,48900,0
2018-02-01,18.87,19.00,18.32,18.74,69800,0
2018-02-02,18.26,18.83,18.01,18.41,16600,0
2018-02-05,18.32,18.49,17.45,17.97,33000,0
2018-02-06,17.70,18.44,17.63,18.00,47400,0
2018-02-07,18.05,18.51,18.05,18.41,17800,0
2018-02-08,18.44,18.75,18.18,18.44,46100,0
2018-02-09,18.64,18.79,16.80,17.26,71300,0
2018-02-12,17.39,18.47,16.85,17.35,29200,0
2018-02-13,17.18,17.65,16.85,16.90,24200,0
2018-02-14,16.75,17.06,16.53,16.70,36600,0
2018-02-15,16.54,16.61,15.50,16.42,39000,0
2018-02-16,16.28,16.54,16.00,16.21,29200,0
2018-02-20,16.09,16.48,15.50,15.91,61900,0
2018-02-21,16.06,18.82,16.00,17.87,64600,0
2018-02-22,18.05,18.59,17.08,17.59,41000,0
2018-02-23,18.17,18.25,16.90,17.31,40600,0
2018-02-26,17.18,17.97,17.12,17.41,29300,0
2018-02-27,17.29,18.13,17.22,17.55,38600,0
2018-02-28,17.49,18.13,17.49,17.71,46700,0
2018-03-01,17.65,17.77,17.02,17.52,73900,0
2018-03-02,16.76,17.97,16.73,17.86,51800,0
2018-03-05,17.75,18.12,17.45,17.87,48400,0
2018-03-06,18.03,18.29,17.61,17.87,19800,0
2018-03-07,17.66,18.37,17.49,18.17,23200,0
2018-03-08,18.15,18.15,17.02,17.41,41100,0
2018-03-09,17.78,18.08,17.22,17.69,26900,0
2018-03-12,17.55,17.64,17.06,17.36,16400,0
2018-03-13,17.25,17.25,16.50,17.11,42800,0
2018-03-14,17.16,18.61,17.16,18.32,79800,0
2018-03-15,18.39,18.60,17.68,18.09,25400,0
2018-03-16,18.21,19.98,18.21,19.94,89200,0
2018-03-19,20.01,20.82,19.54,19.96,166900,0
2018-03-20,20.22,20.22,17.58,18.51,44900,0
2018-03-21,18.42,19.97,18.42,19.76,43800,0
2018-03-22,18.60,19.98,18.53,19.50,35900,0
2018-03-23,19.50,20.48,19.47,20.00,87900,0
2018-03-26,20.20,21.71,20.00,20.75,82500,0
2018-03-27,21.03,25.24,20.02,20.39,110300,0
2018-03-28,21.01,23.44,19.36,20.22,90600,0
2018-03-29,20.46,20.81,19.71,20.02,123600,0
2018-04-02,20.30,20.97,18.47,19.28,94100,0
2018-04-03,19.49,19.89,18.59,19.54,50700,0
2018-04-04,19.19,20.69,18.48,19.00,99200,0
2018-04-05,19.30,19.30,18.57,18.75,58200,0
2018-04-06,18.99,19.96,18.75,19.30,246400,0
2018-04-09,19.39,21.15,19.00,19.11,227567,0
